Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,Itapajé,424,27013,070,1649,21/05/2013,0,0
Ceará,Itapajé,424,27023,072,1700,22/05/2013,0,0
Ceará,Itapajé,424,27025,073,1710,23/05/2013,0,0
Ceará,Itapajé,424,27027,073,1719,24/05/2013,0,0
Ceará,Itapajé,424,27038,075,1778,25/05/2013,0,0
Ceará,Itapajé,424,27050,078,1840,26/05/2013,0,0
Ceará,Itapajé,424,27056,079,1870,27/05/2013,0,0
Ceará,Itapajé,424,27059,080,1887,28/05/2013,0,0
Ceará,Itapajé,424,27060,080,1892,29/05/2013,0,0
Ceará,Itapajé,424,27062,081,1901,30/05/2013,0,0
Ceará,Itapajé,424,27063,081,1908,31/05/2013,0,0
Ceará,Itapajé,424,27063,081,1908,01/06/2013,0,0
Ceará,Itapajé,424,27063,081,1908,02/06/2013,0,0
Ceará,Itapajé,424,27064,081,1913,03/06/2013,0,0
Ceará,Itapajé,424,27072,083,1953,04/06/2013,0,0
Ceará,Itapajé,424,27072,083,1953,05/06/2013,0,0
Ceará,Itapajé,424,27073,083,1960,06/06/2013,0,0
Ceará,Itapajé,424,27088,086,2038,07/06/2013,0,0
Ceará,Itapajé,424,27091,087,2052,08/06/2013,0,0
Ceará,Itapajé,424,27094,088,2068,09/06/2013,0,0
Ceará,Itapajé,424,27097,088,2083,10/06/2013,0,0
Ceará,Itapajé,424,27102,089,2108,11/06/2013,0,0
Ceará,Itapajé,424,27103,090,2113,12/06/2013,0,0
Ceará,Itapajé,424,27113,092,2163,13/06/2013,0,0
Ceará,Itapajé,424,27118,093,2186,14/06/2013,0,0
Ceará,Itapajé,424,27122,094,2208,15/06/2013,0,0
Ceará,Itapajé,424,27126,094,2226,16/06/2013,0,0
Ceará,Itapajé,424,27126,094,2226,17/06/2013,0,0
Ceará,Itapajé,424,27127,095,2231,18/06/2013,0,0
Ceará,Itapajé,424,27127,095,2231,19/06/2013,0,0
Ceará,Itapajé,424,27129,095,2241,20/06/2013,0,0
Ceará,Itapajé,424,27132,096,2257,21/06/2013,0,0
Ceará,Itapajé,424,27141,098,2300,22/06/2013,0,0
Ceará,Itapajé,424,27141,098,2300,23/06/2013,0,0
Ceará,Itapajé,424,27148,099,2335,24/06/2013,0,0
Ceará,Itapajé,424,27149,100,2356,25/06/2013,0,0
Ceará,Itapajé,424,27151,102,2396,26/06/2013,0,0
Ceará,Itapajé,424,27152,103,2417,27/06/2013,0,0
Ceará,Itapajé,424,27153,103,2436,28/06/2013,0,0
Ceará,Itapajé,424,27155,105,2479,29/06/2013,0,0
Ceará,Itapajé,424,27157,107,2519,30/06/2013,0,0
Ceará,Itapajé,424,27175,122,2887,09/07/2013,0,0
Ceará,Itapajé,424,27177,124,2927,10/07/2013,0,0
Ceará,Itapajé,424,27183,129,3050,22/07/2013,0,0
Ceará,Itapajé,424,27183,129,3050,23/07/2013,0,0
Ceará,Itapajé,424,27183,129,3050,24/07/2013,0,0
Ceará,Itapajé,424,27183,129,3050,25/07/2013,0,0
Ceará,Itapajé,424,27183,129,3050,26/07/2013,0,0
