Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,JENIPAPEIRO II,4345,25156,421,969,02/04/2012,-38.755099,-6.672764
Ceará,JENIPAPEIRO II,4345,25156,421,969,03/04/2012,-38.755099,-6.672764
Ceará,JENIPAPEIRO II,4345,25156,421,969,04/04/2012,-38.755099,-6.672764
Ceará,JENIPAPEIRO II,4345,25174,456,1050,20/04/2012,-38.755099,-6.672764
Ceará,JENIPAPEIRO II,4345,25202,512,1179,23/04/2012,-38.755099,-6.672764
Ceará,JENIPAPEIRO II,4345,25206,523,1203,24/04/2012,-38.755099,-6.672764
Ceará,JENIPAPEIRO II,4345,25206,523,1203,25/04/2012,-38.755099,-6.672764
Ceará,JENIPAPEIRO II,4345,25208,528,1215,26/04/2012,-38.755099,-6.672764
Ceará,JENIPAPEIRO II,4345,25208,528,1215,27/04/2012,-38.755099,-6.672764
Ceará,JENIPAPEIRO II,4345,25208,528,1215,30/04/2012,-38.755099,-6.672764
Ceará,JENIPAPEIRO II,4345,25206,523,1203,03/05/2012,-38.755099,-6.672764
Ceará,JENIPAPEIRO II,4345,25206,523,1203,04/05/2012,-38.755099,-6.672764
Ceará,JENIPAPEIRO II,4345,25202,512,1179,07/05/2012,-38.755099,-6.672764
Ceará,JENIPAPEIRO II,4345,25202,512,1179,08/05/2012,-38.755099,-6.672764
Ceará,JENIPAPEIRO II,4345,25202,512,1179,09/05/2012,-38.755099,-6.672764
Ceará,JENIPAPEIRO II,4345,25194,495,1140,11/05/2012,-38.755099,-6.672764
Ceará,JENIPAPEIRO II,4345,25192,492,1131,15/05/2012,-38.755099,-6.672764
Ceará,JENIPAPEIRO II,4345,25190,488,1122,16/05/2012,-38.755099,-6.672764
Ceará,JENIPAPEIRO II,4345,25190,488,1122,17/05/2012,-38.755099,-6.672764
Ceará,JENIPAPEIRO II,4345,25188,484,1113,21/05/2012,-38.755099,-6.672764
Ceará,JENIPAPEIRO II,4345,25191,490,1127,22/05/2012,-38.755099,-6.672764
Ceará,JENIPAPEIRO II,4345,25186,480,1104,24/05/2012,-38.755099,-6.672764
Ceará,JENIPAPEIRO II,4345,25186,480,1104,28/05/2012,-38.755099,-6.672764
Ceará,JENIPAPEIRO II,4345,nan,460,1059,11/06/2012,-38.755099,-6.672764
Ceará,JENIPAPEIRO II,4345,25172,452,1040,18/06/2012,-38.755099,-6.672764
Ceará,JENIPAPEIRO II,4345,25170,448,1031,20/06/2012,-38.755099,-6.672764
Ceará,JENIPAPEIRO II,4345,25156,421,969,16/07/2012,-38.755099,-6.672764
Ceará,JENIPAPEIRO II,4345,25156,421,969,17/07/2012,-38.755099,-6.672764
Ceará,JENIPAPEIRO II,4345,25156,421,969,18/07/2012,-38.755099,-6.672764
Ceará,JENIPAPEIRO II,4345,25154,417,960,19/07/2012,-38.755099,-6.672764
Ceará,JENIPAPEIRO II,4345,25154,417,960,20/07/2012,-38.755099,-6.672764
Ceará,JENIPAPEIRO II,4345,25152,413,951,23/07/2012,-38.755099,-6.672764
Ceará,JENIPAPEIRO II,4345,25152,413,951,24/07/2012,-38.755099,-6.672764
Ceará,JENIPAPEIRO II,4345,25150,410,942,26/07/2012,-38.755099,-6.672764
Ceará,JENIPAPEIRO II,4345,25148,406,933,27/07/2012,-38.755099,-6.672764
Ceará,JENIPAPEIRO II,4345,25146,402,925,30/07/2012,-38.755099,-6.672764
Ceará,JENIPAPEIRO II,4345,25146,402,925,31/07/2012,-38.755099,-6.672764
Ceará,JENIPAPEIRO II,4345,25144,398,916,01/08/2012,-38.755099,-6.672764
Ceará,JENIPAPEIRO II,4345,25114,339,781,08/09/2012,-38.755099,-6.672764
Ceará,JENIPAPEIRO II,4345,25114,339,781,09/09/2012,-38.755099,-6.672764
Ceará,JENIPAPEIRO II,4345,25112,335,772,10/09/2012,-38.755099,-6.672764
Ceará,JENIPAPEIRO II,4345,25112,335,772,11/09/2012,-38.755099,-6.672764
Ceará,JENIPAPEIRO II,4345,25110,332,763,12/09/2012,-38.755099,-6.672764
Ceará,JENIPAPEIRO II,4345,25110,332,763,13/09/2012,-38.755099,-6.672764
Ceará,JENIPAPEIRO II,4345,25108,328,754,14/09/2012,-38.755099,-6.672764
Ceará,JENIPAPEIRO II,4345,25108,328,754,15/09/2012,-38.755099,-6.672764
Ceará,JENIPAPEIRO II,4345,25108,328,754,16/09/2012,-38.755099,-6.672764
Ceará,JENIPAPEIRO II,4345,25106,324,745,17/09/2012,-38.755099,-6.672764
Ceará,JENIPAPEIRO II,4345,25106,324,745,18/09/2012,-38.755099,-6.672764
Ceará,JENIPAPEIRO II,4345,25104,320,736,19/09/2012,-38.755099,-6.672764
Ceará,JENIPAPEIRO II,4345,25104,320,736,20/09/2012,-38.755099,-6.672764
Ceará,JENIPAPEIRO II,4345,25102,316,727,21/09/2012,-38.755099,-6.672764
Ceará,JENIPAPEIRO II,4345,25102,316,727,22/09/2012,-38.755099,-6.672764
Ceará,JENIPAPEIRO II,4345,25102,316,727,23/09/2012,-38.755099,-6.672764
Ceará,JENIPAPEIRO II,4345,25100,312,718,24/09/2012,-38.755099,-6.672764
Ceará,JENIPAPEIRO II,4345,25100,312,718,25/09/2012,-38.755099,-6.672764
Ceará,JENIPAPEIRO II,4345,25098,309,712,26/09/2012,-38.755099,-6.672764
Ceará,JENIPAPEIRO II,4345,25098,309,712,27/09/2012,-38.755099,-6.672764
Ceará,JENIPAPEIRO II,4345,25096,307,706,28/09/2012,-38.755099,-6.672764
Ceará,JENIPAPEIRO II,4345,25096,307,706,29/09/2012,-38.755099,-6.672764
Ceará,JENIPAPEIRO II,4345,25094,304,700,30/09/2012,-38.755099,-6.672764
Ceará,JENIPAPEIRO II,4345,25094,304,700,01/10/2012,-38.755099,-6.672764
Ceará,JENIPAPEIRO II,4345,25092,302,694,02/10/2012,-38.755099,-6.672764
Ceará,JENIPAPEIRO II,4345,25092,302,694,03/10/2012,-38.755099,-6.672764
Ceará,JENIPAPEIRO II,4345,25090,299,688,04/10/2012,-38.755099,-6.672764
Ceará,JENIPAPEIRO II,4345,25090,299,688,05/10/2012,-38.755099,-6.672764
Ceará,JENIPAPEIRO II,4345,25088,297,682,06/10/2012,-38.755099,-6.672764
Ceará,JENIPAPEIRO II,4345,25088,297,682,07/10/2012,-38.755099,-6.672764
Ceará,JENIPAPEIRO II,4345,25088,297,682,08/10/2012,-38.755099,-6.672764
Ceará,JENIPAPEIRO II,4345,25086,294,676,09/10/2012,-38.755099,-6.672764
Ceará,JENIPAPEIRO II,4345,25086,294,676,10/10/2012,-38.755099,-6.672764
Ceará,JENIPAPEIRO II,4345,25084,291,671,12/10/2012,-38.755099,-6.672764
Ceará,JENIPAPEIRO II,4345,25082,289,665,13/10/2012,-38.755099,-6.672764
Ceará,JENIPAPEIRO II,4345,25082,289,665,14/10/2012,-38.755099,-6.672764
