Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,JENIPAPEIRO,1700,000,415,2441,24/06/1999,-39.2474835705,-5.813151154140001
Ceará,JENIPAPEIRO,1700,9248,415,2441,01/07/1999,-39.2474835705,-5.813151154140001
Ceará,JENIPAPEIRO,1700,9248,415,2441,22/07/1999,-39.2474835705,-5.813151154140001
Ceará,JENIPAPEIRO,1700,000,415,2441,29/07/1999,-39.2474835705,-5.813151154140001
Ceará,JENIPAPEIRO,1700,9220,383,2253,05/08/1999,-39.2474835705,-5.813151154140001
Ceará,JENIPAPEIRO,1700,9220,383,2253,12/08/1999,-39.2474835705,-5.813151154140001
Ceará,JENIPAPEIRO,1700,000,360,2118,23/09/1999,-39.2474835705,-5.813151154140001
Ceará,JENIPAPEIRO,1700,9193,352,2071,30/09/1999,-39.2474835705,-5.813151154140001
Ceará,JENIPAPEIRO,1700,000,352,2071,21/10/1999,-39.2474835705,-5.813151154140001
Ceará,JENIPAPEIRO,1700,9193,352,2071,28/10/1999,-39.2474835705,-5.813151154140001
Ceará,JENIPAPEIRO,1700,9193,352,2071,04/11/1999,-39.2474835705,-5.813151154140001
Ceará,JENIPAPEIRO,1700,9193,352,2071,18/11/1999,-39.2474835705,-5.813151154140001
Ceará,JENIPAPEIRO,1700,000,352,2071,30/12/1999,-39.2474835705,-5.813151154140001
Ceará,JENIPAPEIRO,1700,000,352,2071,13/01/2000,-39.2474835705,-5.813151154140001
Ceará,JENIPAPEIRO,1700,000,289,1700,27/01/2000,-39.2474835705,-5.813151154140001
Ceará,JENIPAPEIRO,1700,000,352,2071,30/01/2000,-39.2474835705,-5.813151154140001
Ceará,JENIPAPEIRO,1700,000,289,1700,03/02/2000,-39.2474835705,-5.813151154140001
Ceará,JENIPAPEIRO,1700,000,289,1700,17/02/2000,-39.2474835705,-5.813151154140001
Ceará,JENIPAPEIRO,1700,000,289,1700,24/02/2000,-39.2474835705,-5.813151154140001
Ceará,JENIPAPEIRO,1700,000,289,1700,28/02/2000,-39.2474835705,-5.813151154140001
Ceará,JENIPAPEIRO,1700,000,289,1700,02/03/2000,-39.2474835705,-5.813151154140001
Ceará,JENIPAPEIRO,1700,000,289,1700,09/03/2000,-39.2474835705,-5.813151154140001
Ceará,JENIPAPEIRO,1700,000,289,1700,23/03/2000,-39.2474835705,-5.813151154140001
Ceará,JENIPAPEIRO,1700,000,289,1700,26/03/2000,-39.2474835705,-5.813151154140001
Ceará,JENIPAPEIRO,1700,000,289,1700,30/03/2000,-39.2474835705,-5.813151154140001
Ceará,JENIPAPEIRO,1700,000,289,1700,27/04/2000,-39.2474835705,-5.813151154140001
Ceará,JENIPAPEIRO,1700,000,289,1700,30/04/2000,-39.2474835705,-5.813151154140001
Ceará,JENIPAPEIRO,1700,000,289,1700,04/05/2000,-39.2474835705,-5.813151154140001
Ceará,JENIPAPEIRO,1700,000,289,1700,11/05/2000,-39.2474835705,-5.813151154140001
Ceará,JENIPAPEIRO,1700,000,289,1700,30/05/2000,-39.2474835705,-5.813151154140001
Ceará,JENIPAPEIRO,1700,000,289,1700,31/05/2000,-39.2474835705,-5.813151154140001
Ceará,JENIPAPEIRO,1700,000,387,2278,15/06/2000,-39.2474835705,-5.813151154140001
Ceará,JENIPAPEIRO,1700,000,381,2241,30/06/2000,-39.2474835705,-5.813151154140001
Ceará,JENIPAPEIRO,1700,000,371,2181,14/07/2000,-39.2474835705,-5.813151154140001
Ceará,JENIPAPEIRO,1700,000,370,2176,30/07/2000,-39.2474835705,-5.813151154140001
Ceará,JENIPAPEIRO,1700,000,371,2181,11/08/2000,-39.2474835705,-5.813151154140001
Ceará,JENIPAPEIRO,1700,000,371,2181,25/08/2000,-39.2474835705,-5.813151154140001
Ceará,JENIPAPEIRO,1700,000,370,2176,30/08/2000,-39.2474835705,-5.813151154140001
Ceará,JENIPAPEIRO,1700,000,371,2181,08/09/2000,-39.2474835705,-5.813151154140001
Ceará,JENIPAPEIRO,1700,000,371,2181,15/09/2000,-39.2474835705,-5.813151154140001
Ceará,JENIPAPEIRO,1700,9209,371,2181,22/09/2000,-39.2474835705,-5.813151154140001
Ceará,JENIPAPEIRO,1700,000,370,2176,30/09/2000,-39.2474835705,-5.813151154140001
Ceará,JENIPAPEIRO,1700,000,371,2181,06/10/2000,-39.2474835705,-5.813151154140001
Ceará,JENIPAPEIRO,1700,9209,371,2181,13/10/2000,-39.2474835705,-5.813151154140001
Ceará,JENIPAPEIRO,1700,9209,371,2181,20/10/2000,-39.2474835705,-5.813151154140001
Ceará,JENIPAPEIRO,1700,000,370,2176,30/10/2000,-39.2474835705,-5.813151154140001
