Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,LIMA CAMPOS,6638,17172,2280,3435,15/08/1983,-39.059782,-6.417186
Ceará,LIMA CAMPOS,6638,17111,1864,2809,15/09/1983,-39.059782,-6.417186
Ceará,LIMA CAMPOS,6638,000,2840,4279,01/01/1989,-39.059782,-6.417186
Ceará,LIMA CAMPOS,6638,000,6638,10000,10/04/1989,-39.059782,-6.417186
Ceará,LIMA CAMPOS,6638,000,3074,4631,02/04/1992,-39.059782,-6.417186
Ceará,LIMA CAMPOS,6638,000,3074,4631,10/05/1992,-39.059782,-6.417186
Ceará,LIMA CAMPOS,6638,000,3679,5543,05/10/1992,-39.059782,-6.417186
Ceará,LIMA CAMPOS,6638,000,967,1457,15/03/1994,-39.059782,-6.417186
Ceará,LIMA CAMPOS,6638,16821,547,824,02/01/1995,-39.059782,-6.417186
Ceará,LIMA CAMPOS,6638,17442,5014,7553,25/08/1997,-39.059782,-6.417186
Ceará,LIMA CAMPOS,6638,000,4716,7105,01/09/1997,-39.059782,-6.417186
Ceará,LIMA CAMPOS,6638,000,4164,6274,15/09/1997,-39.059782,-6.417186
Ceará,LIMA CAMPOS,6638,17328,3669,5527,29/09/1997,-39.059782,-6.417186
Ceará,LIMA CAMPOS,6638,000,3575,5385,06/10/1997,-39.059782,-6.417186
Ceará,LIMA CAMPOS,6638,000,3648,5495,27/10/1997,-39.059782,-6.417186
Ceará,LIMA CAMPOS,6638,17327,3658,5511,06/11/1997,-39.059782,-6.417186
Ceará,LIMA CAMPOS,6638,17328,3669,5527,26/11/1997,-39.059782,-6.417186
Ceará,LIMA CAMPOS,6638,17324,3627,5464,03/12/1997,-39.059782,-6.417186
Ceará,LIMA CAMPOS,6638,17317,3554,5354,18/12/1997,-39.059782,-6.417186
Ceará,LIMA CAMPOS,6638,17330,3690,5558,31/12/1997,-39.059782,-6.417186
Ceará,LIMA CAMPOS,6638,17326,3648,5495,17/01/1998,-39.059782,-6.417186
Ceará,LIMA CAMPOS,6638,17328,3669,5527,30/01/1998,-39.059782,-6.417186
Ceará,LIMA CAMPOS,6638,000,3595,5416,12/02/1998,-39.059782,-6.417186
Ceará,LIMA CAMPOS,6638,17313,3533,5322,26/02/1998,-39.059782,-6.417186
Ceará,LIMA CAMPOS,6638,000,3533,5322,28/02/1998,-39.059782,-6.417186
Ceará,LIMA CAMPOS,6638,17314,3523,5308,05/03/1998,-39.059782,-6.417186
Ceará,LIMA CAMPOS,6638,000,3722,5607,18/03/1998,-39.059782,-6.417186
Ceará,LIMA CAMPOS,6638,000,4323,6512,02/04/1998,-39.059782,-6.417186
Ceará,LIMA CAMPOS,6638,000,4458,6716,16/04/1998,-39.059782,-6.417186
Ceará,LIMA CAMPOS,6638,17304,3422,5155,22/04/1998,-39.059782,-6.417186
Ceará,LIMA CAMPOS,6638,17435,4922,7414,23/04/1998,-39.059782,-6.417186
Ceará,LIMA CAMPOS,6638,17417,4691,7067,14/05/1998,-39.059782,-6.417186
Ceará,LIMA CAMPOS,6638,000,4568,6881,20/05/1998,-39.059782,-6.417186
Ceará,LIMA CAMPOS,6638,000,4691,7067,30/05/1998,-39.059782,-6.417186
Ceará,LIMA CAMPOS,6638,17386,4316,6502,03/06/1998,-39.059782,-6.417186
Ceará,LIMA CAMPOS,6638,000,4316,6502,10/06/1998,-39.059782,-6.417186
Ceará,LIMA CAMPOS,6638,17303,3412,5140,02/07/1998,-39.059782,-6.417186
Ceará,LIMA CAMPOS,6638,000,3432,5170,17/07/1998,-39.059782,-6.417186
Ceará,LIMA CAMPOS,6638,000,3432,5170,06/08/1998,-39.059782,-6.417186
Ceará,LIMA CAMPOS,6638,000,3422,5155,27/08/1998,-39.059782,-6.417186
Ceará,LIMA CAMPOS,6638,17303,3412,5140,03/09/1998,-39.059782,-6.417186
Ceará,LIMA CAMPOS,6638,000,3412,5140,10/09/1998,-39.059782,-6.417186
Ceará,LIMA CAMPOS,6638,17305,3432,5170,17/09/1998,-39.059782,-6.417186
Ceará,LIMA CAMPOS,6638,17303,3412,5140,08/10/1998,-39.059782,-6.417186
Ceará,LIMA CAMPOS,6638,000,3412,5140,29/10/1998,-39.059782,-6.417186
Ceará,LIMA CAMPOS,6638,17305,3432,5170,05/11/1998,-39.059782,-6.417186
Ceará,LIMA CAMPOS,6638,17304,3422,5155,19/11/1998,-39.059782,-6.417186
Ceará,LIMA CAMPOS,6638,000,3432,5170,26/11/1998,-39.059782,-6.417186
Ceará,LIMA CAMPOS,6638,17302,3402,5125,24/12/1998,-39.059782,-6.417186
Ceará,LIMA CAMPOS,6638,000,3402,5125,31/12/1998,-39.059782,-6.417186
Ceará,LIMA CAMPOS,6638,000,3669,5527,07/01/1999,-39.059782,-6.417186
Ceará,LIMA CAMPOS,6638,000,3851,5802,14/01/1999,-39.059782,-6.417186
Ceará,LIMA CAMPOS,6638,000,3994,6017,21/01/1999,-39.059782,-6.417186
Ceará,LIMA CAMPOS,6638,17363,4051,6102,28/01/1999,-39.059782,-6.417186
Ceará,LIMA CAMPOS,6638,000,2339,3524,30/01/1999,-39.059782,-6.417186
Ceará,LIMA CAMPOS,6638,17361,4028,6068,04/02/1999,-39.059782,-6.417186
Ceará,LIMA CAMPOS,6638,000,3939,5934,25/02/1999,-39.059782,-6.417186
Ceará,LIMA CAMPOS,6638,000,2287,3445,28/02/1999,-39.059782,-6.417186
Ceará,LIMA CAMPOS,6638,17342,3818,5752,04/03/1999,-39.059782,-6.417186
Ceará,LIMA CAMPOS,6638,000,3754,5655,11/03/1999,-39.059782,-6.417186
Ceará,LIMA CAMPOS,6638,000,3711,5591,25/03/1999,-39.059782,-6.417186
Ceará,LIMA CAMPOS,6638,000,2524,3802,30/03/1999,-39.059782,-6.417186
Ceará,LIMA CAMPOS,6638,17375,4188,6308,01/04/1999,-39.059782,-6.417186
Ceará,LIMA CAMPOS,6638,000,5080,7653,22/04/1999,-39.059782,-6.417186
Ceará,LIMA CAMPOS,6638,000,5080,7653,29/04/1999,-39.059782,-6.417186
Ceará,LIMA CAMPOS,6638,000,3312,4989,30/04/1999,-39.059782,-6.417186
Ceará,LIMA CAMPOS,6638,000,6088,9171,13/05/1999,-39.059782,-6.417186
Ceará,LIMA CAMPOS,6638,000,6638,10000,27/05/1999,-39.059782,-6.417186
Ceará,LIMA CAMPOS,6638,000,3092,4658,30/05/1999,-39.059782,-6.417186
Ceará,LIMA CAMPOS,6638,000,6638,10000,02/06/1999,-39.059782,-6.417186
Ceará,LIMA CAMPOS,6638,000,6476,9756,24/06/1999,-39.059782,-6.417186
Ceará,LIMA CAMPOS,6638,000,2788,4200,30/06/1999,-39.059782,-6.417186
Ceará,LIMA CAMPOS,6638,17531,6331,9537,01/07/1999,-39.059782,-6.417186
Ceará,LIMA CAMPOS,6638,17521,6169,9293,22/07/1999,-39.059782,-6.417186
Ceará,LIMA CAMPOS,6638,000,6217,9366,29/07/1999,-39.059782,-6.417186
Ceará,LIMA CAMPOS,6638,000,2164,3260,30/07/1999,-39.059782,-6.417186
Ceará,LIMA CAMPOS,6638,17517,6104,9196,05/08/1999,-39.059782,-6.417186
Ceará,LIMA CAMPOS,6638,17506,5926,8927,12/08/1999,-39.059782,-6.417186
Ceará,LIMA CAMPOS,6638,000,2280,3435,30/08/1999,-39.059782,-6.417186
Ceará,LIMA CAMPOS,6638,000,4857,7316,23/09/1999,-39.059782,-6.417186
Ceará,LIMA CAMPOS,6638,17410,4604,6936,30/09/1999,-39.059782,-6.417186
Ceará,LIMA CAMPOS,6638,000,4006,6034,21/10/1999,-39.059782,-6.417186
Ceará,LIMA CAMPOS,6638,17339,3786,5703,28/10/1999,-39.059782,-6.417186
Ceará,LIMA CAMPOS,6638,17339,3786,5703,04/11/1999,-39.059782,-6.417186
Ceará,LIMA CAMPOS,6638,17268,3074,4631,18/11/1999,-39.059782,-6.417186
Ceará,LIMA CAMPOS,6638,000,2354,3546,30/12/1999,-39.059782,-6.417186
Ceará,LIMA CAMPOS,6638,000,2172,3272,13/01/2000,-39.059782,-6.417186
Ceará,LIMA CAMPOS,6638,000,3206,4830,27/01/2000,-39.059782,-6.417186
Ceará,LIMA CAMPOS,6638,000,2170,3269,30/01/2000,-39.059782,-6.417186
Ceará,LIMA CAMPOS,6638,000,3177,4787,03/02/2000,-39.059782,-6.417186
Ceará,LIMA CAMPOS,6638,000,3111,4687,17/02/2000,-39.059782,-6.417186
