Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,MACACOS,1032,11919,000,000,01/01/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11920,000,000,02/01/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11920,000,000,03/01/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11921,000,000,04/01/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11921,000,000,05/01/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11920,000,000,06/01/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11920,000,000,07/01/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11920,000,000,08/01/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11920,000,000,09/01/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11921,000,000,10/01/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11921,000,000,11/01/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11921,000,000,12/01/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11921,000,000,13/01/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11891,000,000,14/05/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11890,000,000,15/05/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11890,000,000,16/05/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11890,000,000,17/05/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11889,000,000,18/05/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11889,000,000,19/05/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11888,000,000,20/05/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11887,000,000,21/05/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11887,000,000,22/05/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11887,000,000,23/05/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11886,000,000,24/05/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11886,000,000,25/05/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11886,000,000,26/05/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11886,000,000,27/05/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11885,000,000,28/05/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11885,000,000,29/05/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11884,000,000,30/05/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11884,000,000,31/05/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11883,000,000,01/06/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11883,000,000,02/06/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11882,000,000,03/06/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11882,000,000,04/06/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11889,000,000,05/06/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11889,000,000,06/06/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11889,000,000,07/06/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11888,000,000,08/06/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11888,000,000,09/06/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11887,000,000,10/06/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11887,000,000,11/06/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11886,000,000,12/06/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11875,000,000,30/06/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11874,000,000,01/07/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11874,000,000,02/07/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11873,000,000,03/07/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11873,000,000,04/07/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11872,000,000,05/07/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11872,000,000,06/07/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11871,000,000,07/07/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11870,000,000,08/07/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11869,000,000,09/07/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11869,000,000,10/07/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11868,000,000,11/07/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11868,000,000,12/07/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11867,000,000,13/07/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11867,000,000,14/07/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11866,000,000,15/07/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11866,000,000,16/07/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11865,000,000,17/07/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11865,000,000,18/07/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11864,000,000,19/07/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11864,000,000,20/07/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11863,000,000,21/07/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11862,000,000,22/07/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11862,000,000,23/07/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11861,000,000,24/07/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11860,000,000,25/07/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11860,000,000,26/07/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11859,000,000,27/07/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11858,000,000,28/07/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11858,000,000,29/07/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11857,000,000,30/07/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11856,000,000,31/07/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11856,000,000,01/08/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11855,000,000,02/08/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11854,000,000,03/08/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11853,000,000,04/08/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11853,000,000,05/08/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11852,000,000,06/08/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11851,000,000,07/08/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11850,000,000,08/08/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11850,000,000,09/08/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11849,000,000,10/08/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11848,000,000,11/08/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11848,000,000,12/08/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11847,000,000,13/08/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11846,000,000,14/08/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11845,000,000,15/08/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11845,000,000,16/08/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11844,000,000,17/08/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11843,000,000,18/08/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11843,000,000,19/08/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11842,000,000,20/08/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11841,000,000,21/08/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11841,000,000,22/08/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11840,000,000,23/08/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11839,000,000,24/08/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11839,000,000,25/08/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11838,000,000,26/08/2010,-38.709306,-4.799747
Ceará,MACACOS,1032,11837,000,000,27/08/2010,-38.709306,-4.799747
