Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,MONSENHOR TABOSA,1210,65411,000,000,01/01/2010,0,0
Ceará,MONSENHOR TABOSA,1210,65410,000,000,02/01/2010,0,0
Ceará,MONSENHOR TABOSA,1210,65410,000,000,03/01/2010,0,0
Ceará,MONSENHOR TABOSA,1210,65411,000,000,04/01/2010,0,0
Ceará,MONSENHOR TABOSA,1210,65411,000,000,05/01/2010,0,0
Ceará,MONSENHOR TABOSA,1210,65410,000,000,06/01/2010,0,0
Ceará,MONSENHOR TABOSA,1210,65410,000,000,07/01/2010,0,0
Ceará,MONSENHOR TABOSA,1210,65410,000,000,08/01/2010,0,0
Ceará,MONSENHOR TABOSA,1210,65409,000,000,09/01/2010,0,0
Ceará,MONSENHOR TABOSA,1210,65409,000,000,10/01/2010,0,0
Ceará,MONSENHOR TABOSA,1210,65409,000,000,11/01/2010,0,0
Ceará,MONSENHOR TABOSA,1210,65407,000,000,12/01/2010,0,0
Ceará,MONSENHOR TABOSA,1210,65407,000,000,13/01/2010,0,0
Ceará,MONSENHOR TABOSA,1210,65351,000,000,14/05/2010,0,0
Ceará,MONSENHOR TABOSA,1210,65351,000,000,15/05/2010,0,0
Ceará,MONSENHOR TABOSA,1210,65350,000,000,16/05/2010,0,0
Ceará,MONSENHOR TABOSA,1210,65349,000,000,17/05/2010,0,0
Ceará,MONSENHOR TABOSA,1210,65348,000,000,18/05/2010,0,0
Ceará,MONSENHOR TABOSA,1210,65347,000,000,19/05/2010,0,0
Ceará,MONSENHOR TABOSA,1210,65346,000,000,20/05/2010,0,0
Ceará,MONSENHOR TABOSA,1210,65345,000,000,21/05/2010,0,0
Ceará,MONSENHOR TABOSA,1210,65345,000,000,22/05/2010,0,0
Ceará,MONSENHOR TABOSA,1210,65344,000,000,23/05/2010,0,0
Ceará,MONSENHOR TABOSA,1210,65344,000,000,24/05/2010,0,0
Ceará,MONSENHOR TABOSA,1210,65344,000,000,25/05/2010,0,0
Ceará,MONSENHOR TABOSA,1210,65343,000,000,26/05/2010,0,0
Ceará,MONSENHOR TABOSA,1210,65342,000,000,27/05/2010,0,0
Ceará,MONSENHOR TABOSA,1210,65342,000,000,28/05/2010,0,0
Ceará,MONSENHOR TABOSA,1210,65341,000,000,29/05/2010,0,0
Ceará,MONSENHOR TABOSA,1210,65341,000,000,30/05/2010,0,0
Ceará,MONSENHOR TABOSA,1210,65340,000,000,31/05/2010,0,0
Ceará,MONSENHOR TABOSA,1210,65340,000,000,01/06/2010,0,0
Ceará,MONSENHOR TABOSA,1210,65339,000,000,02/06/2010,0,0
Ceará,MONSENHOR TABOSA,1210,65340,000,000,03/06/2010,0,0
Ceará,MONSENHOR TABOSA,1210,65340,000,000,04/06/2010,0,0
Ceará,MONSENHOR TABOSA,1210,65341,000,000,05/06/2010,0,0
