Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,MUQUÉM,4764,26535,000,000,01/01/2010,-39.482342939,-6.6105731406
Ceará,MUQUÉM,4764,26537,000,000,02/01/2010,-39.482342939,-6.6105731406
Ceará,MUQUÉM,4764,26537,000,000,03/01/2010,-39.482342939,-6.6105731406
Ceará,MUQUÉM,4764,26540,000,000,04/01/2010,-39.482342939,-6.6105731406
Ceará,MUQUÉM,4764,26540,000,000,05/01/2010,-39.482342939,-6.6105731406
Ceará,MUQUÉM,4764,26540,000,000,06/01/2010,-39.482342939,-6.6105731406
Ceará,MUQUÉM,4764,26539,000,000,07/01/2010,-39.482342939,-6.6105731406
Ceará,MUQUÉM,4764,26539,000,000,08/01/2010,-39.482342939,-6.6105731406
Ceará,MUQUÉM,4764,26538,000,000,09/01/2010,-39.482342939,-6.6105731406
Ceará,MUQUÉM,4764,26538,000,000,10/01/2010,-39.482342939,-6.6105731406
Ceará,MUQUÉM,4764,26540,000,000,11/01/2010,-39.482342939,-6.6105731406
Ceará,MUQUÉM,4764,26540,000,000,12/01/2010,-39.482342939,-6.6105731406
Ceará,MUQUÉM,4764,26539,000,000,13/01/2010,-39.482342939,-6.6105731406
Ceará,MUQUÉM,4764,26520,000,000,14/05/2010,-39.482342939,-6.6105731406
Ceará,MUQUÉM,4764,26522,000,000,15/05/2010,-39.482342939,-6.6105731406
Ceará,MUQUÉM,4764,26522,000,000,16/05/2010,-39.482342939,-6.6105731406
Ceará,MUQUÉM,4764,26522,000,000,17/05/2010,-39.482342939,-6.6105731406
Ceará,MUQUÉM,4764,26522,000,000,18/05/2010,-39.482342939,-6.6105731406
Ceará,MUQUÉM,4764,26521,000,000,19/05/2010,-39.482342939,-6.6105731406
Ceará,MUQUÉM,4764,26521,000,000,20/05/2010,-39.482342939,-6.6105731406
Ceará,MUQUÉM,4764,26520,000,000,21/05/2010,-39.482342939,-6.6105731406
Ceará,MUQUÉM,4764,26520,000,000,22/05/2010,-39.482342939,-6.6105731406
Ceará,MUQUÉM,4764,26519,000,000,23/05/2010,-39.482342939,-6.6105731406
Ceará,MUQUÉM,4764,26519,000,000,24/05/2010,-39.482342939,-6.6105731406
Ceará,MUQUÉM,4764,26519,000,000,25/05/2010,-39.482342939,-6.6105731406
Ceará,MUQUÉM,4764,26518,000,000,26/05/2010,-39.482342939,-6.6105731406
Ceará,MUQUÉM,4764,26518,000,000,27/05/2010,-39.482342939,-6.6105731406
Ceará,MUQUÉM,4764,26518,000,000,28/05/2010,-39.482342939,-6.6105731406
Ceará,MUQUÉM,4764,26517,000,000,29/05/2010,-39.482342939,-6.6105731406
Ceará,MUQUÉM,4764,26517,000,000,30/05/2010,-39.482342939,-6.6105731406
Ceará,MUQUÉM,4764,26517,000,000,31/05/2010,-39.482342939,-6.6105731406
Ceará,MUQUÉM,4764,26516,000,000,01/06/2010,-39.482342939,-6.6105731406
Ceará,MUQUÉM,4764,26516,000,000,02/06/2010,-39.482342939,-6.6105731406
Ceará,MUQUÉM,4764,26515,000,000,03/06/2010,-39.482342939,-6.6105731406
Ceará,MUQUÉM,4764,26515,000,000,04/06/2010,-39.482342939,-6.6105731406
Ceará,MUQUÉM,4764,26514,000,000,05/06/2010,-39.482342939,-6.6105731406
Ceará,MUQUÉM,4764,26514,000,000,06/06/2010,-39.482342939,-6.6105731406
Ceará,MUQUÉM,4764,26513,000,000,07/06/2010,-39.482342939,-6.6105731406
Ceará,MUQUÉM,4764,26512,000,000,08/06/2010,-39.482342939,-6.6105731406
Ceará,MUQUÉM,4764,26511,000,000,09/06/2010,-39.482342939,-6.6105731406
Ceará,MUQUÉM,4764,26510,000,000,10/06/2010,-39.482342939,-6.6105731406
Ceará,MUQUÉM,4764,26510,000,000,11/06/2010,-39.482342939,-6.6105731406
Ceará,MUQUÉM,4764,26510,000,000,12/06/2010,-39.482342939,-6.6105731406
