Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,OLHO D'ÁGUA,2100,34752,000,000,01/01/2010,0,0
Ceará,OLHO D'ÁGUA,2100,34753,000,000,02/01/2010,0,0
Ceará,OLHO D'ÁGUA,2100,34752,000,000,03/01/2010,0,0
Ceará,OLHO D'ÁGUA,2100,34752,000,000,04/01/2010,0,0
Ceará,OLHO D'ÁGUA,2100,34752,000,000,05/01/2010,0,0
Ceará,OLHO D'ÁGUA,2100,34752,000,000,06/01/2010,0,0
Ceará,OLHO D'ÁGUA,2100,34751,000,000,07/01/2010,0,0
Ceará,OLHO D'ÁGUA,2100,34751,000,000,08/01/2010,0,0
Ceará,OLHO D'ÁGUA,2100,34750,000,000,09/01/2010,0,0
Ceará,OLHO D'ÁGUA,2100,34750,000,000,10/01/2010,0,0
Ceará,OLHO D'ÁGUA,2100,34749,000,000,11/01/2010,0,0
Ceará,OLHO D'ÁGUA,2100,34749,000,000,12/01/2010,0,0
Ceará,OLHO D'ÁGUA,2100,34748,000,000,13/01/2010,0,0
Ceará,OLHO D'ÁGUA,2100,34661,000,000,14/05/2010,0,0
Ceará,OLHO D'ÁGUA,2100,34662,000,000,15/05/2010,0,0
Ceará,OLHO D'ÁGUA,2100,34661,000,000,16/05/2010,0,0
Ceará,OLHO D'ÁGUA,2100,34659,000,000,17/05/2010,0,0
Ceará,OLHO D'ÁGUA,2100,34658,000,000,18/05/2010,0,0
Ceará,OLHO D'ÁGUA,2100,34657,000,000,19/05/2010,0,0
Ceará,OLHO D'ÁGUA,2100,34655,000,000,20/05/2010,0,0
Ceará,OLHO D'ÁGUA,2100,34654,000,000,21/05/2010,0,0
Ceará,OLHO D'ÁGUA,2100,34653,000,000,22/05/2010,0,0
Ceará,OLHO D'ÁGUA,2100,34652,000,000,23/05/2010,0,0
Ceará,OLHO D'ÁGUA,2100,34652,000,000,24/05/2010,0,0
