Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,ORÓS,194000,19845,173198,8928,01/01/1978,-38.9250093577,-6.2381264298
Ceará,ORÓS,194000,19840,172264,8880,08/01/1978,-38.9250093577,-6.2381264298
Ceará,ORÓS,194000,19838,171891,8860,15/01/1978,-38.9250093577,-6.2381264298
Ceará,ORÓS,194000,19848,173758,8957,22/01/1978,-38.9250093577,-6.2381264298
Ceará,ORÓS,194000,19851,174317,8985,28/01/1978,-38.9250093577,-6.2381264298
Ceará,ORÓS,194000,19850,174131,8976,01/02/1978,-38.9250093577,-6.2381264298
Ceará,ORÓS,194000,19847,173571,8947,08/02/1978,-38.9250093577,-6.2381264298
Ceará,ORÓS,194000,19890,181596,9361,15/02/1978,-38.9250093577,-6.2381264298
Ceará,ORÓS,194000,19901,183667,9467,22/02/1978,-38.9250093577,-6.2381264298
Ceará,ORÓS,194000,19907,184892,9531,01/03/1978,-38.9250093577,-6.2381264298
Ceará,ORÓS,194000,19941,191834,9888,08/03/1978,-38.9250093577,-6.2381264298
Ceará,ORÓS,194000,19948,193264,9962,15/03/1978,-38.9250093577,-6.2381264298
Ceará,ORÓS,194000,19950,194000,10000,22/03/1978,-38.9250093577,-6.2381264298
Ceará,ORÓS,194000,19950,194000,10000,28/03/1978,-38.9250093577,-6.2381264298
Ceará,ORÓS,194000,19950,194000,10000,01/04/1978,-38.9250093577,-6.2381264298
Ceará,ORÓS,194000,19950,194000,10000,08/04/1978,-38.9250093577,-6.2381264298
Ceará,ORÓS,194000,19950,194000,10000,15/04/1978,-38.9250093577,-6.2381264298
Ceará,ORÓS,194000,19950,194000,10000,22/04/1978,-38.9250093577,-6.2381264298
Ceará,ORÓS,194000,19950,194000,10000,28/04/1978,-38.9250093577,-6.2381264298
Ceará,ORÓS,194000,19950,194000,10000,01/05/1978,-38.9250093577,-6.2381264298
Ceará,ORÓS,194000,19950,194000,10000,08/05/1978,-38.9250093577,-6.2381264298
Ceará,ORÓS,194000,19950,194000,10000,15/05/1978,-38.9250093577,-6.2381264298
Ceará,ORÓS,194000,19950,194000,10000,22/05/1978,-38.9250093577,-6.2381264298
Ceará,ORÓS,194000,19950,194000,10000,28/05/1978,-38.9250093577,-6.2381264298
Ceará,ORÓS,194000,19950,194000,10000,01/06/1978,-38.9250093577,-6.2381264298
Ceará,ORÓS,194000,19950,194000,10000,08/06/1978,-38.9250093577,-6.2381264298
Ceará,ORÓS,194000,19950,194000,10000,15/06/1978,-38.9250093577,-6.2381264298
Ceará,ORÓS,194000,19950,194000,10000,22/06/1978,-38.9250093577,-6.2381264298
Ceará,ORÓS,194000,19950,194000,10000,28/06/1978,-38.9250093577,-6.2381264298
Ceará,ORÓS,194000,19950,194000,10000,01/07/1978,-38.9250093577,-6.2381264298
Ceará,ORÓS,194000,19950,194000,10000,08/07/1978,-38.9250093577,-6.2381264298
Ceará,ORÓS,194000,19950,194000,10000,15/07/1978,-38.9250093577,-6.2381264298
Ceará,ORÓS,194000,19947,193059,9951,22/07/1978,-38.9250093577,-6.2381264298
Ceará,ORÓS,194000,19944,192447,9920,28/07/1978,-38.9250093577,-6.2381264298
Ceará,ORÓS,194000,19943,192243,9909,01/08/1978,-38.9250093577,-6.2381264298
Ceará,ORÓS,194000,19940,191630,9878,08/08/1978,-38.9250093577,-6.2381264298
Ceará,ORÓS,194000,19937,191018,9846,15/08/1978,-38.9250093577,-6.2381264298
Ceará,ORÓS,194000,19932,189997,9794,22/08/1978,-38.9250093577,-6.2381264298
Ceará,ORÓS,194000,19927,188976,9741,28/08/1978,-38.9250093577,-6.2381264298
Ceará,ORÓS,194000,19926,188772,9731,01/09/1978,-38.9250093577,-6.2381264298
Ceará,ORÓS,194000,19923,188159,9699,08/09/1978,-38.9250093577,-6.2381264298
Ceará,ORÓS,194000,19919,187342,9657,15/09/1978,-38.9250093577,-6.2381264298
Ceará,ORÓS,194000,19916,186730,9625,22/09/1978,-38.9250093577,-6.2381264298
Ceará,ORÓS,194000,19908,185096,9541,28/09/1978,-38.9250093577,-6.2381264298
Ceará,ORÓS,194000,19904,184279,9499,01/10/1978,-38.9250093577,-6.2381264298
Ceará,ORÓS,194000,19900,183463,9457,08/10/1978,-38.9250093577,-6.2381264298
Ceará,ORÓS,194000,19895,182530,9409,15/10/1978,-38.9250093577,-6.2381264298
Ceará,ORÓS,194000,19887,181036,9332,22/10/1978,-38.9250093577,-6.2381264298
Ceará,ORÓS,194000,19881,179917,9274,28/10/1978,-38.9250093577,-6.2381264298
Ceará,ORÓS,194000,19879,179543,9255,01/11/1978,-38.9250093577,-6.2381264298
Ceará,ORÓS,194000,19872,178237,9187,08/11/1978,-38.9250093577,-6.2381264298
Ceará,ORÓS,194000,19865,176930,9120,15/11/1978,-38.9250093577,-6.2381264298
Ceará,ORÓS,194000,19859,175811,9062,22/11/1978,-38.9250093577,-6.2381264298
Ceará,ORÓS,194000,19855,175064,9024,28/11/1978,-38.9250093577,-6.2381264298
Ceará,ORÓS,194000,19856,175251,9034,01/12/1978,-38.9250093577,-6.2381264298
Ceará,ORÓS,194000,19861,176184,9082,08/12/1978,-38.9250093577,-6.2381264298
Ceará,ORÓS,194000,19855,175064,9024,15/12/1978,-38.9250093577,-6.2381264298
