Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,PAU PRETO,181,99695,000,000,01/01/2010,-40.084615,-7.081014
Ceará,PAU PRETO,181,99695,000,000,02/01/2010,-40.084615,-7.081014
Ceará,PAU PRETO,181,99694,000,000,03/01/2010,-40.084615,-7.081014
Ceará,PAU PRETO,181,99696,000,000,04/01/2010,-40.084615,-7.081014
Ceará,PAU PRETO,181,99695,000,000,05/01/2010,-40.084615,-7.081014
Ceará,PAU PRETO,181,99695,000,000,06/01/2010,-40.084615,-7.081014
Ceará,PAU PRETO,181,99694,000,000,07/01/2010,-40.084615,-7.081014
Ceará,PAU PRETO,181,99693,000,000,08/01/2010,-40.084615,-7.081014
Ceará,PAU PRETO,181,99693,000,000,09/01/2010,-40.084615,-7.081014
Ceará,PAU PRETO,181,99693,000,000,10/01/2010,-40.084615,-7.081014
Ceará,PAU PRETO,181,99693,000,000,11/01/2010,-40.084615,-7.081014
Ceará,PAU PRETO,181,99693,000,000,12/01/2010,-40.084615,-7.081014
Ceará,PAU PRETO,181,99692,000,000,13/01/2010,-40.084615,-7.081014
Ceará,PAU PRETO,181,99791,000,000,14/05/2010,-40.084615,-7.081014
Ceará,PAU PRETO,181,99791,000,000,15/05/2010,-40.084615,-7.081014
Ceará,PAU PRETO,181,99791,000,000,16/05/2010,-40.084615,-7.081014
Ceará,PAU PRETO,181,99790,000,000,17/05/2010,-40.084615,-7.081014
Ceará,PAU PRETO,181,99790,000,000,18/05/2010,-40.084615,-7.081014
Ceará,PAU PRETO,181,99789,000,000,19/05/2010,-40.084615,-7.081014
Ceará,PAU PRETO,181,99790,000,000,20/05/2010,-40.084615,-7.081014
Ceará,PAU PRETO,181,99788,000,000,21/05/2010,-40.084615,-7.081014
Ceará,PAU PRETO,181,99787,000,000,22/05/2010,-40.084615,-7.081014
Ceará,PAU PRETO,181,99786,000,000,23/05/2010,-40.084615,-7.081014
Ceará,PAU PRETO,181,99786,000,000,24/05/2010,-40.084615,-7.081014
Ceará,PAU PRETO,181,99785,000,000,25/05/2010,-40.084615,-7.081014
Ceará,PAU PRETO,181,99784,000,000,26/05/2010,-40.084615,-7.081014
Ceará,PAU PRETO,181,99784,000,000,27/05/2010,-40.084615,-7.081014
Ceará,PAU PRETO,181,99783,000,000,28/05/2010,-40.084615,-7.081014
Ceará,PAU PRETO,181,99782,000,000,29/05/2010,-40.084615,-7.081014
Ceará,PAU PRETO,181,99781,000,000,30/05/2010,-40.084615,-7.081014
Ceará,PAU PRETO,181,99781,000,000,31/05/2010,-40.084615,-7.081014
Ceará,PAU PRETO,181,99780,000,000,01/06/2010,-40.084615,-7.081014
Ceará,PAU PRETO,181,99780,000,000,02/06/2010,-40.084615,-7.081014
Ceará,PAU PRETO,181,99779,000,000,03/06/2010,-40.084615,-7.081014
Ceará,PAU PRETO,181,99778,000,000,04/06/2010,-40.084615,-7.081014
Ceará,PAU PRETO,181,99778,000,000,05/06/2010,-40.084615,-7.081014
Ceará,PAU PRETO,181,99777,000,000,06/06/2010,-40.084615,-7.081014
Ceará,PAU PRETO,181,99777,000,000,07/06/2010,-40.084615,-7.081014
Ceará,PAU PRETO,181,99776,000,000,08/06/2010,-40.084615,-7.081014
Ceará,PAU PRETO,181,99775,000,000,09/06/2010,-40.084615,-7.081014
Ceará,PAU PRETO,181,99774,000,000,10/06/2010,-40.084615,-7.081014
Ceará,PAU PRETO,181,99773,000,000,11/06/2010,-40.084615,-7.081014
Ceará,PAU PRETO,181,99773,000,000,12/06/2010,-40.084615,-7.081014
Ceará,PAU PRETO,181,99761,000,000,30/06/2010,-40.084615,-7.081014
Ceará,PAU PRETO,181,99760,000,000,01/07/2010,-40.084615,-7.081014
Ceará,PAU PRETO,181,99759,000,000,02/07/2010,-40.084615,-7.081014
Ceará,PAU PRETO,181,99758,000,000,03/07/2010,-40.084615,-7.081014
Ceará,PAU PRETO,181,99757,000,000,04/07/2010,-40.084615,-7.081014
Ceará,PAU PRETO,181,99756,000,000,05/07/2010,-40.084615,-7.081014
Ceará,PAU PRETO,181,99755,000,000,06/07/2010,-40.084615,-7.081014
Ceará,PAU PRETO,181,99755,000,000,07/07/2010,-40.084615,-7.081014
Ceará,PAU PRETO,181,99754,000,000,08/07/2010,-40.084615,-7.081014
Ceará,PAU PRETO,181,99753,000,000,09/07/2010,-40.084615,-7.081014
Ceará,PAU PRETO,181,99752,000,000,10/07/2010,-40.084615,-7.081014
Ceará,PAU PRETO,181,99752,000,000,11/07/2010,-40.084615,-7.081014
Ceará,PAU PRETO,181,99751,000,000,12/07/2010,-40.084615,-7.081014
Ceará,PAU PRETO,181,99751,000,000,13/07/2010,-40.084615,-7.081014
Ceará,PAU PRETO,181,99750,000,000,14/07/2010,-40.084615,-7.081014
Ceará,PAU PRETO,181,99749,000,000,15/07/2010,-40.084615,-7.081014
Ceará,PAU PRETO,181,99749,000,000,16/07/2010,-40.084615,-7.081014
Ceará,PAU PRETO,181,99748,000,000,17/07/2010,-40.084615,-7.081014
Ceará,PAU PRETO,181,99747,000,000,18/07/2010,-40.084615,-7.081014
Ceará,PAU PRETO,181,99747,000,000,19/07/2010,-40.084615,-7.081014
Ceará,PAU PRETO,181,99746,000,000,20/07/2010,-40.084615,-7.081014
Ceará,PAU PRETO,181,99745,000,000,21/07/2010,-40.084615,-7.081014
Ceará,PAU PRETO,181,99744,000,000,22/07/2010,-40.084615,-7.081014
Ceará,PAU PRETO,181,99743,000,000,23/07/2010,-40.084615,-7.081014
Ceará,PAU PRETO,181,99742,000,000,24/07/2010,-40.084615,-7.081014
Ceará,PAU PRETO,181,99742,000,000,25/07/2010,-40.084615,-7.081014
Ceará,PAU PRETO,181,99742,000,000,26/07/2010,-40.084615,-7.081014
Ceará,PAU PRETO,181,99740,000,000,27/07/2010,-40.084615,-7.081014
Ceará,PAU PRETO,181,99739,000,000,28/07/2010,-40.084615,-7.081014
Ceará,PAU PRETO,181,99739,000,000,29/07/2010,-40.084615,-7.081014
Ceará,PAU PRETO,181,99738,000,000,30/07/2010,-40.084615,-7.081014
Ceará,PAU PRETO,181,99737,000,000,31/07/2010,-40.084615,-7.081014
Ceará,PAU PRETO,181,99736,000,000,01/08/2010,-40.084615,-7.081014
Ceará,PAU PRETO,181,99735,000,000,02/08/2010,-40.084615,-7.081014
Ceará,PAU PRETO,181,99735,000,000,03/08/2010,-40.084615,-7.081014
