Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,PENTECOSTE,36000,000,12499,3472,01/01/1983,-39.261648178099996,-3.80330004105
Ceará,PENTECOSTE,36000,000,8347,2318,01/06/1983,-39.261648178099996,-3.80330004105
Ceará,PENTECOSTE,36000,4831,6473,1798,15/08/1983,-39.261648178099996,-3.80330004105
Ceará,PENTECOSTE,36000,4777,5580,1550,15/09/1983,-39.261648178099996,-3.80330004105
Ceará,PENTECOSTE,36000,000,2974,826,31/12/1983,-39.261648178099996,-3.80330004105
Ceará,PENTECOSTE,36000,000,23989,6664,02/04/1992,-39.261648178099996,-3.80330004105
Ceará,PENTECOSTE,36000,000,26192,7275,10/05/1992,-39.261648178099996,-3.80330004105
Ceará,PENTECOSTE,36000,000,1967,546,05/10/1992,-39.261648178099996,-3.80330004105
Ceará,PENTECOSTE,36000,000,3034,843,15/03/1994,-39.261648178099996,-3.80330004105
Ceará,PENTECOSTE,36000,1136,8460,2350,02/01/1995,-39.261648178099996,-3.80330004105
Ceará,PENTECOSTE,36000,5472,24356,6766,25/08/1997,-39.261648178099996,-3.80330004105
Ceará,PENTECOSTE,36000,000,23908,6641,01/09/1997,-39.261648178099996,-3.80330004105
Ceará,PENTECOSTE,36000,000,23092,6414,15/09/1997,-39.261648178099996,-3.80330004105
Ceará,PENTECOSTE,36000,5417,22114,6143,29/09/1997,-39.261648178099996,-3.80330004105
Ceará,PENTECOSTE,36000,000,21706,6029,06/10/1997,-39.261648178099996,-3.80330004105
Ceará,PENTECOSTE,36000,000,21387,5941,17/10/1997,-39.261648178099996,-3.80330004105
Ceará,PENTECOSTE,36000,000,20495,5693,27/10/1997,-39.261648178099996,-3.80330004105
Ceará,PENTECOSTE,36000,5362,20165,5601,06/11/1997,-39.261648178099996,-3.80330004105
Ceará,PENTECOSTE,36000,5331,19140,5317,26/11/1997,-39.261648178099996,-3.80330004105
Ceará,PENTECOSTE,36000,5322,18843,5234,03/12/1997,-39.261648178099996,-3.80330004105
Ceará,PENTECOSTE,36000,5298,18050,5014,18/12/1997,-39.261648178099996,-3.80330004105
Ceará,PENTECOSTE,36000,5298,18050,5014,31/12/1997,-39.261648178099996,-3.80330004105
Ceará,PENTECOSTE,36000,5298,18050,5014,17/01/1998,-39.261648178099996,-3.80330004105
Ceará,PENTECOSTE,36000,5256,16662,4628,30/01/1998,-39.261648178099996,-3.80330004105
Ceará,PENTECOSTE,36000,000,16662,4628,12/02/1998,-39.261648178099996,-3.80330004105
Ceará,PENTECOSTE,36000,5256,16662,4628,26/02/1998,-39.261648178099996,-3.80330004105
Ceará,PENTECOSTE,36000,000,16662,4628,28/02/1998,-39.261648178099996,-3.80330004105
Ceará,PENTECOSTE,36000,5256,16662,4628,05/03/1998,-39.261648178099996,-3.80330004105
Ceará,PENTECOSTE,36000,000,16662,4628,18/03/1998,-39.261648178099996,-3.80330004105
Ceará,PENTECOSTE,36000,000,14845,4123,02/04/1998,-39.261648178099996,-3.80330004105
Ceará,PENTECOSTE,36000,5140,13270,3686,05/04/1998,-39.261648178099996,-3.80330004105
Ceará,PENTECOSTE,36000,000,14606,4057,16/04/1998,-39.261648178099996,-3.80330004105
Ceará,PENTECOSTE,36000,5188,14503,4029,23/04/1998,-39.261648178099996,-3.80330004105
Ceará,PENTECOSTE,36000,000,13784,3829,14/05/1998,-39.261648178099996,-3.80330004105
Ceará,PENTECOSTE,36000,000,13578,3772,20/05/1998,-39.261648178099996,-3.80330004105
Ceará,PENTECOSTE,36000,000,13449,3736,30/05/1998,-39.261648178099996,-3.80330004105
Ceará,PENTECOSTE,36000,5137,13192,3665,03/06/1998,-39.261648178099996,-3.80330004105
Ceará,PENTECOSTE,36000,000,12935,3593,10/06/1998,-39.261648178099996,-3.80330004105
Ceará,PENTECOSTE,36000,000,12473,3465,25/06/1998,-39.261648178099996,-3.80330004105
Ceará,PENTECOSTE,36000,5100,12242,3400,02/07/1998,-39.261648178099996,-3.80330004105
