Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,PESQUEIRO,903,19599,000,000,01/01/2010,-38.961082,-4.444447
Ceará,PESQUEIRO,903,19598,000,000,02/01/2010,-38.961082,-4.444447
Ceará,PESQUEIRO,903,19598,000,000,03/01/2010,-38.961082,-4.444447
Ceará,PESQUEIRO,903,19598,000,000,04/01/2010,-38.961082,-4.444447
Ceará,PESQUEIRO,903,19601,000,000,05/01/2010,-38.961082,-4.444447
Ceará,PESQUEIRO,903,19601,000,000,06/01/2010,-38.961082,-4.444447
Ceará,PESQUEIRO,903,19601,000,000,07/01/2010,-38.961082,-4.444447
Ceará,PESQUEIRO,903,19600,000,000,08/01/2010,-38.961082,-4.444447
Ceará,PESQUEIRO,903,19600,000,000,09/01/2010,-38.961082,-4.444447
Ceará,PESQUEIRO,903,19601,000,000,10/01/2010,-38.961082,-4.444447
Ceará,PESQUEIRO,903,19601,000,000,11/01/2010,-38.961082,-4.444447
Ceará,PESQUEIRO,903,19601,000,000,12/01/2010,-38.961082,-4.444447
Ceará,PESQUEIRO,903,19601,000,000,13/01/2010,-38.961082,-4.444447
Ceará,PESQUEIRO,903,19579,000,000,14/05/2010,-38.961082,-4.444447
Ceará,PESQUEIRO,903,19578,000,000,15/05/2010,-38.961082,-4.444447
Ceará,PESQUEIRO,903,19578,000,000,16/05/2010,-38.961082,-4.444447
Ceará,PESQUEIRO,903,19577,000,000,17/05/2010,-38.961082,-4.444447
Ceará,PESQUEIRO,903,19577,000,000,18/05/2010,-38.961082,-4.444447
Ceará,PESQUEIRO,903,19576,000,000,19/05/2010,-38.961082,-4.444447
Ceará,PESQUEIRO,903,19576,000,000,20/05/2010,-38.961082,-4.444447
Ceará,PESQUEIRO,903,19575,000,000,21/05/2010,-38.961082,-4.444447
Ceará,PESQUEIRO,903,19575,000,000,22/05/2010,-38.961082,-4.444447
Ceará,PESQUEIRO,903,19575,000,000,23/05/2010,-38.961082,-4.444447
Ceará,PESQUEIRO,903,19574,000,000,24/05/2010,-38.961082,-4.444447
Ceará,PESQUEIRO,903,19574,000,000,25/05/2010,-38.961082,-4.444447
Ceará,PESQUEIRO,903,19572,000,000,26/05/2010,-38.961082,-4.444447
Ceará,PESQUEIRO,903,19571,000,000,27/05/2010,-38.961082,-4.444447
Ceará,PESQUEIRO,903,19570,000,000,28/05/2010,-38.961082,-4.444447
Ceará,PESQUEIRO,903,19569,000,000,29/05/2010,-38.961082,-4.444447
Ceará,PESQUEIRO,903,19568,000,000,30/05/2010,-38.961082,-4.444447
Ceará,PESQUEIRO,903,19567,000,000,31/05/2010,-38.961082,-4.444447
Ceará,PESQUEIRO,903,19566,000,000,01/06/2010,-38.961082,-4.444447
Ceará,PESQUEIRO,903,19566,000,000,02/06/2010,-38.961082,-4.444447
Ceará,PESQUEIRO,903,19565,000,000,03/06/2010,-38.961082,-4.444447
Ceará,PESQUEIRO,903,19565,000,000,04/06/2010,-38.961082,-4.444447
Ceará,PESQUEIRO,903,19568,000,000,05/06/2010,-38.961082,-4.444447
Ceará,PESQUEIRO,903,19572,000,000,06/06/2010,-38.961082,-4.444447
Ceará,PESQUEIRO,903,19572,000,000,07/06/2010,-38.961082,-4.444447
Ceará,PESQUEIRO,903,19572,000,000,08/06/2010,-38.961082,-4.444447
Ceará,PESQUEIRO,903,19571,000,000,09/06/2010,-38.961082,-4.444447
Ceará,PESQUEIRO,903,19570,000,000,10/06/2010,-38.961082,-4.444447
Ceará,PESQUEIRO,903,19570,000,000,11/06/2010,-38.961082,-4.444447
Ceará,PESQUEIRO,903,19569,000,000,12/06/2010,-38.961082,-4.444447
Ceará,PESQUEIRO,903,19557,000,000,30/06/2010,-38.961082,-4.444447
Ceará,PESQUEIRO,903,19556,000,000,01/07/2010,-38.961082,-4.444447
Ceará,PESQUEIRO,903,19556,000,000,02/07/2010,-38.961082,-4.444447
Ceará,PESQUEIRO,903,19555,000,000,03/07/2010,-38.961082,-4.444447
Ceará,PESQUEIRO,903,19554,000,000,04/07/2010,-38.961082,-4.444447
Ceará,PESQUEIRO,903,19553,000,000,05/07/2010,-38.961082,-4.444447
Ceará,PESQUEIRO,903,19552,000,000,06/07/2010,-38.961082,-4.444447
