Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,POMPEU SOBRINHO,14300,000,3530,2469,01/01/1983,-39.1409573634,-4.8383462558899994
Ceará,POMPEU SOBRINHO,14300,000,3240,2266,01/06/1983,-39.1409573634,-4.8383462558899994
Ceará,POMPEU SOBRINHO,14300,20945,2890,2021,15/08/1983,-39.1409573634,-4.8383462558899994
Ceará,POMPEU SOBRINHO,14300,20913,2666,1864,15/09/1983,-39.1409573634,-4.8383462558899994
Ceará,POMPEU SOBRINHO,14300,000,1969,1377,31/12/1983,-39.1409573634,-4.8383462558899994
Ceará,POMPEU SOBRINHO,14300,000,14300,10000,13/05/1989,-39.1409573634,-4.8383462558899994
Ceará,POMPEU SOBRINHO,14300,000,8559,5985,02/04/1992,-39.1409573634,-4.8383462558899994
Ceará,POMPEU SOBRINHO,14300,000,9717,6795,10/05/1992,-39.1409573634,-4.8383462558899994
Ceará,POMPEU SOBRINHO,14300,000,9413,6582,05/10/1992,-39.1409573634,-4.8383462558899994
Ceará,POMPEU SOBRINHO,14300,000,1819,1272,15/03/1994,-39.1409573634,-4.8383462558899994
Ceará,POMPEU SOBRINHO,14300,000,000,000,02/01/1995,-39.1409573634,-4.8383462558899994
Ceará,POMPEU SOBRINHO,14300,20984,3198,2236,25/08/1997,-39.1409573634,-4.8383462558899994
Ceará,POMPEU SOBRINHO,14300,000,3016,2109,01/09/1997,-39.1409573634,-4.8383462558899994
Ceará,POMPEU SOBRINHO,14300,000,2904,2031,15/09/1997,-39.1409573634,-4.8383462558899994
Ceará,POMPEU SOBRINHO,14300,20928,2771,1938,29/09/1997,-39.1409573634,-4.8383462558899994
Ceará,POMPEU SOBRINHO,14300,000,2771,1938,06/10/1997,-39.1409573634,-4.8383462558899994
Ceará,POMPEU SOBRINHO,14300,000,2771,1938,27/10/1997,-39.1409573634,-4.8383462558899994
Ceará,POMPEU SOBRINHO,14300,20894,2542,1778,06/11/1997,-39.1409573634,-4.8383462558899994
Ceará,POMPEU SOBRINHO,14300,20894,2542,1778,26/11/1997,-39.1409573634,-4.8383462558899994
Ceará,POMPEU SOBRINHO,14300,20861,2361,1651,18/12/1997,-39.1409573634,-4.8383462558899994
Ceará,POMPEU SOBRINHO,14300,20861,2361,1651,31/12/1997,-39.1409573634,-4.8383462558899994
Ceará,POMPEU SOBRINHO,14300,20834,2212,1547,17/01/1998,-39.1409573634,-4.8383462558899994
Ceará,POMPEU SOBRINHO,14300,20834,2212,1547,30/01/1998,-39.1409573634,-4.8383462558899994
Ceará,POMPEU SOBRINHO,14300,000,2168,1516,12/02/1998,-39.1409573634,-4.8383462558899994
Ceará,POMPEU SOBRINHO,14300,20826,2168,1516,26/02/1998,-39.1409573634,-4.8383462558899994
Ceará,POMPEU SOBRINHO,14300,000,2168,1516,28/02/1998,-39.1409573634,-4.8383462558899994
Ceará,POMPEU SOBRINHO,14300,20810,2080,1455,05/03/1998,-39.1409573634,-4.8383462558899994
Ceará,POMPEU SOBRINHO,14300,000,2080,1455,18/03/1998,-39.1409573634,-4.8383462558899994
Ceará,POMPEU SOBRINHO,14300,000,2080,1455,02/04/1998,-39.1409573634,-4.8383462558899994
Ceará,POMPEU SOBRINHO,14300,000,2047,1431,16/04/1998,-39.1409573634,-4.8383462558899994
Ceará,POMPEU SOBRINHO,14300,20804,2047,1431,23/04/1998,-39.1409573634,-4.8383462558899994
Ceará,POMPEU SOBRINHO,14300,000,1964,1374,20/05/1998,-39.1409573634,-4.8383462558899994
Ceará,POMPEU SOBRINHO,14300,000,1964,1374,30/05/1998,-39.1409573634,-4.8383462558899994
Ceará,POMPEU SOBRINHO,14300,20760,1838,1285,03/06/1998,-39.1409573634,-4.8383462558899994
Ceará,POMPEU SOBRINHO,14300,000,1838,1285,10/06/1998,-39.1409573634,-4.8383462558899994
Ceará,POMPEU SOBRINHO,14300,000,1759,1230,25/06/1998,-39.1409573634,-4.8383462558899994
Ceará,POMPEU SOBRINHO,14300,20743,1759,1230,02/07/1998,-39.1409573634,-4.8383462558899994
Ceará,POMPEU SOBRINHO,14300,000,1735,1213,17/07/1998,-39.1409573634,-4.8383462558899994
Ceará,POMPEU SOBRINHO,14300,000,1600,1119,08/10/1998,-39.1409573634,-4.8383462558899994
Ceará,POMPEU SOBRINHO,14300,000,1600,1119,28/01/1999,-39.1409573634,-4.8383462558899994
Ceará,POMPEU SOBRINHO,14300,000,3530,2469,30/01/1999,-39.1409573634,-4.8383462558899994
Ceará,POMPEU SOBRINHO,14300,000,3365,2353,28/02/1999,-39.1409573634,-4.8383462558899994
Ceará,POMPEU SOBRINHO,14300,000,1600,1119,04/03/1999,-39.1409573634,-4.8383462558899994
Ceará,POMPEU SOBRINHO,14300,000,3380,2364,30/03/1999,-39.1409573634,-4.8383462558899994
Ceará,POMPEU SOBRINHO,14300,000,1600,1119,01/04/1999,-39.1409573634,-4.8383462558899994
Ceará,POMPEU SOBRINHO,14300,000,1600,1119,22/04/1999,-39.1409573634,-4.8383462558899994
Ceará,POMPEU SOBRINHO,14300,000,1600,1119,29/04/1999,-39.1409573634,-4.8383462558899994
Ceará,POMPEU SOBRINHO,14300,000,3410,2385,30/04/1999,-39.1409573634,-4.8383462558899994
Ceará,POMPEU SOBRINHO,14300,000,1600,1119,13/05/1999,-39.1409573634,-4.8383462558899994
Ceará,POMPEU SOBRINHO,14300,000,1600,1119,27/05/1999,-39.1409573634,-4.8383462558899994
Ceará,POMPEU SOBRINHO,14300,000,3380,2364,30/05/1999,-39.1409573634,-4.8383462558899994
Ceará,POMPEU SOBRINHO,14300,000,1600,1119,02/06/1999,-39.1409573634,-4.8383462558899994
Ceará,POMPEU SOBRINHO,14300,000,1600,1119,24/06/1999,-39.1409573634,-4.8383462558899994
Ceará,POMPEU SOBRINHO,14300,000,3240,2266,30/06/1999,-39.1409573634,-4.8383462558899994
Ceará,POMPEU SOBRINHO,14300,000,1600,1119,22/07/1999,-39.1409573634,-4.8383462558899994
Ceará,POMPEU SOBRINHO,14300,000,1306,913,29/07/1999,-39.1409573634,-4.8383462558899994
