Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,POTIRETAMA,633,9764,000,000,01/01/2010,-38.1681776,-5.7228775
Ceará,POTIRETAMA,633,9764,000,000,02/01/2010,-38.1681776,-5.7228775
Ceará,POTIRETAMA,633,9764,000,000,03/01/2010,-38.1681776,-5.7228775
Ceará,POTIRETAMA,633,9764,000,000,04/01/2010,-38.1681776,-5.7228775
Ceará,POTIRETAMA,633,9763,000,000,05/01/2010,-38.1681776,-5.7228775
Ceará,POTIRETAMA,633,9763,000,000,06/01/2010,-38.1681776,-5.7228775
Ceará,POTIRETAMA,633,9763,000,000,07/01/2010,-38.1681776,-5.7228775
Ceará,POTIRETAMA,633,9763,000,000,08/01/2010,-38.1681776,-5.7228775
Ceará,POTIRETAMA,633,9762,000,000,09/01/2010,-38.1681776,-5.7228775
Ceará,POTIRETAMA,633,9762,000,000,10/01/2010,-38.1681776,-5.7228775
Ceará,POTIRETAMA,633,9761,000,000,11/01/2010,-38.1681776,-5.7228775
Ceará,POTIRETAMA,633,9760,000,000,12/01/2010,-38.1681776,-5.7228775
Ceará,POTIRETAMA,633,9760,000,000,13/01/2010,-38.1681776,-5.7228775
Ceará,POTIRETAMA,633,9718,000,000,14/05/2010,-38.1681776,-5.7228775
Ceará,POTIRETAMA,633,9718,000,000,15/05/2010,-38.1681776,-5.7228775
Ceará,POTIRETAMA,633,9718,000,000,16/05/2010,-38.1681776,-5.7228775
Ceará,POTIRETAMA,633,9717,000,000,17/05/2010,-38.1681776,-5.7228775
Ceará,POTIRETAMA,633,9716,000,000,18/05/2010,-38.1681776,-5.7228775
Ceará,POTIRETAMA,633,9715,000,000,19/05/2010,-38.1681776,-5.7228775
Ceará,POTIRETAMA,633,9715,000,000,20/05/2010,-38.1681776,-5.7228775
Ceará,POTIRETAMA,633,9714,000,000,21/05/2010,-38.1681776,-5.7228775
Ceará,POTIRETAMA,633,9713,000,000,22/05/2010,-38.1681776,-5.7228775
Ceará,POTIRETAMA,633,9712,000,000,23/05/2010,-38.1681776,-5.7228775
Ceará,POTIRETAMA,633,9712,000,000,24/05/2010,-38.1681776,-5.7228775
Ceará,POTIRETAMA,633,9712,000,000,25/05/2010,-38.1681776,-5.7228775
Ceará,POTIRETAMA,633,9710,000,000,26/05/2010,-38.1681776,-5.7228775
Ceará,POTIRETAMA,633,9709,000,000,27/05/2010,-38.1681776,-5.7228775
Ceará,POTIRETAMA,633,9709,000,000,28/05/2010,-38.1681776,-5.7228775
Ceará,POTIRETAMA,633,9708,000,000,29/05/2010,-38.1681776,-5.7228775
Ceará,POTIRETAMA,633,9708,000,000,30/05/2010,-38.1681776,-5.7228775
Ceará,POTIRETAMA,633,9707,000,000,31/05/2010,-38.1681776,-5.7228775
Ceará,POTIRETAMA,633,9706,000,000,01/06/2010,-38.1681776,-5.7228775
Ceará,POTIRETAMA,633,9705,000,000,02/06/2010,-38.1681776,-5.7228775
Ceará,POTIRETAMA,633,9705,000,000,03/06/2010,-38.1681776,-5.7228775
Ceará,POTIRETAMA,633,9704,000,000,04/06/2010,-38.1681776,-5.7228775
Ceará,POTIRETAMA,633,9703,000,000,05/06/2010,-38.1681776,-5.7228775
Ceará,POTIRETAMA,633,9703,000,000,06/06/2010,-38.1681776,-5.7228775
Ceará,POTIRETAMA,633,9703,000,000,07/06/2010,-38.1681776,-5.7228775
Ceará,POTIRETAMA,633,9702,000,000,08/06/2010,-38.1681776,-5.7228775
Ceará,POTIRETAMA,633,9701,000,000,09/06/2010,-38.1681776,-5.7228775
Ceará,POTIRETAMA,633,9701,000,000,10/06/2010,-38.1681776,-5.7228775
Ceará,POTIRETAMA,633,9700,000,000,11/06/2010,-38.1681776,-5.7228775
Ceará,POTIRETAMA,633,9699,000,000,12/06/2010,-38.1681776,-5.7228775
Ceará,POTIRETAMA,633,9689,000,000,30/06/2010,-38.1681776,-5.7228775
Ceará,POTIRETAMA,633,9688,000,000,01/07/2010,-38.1681776,-5.7228775
Ceará,POTIRETAMA,633,9687,000,000,02/07/2010,-38.1681776,-5.7228775
Ceará,POTIRETAMA,633,9686,000,000,03/07/2010,-38.1681776,-5.7228775
Ceará,POTIRETAMA,633,9686,000,000,04/07/2010,-38.1681776,-5.7228775
Ceará,POTIRETAMA,633,9685,000,000,05/07/2010,-38.1681776,-5.7228775
Ceará,POTIRETAMA,633,9684,000,000,06/07/2010,-38.1681776,-5.7228775
Ceará,POTIRETAMA,633,9684,000,000,07/07/2010,-38.1681776,-5.7228775
Ceará,POTIRETAMA,633,9683,000,000,08/07/2010,-38.1681776,-5.7228775
Ceará,POTIRETAMA,633,9682,000,000,09/07/2010,-38.1681776,-5.7228775
Ceará,POTIRETAMA,633,9681,000,000,10/07/2010,-38.1681776,-5.7228775
Ceará,POTIRETAMA,633,9681,000,000,11/07/2010,-38.1681776,-5.7228775
Ceará,POTIRETAMA,633,9680,000,000,12/07/2010,-38.1681776,-5.7228775
Ceará,POTIRETAMA,633,9679,000,000,13/07/2010,-38.1681776,-5.7228775
Ceará,POTIRETAMA,633,9678,000,000,14/07/2010,-38.1681776,-5.7228775
