Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,POÇO DA PEDRA,5200,000,1899,3652,01/01/1983,-40.3559822646,-6.98372899185
Ceará,POÇO DA PEDRA,5200,000,1540,2961,01/06/1983,-40.3559822646,-6.98372899185
Ceará,POÇO DA PEDRA,5200,000,951,1828,31/12/1983,-40.3559822646,-6.98372899185
Ceará,POÇO DA PEDRA,5200,000,000,000,02/01/1995,-40.3559822646,-6.98372899185
Ceará,POÇO DA PEDRA,5200,53525,1229,2362,25/08/1997,-40.3559822646,-6.98372899185
Ceará,POÇO DA PEDRA,5200,000,1229,2362,01/09/1997,-40.3559822646,-6.98372899185
Ceará,POÇO DA PEDRA,5200,000,1229,2362,15/09/1997,-40.3559822646,-6.98372899185
Ceará,POÇO DA PEDRA,5200,53525,1229,2362,29/09/1997,-40.3559822646,-6.98372899185
Ceará,POÇO DA PEDRA,5200,000,1229,2362,06/10/1997,-40.3559822646,-6.98372899185
Ceará,POÇO DA PEDRA,5200,000,1215,2336,27/10/1997,-40.3559822646,-6.98372899185
Ceará,POÇO DA PEDRA,5200,53522,1215,2336,06/11/1997,-40.3559822646,-6.98372899185
Ceará,POÇO DA PEDRA,5200,53522,1215,2336,26/11/1997,-40.3559822646,-6.98372899185
Ceará,POÇO DA PEDRA,5200,53522,1215,2336,03/12/1997,-40.3559822646,-6.98372899185
Ceará,POÇO DA PEDRA,5200,53493,1099,2114,18/12/1997,-40.3559822646,-6.98372899185
Ceará,POÇO DA PEDRA,5200,53493,1099,2114,31/12/1997,-40.3559822646,-6.98372899185
Ceará,POÇO DA PEDRA,5200,53493,1099,2114,17/01/1998,-40.3559822646,-6.98372899185
Ceará,POÇO DA PEDRA,5200,53493,1099,2114,30/01/1998,-40.3559822646,-6.98372899185
Ceará,POÇO DA PEDRA,5200,000,1099,2114,12/02/1998,-40.3559822646,-6.98372899185
Ceará,POÇO DA PEDRA,5200,53493,1099,2114,26/02/1998,-40.3559822646,-6.98372899185
Ceará,POÇO DA PEDRA,5200,000,1099,2114,28/02/1998,-40.3559822646,-6.98372899185
Ceará,POÇO DA PEDRA,5200,53493,1099,2114,05/03/1998,-40.3559822646,-6.98372899185
Ceará,POÇO DA PEDRA,5200,000,1099,2114,18/03/1998,-40.3559822646,-6.98372899185
Ceará,POÇO DA PEDRA,5200,000,1038,1996,02/04/1998,-40.3559822646,-6.98372899185
Ceará,POÇO DA PEDRA,5200,000,1038,1996,16/04/1998,-40.3559822646,-6.98372899185
Ceará,POÇO DA PEDRA,5200,53458,1038,1996,23/04/1998,-40.3559822646,-6.98372899185
Ceará,POÇO DA PEDRA,5200,53458,1038,1996,14/05/1998,-40.3559822646,-6.98372899185
Ceará,POÇO DA PEDRA,5200,000,1038,1996,20/05/1998,-40.3559822646,-6.98372899185
Ceará,POÇO DA PEDRA,5200,000,1038,1996,30/05/1998,-40.3559822646,-6.98372899185
Ceará,POÇO DA PEDRA,5200,53458,1038,1996,03/06/1998,-40.3559822646,-6.98372899185
Ceará,POÇO DA PEDRA,5200,000,1038,1996,10/06/1998,-40.3559822646,-6.98372899185
Ceará,POÇO DA PEDRA,5200,000,1038,1996,25/06/1998,-40.3559822646,-6.98372899185
Ceará,POÇO DA PEDRA,5200,53458,1038,1996,02/07/1998,-40.3559822646,-6.98372899185
Ceará,POÇO DA PEDRA,5200,000,1038,1996,17/07/1998,-40.3559822646,-6.98372899185
Ceará,POÇO DA PEDRA,5200,000,1038,1996,06/08/1998,-40.3559822646,-6.98372899185
Ceará,POÇO DA PEDRA,5200,000,1038,1996,27/08/1998,-40.3559822646,-6.98372899185
Ceará,POÇO DA PEDRA,5200,53458,1038,1996,03/09/1998,-40.3559822646,-6.98372899185
Ceará,POÇO DA PEDRA,5200,000,1038,1996,10/09/1998,-40.3559822646,-6.98372899185
Ceará,POÇO DA PEDRA,5200,53458,1038,1996,17/09/1998,-40.3559822646,-6.98372899185
Ceará,POÇO DA PEDRA,5200,53458,1038,1996,08/10/1998,-40.3559822646,-6.98372899185
Ceará,POÇO DA PEDRA,5200,53458,1038,1996,22/10/1998,-40.3559822646,-6.98372899185
Ceará,POÇO DA PEDRA,5200,000,1038,1996,29/10/1998,-40.3559822646,-6.98372899185
Ceará,POÇO DA PEDRA,5200,53458,1038,1996,05/11/1998,-40.3559822646,-6.98372899185
Ceará,POÇO DA PEDRA,5200,53458,1038,1996,19/11/1998,-40.3559822646,-6.98372899185
Ceará,POÇO DA PEDRA,5200,000,1031,1982,26/11/1998,-40.3559822646,-6.98372899185
Ceará,POÇO DA PEDRA,5200,53458,1038,1996,24/12/1998,-40.3559822646,-6.98372899185
Ceará,POÇO DA PEDRA,5200,000,1038,1996,31/12/1998,-40.3559822646,-6.98372899185
Ceará,POÇO DA PEDRA,5200,000,1038,1996,07/01/1999,-40.3559822646,-6.98372899185
Ceará,POÇO DA PEDRA,5200,000,1038,1996,14/01/1999,-40.3559822646,-6.98372899185
Ceará,POÇO DA PEDRA,5200,53458,1038,1996,28/01/1999,-40.3559822646,-6.98372899185
Ceará,POÇO DA PEDRA,5200,000,1862,3581,30/01/1999,-40.3559822646,-6.98372899185
Ceará,POÇO DA PEDRA,5200,53458,1038,1996,04/02/1999,-40.3559822646,-6.98372899185
Ceará,POÇO DA PEDRA,5200,000,1802,3465,28/02/1999,-40.3559822646,-6.98372899185
Ceará,POÇO DA PEDRA,5200,000,640,1231,25/03/1999,-40.3559822646,-6.98372899185
Ceará,POÇO DA PEDRA,5200,000,1779,3421,30/03/1999,-40.3559822646,-6.98372899185
Ceará,POÇO DA PEDRA,5200,53233,640,1231,01/04/1999,-40.3559822646,-6.98372899185
Ceará,POÇO DA PEDRA,5200,000,640,1231,22/04/1999,-40.3559822646,-6.98372899185
