Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,POÇO DO BARRO,5200,000,2390,4596,01/01/1983,-38.4595984652,-5.382572887669999
Ceará,POÇO DO BARRO,5200,000,1867,3590,01/06/1983,-38.4595984652,-5.382572887669999
Ceará,POÇO DO BARRO,5200,11500,1839,3536,15/08/1983,-38.4595984652,-5.382572887669999
Ceará,POÇO DO BARRO,5200,11468,1718,3304,15/09/1983,-38.4595984652,-5.382572887669999
Ceará,POÇO DO BARRO,5200,000,1057,2032,31/12/1983,-38.4595984652,-5.382572887669999
Ceará,POÇO DO BARRO,5200,000,3845,7394,10/05/1992,-38.4595984652,-5.382572887669999
Ceará,POÇO DO BARRO,5200,000,2776,5338,05/10/1992,-38.4595984652,-5.382572887669999
Ceará,POÇO DO BARRO,5200,000,770,1480,15/03/1994,-38.4595984652,-5.382572887669999
Ceará,POÇO DO BARRO,5200,1502,1848,3555,02/01/1995,-38.4595984652,-5.382572887669999
Ceará,POÇO DO BARRO,5200,1630,2460,4731,25/08/1997,-38.4595984652,-5.382572887669999
Ceará,POÇO DO BARRO,5200,000,2375,4567,01/09/1997,-38.4595984652,-5.382572887669999
Ceará,POÇO DO BARRO,5200,000,2232,4292,15/09/1997,-38.4595984652,-5.382572887669999
Ceará,POÇO DO BARRO,5200,1548,2051,3944,29/09/1997,-38.4595984652,-5.382572887669999
Ceará,POÇO DO BARRO,5200,000,1988,3823,06/10/1997,-38.4595984652,-5.382572887669999
Ceará,POÇO DO BARRO,5200,000,1798,3458,27/10/1997,-38.4595984652,-5.382572887669999
Ceará,POÇO DO BARRO,5200,1471,1729,3324,06/11/1997,-38.4595984652,-5.382572887669999
Ceará,POÇO DO BARRO,5200,1433,1589,3056,26/11/1997,-38.4595984652,-5.382572887669999
Ceará,POÇO DO BARRO,5200,1433,1589,3056,03/12/1997,-38.4595984652,-5.382572887669999
Ceará,POÇO DO BARRO,5200,1389,1432,2753,18/12/1997,-38.4595984652,-5.382572887669999
Ceará,POÇO DO BARRO,5200,1369,1362,2618,31/12/1997,-38.4595984652,-5.382572887669999
Ceará,POÇO DO BARRO,5200,1355,1313,2524,17/01/1998,-38.4595984652,-5.382572887669999
Ceará,POÇO DO BARRO,5200,1346,1282,2465,30/01/1998,-38.4595984652,-5.382572887669999
Ceará,POÇO DO BARRO,5200,000,1275,2452,12/02/1998,-38.4595984652,-5.382572887669999
Ceará,POÇO DO BARRO,5200,1329,1227,2359,26/02/1998,-38.4595984652,-5.382572887669999
Ceará,POÇO DO BARRO,5200,000,1227,2359,28/02/1998,-38.4595984652,-5.382572887669999
Ceará,POÇO DO BARRO,5200,1316,1182,2273,05/03/1998,-38.4595984652,-5.382572887669999
Ceará,POÇO DO BARRO,5200,000,1077,2072,18/03/1998,-38.4595984652,-5.382572887669999
Ceará,POÇO DO BARRO,5200,000,1065,2048,02/04/1998,-38.4595984652,-5.382572887669999
Ceará,POÇO DO BARRO,5200,000,1018,1958,16/04/1998,-38.4595984652,-5.382572887669999
Ceará,POÇO DO BARRO,5200,1257,1003,1929,23/04/1998,-38.4595984652,-5.382572887669999
Ceará,POÇO DO BARRO,5200,1237,948,1822,14/05/1998,-38.4595984652,-5.382572887669999
Ceará,POÇO DO BARRO,5200,000,905,1740,20/05/1998,-38.4595984652,-5.382572887669999
Ceará,POÇO DO BARRO,5200,000,855,1645,30/05/1998,-38.4595984652,-5.382572887669999
Ceará,POÇO DO BARRO,5200,1104,642,1235,06/06/1998,-38.4595984652,-5.382572887669999
Ceará,POÇO DO BARRO,5200,000,642,1235,10/06/1998,-38.4595984652,-5.382572887669999
Ceará,POÇO DO BARRO,5200,000,576,1108,25/06/1998,-38.4595984652,-5.382572887669999
Ceará,POÇO DO BARRO,5200,1058,557,1071,02/07/1998,-38.4595984652,-5.382572887669999
Ceará,POÇO DO BARRO,5200,000,523,1005,17/07/1998,-38.4595984652,-5.382572887669999
Ceará,POÇO DO BARRO,5200,000,400,769,06/08/1998,-38.4595984652,-5.382572887669999
Ceará,POÇO DO BARRO,5200,000,359,690,27/08/1998,-38.4595984652,-5.382572887669999
Ceará,POÇO DO BARRO,5200,919,359,690,03/09/1998,-38.4595984652,-5.382572887669999
Ceará,POÇO DO BARRO,5200,000,341,655,10/09/1998,-38.4595984652,-5.382572887669999
Ceará,POÇO DO BARRO,5200,950,341,655,17/09/1998,-38.4595984652,-5.382572887669999
Ceará,POÇO DO BARRO,5200,897,331,637,08/10/1998,-38.4595984652,-5.382572887669999
Ceará,POÇO DO BARRO,5200,811,236,454,22/10/1998,-38.4595984652,-5.382572887669999
Ceará,POÇO DO BARRO,5200,000,236,454,29/10/1998,-38.4595984652,-5.382572887669999
Ceará,POÇO DO BARRO,5200,811,236,454,05/11/1998,-38.4595984652,-5.382572887669999
Ceará,POÇO DO BARRO,5200,811,236,454,19/11/1998,-38.4595984652,-5.382572887669999
Ceará,POÇO DO BARRO,5200,000,236,454,26/11/1998,-38.4595984652,-5.382572887669999
Ceará,POÇO DO BARRO,5200,811,236,454,24/12/1998,-38.4595984652,-5.382572887669999
Ceará,POÇO DO BARRO,5200,000,236,454,31/12/1998,-38.4595984652,-5.382572887669999
Ceará,POÇO DO BARRO,5200,000,236,454,07/01/1999,-38.4595984652,-5.382572887669999
Ceará,POÇO DO BARRO,5200,000,236,454,14/01/1999,-38.4595984652,-5.382572887669999
Ceará,POÇO DO BARRO,5200,811,236,454,28/01/1999,-38.4595984652,-5.382572887669999
Ceará,POÇO DO BARRO,5200,000,2390,4596,30/01/1999,-38.4595984652,-5.382572887669999
Ceará,POÇO DO BARRO,5200,811,236,454,04/02/1999,-38.4595984652,-5.382572887669999
Ceará,POÇO DO BARRO,5200,000,2227,4283,28/02/1999,-38.4595984652,-5.382572887669999
Ceará,POÇO DO BARRO,5200,000,100,192,04/03/1999,-38.4595984652,-5.382572887669999
Ceará,POÇO DO BARRO,5200,000,290,558,25/03/1999,-38.4595984652,-5.382572887669999
Ceará,POÇO DO BARRO,5200,000,2187,4206,30/03/1999,-38.4595984652,-5.382572887669999
Ceará,POÇO DO BARRO,5200,10871,290,558,01/04/1999,-38.4595984652,-5.382572887669999
Ceará,POÇO DO BARRO,5200,000,290,558,22/04/1999,-38.4595984652,-5.382572887669999
Ceará,POÇO DO BARRO,5200,000,290,558,29/04/1999,-38.4595984652,-5.382572887669999
Ceará,POÇO DO BARRO,5200,000,1838,3535,30/04/1999,-38.4595984652,-5.382572887669999
Ceará,POÇO DO BARRO,5200,000,506,973,13/05/1999,-38.4595984652,-5.382572887669999
Ceará,POÇO DO BARRO,5200,11270,1050,2019,27/05/1999,-38.4595984652,-5.382572887669999
Ceará,POÇO DO BARRO,5200,000,2316,4454,30/05/1999,-38.4595984652,-5.382572887669999
Ceará,POÇO DO BARRO,5200,11270,1050,2019,02/06/1999,-38.4595984652,-5.382572887669999
Ceará,POÇO DO BARRO,5200,000,1386,2665,24/06/1999,-38.4595984652,-5.382572887669999
Ceará,POÇO DO BARRO,5200,000,2183,4198,30/06/1999,-38.4595984652,-5.382572887669999
Ceará,POÇO DO BARRO,5200,000,1256,2415,29/07/1999,-38.4595984652,-5.382572887669999
Ceará,POÇO DO BARRO,5200,000,2037,3917,30/07/1999,-38.4595984652,-5.382572887669999
Ceará,POÇO DO BARRO,5200,1338,1256,2415,05/08/1999,-38.4595984652,-5.382572887669999
Ceará,POÇO DO BARRO,5200,1338,1256,2415,12/08/1999,-38.4595984652,-5.382572887669999
Ceará,POÇO DO BARRO,5200,000,1837,3533,30/08/1999,-38.4595984652,-5.382572887669999
Ceará,POÇO DO BARRO,5200,000,1039,1998,23/09/1999,-38.4595984652,-5.382572887669999
