Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,POÇO VERDE,1365,6659,000,000,01/01/2010,-39.6295223261,-3.4387212627900006
Ceará,POÇO VERDE,1365,6658,000,000,02/01/2010,-39.6295223261,-3.4387212627900006
Ceará,POÇO VERDE,1365,6657,000,000,03/01/2010,-39.6295223261,-3.4387212627900006
Ceará,POÇO VERDE,1365,6656,000,000,04/01/2010,-39.6295223261,-3.4387212627900006
Ceará,POÇO VERDE,1365,6655,000,000,05/01/2010,-39.6295223261,-3.4387212627900006
Ceará,POÇO VERDE,1365,6654,000,000,06/01/2010,-39.6295223261,-3.4387212627900006
Ceará,POÇO VERDE,1365,6653,000,000,07/01/2010,-39.6295223261,-3.4387212627900006
Ceará,POÇO VERDE,1365,6650,000,000,08/01/2010,-39.6295223261,-3.4387212627900006
Ceará,POÇO VERDE,1365,6651,000,000,09/01/2010,-39.6295223261,-3.4387212627900006
Ceará,POÇO VERDE,1365,6650,000,000,10/01/2010,-39.6295223261,-3.4387212627900006
Ceará,POÇO VERDE,1365,6649,000,000,11/01/2010,-39.6295223261,-3.4387212627900006
Ceará,POÇO VERDE,1365,6648,000,000,12/01/2010,-39.6295223261,-3.4387212627900006
Ceará,POÇO VERDE,1365,6647,000,000,13/01/2010,-39.6295223261,-3.4387212627900006
Ceará,POÇO VERDE,1365,6592,000,000,14/05/2010,-39.6295223261,-3.4387212627900006
Ceará,POÇO VERDE,1365,6591,000,000,15/05/2010,-39.6295223261,-3.4387212627900006
Ceará,POÇO VERDE,1365,6590,000,000,16/05/2010,-39.6295223261,-3.4387212627900006
Ceará,POÇO VERDE,1365,6589,000,000,17/05/2010,-39.6295223261,-3.4387212627900006
Ceará,POÇO VERDE,1365,6588,000,000,18/05/2010,-39.6295223261,-3.4387212627900006
Ceará,POÇO VERDE,1365,6587,000,000,19/05/2010,-39.6295223261,-3.4387212627900006
Ceará,POÇO VERDE,1365,6586,000,000,20/05/2010,-39.6295223261,-3.4387212627900006
Ceará,POÇO VERDE,1365,6585,000,000,21/05/2010,-39.6295223261,-3.4387212627900006
Ceará,POÇO VERDE,1365,6584,000,000,22/05/2010,-39.6295223261,-3.4387212627900006
Ceará,POÇO VERDE,1365,6583,000,000,23/05/2010,-39.6295223261,-3.4387212627900006
Ceará,POÇO VERDE,1365,6583,000,000,24/05/2010,-39.6295223261,-3.4387212627900006
Ceará,POÇO VERDE,1365,6582,000,000,25/05/2010,-39.6295223261,-3.4387212627900006
Ceará,POÇO VERDE,1365,6582,000,000,26/05/2010,-39.6295223261,-3.4387212627900006
Ceará,POÇO VERDE,1365,6583,000,000,27/05/2010,-39.6295223261,-3.4387212627900006
Ceará,POÇO VERDE,1365,6583,000,000,28/05/2010,-39.6295223261,-3.4387212627900006
Ceará,POÇO VERDE,1365,6582,000,000,29/05/2010,-39.6295223261,-3.4387212627900006
Ceará,POÇO VERDE,1365,6581,000,000,30/05/2010,-39.6295223261,-3.4387212627900006
Ceará,POÇO VERDE,1365,6581,000,000,31/05/2010,-39.6295223261,-3.4387212627900006
Ceará,POÇO VERDE,1365,6581,000,000,01/06/2010,-39.6295223261,-3.4387212627900006
Ceará,POÇO VERDE,1365,6580,000,000,02/06/2010,-39.6295223261,-3.4387212627900006
Ceará,POÇO VERDE,1365,6580,000,000,03/06/2010,-39.6295223261,-3.4387212627900006
Ceará,POÇO VERDE,1365,6580,000,000,04/06/2010,-39.6295223261,-3.4387212627900006
Ceará,POÇO VERDE,1365,6580,000,000,05/06/2010,-39.6295223261,-3.4387212627900006
Ceará,POÇO VERDE,1365,6579,000,000,06/06/2010,-39.6295223261,-3.4387212627900006
Ceará,POÇO VERDE,1365,6579,000,000,07/06/2010,-39.6295223261,-3.4387212627900006
