Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,PRAZERES,3250,000,680,2092,10/05/1992,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,000,530,1632,05/10/1992,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,000,3250,10000,15/03/1994,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,000,000,000,02/01/1995,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,8897,1553,4778,25/08/1997,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,000,1553,4778,01/09/1997,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,000,1553,4778,15/09/1997,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,8897,1553,4778,29/09/1997,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,000,1553,4778,06/10/1997,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,000,1261,3879,27/10/1997,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,8643,1261,3879,06/11/1997,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,8643,1261,3879,26/11/1997,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,8643,1261,3879,03/12/1997,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,8402,990,3045,18/12/1997,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,8402,990,3045,31/12/1997,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,8402,990,3045,17/01/1998,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,5402,990,3045,30/01/1998,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,000,990,3045,12/02/1998,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,8402,990,3045,26/02/1998,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,000,990,3045,28/02/1998,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,8402,990,3045,05/03/1998,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,000,990,3045,18/03/1998,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,000,852,2622,02/04/1998,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,000,852,2622,16/04/1998,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,8250,852,2622,23/04/1998,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,8250,852,2622,14/05/1998,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,000,852,2622,20/05/1998,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,000,852,2622,30/05/1998,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,8250,852,2622,03/06/1998,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,000,852,2622,10/06/1998,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,000,852,2622,25/06/1998,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,8250,852,2622,02/07/1998,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,000,852,2622,17/07/1998,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,000,852,2622,06/08/1998,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,000,852,2622,27/08/1998,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,8250,852,2622,03/09/1998,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,000,852,2622,10/09/1998,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,8250,852,2622,17/09/1998,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,8250,852,2622,08/10/1998,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,8250,852,2622,22/10/1998,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,000,852,2622,29/10/1998,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,8250,852,2622,05/11/1998,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,8250,852,2622,19/11/1998,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,000,852,2622,26/11/1998,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,8250,852,2622,24/12/1998,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,000,852,2622,31/12/1998,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,000,852,2622,07/01/1999,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,000,852,2622,14/01/1999,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,8250,852,2622,28/01/1999,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,8250,852,2622,04/02/1999,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,000,362,1114,13/05/1999,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,7549,362,1114,27/05/1999,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,7549,362,1114,02/06/1999,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,000,353,1086,24/06/1999,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,7528,350,1077,22/07/1999,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,000,350,1077,29/07/1999,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,7506,337,1037,05/08/1999,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,7506,337,1037,12/08/1999,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,000,322,991,23/09/1999,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,7468,322,991,30/09/1999,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,000,322,991,21/10/1999,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,7468,322,991,28/10/1999,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,7468,322,991,04/11/1999,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,7468,322,991,18/11/1999,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,000,322,991,30/12/1999,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,000,322,991,13/01/2000,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,000,614,1889,27/01/2000,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,000,322,991,30/01/2000,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,000,700,2154,31/01/2000,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,000,614,1889,03/02/2000,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,000,700,2154,24/02/2000,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,000,700,2154,28/02/2000,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,000,700,2154,02/03/2000,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,000,700,2154,09/03/2000,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,000,700,2154,16/03/2000,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,000,700,2154,23/03/2000,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,000,700,2154,27/04/2000,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,000,700,2154,04/05/2000,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,000,700,2154,11/05/2000,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,000,700,2154,30/05/2000,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,000,700,2154,31/05/2000,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,000,1506,4633,15/06/2000,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,000,1505,4631,30/06/2000,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,000,1499,4613,14/07/2000,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,000,1499,4612,30/07/2000,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,000,1499,4613,11/08/2000,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,000,1499,4613,25/08/2000,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,000,1499,4612,30/08/2000,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,000,1499,4613,08/09/2000,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,000,1499,4613,15/09/2000,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,8828,1499,4613,22/09/2000,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,000,1499,4612,30/09/2000,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,000,1499,4613,06/10/2000,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,8828,1499,4613,13/10/2000,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,8828,1499,4613,20/10/2000,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,000,1499,4612,30/10/2000,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,8828,1499,4613,24/11/2000,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,000,1499,4612,30/11/2000,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,8828,1499,4613,22/12/2000,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,8628,1499,4613,29/12/2000,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,000,1499,4612,30/12/2000,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,8828,1499,4613,26/01/2001,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,000,1499,4612,30/01/2001,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,000,1499,4612,28/02/2001,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,000,1094,3367,16/03/2001,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,000,1094,3367,23/03/2001,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,000,1094,3366,30/03/2001,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,000,1167,3590,27/04/2001,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,000,1166,3588,30/04/2001,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,000,1169,3597,25/05/2001,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,000,1169,3597,30/05/2001,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,8554,1147,3530,22/06/2001,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,000,1147,3530,29/06/2001,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,000,1147,3529,30/06/2001,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,8554,1147,3530,06/07/2001,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,8554,1147,3530,27/07/2001,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,000,1147,3529,30/07/2001,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,8445,1028,3164,17/08/2001,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,000,1147,3529,30/08/2001,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,8445,1028,3164,14/09/2001,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,000,1028,3164,28/09/2001,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,000,1028,3163,30/09/2001,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,000,916,2819,05/10/2001,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,000,916,2818,30/10/2001,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,8321,916,2819,01/11/2001,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,000,916,2818,30/11/2001,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,000,740,2277,28/12/2001,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,000,739,2274,30/12/2001,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,8077,696,2140,04/01/2002,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,8077,696,2140,11/01/2002,-38.6829425533,-7.109019720510001
Ceará,PRAZERES,3250,8077,696,2140,25/01/2002,-38.6829425533,-7.109019720510001
