Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,QUINCOÉ,433,000,107,2471,02/04/1992,-39.454306,-6.084822
Ceará,QUINCOÉ,433,000,324,7483,15/09/1997,-39.454306,-6.084822
Ceará,QUINCOÉ,433,000,422,9746,06/08/1998,-39.454306,-6.084822
Ceará,QUINCOÉ,433,000,406,9367,27/08/1998,-39.454306,-6.084822
Ceará,QUINCOÉ,433,9195,400,9229,03/09/1998,-39.454306,-6.084822
Ceará,QUINCOÉ,433,000,400,9229,10/09/1998,-39.454306,-6.084822
Ceará,QUINCOÉ,433,9177,385,8889,17/09/1998,-39.454306,-6.084822
Ceará,QUINCOÉ,433,9154,366,8453,08/10/1998,-39.454306,-6.084822
Ceará,QUINCOÉ,433,9134,350,8074,22/10/1998,-39.454306,-6.084822
Ceará,QUINCOÉ,433,000,342,7903,29/10/1998,-39.454306,-6.084822
Ceará,QUINCOÉ,433,9115,334,7714,05/11/1998,-39.454306,-6.084822
Ceará,QUINCOÉ,433,9098,320,7395,19/11/1998,-39.454306,-6.084822
Ceará,QUINCOÉ,433,000,314,7245,26/11/1998,-39.454306,-6.084822
Ceará,QUINCOÉ,433,9051,286,6605,24/12/1998,-39.454306,-6.084822
Ceará,QUINCOÉ,433,000,286,6605,31/12/1998,-39.454306,-6.084822
Ceará,QUINCOÉ,433,000,275,6353,07/01/1999,-39.454306,-6.084822
Ceará,QUINCOÉ,433,000,269,6203,14/01/1999,-39.454306,-6.084822
Ceará,QUINCOÉ,433,9015,260,6000,28/01/1999,-39.454306,-6.084822
Ceará,QUINCOÉ,433,9013,258,5968,04/02/1999,-39.454306,-6.084822
Ceará,QUINCOÉ,433,000,238,5487,25/02/1999,-39.454306,-6.084822
Ceará,QUINCOÉ,433,8990,243,5603,04/03/1999,-39.454306,-6.084822
Ceará,QUINCOÉ,433,000,241,5575,11/03/1999,-39.454306,-6.084822
Ceará,QUINCOÉ,433,000,242,5589,25/03/1999,-39.454306,-6.084822
Ceará,QUINCOÉ,433,9045,282,6506,01/04/1999,-39.454306,-6.084822
Ceará,QUINCOÉ,433,000,293,6758,22/04/1999,-39.454306,-6.084822
Ceará,QUINCOÉ,433,000,293,6758,29/04/1999,-39.454306,-6.084822
Ceará,QUINCOÉ,433,000,323,7467,13/05/1999,-39.454306,-6.084822
Ceará,QUINCOÉ,433,000,425,9811,13/01/2000,-39.454306,-6.084822
Ceará,QUINCOÉ,433,000,426,9838,27/01/2000,-39.454306,-6.084822
Ceará,QUINCOÉ,433,000,418,9642,03/02/2000,-39.454306,-6.084822
Ceará,QUINCOÉ,433,000,411,9494,11/02/2000,-39.454306,-6.084822
Ceará,QUINCOÉ,433,000,407,9409,24/02/2000,-39.454306,-6.084822
Ceará,QUINCOÉ,433,9221,423,9767,27/07/2001,-39.454306,-6.084822
Ceará,QUINCOÉ,433,9206,409,9450,17/08/2001,-39.454306,-6.084822
Ceará,QUINCOÉ,433,9169,378,8737,14/09/2001,-39.454306,-6.084822
Ceará,QUINCOÉ,433,000,365,8434,28/09/2001,-39.454306,-6.084822
Ceará,QUINCOÉ,433,000,365,8434,05/10/2001,-39.454306,-6.084822
Ceará,QUINCOÉ,433,9135,350,8092,01/11/2001,-39.454306,-6.084822
Ceará,QUINCOÉ,433,000,314,7245,28/12/2001,-39.454306,-6.084822
Ceará,QUINCOÉ,433,9051,286,6605,04/01/2002,-39.454306,-6.084822
Ceará,QUINCOÉ,433,9051,296,6836,11/01/2002,-39.454306,-6.084822
Ceará,QUINCOÉ,433,9127,344,7940,25/01/2002,-39.454306,-6.084822
Ceará,QUINCOÉ,433,000,400,9229,01/02/2002,-39.454306,-6.084822
Ceará,QUINCOÉ,433,9187,312,7210,08/02/2002,-39.454306,-6.084822
Ceará,QUINCOÉ,433,9210,413,9536,08/08/2005,-39.454306,-6.084822
Ceará,QUINCOÉ,433,9196,401,9249,22/08/2005,-39.454306,-6.084822
Ceará,QUINCOÉ,433,000,385,8889,08/09/2005,-39.454306,-6.084822
Ceará,QUINCOÉ,433,9131,347,8016,17/10/2005,-39.454306,-6.084822
Ceará,QUINCOÉ,433,000,309,7143,18/11/2005,-39.454306,-6.084822
Ceará,QUINCOÉ,433,000,286,6605,15/12/2005,-39.454306,-6.084822
Ceará,QUINCOÉ,433,000,286,6605,16/12/2005,-39.454306,-6.084822
Ceará,QUINCOÉ,433,000,277,6404,23/12/2005,-39.454306,-6.084822
Ceará,QUINCOÉ,433,000,272,6286,30/12/2005,-39.454306,-6.084822
Ceará,QUINCOÉ,433,000,258,5968,18/01/2006,-39.454306,-6.084822
Ceará,QUINCOÉ,433,9000,249,5748,27/01/2006,-39.454306,-6.084822
Ceará,QUINCOÉ,433,8986,240,5545,06/02/2006,-39.454306,-6.084822
Ceará,QUINCOÉ,433,8985,240,5531,07/02/2006,-39.454306,-6.084822
Ceará,QUINCOÉ,433,8994,239,5515,08/02/2006,-39.454306,-6.084822
Ceará,QUINCOÉ,433,8983,238,5501,09/02/2006,-39.454306,-6.084822
Ceará,QUINCOÉ,433,8982,238,5487,10/02/2006,-39.454306,-6.084822
Ceará,QUINCOÉ,433,8977,234,5413,13/02/2006,-39.454306,-6.084822
Ceará,QUINCOÉ,433,8977,234,5413,14/02/2006,-39.454306,-6.084822
Ceará,QUINCOÉ,433,8976,234,5400,15/02/2006,-39.454306,-6.084822
Ceará,QUINCOÉ,433,8975,233,5386,16/02/2006,-39.454306,-6.084822
Ceará,QUINCOÉ,433,8974,233,5370,17/02/2006,-39.454306,-6.084822
Ceará,QUINCOÉ,433,8984,239,5515,20/02/2006,-39.454306,-6.084822
Ceará,QUINCOÉ,433,8983,238,5501,21/02/2006,-39.454306,-6.084822
Ceará,QUINCOÉ,433,8992,238,5487,22/02/2006,-39.454306,-6.084822
Ceará,QUINCOÉ,433,8982,238,5487,23/02/2006,-39.454306,-6.084822
Ceará,QUINCOÉ,433,8981,237,5473,24/02/2006,-39.454306,-6.084822
Ceará,QUINCOÉ,433,8981,237,5473,02/03/2006,-39.454306,-6.084822
Ceará,QUINCOÉ,433,8991,237,5473,03/03/2006,-39.454306,-6.084822
Ceará,QUINCOÉ,433,8977,234,5413,06/03/2006,-39.454306,-6.084822
Ceará,QUINCOÉ,433,8975,233,5386,07/03/2006,-39.454306,-6.084822
Ceará,QUINCOÉ,433,8974,233,5370,08/03/2006,-39.454306,-6.084822
Ceará,QUINCOÉ,433,8972,231,5342,09/03/2006,-39.454306,-6.084822
