Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,QUIXABINHA,3178,000,1810,5695,01/01/1983,-38.746745161199996,-7.501917402889999
Ceará,QUIXABINHA,3178,000,165,519,01/06/1983,-38.746745161199996,-7.501917402889999
Ceará,QUIXABINHA,3178,40969,1612,5072,15/08/1983,-38.746745161199996,-7.501917402889999
Ceará,QUIXABINHA,3178,40947,1576,4959,15/09/1983,-38.746745161199996,-7.501917402889999
Ceará,QUIXABINHA,3178,000,1045,3288,31/12/1983,-38.746745161199996,-7.501917402889999
Ceará,QUIXABINHA,3178,000,1269,3992,02/04/1992,-38.746745161199996,-7.501917402889999
Ceará,QUIXABINHA,3178,000,1269,3992,10/05/1992,-38.746745161199996,-7.501917402889999
Ceará,QUIXABINHA,3178,000,940,2958,05/10/1992,-38.746745161199996,-7.501917402889999
Ceará,QUIXABINHA,3178,000,817,2572,15/03/1994,-38.746745161199996,-7.501917402889999
Ceará,QUIXABINHA,3178,40560,957,3010,25/08/1997,-38.746745161199996,-7.501917402889999
Ceará,QUIXABINHA,3178,000,957,3010,01/09/1997,-38.746745161199996,-7.501917402889999
Ceará,QUIXABINHA,3178,000,894,2814,15/09/1997,-38.746745161199996,-7.501917402889999
Ceará,QUIXABINHA,3178,40485,859,2703,29/09/1997,-38.746745161199996,-7.501917402889999
Ceará,QUIXABINHA,3178,000,839,2639,06/10/1997,-38.746745161199996,-7.501917402889999
Ceará,QUIXABINHA,3178,000,812,2554,27/10/1997,-38.746745161199996,-7.501917402889999
Ceará,QUIXABINHA,3178,40420,796,2505,06/11/1997,-38.746745161199996,-7.501917402889999
Ceará,QUIXABINHA,3178,40354,733,2305,26/11/1997,-38.746745161199996,-7.501917402889999
Ceará,QUIXABINHA,3178,40340,719,2261,03/12/1997,-38.746745161199996,-7.501917402889999
Ceará,QUIXABINHA,3178,40335,714,2246,18/12/1997,-38.746745161199996,-7.501917402889999
Ceará,QUIXABINHA,3178,40324,703,2213,31/12/1997,-38.746745161199996,-7.501917402889999
Ceará,QUIXABINHA,3178,40342,721,2268,17/01/1998,-38.746745161199996,-7.501917402889999
Ceará,QUIXABINHA,3178,40316,696,2188,30/01/1998,-38.746745161199996,-7.501917402889999
Ceará,QUIXABINHA,3178,000,687,2161,12/02/1998,-38.746745161199996,-7.501917402889999
Ceará,QUIXABINHA,3178,40300,680,2140,26/02/1998,-38.746745161199996,-7.501917402889999
Ceará,QUIXABINHA,3178,000,680,2140,28/02/1998,-38.746745161199996,-7.501917402889999
Ceará,QUIXABINHA,3178,40265,646,2033,05/03/1998,-38.746745161199996,-7.501917402889999
Ceará,QUIXABINHA,3178,000,637,2003,18/03/1998,-38.746745161199996,-7.501917402889999
Ceará,QUIXABINHA,3178,000,657,2067,02/04/1998,-38.746745161199996,-7.501917402889999
Ceará,QUIXABINHA,3178,000,660,2076,16/04/1998,-38.746745161199996,-7.501917402889999
Ceará,QUIXABINHA,3178,40273,654,2058,23/04/1998,-38.746745161199996,-7.501917402889999
Ceará,QUIXABINHA,3178,40220,603,1896,14/05/1998,-38.746745161199996,-7.501917402889999
Ceará,QUIXABINHA,3178,000,591,1860,20/05/1998,-38.746745161199996,-7.501917402889999
Ceará,QUIXABINHA,3178,000,562,1768,03/06/1998,-38.746745161199996,-7.501917402889999
Ceará,QUIXABINHA,3178,000,554,1744,10/06/1998,-38.746745161199996,-7.501917402889999
Ceará,QUIXABINHA,3178,000,534,1680,25/06/1998,-38.746745161199996,-7.501917402889999
Ceará,QUIXABINHA,3178,40138,523,1647,02/07/1998,-38.746745161199996,-7.501917402889999
Ceará,QUIXABINHA,3178,000,494,1555,17/07/1998,-38.746745161199996,-7.501917402889999
Ceará,QUIXABINHA,3178,000,475,1494,06/08/1998,-38.746745161199996,-7.501917402889999
Ceará,QUIXABINHA,3178,000,441,1388,27/08/1998,-38.746745161199996,-7.501917402889999
Ceará,QUIXABINHA,3178,40041,430,1351,03/09/1998,-38.746745161199996,-7.501917402889999
Ceará,QUIXABINHA,3178,000,430,1351,10/09/1998,-38.746745161199996,-7.501917402889999
Ceará,QUIXABINHA,3178,39940,357,1123,16/09/1998,-38.746745161199996,-7.501917402889999
Ceará,QUIXABINHA,3178,40008,398,1251,17/09/1998,-38.746745161199996,-7.501917402889999
