Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,QUIXERAMOBIM,5400,000,3984,7378,01/01/1983,-39.3127774588,-5.19828377485
Ceará,QUIXERAMOBIM,5400,000,3445,6380,01/06/1983,-39.3127774588,-5.19828377485
Ceará,QUIXERAMOBIM,5400,9905,3025,5601,15/08/1983,-39.3127774588,-5.19828377485
Ceará,QUIXERAMOBIM,5400,9873,2820,5222,15/09/1983,-39.3127774588,-5.19828377485
Ceará,QUIXERAMOBIM,5400,000,2091,3873,31/12/1983,-39.3127774588,-5.19828377485
Ceará,QUIXERAMOBIM,5400,000,5000,9259,31/03/1989,-39.3127774588,-5.19828377485
Ceará,QUIXERAMOBIM,5400,000,5400,10000,02/04/1992,-39.3127774588,-5.19828377485
Ceará,QUIXERAMOBIM,5400,000,5400,10000,10/05/1992,-39.3127774588,-5.19828377485
Ceará,QUIXERAMOBIM,5400,000,4402,8152,05/10/1992,-39.3127774588,-5.19828377485
Ceará,QUIXERAMOBIM,5400,000,4144,7673,02/01/1995,-39.3127774588,-5.19828377485
Ceará,QUIXERAMOBIM,5400,10158,4997,9253,25/08/1997,-39.3127774588,-5.19828377485
Ceará,QUIXERAMOBIM,5400,000,4997,9253,01/09/1997,-39.3127774588,-5.19828377485
Ceará,QUIXERAMOBIM,5400,000,4766,8827,15/09/1997,-39.3127774588,-5.19828377485
Ceará,QUIXERAMOBIM,5400,10118,4613,8542,29/09/1997,-39.3127774588,-5.19828377485
Ceará,QUIXERAMOBIM,5400,000,4613,8542,06/10/1997,-39.3127774588,-5.19828377485
Ceará,QUIXERAMOBIM,5400,000,4613,8542,27/10/1997,-39.3127774588,-5.19828377485
Ceará,QUIXERAMOBIM,5400,10072,4227,7828,06/11/1997,-39.3127774588,-5.19828377485
Ceará,QUIXERAMOBIM,5400,10072,4227,7828,26/11/1997,-39.3127774588,-5.19828377485
Ceará,QUIXERAMOBIM,5400,10084,4318,7997,03/12/1997,-39.3127774588,-5.19828377485
Ceará,QUIXERAMOBIM,5400,10090,4364,8081,18/12/1997,-39.3127774588,-5.19828377485
Ceará,QUIXERAMOBIM,5400,10090,4364,8081,31/12/1997,-39.3127774588,-5.19828377485
Ceará,QUIXERAMOBIM,5400,10104,4478,8293,17/01/1998,-39.3127774588,-5.19828377485
Ceará,QUIXERAMOBIM,5400,10104,4478,8293,30/01/1998,-39.3127774588,-5.19828377485
Ceará,QUIXERAMOBIM,5400,000,4738,8773,12/02/1998,-39.3127774588,-5.19828377485
Ceará,QUIXERAMOBIM,5400,10130,4728,8756,26/02/1998,-39.3127774588,-5.19828377485
Ceará,QUIXERAMOBIM,5400,10125,4680,8667,05/03/1998,-39.3127774588,-5.19828377485
Ceará,QUIXERAMOBIM,5400,000,4680,8667,18/03/1998,-39.3127774588,-5.19828377485
Ceará,QUIXERAMOBIM,5400,000,4632,8578,02/04/1998,-39.3127774588,-5.19828377485
