Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,REALEJO,3155,000,000,000,02/01/1995,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,32003,623,1974,25/08/1997,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,000,623,1974,01/09/1997,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,000,623,1974,15/09/1997,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,32003,623,1974,29/09/1997,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,000,623,1974,06/10/1997,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,000,402,1273,27/10/1997,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,31873,402,1273,06/11/1997,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,31873,402,1273,26/11/1997,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,31873,402,1273,18/12/1997,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,31873,402,1273,31/12/1997,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,31873,402,1273,17/01/1998,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,31873,402,1273,30/01/1998,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,000,402,1273,12/02/1998,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,31873,402,1273,26/02/1998,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,000,402,1273,28/02/1998,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,31873,402,1273,05/03/1998,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,000,402,1273,18/03/1998,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,000,219,694,02/04/1998,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,000,219,694,16/04/1998,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,31726,219,694,23/04/1998,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,000,219,694,20/05/1998,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,000,219,694,30/05/1998,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,000,219,694,10/06/1998,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,000,219,694,25/06/1998,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,31728,219,694,02/07/1998,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,000,219,694,17/07/1998,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,000,219,694,06/08/1998,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,000,219,694,27/08/1998,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,31726,219,694,03/09/1998,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,000,219,694,10/09/1998,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,31726,219,694,17/09/1998,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,31726,219,694,08/10/1998,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,37126,219,694,22/10/1998,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,000,219,694,29/10/1998,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,31726,219,694,05/11/1998,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,31726,219,694,19/11/1998,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,000,219,694,26/11/1998,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,31726,219,694,24/12/1998,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,000,219,694,31/12/1998,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,000,219,694,07/01/1999,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,000,219,694,14/01/1999,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,000,219,694,21/01/1999,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,31726,219,694,28/01/1999,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,000,140,444,24/06/1999,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,31622,132,418,22/07/1999,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,000,132,418,29/07/1999,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,31602,117,371,05/08/1999,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,31602,117,371,12/08/1999,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,000,117,371,23/09/1999,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,31602,117,371,30/09/1999,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,000,117,371,21/10/1999,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,31602,117,371,28/10/1999,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,31602,117,371,04/11/1999,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,31602,117,371,18/11/1999,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,000,117,371,30/12/1999,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,000,117,371,13/01/2000,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,000,071,225,27/01/2000,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,000,069,219,02/02/2000,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,000,071,225,03/02/2000,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,000,069,219,24/02/2000,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,000,069,219,28/02/2000,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,000,069,219,02/03/2000,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,000,069,219,09/03/2000,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,000,069,219,16/03/2000,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,000,069,219,23/03/2000,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,000,069,219,30/03/2000,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,000,069,219,27/04/2000,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,000,069,219,30/04/2000,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,000,069,219,04/05/2000,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,000,069,219,11/05/2000,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,000,069,219,30/05/2000,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,000,069,219,31/05/2000,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,000,493,1561,15/06/2000,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,000,492,1559,30/06/2000,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,000,479,1517,07/07/2000,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,000,479,1517,14/07/2000,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,000,478,1515,30/07/2000,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,000,479,1517,11/08/2000,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,000,479,1517,25/08/2000,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,000,478,1515,30/08/2000,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,000,478,1515,30/09/2000,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,31922,479,1517,13/10/2000,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,31922,479,1517,20/10/2000,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,000,478,1515,30/10/2000,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,31922,479,1517,31/10/2000,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,31922,479,1517,24/11/2000,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,000,478,1515,30/11/2000,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,31922,479,1517,22/12/2000,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,31922,479,1517,29/12/2000,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,000,478,1515,30/12/2000,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,31922,479,1517,26/01/2001,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,000,478,1515,30/01/2001,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,000,478,1515,28/02/2001,-40.8050668199,-5.261104572130001
Ceará,REALEJO,3155,000,219,694,23/03/2001,-40.8050668199,-5.261104572130001
