Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,RIACHO DO SANGUE,6142,000,4165,6781,01/01/1983,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,000,5709,9295,01/06/1983,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,11686,5129,8350,15/08/1983,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,11650,4842,7883,15/09/1983,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,000,3632,5913,31/12/1983,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,000,6142,10001,03/04/1989,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,000,4754,7740,05/10/1992,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,000,000,000,02/01/1995,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,11725,5466,8899,25/08/1997,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,000,5258,8561,01/09/1997,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,000,5184,8441,15/09/1997,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,11693,5184,8441,29/09/1997,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,000,4929,8025,06/10/1997,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,000,4722,7688,27/10/1997,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,11676,4722,7688,06/11/1997,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,11676,4722,7688,26/11/1997,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,11593,4398,7161,03/12/1997,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,11576,4258,6932,18/12/1997,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,11569,4206,6847,31/12/1997,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,11556,4103,6680,17/01/1998,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,11545,4018,6542,30/01/1998,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,000,3925,6391,12/02/1998,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,11540,3925,6391,26/02/1998,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,000,3925,6391,28/02/1998,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,11508,3732,6076,05/03/1998,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,000,3664,5965,18/03/1998,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,000,3685,6000,02/04/1998,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,000,3664,5965,16/04/1998,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,11499,3664,5965,23/04/1998,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,11498,3657,5954,14/05/1998,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,000,3657,5954,20/05/1998,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,000,3657,5954,30/05/1998,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,11498,3657,5954,03/06/1998,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,000,3657,5954,10/06/1998,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,000,3375,5495,25/06/1998,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,11654,3375,5495,02/07/1998,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,000,3375,5495,17/07/1998,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,000,3073,5004,06/08/1998,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,000,3035,4941,27/08/1998,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,11401,3035,4941,03/09/1998,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,000,2860,4656,10/09/1998,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,11372,2860,4656,17/09/1998,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,11343,2685,4371,08/10/1998,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,11309,2480,4037,22/10/1998,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,000,2480,4037,29/10/1998,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,11291,2379,3873,05/11/1998,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,11282,2332,3797,19/11/1998,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,000,2332,3797,26/11/1998,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,11230,2062,3358,24/12/1998,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,000,2062,3358,31/12/1998,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,000,2062,3358,07/01/1999,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,000,2062,3358,14/01/1999,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,11195,1882,3065,28/01/1999,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,11195,1882,3065,04/02/1999,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,000,1732,2820,25/02/1999,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,11170,1795,2923,04/03/1999,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,000,1795,2923,11/03/1999,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,000,2010,3273,25/03/1999,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,11414,3118,5077,01/04/1999,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,000,3118,5077,22/04/1999,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,000,3131,5098,29/04/1999,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,000,3259,5307,13/05/1999,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,11456,3424,5575,27/05/1999,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,11456,3424,5575,02/06/1999,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,000,3537,5759,24/06/1999,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,11433,3240,5275,22/07/1999,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,000,3189,5192,29/07/1999,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,11525,3189,5192,05/08/1999,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,11460,3131,5098,12/08/1999,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,000,2793,4547,23/09/1999,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,11350,2793,4547,30/09/1999,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,000,2512,4091,21/10/1999,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,11308,2512,4091,28/10/1999,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,11308,2512,4091,04/11/1999,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,11267,2282,3716,18/11/1999,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,000,2153,3505,30/12/1999,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,000,2153,3506,13/01/2000,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,000,2215,3606,24/01/2000,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,000,2001,3258,27/01/2000,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,000,2150,3500,30/01/2000,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,000,2001,3258,03/02/2000,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,000,2175,3541,24/02/2000,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,000,2175,3541,28/02/2000,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,000,2175,3541,02/03/2000,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,000,2175,3541,09/03/2000,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,000,2175,3541,16/03/2000,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,000,2175,3541,23/03/2000,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,000,2304,3751,30/03/2000,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,000,2580,4200,27/04/2000,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,000,2579,4199,30/04/2000,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,000,2580,4200,04/05/2000,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,000,2670,4346,11/05/2000,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,000,2658,4328,30/05/2000,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,000,2658,4328,31/05/2000,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,000,2653,4320,15/06/2000,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,000,2579,4199,30/06/2000,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,000,2580,4200,14/07/2000,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,000,2579,4199,30/07/2000,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,000,2395,3899,11/08/2000,-38.9506399185,-5.693736833230001
Ceará,RIACHO DO SANGUE,6142,000,2333,3798,25/08/2000,-38.9506399185,-5.693736833230001
