Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,ROSÁRIO,4720,28578,000,000,01/01/2010,0,0
Ceará,ROSÁRIO,4720,28578,000,000,02/01/2010,0,0
Ceará,ROSÁRIO,4720,28577,000,000,03/01/2010,0,0
Ceará,ROSÁRIO,4720,28577,000,000,04/01/2010,0,0
Ceará,ROSÁRIO,4720,28576,000,000,05/01/2010,0,0
Ceará,ROSÁRIO,4720,28574,000,000,06/01/2010,0,0
Ceará,ROSÁRIO,4720,28573,000,000,07/01/2010,0,0
Ceará,ROSÁRIO,4720,28572,000,000,08/01/2010,0,0
Ceará,ROSÁRIO,4720,28571,000,000,09/01/2010,0,0
Ceará,ROSÁRIO,4720,28570,000,000,10/01/2010,0,0
Ceará,ROSÁRIO,4720,28569,000,000,11/01/2010,0,0
Ceará,ROSÁRIO,4720,28568,000,000,12/01/2010,0,0
Ceará,ROSÁRIO,4720,28567,000,000,13/01/2010,0,0
Ceará,ROSÁRIO,4720,28610,000,000,14/05/2010,0,0
Ceará,ROSÁRIO,4720,28610,000,000,15/05/2010,0,0
Ceará,ROSÁRIO,4720,28609,000,000,16/05/2010,0,0
Ceará,ROSÁRIO,4720,28609,000,000,17/05/2010,0,0
Ceará,ROSÁRIO,4720,28608,000,000,18/05/2010,0,0
Ceará,ROSÁRIO,4720,28607,000,000,19/05/2010,0,0
Ceará,ROSÁRIO,4720,28606,000,000,20/05/2010,0,0
Ceará,ROSÁRIO,4720,28605,000,000,21/05/2010,0,0
Ceará,ROSÁRIO,4720,28604,000,000,22/05/2010,0,0
Ceará,ROSÁRIO,4720,28602,000,000,23/05/2010,0,0
Ceará,ROSÁRIO,4720,28602,000,000,24/05/2010,0,0
Ceará,ROSÁRIO,4720,28602,000,000,25/05/2010,0,0
Ceará,ROSÁRIO,4720,28601,000,000,26/05/2010,0,0
Ceará,ROSÁRIO,4720,28599,000,000,27/05/2010,0,0
