Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,SALÃO,604,000,185,3060,01/01/1983,-39.3111742,-4.4069701
Ceará,SALÃO,604,000,137,2275,01/04/1983,-39.3111742,-4.4069701
Ceará,SALÃO,604,8975,110,1821,15/08/1983,-39.3111742,-4.4069701
Ceará,SALÃO,604,8948,097,1611,15/09/1983,-39.3111742,-4.4069701
Ceará,SALÃO,604,000,053,874,31/12/1983,-39.3111742,-4.4069701
Ceará,SALÃO,604,000,605,10015,06/04/1989,-39.3111742,-4.4069701
Ceará,SALÃO,604,000,110,1822,02/04/1992,-39.3111742,-4.4069701
Ceará,SALÃO,604,000,257,4250,10/05/1992,-39.3111742,-4.4069701
Ceará,SALÃO,604,000,167,2762,05/10/1992,-39.3111742,-4.4069701
Ceará,SALÃO,604,000,104,1714,15/03/1994,-39.3111742,-4.4069701
Ceará,SALÃO,604,8882,069,1137,02/01/1995,-39.3111742,-4.4069701
Ceará,SALÃO,604,9268,319,5281,25/08/1997,-39.3111742,-4.4069701
Ceará,SALÃO,604,000,319,5281,01/09/1997,-39.3111742,-4.4069701
Ceará,SALÃO,604,000,319,5281,15/09/1997,-39.3111742,-4.4069701
Ceará,SALÃO,604,9237,290,4805,29/09/1997,-39.3111742,-4.4069701
Ceará,SALÃO,604,000,290,4805,06/10/1997,-39.3111742,-4.4069701
Ceará,SALÃO,604,000,258,4265,27/10/1997,-39.3111742,-4.4069701
Ceará,SALÃO,604,9220,258,4265,06/11/1997,-39.3111742,-4.4069701
Ceará,SALÃO,604,9220,258,4265,26/11/1997,-39.3111742,-4.4069701
Ceará,SALÃO,604,9220,258,4265,03/12/1997,-39.3111742,-4.4069701
Ceará,SALÃO,604,9170,234,3879,18/12/1997,-39.3111742,-4.4069701
Ceará,SALÃO,604,9170,234,3879,31/12/1997,-39.3111742,-4.4069701
Ceará,SALÃO,604,9170,234,3879,17/01/1998,-39.3111742,-4.4069701
Ceará,SALÃO,604,9167,231,3829,30/01/1998,-39.3111742,-4.4069701
Ceará,SALÃO,604,000,231,3829,12/02/1998,-39.3111742,-4.4069701
Ceará,SALÃO,604,9155,223,3684,26/02/1998,-39.3111742,-4.4069701
Ceará,SALÃO,604,000,223,3684,28/02/1998,-39.3111742,-4.4069701
Ceará,SALÃO,604,9150,219,3623,05/03/1998,-39.3111742,-4.4069701
Ceará,SALÃO,604,000,219,3623,18/03/1998,-39.3111742,-4.4069701
Ceará,SALÃO,604,000,219,3623,02/04/1998,-39.3111742,-4.4069701
Ceará,SALÃO,604,000,219,3623,16/04/1998,-39.3111742,-4.4069701
Ceará,SALÃO,604,9150,219,3623,23/04/1998,-39.3111742,-4.4069701
Ceará,SALÃO,604,000,219,3623,14/05/1998,-39.3111742,-4.4069701
Ceará,SALÃO,604,000,219,3623,20/05/1998,-39.3111742,-4.4069701
Ceará,SALÃO,604,000,219,3623,30/05/1998,-39.3111742,-4.4069701
Ceará,SALÃO,604,9150,219,3623,03/06/1998,-39.3111742,-4.4069701
Ceará,SALÃO,604,000,219,3623,10/06/1998,-39.3111742,-4.4069701
Ceará,SALÃO,604,000,219,3623,25/06/1998,-39.3111742,-4.4069701
Ceará,SALÃO,604,9150,219,3623,02/07/1998,-39.3111742,-4.4069701
Ceará,SALÃO,604,000,219,3623,17/07/1998,-39.3111742,-4.4069701
Ceará,SALÃO,604,000,192,3175,06/08/1998,-39.3111742,-4.4069701
Ceará,SALÃO,604,000,192,3175,27/08/1998,-39.3111742,-4.4069701
Ceará,SALÃO,604,9050,192,3175,03/09/1998,-39.3111742,-4.4069701
Ceará,SALÃO,604,000,192,3175,10/09/1998,-39.3111742,-4.4069701
Ceará,SALÃO,604,9050,192,3175,17/09/1998,-39.3111742,-4.4069701
Ceará,SALÃO,604,9018,133,2204,08/10/1998,-39.3111742,-4.4069701
Ceará,SALÃO,604,9018,133,2204,22/10/1998,-39.3111742,-4.4069701
Ceará,SALÃO,604,000,133,2204,29/10/1998,-39.3111742,-4.4069701
Ceará,SALÃO,604,9018,133,2204,05/11/1998,-39.3111742,-4.4069701
Ceará,SALÃO,604,9018,133,2204,19/11/1998,-39.3111742,-4.4069701
Ceará,SALÃO,604,000,133,2204,26/11/1998,-39.3111742,-4.4069701
Ceará,SALÃO,604,000,133,2204,31/12/1998,-39.3111742,-4.4069701
Ceará,SALÃO,604,000,133,2204,07/01/1999,-39.3111742,-4.4069701
Ceará,SALÃO,604,000,133,2204,14/01/1999,-39.3111742,-4.4069701
Ceará,SALÃO,604,000,133,2204,21/01/1999,-39.3111742,-4.4069701
Ceará,SALÃO,604,9018,133,2204,28/01/1999,-39.3111742,-4.4069701
Ceará,SALÃO,604,000,133,2204,25/02/1999,-39.3111742,-4.4069701
Ceará,SALÃO,604,9018,133,2204,04/03/1999,-39.3111742,-4.4069701
Ceará,SALÃO,604,000,133,2204,11/03/1999,-39.3111742,-4.4069701
Ceará,SALÃO,604,000,091,1502,25/03/1999,-39.3111742,-4.4069701
Ceará,SALÃO,604,8966,185,3066,01/04/1999,-39.3111742,-4.4069701
