Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,SANTA MARIA,587,9793,000,000,01/01/2010,-38.276387,-5.965648000000001
Ceará,SANTA MARIA,587,9796,000,000,02/01/2010,-38.276387,-5.965648000000001
Ceará,SANTA MARIA,587,9797,000,000,03/01/2010,-38.276387,-5.965648000000001
Ceará,SANTA MARIA,587,9797,000,000,04/01/2010,-38.276387,-5.965648000000001
Ceará,SANTA MARIA,587,9796,000,000,05/01/2010,-38.276387,-5.965648000000001
Ceará,SANTA MARIA,587,9796,000,000,06/01/2010,-38.276387,-5.965648000000001
Ceará,SANTA MARIA,587,9795,000,000,07/01/2010,-38.276387,-5.965648000000001
Ceará,SANTA MARIA,587,9794,000,000,08/01/2010,-38.276387,-5.965648000000001
Ceará,SANTA MARIA,587,9794,000,000,09/01/2010,-38.276387,-5.965648000000001
Ceará,SANTA MARIA,587,9794,000,000,10/01/2010,-38.276387,-5.965648000000001
Ceará,SANTA MARIA,587,9793,000,000,11/01/2010,-38.276387,-5.965648000000001
Ceará,SANTA MARIA,587,9793,000,000,12/01/2010,-38.276387,-5.965648000000001
Ceará,SANTA MARIA,587,9793,000,000,13/01/2010,-38.276387,-5.965648000000001
Ceará,SANTA MARIA,587,9773,000,000,14/05/2010,-38.276387,-5.965648000000001
Ceará,SANTA MARIA,587,9772,000,000,15/05/2010,-38.276387,-5.965648000000001
Ceará,SANTA MARIA,587,9772,000,000,16/05/2010,-38.276387,-5.965648000000001
Ceará,SANTA MARIA,587,9771,000,000,17/05/2010,-38.276387,-5.965648000000001
Ceará,SANTA MARIA,587,9770,000,000,18/05/2010,-38.276387,-5.965648000000001
Ceará,SANTA MARIA,587,9770,000,000,19/05/2010,-38.276387,-5.965648000000001
Ceará,SANTA MARIA,587,9769,000,000,20/05/2010,-38.276387,-5.965648000000001
Ceará,SANTA MARIA,587,9769,000,000,21/05/2010,-38.276387,-5.965648000000001
Ceará,SANTA MARIA,587,9768,000,000,22/05/2010,-38.276387,-5.965648000000001
Ceará,SANTA MARIA,587,9768,000,000,23/05/2010,-38.276387,-5.965648000000001
Ceará,SANTA MARIA,587,9768,000,000,24/05/2010,-38.276387,-5.965648000000001
Ceará,SANTA MARIA,587,9767,000,000,25/05/2010,-38.276387,-5.965648000000001
Ceará,SANTA MARIA,587,9766,000,000,26/05/2010,-38.276387,-5.965648000000001
Ceará,SANTA MARIA,587,9765,000,000,27/05/2010,-38.276387,-5.965648000000001
Ceará,SANTA MARIA,587,9768,000,000,28/05/2010,-38.276387,-5.965648000000001
Ceará,SANTA MARIA,587,9768,000,000,29/05/2010,-38.276387,-5.965648000000001
Ceará,SANTA MARIA,587,9767,000,000,30/05/2010,-38.276387,-5.965648000000001
Ceará,SANTA MARIA,587,9766,000,000,31/05/2010,-38.276387,-5.965648000000001
Ceará,SANTA MARIA,587,9766,000,000,01/06/2010,-38.276387,-5.965648000000001
