Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,SITIOS NOVOS,12600,4421,000,000,01/01/2010,-38.9597828672,-3.77127334573
Ceará,SITIOS NOVOS,12600,4421,000,000,02/01/2010,-38.9597828672,-3.77127334573
Ceará,SITIOS NOVOS,12600,4420,000,000,03/01/2010,-38.9597828672,-3.77127334573
Ceará,SITIOS NOVOS,12600,4425,000,000,04/01/2010,-38.9597828672,-3.77127334573
Ceará,SITIOS NOVOS,12600,4425,000,000,05/01/2010,-38.9597828672,-3.77127334573
Ceará,SITIOS NOVOS,12600,4425,000,000,06/01/2010,-38.9597828672,-3.77127334573
Ceará,SITIOS NOVOS,12600,4424,000,000,07/01/2010,-38.9597828672,-3.77127334573
Ceará,SITIOS NOVOS,12600,4424,000,000,08/01/2010,-38.9597828672,-3.77127334573
Ceará,SITIOS NOVOS,12600,4423,000,000,09/01/2010,-38.9597828672,-3.77127334573
Ceará,SITIOS NOVOS,12600,4422,000,000,10/01/2010,-38.9597828672,-3.77127334573
Ceará,SITIOS NOVOS,12600,4422,000,000,11/01/2010,-38.9597828672,-3.77127334573
Ceará,SITIOS NOVOS,12600,4422,000,000,12/01/2010,-38.9597828672,-3.77127334573
Ceará,SITIOS NOVOS,12600,4421,000,000,13/01/2010,-38.9597828672,-3.77127334573
Ceará,SITIOS NOVOS,12600,4381,000,000,14/05/2010,-38.9597828672,-3.77127334573
Ceará,SITIOS NOVOS,12600,4381,000,000,15/05/2010,-38.9597828672,-3.77127334573
Ceará,SITIOS NOVOS,12600,4381,000,000,16/05/2010,-38.9597828672,-3.77127334573
Ceará,SITIOS NOVOS,12600,4380,000,000,17/05/2010,-38.9597828672,-3.77127334573
Ceará,SITIOS NOVOS,12600,4379,000,000,18/05/2010,-38.9597828672,-3.77127334573
Ceará,SITIOS NOVOS,12600,4378,000,000,19/05/2010,-38.9597828672,-3.77127334573
Ceará,SITIOS NOVOS,12600,4377,000,000,20/05/2010,-38.9597828672,-3.77127334573
Ceará,SITIOS NOVOS,12600,4377,000,000,21/05/2010,-38.9597828672,-3.77127334573
Ceará,SITIOS NOVOS,12600,4376,000,000,22/05/2010,-38.9597828672,-3.77127334573
Ceará,SITIOS NOVOS,12600,4376,000,000,23/05/2010,-38.9597828672,-3.77127334573
Ceará,SITIOS NOVOS,12600,4375,000,000,24/05/2010,-38.9597828672,-3.77127334573
Ceará,SITIOS NOVOS,12600,4374,000,000,25/05/2010,-38.9597828672,-3.77127334573
Ceará,SITIOS NOVOS,12600,4373,000,000,26/05/2010,-38.9597828672,-3.77127334573
Ceará,SITIOS NOVOS,12600,4373,000,000,27/05/2010,-38.9597828672,-3.77127334573
Ceará,SITIOS NOVOS,12600,4372,000,000,28/05/2010,-38.9597828672,-3.77127334573
Ceará,SITIOS NOVOS,12600,4372,000,000,29/05/2010,-38.9597828672,-3.77127334573
Ceará,SITIOS NOVOS,12600,4371,000,000,30/05/2010,-38.9597828672,-3.77127334573
Ceará,SITIOS NOVOS,12600,4371,000,000,31/05/2010,-38.9597828672,-3.77127334573
Ceará,SITIOS NOVOS,12600,4371,000,000,01/06/2010,-38.9597828672,-3.77127334573
Ceará,SITIOS NOVOS,12600,4370,000,000,02/06/2010,-38.9597828672,-3.77127334573
Ceará,SITIOS NOVOS,12600,4370,000,000,03/06/2010,-38.9597828672,-3.77127334573
Ceará,SITIOS NOVOS,12600,4369,000,000,04/06/2010,-38.9597828672,-3.77127334573
Ceará,SITIOS NOVOS,12600,4368,000,000,05/06/2010,-38.9597828672,-3.77127334573
Ceará,SITIOS NOVOS,12600,4368,000,000,06/06/2010,-38.9597828672,-3.77127334573
Ceará,SITIOS NOVOS,12600,4367,000,000,07/06/2010,-38.9597828672,-3.77127334573
Ceará,SITIOS NOVOS,12600,4366,000,000,08/06/2010,-38.9597828672,-3.77127334573
Ceará,SITIOS NOVOS,12600,4366,000,000,09/06/2010,-38.9597828672,-3.77127334573
Ceará,SITIOS NOVOS,12600,4365,000,000,10/06/2010,-38.9597828672,-3.77127334573
Ceará,SITIOS NOVOS,12600,4365,000,000,11/06/2010,-38.9597828672,-3.77127334573
Ceará,SITIOS NOVOS,12600,4364,000,000,12/06/2010,-38.9597828672,-3.77127334573
Ceará,SITIOS NOVOS,12600,4350,000,000,30/06/2010,-38.9597828672,-3.77127334573
Ceará,SITIOS NOVOS,12600,4350,000,000,01/07/2010,-38.9597828672,-3.77127334573
Ceará,SITIOS NOVOS,12600,4349,000,000,02/07/2010,-38.9597828672,-3.77127334573
Ceará,SITIOS NOVOS,12600,4349,000,000,03/07/2010,-38.9597828672,-3.77127334573
Ceará,SITIOS NOVOS,12600,4348,000,000,04/07/2010,-38.9597828672,-3.77127334573
Ceará,SITIOS NOVOS,12600,4347,000,000,05/07/2010,-38.9597828672,-3.77127334573
Ceará,SITIOS NOVOS,12600,4346,000,000,06/07/2010,-38.9597828672,-3.77127334573
Ceará,SITIOS NOVOS,12600,4345,000,000,07/07/2010,-38.9597828672,-3.77127334573
Ceará,SITIOS NOVOS,12600,4344,000,000,08/07/2010,-38.9597828672,-3.77127334573
Ceará,SITIOS NOVOS,12600,4344,000,000,09/07/2010,-38.9597828672,-3.77127334573
Ceará,SITIOS NOVOS,12600,4343,000,000,10/07/2010,-38.9597828672,-3.77127334573
Ceará,SITIOS NOVOS,12600,4343,000,000,11/07/2010,-38.9597828672,-3.77127334573
Ceará,SITIOS NOVOS,12600,4342,000,000,12/07/2010,-38.9597828672,-3.77127334573
Ceará,SITIOS NOVOS,12600,4342,000,000,13/07/2010,-38.9597828672,-3.77127334573
Ceará,SITIOS NOVOS,12600,4342,000,000,14/07/2010,-38.9597828672,-3.77127334573
Ceará,SITIOS NOVOS,12600,4341,000,000,15/07/2010,-38.9597828672,-3.77127334573
Ceará,SITIOS NOVOS,12600,4341,000,000,16/07/2010,-38.9597828672,-3.77127334573
Ceará,SITIOS NOVOS,12600,4340,000,000,17/07/2010,-38.9597828672,-3.77127334573
Ceará,SITIOS NOVOS,12600,4339,000,000,18/07/2010,-38.9597828672,-3.77127334573
Ceará,SITIOS NOVOS,12600,4339,000,000,19/07/2010,-38.9597828672,-3.77127334573
Ceará,SITIOS NOVOS,12600,4338,000,000,20/07/2010,-38.9597828672,-3.77127334573
Ceará,SITIOS NOVOS,12600,4337,000,000,21/07/2010,-38.9597828672,-3.77127334573
Ceará,SITIOS NOVOS,12600,4336,000,000,22/07/2010,-38.9597828672,-3.77127334573
Ceará,SITIOS NOVOS,12600,4335,000,000,23/07/2010,-38.9597828672,-3.77127334573
Ceará,SITIOS NOVOS,12600,4334,000,000,24/07/2010,-38.9597828672,-3.77127334573
Ceará,SITIOS NOVOS,12600,4333,000,000,25/07/2010,-38.9597828672,-3.77127334573
Ceará,SITIOS NOVOS,12600,4332,000,000,26/07/2010,-38.9597828672,-3.77127334573
Ceará,SITIOS NOVOS,12600,4331,000,000,27/07/2010,-38.9597828672,-3.77127334573
Ceará,SITIOS NOVOS,12600,4331,000,000,28/07/2010,-38.9597828672,-3.77127334573
Ceará,SITIOS NOVOS,12600,4330,000,000,29/07/2010,-38.9597828672,-3.77127334573
