Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,SOBRAL,468,000,120,2574,01/01/1983,-40.365556,-3.65705
Ceará,SOBRAL,468,000,080,1711,01/06/1983,-40.365556,-3.65705
Ceará,SOBRAL,468,000,468,9989,13/04/1989,-40.365556,-3.65705
Ceará,SOBRAL,468,000,275,5871,02/04/1992,-40.365556,-3.65705
Ceará,SOBRAL,468,000,369,7880,10/05/1992,-40.365556,-3.65705
Ceará,SOBRAL,468,000,271,5790,05/10/1992,-40.365556,-3.65705
Ceará,SOBRAL,468,000,174,3717,15/03/1994,-40.365556,-3.65705
Ceará,SOBRAL,468,9525,216,4624,26/02/1996,-40.365556,-3.65705
Ceará,SOBRAL,468,9626,320,6844,25/08/1997,-40.365556,-3.65705
Ceará,SOBRAL,468,000,312,6667,01/09/1997,-40.365556,-3.65705
Ceará,SOBRAL,468,000,296,6316,15/09/1997,-40.365556,-3.65705
Ceará,SOBRAL,468,9636,281,6011,29/09/1997,-40.365556,-3.65705
Ceará,SOBRAL,468,000,281,6011,06/10/1997,-40.365556,-3.65705
Ceará,SOBRAL,468,000,252,5385,27/10/1997,-40.365556,-3.65705
Ceará,SOBRAL,468,9587,252,5385,06/11/1997,-40.365556,-3.65705
Ceará,SOBRAL,468,9554,233,4979,26/11/1997,-40.365556,-3.65705
Ceará,SOBRAL,468,9554,092,1971,03/12/1997,-40.365556,-3.65705
Ceará,SOBRAL,468,9534,222,4733,18/12/1997,-40.365556,-3.65705
Ceará,SOBRAL,468,9527,218,4647,31/12/1997,-40.365556,-3.65705
Ceará,SOBRAL,468,9521,214,4575,17/01/1998,-40.365556,-3.65705
Ceará,SOBRAL,468,9519,213,4549,30/01/1998,-40.365556,-3.65705
Ceará,SOBRAL,468,000,216,4624,12/02/1998,-40.365556,-3.65705
Ceará,SOBRAL,468,9519,213,4549,05/03/1998,-40.365556,-3.65705
Ceará,SOBRAL,468,000,213,4549,18/03/1998,-40.365556,-3.65705
Ceará,SOBRAL,468,000,230,4919,02/04/1998,-40.365556,-3.65705
Ceará,SOBRAL,468,000,234,4991,16/04/1998,-40.365556,-3.65705
Ceará,SOBRAL,468,9555,234,4991,23/04/1998,-40.365556,-3.65705
Ceará,SOBRAL,468,000,233,4979,14/05/1998,-40.365556,-3.65705
Ceará,SOBRAL,468,000,230,4906,20/05/1998,-40.365556,-3.65705
Ceará,SOBRAL,468,000,229,4893,30/05/1998,-40.365556,-3.65705
