Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,SUCESSO,1000,9877,000,000,01/01/2010,-40.5240408341,-4.9552218928
Ceará,SUCESSO,1000,9877,000,000,02/01/2010,-40.5240408341,-4.9552218928
Ceará,SUCESSO,1000,9879,000,000,08/01/2010,-40.5240408341,-4.9552218928
Ceará,SUCESSO,1000,9878,000,000,09/01/2010,-40.5240408341,-4.9552218928
Ceará,SUCESSO,1000,9878,000,000,10/01/2010,-40.5240408341,-4.9552218928
Ceará,SUCESSO,1000,9878,000,000,11/01/2010,-40.5240408341,-4.9552218928
Ceará,SUCESSO,1000,9877,000,000,12/01/2010,-40.5240408341,-4.9552218928
Ceará,SUCESSO,1000,9877,000,000,13/01/2010,-40.5240408341,-4.9552218928
Ceará,SUCESSO,1000,9824,000,000,14/05/2010,-40.5240408341,-4.9552218928
Ceará,SUCESSO,1000,9823,000,000,15/05/2010,-40.5240408341,-4.9552218928
Ceará,SUCESSO,1000,9822,000,000,16/05/2010,-40.5240408341,-4.9552218928
Ceará,SUCESSO,1000,9822,000,000,17/05/2010,-40.5240408341,-4.9552218928
Ceará,SUCESSO,1000,9821,000,000,18/05/2010,-40.5240408341,-4.9552218928
Ceará,SUCESSO,1000,9820,000,000,19/05/2010,-40.5240408341,-4.9552218928
Ceará,SUCESSO,1000,9820,000,000,20/05/2010,-40.5240408341,-4.9552218928
Ceará,SUCESSO,1000,9819,000,000,21/05/2010,-40.5240408341,-4.9552218928
Ceará,SUCESSO,1000,9819,000,000,22/05/2010,-40.5240408341,-4.9552218928
Ceará,SUCESSO,1000,9818,000,000,23/05/2010,-40.5240408341,-4.9552218928
Ceará,SUCESSO,1000,9818,000,000,24/05/2010,-40.5240408341,-4.9552218928
Ceará,SUCESSO,1000,9817,000,000,25/05/2010,-40.5240408341,-4.9552218928
Ceará,SUCESSO,1000,9816,000,000,26/05/2010,-40.5240408341,-4.9552218928
Ceará,SUCESSO,1000,9815,000,000,27/05/2010,-40.5240408341,-4.9552218928
Ceará,SUCESSO,1000,9815,000,000,28/05/2010,-40.5240408341,-4.9552218928
Ceará,SUCESSO,1000,9814,000,000,29/05/2010,-40.5240408341,-4.9552218928
Ceará,SUCESSO,1000,9814,000,000,30/05/2010,-40.5240408341,-4.9552218928
Ceará,SUCESSO,1000,9813,000,000,31/05/2010,-40.5240408341,-4.9552218928
Ceará,SUCESSO,1000,9813,000,000,01/06/2010,-40.5240408341,-4.9552218928
Ceará,SUCESSO,1000,9812,000,000,02/06/2010,-40.5240408341,-4.9552218928
Ceará,SUCESSO,1000,9812,000,000,03/06/2010,-40.5240408341,-4.9552218928
Ceará,SUCESSO,1000,9811,000,000,04/06/2010,-40.5240408341,-4.9552218928
Ceará,SUCESSO,1000,9811,000,000,05/06/2010,-40.5240408341,-4.9552218928
Ceará,SUCESSO,1000,9810,000,000,06/06/2010,-40.5240408341,-4.9552218928
Ceará,SUCESSO,1000,9809,000,000,07/06/2010,-40.5240408341,-4.9552218928
Ceará,SUCESSO,1000,9808,000,000,08/06/2010,-40.5240408341,-4.9552218928
Ceará,SUCESSO,1000,9808,000,000,09/06/2010,-40.5240408341,-4.9552218928
Ceará,SUCESSO,1000,9807,000,000,10/06/2010,-40.5240408341,-4.9552218928
