Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,TAQUARA,32078,12870,17000,5300,02/04/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12870,17000,5300,03/04/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12870,17000,5300,04/04/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12869,16974,5291,20/04/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12867,16921,5275,23/04/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12867,16921,5275,24/04/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12867,16921,5275,25/04/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12864,16841,5250,26/04/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12862,16788,5234,27/04/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12858,16683,5201,30/04/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12853,16550,5159,03/05/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12853,16550,5159,04/05/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12844,16312,5085,07/05/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12844,16312,5085,08/05/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12841,16233,5060,09/05/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12839,16180,5044,11/05/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12832,15995,4986,15/05/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12830,15942,4970,16/05/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12830,15942,4970,17/05/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12830,15942,4970,21/05/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12830,15942,4970,22/05/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12830,15942,4970,24/05/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12830,15942,4970,28/05/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,nan,14711,4586,11/06/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12766,14440,4502,18/06/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12763,14377,4482,20/06/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12732,13732,4281,16/07/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12731,13711,4274,17/07/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12722,13523,4216,24/07/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12720,13482,4203,26/07/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12718,13440,4190,27/07/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12714,13357,4164,31/07/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12686,12773,3982,03/08/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12682,12690,3956,06/08/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12679,12628,3937,08/08/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12677,12586,3924,09/08/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12676,12565,3917,10/08/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12674,12523,3904,11/08/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12673,12503,3898,12/08/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12672,12482,3891,13/08/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12671,12461,3885,14/08/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12670,12440,3878,15/08/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12668,12398,3865,16/08/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12666,12357,3852,17/08/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12661,12253,3820,21/08/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12657,12169,3794,23/08/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12654,12107,3774,25/08/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12653,12086,3768,26/08/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12686,12065,3761,27/08/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12649,12003,3742,29/08/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12647,11961,3729,30/08/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12645,11919,3716,31/08/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12644,11899,3709,01/09/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12643,11878,3703,02/09/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12641,11836,3690,03/09/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12640,11815,3683,04/09/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12638,11774,3670,05/09/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12635,11711,3651,07/09/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12634,11690,3644,08/09/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12633,11669,3638,09/09/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12631,11628,3625,10/09/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12629,11586,3612,11/09/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12628,11565,3605,12/09/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12627,11544,3599,13/09/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12625,11503,3586,14/09/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12622,11440,3566,15/09/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12621,11419,3560,16/09/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12620,11399,3553,17/09/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12619,11378,3547,18/09/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12618,11357,3540,19/09/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12616,11315,3527,20/09/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12615,11294,3521,21/09/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12612,11232,3501,22/09/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12611,11211,3495,23/09/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12609,11170,3482,24/09/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12608,11149,3475,25/09/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12607,11128,3469,26/09/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12605,11086,3456,27/09/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12604,11065,3449,28/09/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12603,11045,3443,29/09/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12602,11024,3437,30/09/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12601,11003,3430,01/10/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12601,11003,3430,02/10/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12601,11003,3430,03/10/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12599,10966,3419,04/10/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12599,10966,3419,05/10/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12597,10935,3409,06/10/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12596,10920,3404,07/10/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12596,10920,3404,08/10/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12595,10904,3399,09/10/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12592,10857,3385,13/10/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12590,10826,3375,14/10/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12587,10779,3360,15/10/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12586,10763,3355,16/10/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12585,10748,3350,17/10/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12584,10732,3346,18/10/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12582,10701,3336,19/10/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12581,10685,3331,20/10/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12580,10670,3326,21/10/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12579,10654,3321,22/10/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12577,10623,3312,23/10/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12574,10576,3297,25/10/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12572,10545,3287,26/10/2012,-40.611118,-3.8961120000000005
Ceará,TAQUARA,32078,12571,10529,3282,27/10/2012,-40.611118,-3.8961120000000005
