Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,TIGRE,351,9650,000,000,01/01/2010,-39.15382,-5.889177
Ceará,TIGRE,351,9650,000,000,02/01/2010,-39.15382,-5.889177
Ceará,TIGRE,351,9650,000,000,03/01/2010,-39.15382,-5.889177
Ceará,TIGRE,351,9650,000,000,04/01/2010,-39.15382,-5.889177
Ceará,TIGRE,351,9650,000,000,05/01/2010,-39.15382,-5.889177
Ceará,TIGRE,351,9646,000,000,06/01/2010,-39.15382,-5.889177
Ceará,TIGRE,351,9649,000,000,07/01/2010,-39.15382,-5.889177
Ceará,TIGRE,351,9648,000,000,08/01/2010,-39.15382,-5.889177
Ceará,TIGRE,351,9648,000,000,09/01/2010,-39.15382,-5.889177
Ceará,TIGRE,351,9648,000,000,10/01/2010,-39.15382,-5.889177
Ceará,TIGRE,351,9648,000,000,11/01/2010,-39.15382,-5.889177
Ceará,TIGRE,351,9648,000,000,12/01/2010,-39.15382,-5.889177
Ceará,TIGRE,351,9647,000,000,13/01/2010,-39.15382,-5.889177
Ceará,TIGRE,351,9712,000,000,14/05/2010,-39.15382,-5.889177
Ceará,TIGRE,351,9712,000,000,15/05/2010,-39.15382,-5.889177
Ceará,TIGRE,351,9712,000,000,16/05/2010,-39.15382,-5.889177
Ceará,TIGRE,351,9711,000,000,17/05/2010,-39.15382,-5.889177
Ceará,TIGRE,351,9711,000,000,18/05/2010,-39.15382,-5.889177
Ceará,TIGRE,351,9710,000,000,19/05/2010,-39.15382,-5.889177
Ceará,TIGRE,351,9709,000,000,20/05/2010,-39.15382,-5.889177
Ceará,TIGRE,351,9709,000,000,21/05/2010,-39.15382,-5.889177
Ceará,TIGRE,351,9708,000,000,22/05/2010,-39.15382,-5.889177
Ceará,TIGRE,351,9707,000,000,23/05/2010,-39.15382,-5.889177
Ceará,TIGRE,351,9707,000,000,24/05/2010,-39.15382,-5.889177
Ceará,TIGRE,351,9707,000,000,25/05/2010,-39.15382,-5.889177
Ceará,TIGRE,351,9706,000,000,26/05/2010,-39.15382,-5.889177
Ceará,TIGRE,351,9706,000,000,27/05/2010,-39.15382,-5.889177
Ceará,TIGRE,351,9706,000,000,28/05/2010,-39.15382,-5.889177
Ceará,TIGRE,351,9705,000,000,29/05/2010,-39.15382,-5.889177
Ceará,TIGRE,351,9705,000,000,30/05/2010,-39.15382,-5.889177
Ceará,TIGRE,351,9704,000,000,31/05/2010,-39.15382,-5.889177
Ceará,TIGRE,351,9703,000,000,01/06/2010,-39.15382,-5.889177
Ceará,TIGRE,351,9702,000,000,02/06/2010,-39.15382,-5.889177
Ceará,TIGRE,351,9702,000,000,03/06/2010,-39.15382,-5.889177
Ceará,TIGRE,351,9702,000,000,04/06/2010,-39.15382,-5.889177
Ceará,TIGRE,351,9702,000,000,05/06/2010,-39.15382,-5.889177
Ceará,TIGRE,351,9701,000,000,06/06/2010,-39.15382,-5.889177
Ceará,TIGRE,351,9700,000,000,07/06/2010,-39.15382,-5.889177
Ceará,TIGRE,351,9700,000,000,08/06/2010,-39.15382,-5.889177
Ceará,TIGRE,351,9699,000,000,09/06/2010,-39.15382,-5.889177
Ceará,TIGRE,351,9699,000,000,10/06/2010,-39.15382,-5.889177
Ceará,TIGRE,351,9698,000,000,11/06/2010,-39.15382,-5.889177
Ceará,TIGRE,351,9698,000,000,12/06/2010,-39.15382,-5.889177
Ceará,TIGRE,351,9687,000,000,30/06/2010,-39.15382,-5.889177
Ceará,TIGRE,351,9686,000,000,01/07/2010,-39.15382,-5.889177
Ceará,TIGRE,351,9686,000,000,02/07/2010,-39.15382,-5.889177
Ceará,TIGRE,351,9685,000,000,03/07/2010,-39.15382,-5.889177
Ceará,TIGRE,351,9684,000,000,04/07/2010,-39.15382,-5.889177
Ceará,TIGRE,351,9683,000,000,05/07/2010,-39.15382,-5.889177
Ceará,TIGRE,351,9682,000,000,06/07/2010,-39.15382,-5.889177
Ceará,TIGRE,351,9682,000,000,07/07/2010,-39.15382,-5.889177
Ceará,TIGRE,351,9681,000,000,08/07/2010,-39.15382,-5.889177
Ceará,TIGRE,351,9681,000,000,09/07/2010,-39.15382,-5.889177
