Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,TRAPIÁ II,1819,50824,000,000,01/01/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50823,000,000,02/01/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50823,000,000,03/01/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50822,000,000,04/01/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50826,000,000,05/01/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50826,000,000,06/01/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50825,000,000,07/01/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50824,000,000,08/01/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50823,000,000,09/01/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50822,000,000,10/01/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50821,000,000,11/01/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50820,000,000,12/01/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50819,000,000,13/01/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50734,000,000,14/05/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50734,000,000,15/05/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50733,000,000,16/05/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50732,000,000,17/05/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50731,000,000,18/05/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50730,000,000,19/05/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50729,000,000,20/05/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50728,000,000,21/05/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50727,000,000,22/05/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50726,000,000,23/05/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50725,000,000,24/05/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50724,000,000,25/05/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50724,000,000,26/05/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50723,000,000,27/05/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50723,000,000,28/05/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50722,000,000,29/05/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50721,000,000,30/05/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50721,000,000,31/05/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50720,000,000,01/06/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50719,000,000,02/06/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50718,000,000,03/06/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50717,000,000,04/06/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50716,000,000,05/06/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50715,000,000,06/06/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50714,000,000,07/06/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50713,000,000,08/06/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50712,000,000,09/06/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50711,000,000,10/06/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50709,000,000,11/06/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50708,000,000,12/06/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50692,000,000,30/06/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50691,000,000,01/07/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50690,000,000,02/07/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50689,000,000,03/07/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50688,000,000,04/07/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50686,000,000,05/07/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50685,000,000,06/07/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50684,000,000,07/07/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50683,000,000,08/07/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50682,000,000,09/07/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50681,000,000,10/07/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50680,000,000,11/07/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50679,000,000,12/07/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50680,000,000,13/07/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50679,000,000,14/07/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50678,000,000,15/07/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50677,000,000,16/07/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50676,000,000,17/07/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50675,000,000,18/07/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50673,000,000,19/07/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50672,000,000,20/07/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50670,000,000,21/07/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50669,000,000,22/07/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50667,000,000,23/07/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50665,000,000,24/07/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50664,000,000,25/07/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50662,000,000,26/07/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50661,000,000,27/07/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50659,000,000,28/07/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50658,000,000,29/07/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50656,000,000,30/07/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50654,000,000,31/07/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50653,000,000,01/08/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50651,000,000,02/08/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50650,000,000,03/08/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50649,000,000,04/08/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50647,000,000,05/08/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50646,000,000,06/08/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50644,000,000,07/08/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50643,000,000,08/08/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50641,000,000,09/08/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50640,000,000,10/08/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50639,000,000,11/08/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50637,000,000,12/08/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50636,000,000,13/08/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50634,000,000,14/08/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50633,000,000,15/08/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50631,000,000,16/08/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50630,000,000,17/08/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50629,000,000,18/08/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50627,000,000,19/08/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50626,000,000,20/08/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50624,000,000,21/08/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50623,000,000,22/08/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50622,000,000,23/08/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50621,000,000,24/08/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50619,000,000,25/08/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50618,000,000,26/08/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50617,000,000,27/08/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50616,000,000,28/08/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50615,000,000,29/08/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50614,000,000,30/08/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50613,000,000,31/08/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50610,000,000,01/09/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50609,000,000,02/09/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50609,000,000,03/09/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50608,000,000,04/09/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50607,000,000,05/09/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50606,000,000,06/09/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50604,000,000,07/09/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50603,000,000,08/09/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50602,000,000,09/09/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50601,000,000,10/09/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50599,000,000,11/09/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50597,000,000,12/09/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50595,000,000,13/09/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50593,000,000,14/09/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50592,000,000,15/09/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50590,000,000,16/09/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50589,000,000,17/09/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50587,000,000,18/09/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50585,000,000,19/09/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50584,000,000,20/09/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50582,000,000,21/09/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50580,000,000,22/09/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50578,000,000,23/09/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50576,000,000,24/09/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50574,000,000,25/09/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50572,000,000,26/09/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50570,000,000,27/09/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50568,000,000,28/09/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50566,000,000,29/09/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50564,000,000,30/09/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50562,000,000,01/10/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50560,000,000,02/10/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50558,000,000,03/10/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50557,000,000,04/10/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50555,000,000,05/10/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50553,000,000,06/10/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50551,000,000,07/10/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50549,000,000,08/10/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50547,000,000,09/10/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50545,000,000,10/10/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50544,000,000,11/10/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50542,000,000,12/10/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50540,000,000,13/10/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50538,000,000,14/10/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50537,000,000,15/10/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50535,000,000,16/10/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50534,000,000,17/10/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50532,000,000,18/10/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50531,000,000,19/10/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50529,000,000,20/10/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50528,000,000,21/10/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50527,000,000,22/10/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50527,000,000,23/10/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50526,000,000,24/10/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50526,000,000,25/10/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50525,000,000,26/10/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50523,000,000,27/10/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50521,000,000,28/10/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50520,000,000,29/10/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50518,000,000,30/10/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50516,000,000,31/10/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50515,000,000,01/11/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50514,000,000,02/11/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50512,000,000,03/11/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50510,000,000,04/11/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50508,000,000,05/11/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50506,000,000,06/11/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50505,000,000,07/11/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50503,000,000,08/11/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50501,000,000,09/11/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50499,000,000,10/11/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50498,000,000,11/11/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50496,000,000,12/11/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50495,000,000,13/11/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50493,000,000,14/11/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50492,000,000,15/11/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50490,000,000,16/11/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50489,000,000,17/11/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50488,000,000,18/11/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50486,000,000,19/11/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50485,000,000,20/11/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50483,000,000,21/11/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50482,000,000,22/11/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50480,000,000,23/11/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50479,000,000,24/11/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50477,000,000,25/11/2010,-39.7366728894,-5.5025788899900006
Ceará,TRAPIÁ II,1819,50475,000,000,26/11/2010,-39.7366728894,-5.5025788899900006
