Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,TRAPIÁ III,551,9847,000,000,01/01/2010,-40.711859999999994,-3.753362
Ceará,TRAPIÁ III,551,9847,000,000,02/01/2010,-40.711859999999994,-3.753362
Ceará,TRAPIÁ III,551,9846,000,000,03/01/2010,-40.711859999999994,-3.753362
Ceará,TRAPIÁ III,551,9847,000,000,04/01/2010,-40.711859999999994,-3.753362
Ceará,TRAPIÁ III,551,9846,000,000,05/01/2010,-40.711859999999994,-3.753362
Ceará,TRAPIÁ III,551,9845,000,000,06/01/2010,-40.711859999999994,-3.753362
Ceará,TRAPIÁ III,551,9844,000,000,07/01/2010,-40.711859999999994,-3.753362
Ceará,TRAPIÁ III,551,9844,000,000,08/01/2010,-40.711859999999994,-3.753362
Ceará,TRAPIÁ III,551,9843,000,000,11/01/2010,-40.711859999999994,-3.753362
Ceará,TRAPIÁ III,551,9842,000,000,12/01/2010,-40.711859999999994,-3.753362
Ceará,TRAPIÁ III,551,9842,000,000,13/01/2010,-40.711859999999994,-3.753362
Ceará,TRAPIÁ III,551,9815,000,000,14/05/2010,-40.711859999999994,-3.753362
Ceará,TRAPIÁ III,551,9815,000,000,15/05/2010,-40.711859999999994,-3.753362
Ceará,TRAPIÁ III,551,9814,000,000,16/05/2010,-40.711859999999994,-3.753362
Ceará,TRAPIÁ III,551,9814,000,000,17/05/2010,-40.711859999999994,-3.753362
Ceará,TRAPIÁ III,551,9813,000,000,18/05/2010,-40.711859999999994,-3.753362
Ceará,TRAPIÁ III,551,9812,000,000,19/05/2010,-40.711859999999994,-3.753362
Ceará,TRAPIÁ III,551,9811,000,000,20/05/2010,-40.711859999999994,-3.753362
Ceará,TRAPIÁ III,551,9814,000,000,21/05/2010,-40.711859999999994,-3.753362
Ceará,TRAPIÁ III,551,9814,000,000,22/05/2010,-40.711859999999994,-3.753362
Ceará,TRAPIÁ III,551,9814,000,000,23/05/2010,-40.711859999999994,-3.753362
Ceará,TRAPIÁ III,551,9818,000,000,24/05/2010,-40.711859999999994,-3.753362
Ceará,TRAPIÁ III,551,9818,000,000,25/05/2010,-40.711859999999994,-3.753362
Ceará,TRAPIÁ III,551,9818,000,000,26/05/2010,-40.711859999999994,-3.753362
Ceará,TRAPIÁ III,551,9817,000,000,27/05/2010,-40.711859999999994,-3.753362
Ceará,TRAPIÁ III,551,9817,000,000,28/05/2010,-40.711859999999994,-3.753362
Ceará,TRAPIÁ III,551,9817,000,000,29/05/2010,-40.711859999999994,-3.753362
Ceará,TRAPIÁ III,551,9816,000,000,30/05/2010,-40.711859999999994,-3.753362
Ceará,TRAPIÁ III,551,9816,000,000,31/05/2010,-40.711859999999994,-3.753362
Ceará,TRAPIÁ III,551,9816,000,000,01/06/2010,-40.711859999999994,-3.753362
