Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,TUCUNDUBA,4143,000,2664,6430,01/01/1983,-40.4458464533,-3.1795909254400003
Ceará,TUCUNDUBA,4143,000,2086,5036,01/06/1983,-40.4458464533,-3.1795909254400003
Ceará,TUCUNDUBA,4143,000,1061,2562,31/12/1983,-40.4458464533,-3.1795909254400003
Ceará,TUCUNDUBA,4143,000,4100,9896,18/04/1989,-40.4458464533,-3.1795909254400003
Ceará,TUCUNDUBA,4143,000,4100,9896,05/10/1992,-40.4458464533,-3.1795909254400003
Ceará,TUCUNDUBA,4143,000,3525,8508,15/03/1994,-40.4458464533,-3.1795909254400003
Ceará,TUCUNDUBA,4143,10694,2341,5650,25/08/1997,-40.4458464533,-3.1795909254400003
Ceará,TUCUNDUBA,4143,000,2315,5587,01/09/1997,-40.4458464533,-3.1795909254400003
Ceará,TUCUNDUBA,4143,000,2119,5115,15/09/1997,-40.4458464533,-3.1795909254400003
Ceará,TUCUNDUBA,4143,10647,2034,4910,29/09/1997,-40.4458464533,-3.1795909254400003
Ceará,TUCUNDUBA,4143,000,2015,4862,06/10/1997,-40.4458464533,-3.1795909254400003
Ceará,TUCUNDUBA,4143,000,1910,4611,27/10/1997,-40.4458464533,-3.1795909254400003
Ceará,TUCUNDUBA,4143,10610,1832,4422,06/11/1997,-40.4458464533,-3.1795909254400003
Ceará,TUCUNDUBA,4143,10607,1773,4280,26/11/1997,-40.4458464533,-3.1795909254400003
Ceará,TUCUNDUBA,4143,10607,1773,4280,18/12/1997,-40.4458464533,-3.1795909254400003
Ceará,TUCUNDUBA,4143,10607,1773,4280,31/12/1997,-40.4458464533,-3.1795909254400003
Ceará,TUCUNDUBA,4143,10607,1773,4280,17/01/1998,-40.4458464533,-3.1795909254400003
Ceará,TUCUNDUBA,4143,10607,1773,4280,30/01/1998,-40.4458464533,-3.1795909254400003
Ceará,TUCUNDUBA,4143,000,1625,3922,12/02/1998,-40.4458464533,-3.1795909254400003
Ceará,TUCUNDUBA,4143,10567,1566,3780,26/02/1998,-40.4458464533,-3.1795909254400003
Ceará,TUCUNDUBA,4143,10564,1541,3718,05/03/1998,-40.4458464533,-3.1795909254400003
