Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,VALÉRIO,202,5241,000,000,01/01/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5240,000,000,02/01/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5239,000,000,03/01/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5238,000,000,04/01/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5237,000,000,05/01/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5236,000,000,06/01/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5235,000,000,07/01/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5234,000,000,08/01/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5233,000,000,09/01/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5232,000,000,10/01/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5231,000,000,11/01/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5231,000,000,12/01/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5231,000,000,13/01/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5302,000,000,14/05/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5301,000,000,15/05/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5301,000,000,16/05/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5299,000,000,17/05/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5298,000,000,18/05/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5297,000,000,19/05/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5296,000,000,20/05/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5295,000,000,21/05/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5294,000,000,22/05/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5293,000,000,23/05/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5292,000,000,24/05/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5291,000,000,25/05/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5291,000,000,26/05/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5290,000,000,27/05/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5289,000,000,28/05/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5288,000,000,29/05/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5288,000,000,30/05/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5287,000,000,31/05/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5286,000,000,01/06/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5285,000,000,02/06/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5284,000,000,03/06/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5282,000,000,04/06/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5281,000,000,05/06/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5280,000,000,06/06/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5279,000,000,07/06/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5278,000,000,08/06/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5277,000,000,09/06/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5276,000,000,10/06/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5276,000,000,11/06/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5274,000,000,12/06/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5256,000,000,30/06/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5256,000,000,01/07/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5254,000,000,02/07/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5253,000,000,03/07/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5252,000,000,04/07/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5251,000,000,05/07/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5251,000,000,06/07/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5250,000,000,07/07/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5249,000,000,08/07/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5248,000,000,09/07/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5247,000,000,10/07/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5246,000,000,11/07/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5246,000,000,12/07/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5245,000,000,13/07/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5244,000,000,14/07/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5243,000,000,15/07/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5242,000,000,16/07/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5242,000,000,17/07/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5241,000,000,18/07/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5240,000,000,19/07/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5239,000,000,20/07/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5238,000,000,21/07/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5238,000,000,22/07/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5237,000,000,23/07/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5236,000,000,24/07/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5236,000,000,25/07/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5235,000,000,26/07/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5234,000,000,27/07/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5233,000,000,28/07/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5232,000,000,29/07/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5231,000,000,30/07/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5230,000,000,31/07/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5229,000,000,01/08/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5228,000,000,02/08/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5227,000,000,03/08/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5226,000,000,04/08/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5226,000,000,05/08/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5224,000,000,06/08/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5223,000,000,07/08/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5222,000,000,08/08/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5221,000,000,09/08/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5220,000,000,10/08/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5219,000,000,11/08/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5218,000,000,12/08/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5217,000,000,13/08/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5216,000,000,14/08/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5215,000,000,15/08/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5214,000,000,16/08/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5214,000,000,17/08/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5213,000,000,18/08/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5212,000,000,19/08/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5211,000,000,20/08/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5210,000,000,21/08/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5209,000,000,22/08/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5208,000,000,23/08/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5207,000,000,24/08/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5206,000,000,25/08/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5205,000,000,26/08/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5204,000,000,27/08/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5203,000,000,28/08/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5202,000,000,29/08/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5201,000,000,30/08/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5200,000,000,31/08/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5199,000,000,01/09/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5198,000,000,02/09/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5197,000,000,03/09/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5197,000,000,04/09/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5195,000,000,05/09/2010,-39.727292999999996,-6.967953
Ceará,VALÉRIO,202,5194,000,000,06/09/2010,-39.727292999999996,-6.967953
