Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,VIEIRÃO,2096,10020,000,000,01/01/2010,-39.7183924085,-5.15679628805
Ceará,VIEIRÃO,2096,10020,000,000,02/01/2010,-39.7183924085,-5.15679628805
Ceará,VIEIRÃO,2096,10020,000,000,03/01/2010,-39.7183924085,-5.15679628805
Ceará,VIEIRÃO,2096,10020,000,000,04/01/2010,-39.7183924085,-5.15679628805
Ceará,VIEIRÃO,2096,10019,000,000,05/01/2010,-39.7183924085,-5.15679628805
Ceará,VIEIRÃO,2096,10018,000,000,06/01/2010,-39.7183924085,-5.15679628805
Ceará,VIEIRÃO,2096,10018,000,000,07/01/2010,-39.7183924085,-5.15679628805
Ceará,VIEIRÃO,2096,10017,000,000,08/01/2010,-39.7183924085,-5.15679628805
Ceará,VIEIRÃO,2096,10016,000,000,09/01/2010,-39.7183924085,-5.15679628805
Ceará,VIEIRÃO,2096,10015,000,000,10/01/2010,-39.7183924085,-5.15679628805
Ceará,VIEIRÃO,2096,10015,000,000,11/01/2010,-39.7183924085,-5.15679628805
Ceará,VIEIRÃO,2096,10014,000,000,12/01/2010,-39.7183924085,-5.15679628805
Ceará,VIEIRÃO,2096,10013,000,000,13/01/2010,-39.7183924085,-5.15679628805
Ceará,VIEIRÃO,2096,9980,000,000,14/05/2010,-39.7183924085,-5.15679628805
Ceará,VIEIRÃO,2096,9979,000,000,15/05/2010,-39.7183924085,-5.15679628805
Ceará,VIEIRÃO,2096,9979,000,000,16/05/2010,-39.7183924085,-5.15679628805
Ceará,VIEIRÃO,2096,9978,000,000,17/05/2010,-39.7183924085,-5.15679628805
Ceará,VIEIRÃO,2096,9977,000,000,18/05/2010,-39.7183924085,-5.15679628805
Ceará,VIEIRÃO,2096,9976,000,000,19/05/2010,-39.7183924085,-5.15679628805
Ceará,VIEIRÃO,2096,9976,000,000,20/05/2010,-39.7183924085,-5.15679628805
Ceará,VIEIRÃO,2096,9976,000,000,21/05/2010,-39.7183924085,-5.15679628805
Ceará,VIEIRÃO,2096,9975,000,000,22/05/2010,-39.7183924085,-5.15679628805
Ceará,VIEIRÃO,2096,9974,000,000,23/05/2010,-39.7183924085,-5.15679628805
Ceará,VIEIRÃO,2096,9973,000,000,24/05/2010,-39.7183924085,-5.15679628805
Ceará,VIEIRÃO,2096,9972,000,000,25/05/2010,-39.7183924085,-5.15679628805
Ceará,VIEIRÃO,2096,9971,000,000,26/05/2010,-39.7183924085,-5.15679628805
Ceará,VIEIRÃO,2096,9971,000,000,27/05/2010,-39.7183924085,-5.15679628805
Ceará,VIEIRÃO,2096,9970,000,000,28/05/2010,-39.7183924085,-5.15679628805
Ceará,VIEIRÃO,2096,9970,000,000,29/05/2010,-39.7183924085,-5.15679628805
Ceará,VIEIRÃO,2096,9969,000,000,30/05/2010,-39.7183924085,-5.15679628805
Ceará,VIEIRÃO,2096,9969,000,000,31/05/2010,-39.7183924085,-5.15679628805
Ceará,VIEIRÃO,2096,9968,000,000,01/06/2010,-39.7183924085,-5.15679628805
Ceará,VIEIRÃO,2096,9967,000,000,02/06/2010,-39.7183924085,-5.15679628805
Ceará,VIEIRÃO,2096,9969,000,000,03/06/2010,-39.7183924085,-5.15679628805
Ceará,VIEIRÃO,2096,9969,000,000,04/06/2010,-39.7183924085,-5.15679628805
Ceará,VIEIRÃO,2096,9968,000,000,05/06/2010,-39.7183924085,-5.15679628805
Ceará,VIEIRÃO,2096,9968,000,000,06/06/2010,-39.7183924085,-5.15679628805
Ceará,VIEIRÃO,2096,9967,000,000,07/06/2010,-39.7183924085,-5.15679628805
Ceará,VIEIRÃO,2096,9966,000,000,08/06/2010,-39.7183924085,-5.15679628805
Ceará,VIEIRÃO,2096,9965,000,000,09/06/2010,-39.7183924085,-5.15679628805
Ceará,VIEIRÃO,2096,9964,000,000,10/06/2010,-39.7183924085,-5.15679628805
Ceará,VIEIRÃO,2096,9963,000,000,11/06/2010,-39.7183924085,-5.15679628805
Ceará,VIEIRÃO,2096,9962,000,000,12/06/2010,-39.7183924085,-5.15679628805
Ceará,VIEIRÃO,2096,9949,000,000,30/06/2010,-39.7183924085,-5.15679628805
Ceará,VIEIRÃO,2096,9949,000,000,01/07/2010,-39.7183924085,-5.15679628805
Ceará,VIEIRÃO,2096,9948,000,000,02/07/2010,-39.7183924085,-5.15679628805
Ceará,VIEIRÃO,2096,9947,000,000,03/07/2010,-39.7183924085,-5.15679628805
Ceará,VIEIRÃO,2096,9946,000,000,04/07/2010,-39.7183924085,-5.15679628805
Ceará,VIEIRÃO,2096,9944,000,000,05/07/2010,-39.7183924085,-5.15679628805
Ceará,VIEIRÃO,2096,9943,000,000,06/07/2010,-39.7183924085,-5.15679628805
