Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,VÁRZEA DA VOLTA,1250,000,540,4320,01/01/1983,-40.6146865971,-3.5021432096800007
Ceará,VÁRZEA DA VOLTA,1250,000,416,3328,01/06/1983,-40.6146865971,-3.5021432096800007
Ceará,VÁRZEA DA VOLTA,1250,000,211,1686,31/12/1983,-40.6146865971,-3.5021432096800007
Ceará,VÁRZEA DA VOLTA,1250,000,1250,10000,05/03/1989,-40.6146865971,-3.5021432096800007
Ceará,VÁRZEA DA VOLTA,1250,000,597,4774,05/10/1992,-40.6146865971,-3.5021432096800007
Ceará,VÁRZEA DA VOLTA,1250,000,481,3848,15/03/1994,-40.6146865971,-3.5021432096800007
Ceará,VÁRZEA DA VOLTA,1250,10755,1004,8032,25/08/1997,-40.6146865971,-3.5021432096800007
Ceará,VÁRZEA DA VOLTA,1250,000,955,7637,01/09/1997,-40.6146865971,-3.5021432096800007
Ceará,VÁRZEA DA VOLTA,1250,000,895,7160,15/09/1997,-40.6146865971,-3.5021432096800007
Ceará,VÁRZEA DA VOLTA,1250,10718,846,6768,29/09/1997,-40.6146865971,-3.5021432096800007
Ceará,VÁRZEA DA VOLTA,1250,000,813,6504,06/10/1997,-40.6146865971,-3.5021432096800007
Ceará,VÁRZEA DA VOLTA,1250,000,764,6110,27/10/1997,-40.6146865971,-3.5021432096800007
Ceará,VÁRZEA DA VOLTA,1250,10685,733,5864,06/11/1997,-40.6146865971,-3.5021432096800007
Ceará,VÁRZEA DA VOLTA,1250,10669,670,5360,26/11/1997,-40.6146865971,-3.5021432096800007
Ceará,VÁRZEA DA VOLTA,1250,10643,597,4774,18/12/1997,-40.6146865971,-3.5021432096800007
Ceará,VÁRZEA DA VOLTA,1250,10640,589,4712,31/12/1997,-40.6146865971,-3.5021432096800007
Ceará,VÁRZEA DA VOLTA,1250,10634,574,4592,17/01/1998,-40.6146865971,-3.5021432096800007
Ceará,VÁRZEA DA VOLTA,1250,000,605,4837,12/02/1998,-40.6146865971,-3.5021432096800007
Ceará,VÁRZEA DA VOLTA,1250,10646,605,4837,26/02/1998,-40.6146865971,-3.5021432096800007
Ceará,VÁRZEA DA VOLTA,1250,10646,605,4837,05/03/1998,-40.6146865971,-3.5021432096800007
Ceará,VÁRZEA DA VOLTA,1250,000,582,4654,02/04/1998,-40.6146865971,-3.5021432096800007
Ceará,VÁRZEA DA VOLTA,1250,000,582,4654,16/04/1998,-40.6146865971,-3.5021432096800007
Ceará,VÁRZEA DA VOLTA,1250,10638,584,4672,23/04/1998,-40.6146865971,-3.5021432096800007
Ceará,VÁRZEA DA VOLTA,1250,000,559,4474,20/05/1998,-40.6146865971,-3.5021432096800007
Ceará,VÁRZEA DA VOLTA,1250,000,545,4358,30/05/1998,-40.6146865971,-3.5021432096800007
Ceará,VÁRZEA DA VOLTA,1250,10622,545,4358,03/06/1998,-40.6146865971,-3.5021432096800007
Ceará,VÁRZEA DA VOLTA,1250,000,545,4358,10/06/1998,-40.6146865971,-3.5021432096800007
Ceará,VÁRZEA DA VOLTA,1250,000,545,4358,25/06/1998,-40.6146865971,-3.5021432096800007
Ceará,VÁRZEA DA VOLTA,1250,10622,545,4358,02/07/1998,-40.6146865971,-3.5021432096800007
Ceará,VÁRZEA DA VOLTA,1250,000,545,4358,17/07/1998,-40.6146865971,-3.5021432096800007
Ceará,VÁRZEA DA VOLTA,1250,000,469,3749,06/08/1998,-40.6146865971,-3.5021432096800007
