--------------------
BDMEP - INMET
--------------------
Estação           : ACARAU - CE (OMM: 82294)
Latitude  (graus) : -2.88
Longitude (graus) : -40.14
Altitude  (metros): 16.50
Estação Desativada
Inicio de operação: 01/01/1923
Periodo solicitado dos dados: 01/01/1920 a 01/10/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
82294;31/01/1961;0000;9;1.804348;4;;;;;6.163043;8;150.8;;;32.609677;;21.067742;;;
82294;28/02/1961;0000;0;0.25;4;;;;;9.285714;20;429.8;;;30.607143;;19.525;;;
82294;31/03/1961;0000;0;0.698925;4;;;;;9.053763;17;498.2;;;31.064516;;18.764516;;;
82294;30/04/1961;0000;0;0.333333;2;;;;;9.133333;26;834.4;;;31.526667;;19.19;;;
82294;31/05/1961;0000;0;0.526882;4;;;;;9.086022;15;275;;;31.509677;;19.151613;;;
82294;30/06/1961;0000;9;1.377778;4;;;;;6.033333;1;18;;;31.936667;;20.78;;;
82294;31/07/1961;0000;;;;;;;;;;0;;;;;;;;
82294;31/08/1961;0000;;;;;;;;;;0;;;;;;;;
82294;30/09/1961;0000;9;2.022472;6;;;;;7;;0;;;32.036667;;20.206667;;;
82294;31/10/1961;0000;9;2.913978;6;;;;;6.623656;0;0;;;32.190323;;20.996774;;;
82294;30/11/1961;0000;9;2.155556;6;;;;;6.777778;0;0;;;32.073333;;20.406667;;;
82294;31/12/1961;0000;9;1.655914;4;;;;;6.204301;2;65;;;32.325806;;21.048387;;;
82294;31/01/1962;0000;0;1.010753;4;;;;;7.817204;6;166.6;;;32.103226;;20.435484;;;
82294;28/02/1962;0000;0;0.702381;4;;;;;8.345238;9;248.8;;;31.796429;;20.45;;;
82294;31/03/1962;0000;0;0.55914;4;;;;;8.83871;18;459;;;31.032258;;19.419355;;;
82294;30/04/1962;0000;0;0.666667;4;;;;;8.722222;14;301.6;;;31.866667;;20.43;;;
82294;31/05/1962;0000;0;0.946237;6;;;;;8.591398;14;288.6;;;31.787097;;20.983871;;;
