--------------------
BDMEP - INMET
--------------------
Estação           : BARBALHA - CE (OMM: 82784)
Latitude  (graus) : -7.31
Longitude (graus) : -39.3
Altitude  (metros): 409.03
Estação Operante
Inicio de operação: 01/01/1948
Periodo solicitado dos dados: 01/01/1920 a 01/10/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
82784;31/01/1973;0000;0;0.576087;3;172.4;;;223.3;7.054348;11;66.6;;966.095652;32.1;;;70.298387;;
82784;28/02/1973;0000;0;0.428571;3;134.9;;;188;6.571429;13;97.9;;965.080952;32.475;;;72.116071;;
82784;31/03/1973;0000;0;0.419355;3;112.8;;;217;6.623656;16;231.3;;965.137634;31.36129;23.898065;21.77619;80.483871;;
82784;30/04/1973;0000;0;0.544444;3;107.7;;;190.7;7.2;18;377.3;;965.3;30.046667;24.608667;21.23;81.641667;;
82784;31/05/1973;0000;0;0.731183;3;129;;;230.2;5.365591;8;48;;966.425806;29.970968;24.074839;20.406452;79.66129;;
82784;30/06/1973;0000;0;0.933333;3;134.1;;;214.3;6.166667;11;100.9;;966.817778;29.516667;23.966;20.386667;78.175;;
82784;31/07/1973;0000;0;0.967742;5;178;;;259.8;4.258065;5;73.5;;967.588172;29.574194;23.249677;19.06129;72.693548;;
82784;31/08/1973;0000;;;5.6;;;;;;1;47.2;;967.357778;31.205263;24.109474;19.55;63.434211;;
82784;30/09/1973;0000;14;2.404444;4.8;283.3;;;268.3;4.833333;3;3.8;;966.725676;33.043333;26.013333;20.516667;53.666667;;
82784;31/10/1973;0000;5;1.917204;4.8;250.7;;;272.2;5.010753;10;31.3;;964.377419;33.403226;25.689032;20.574194;56.580645;;
82784;30/11/1973;0000;5;1.765556;4.3;277.6;;;256;5.144444;4;4.3;;964.152222;34.386667;26.671333;21.73;48.941667;;
82784;31/12/1973;0000;9;1.678495;5.1;232.5;;;248.7;5.978495;14;131.6;;964.27957;33.335484;26.467742;22.3;58.346774;;
82784;31/01/1974;0000;36;1.388172;5;143.9;;;220.5;7.172043;15;236.9;;964.154839;31.080645;24.628387;20.509677;69.927419;;
82784;28/02/1974;0000;36;1.27381;3.8;80.8;;;171.7;7.238095;22;392.9;;964.042857;29.7;23.772857;20.189286;80.982143;;
82784;31/03/1974;0000;9;1.28172;4.5;71.4;;;158;7.956989;25;459.1;;964.549462;28.925806;23.805806;20.3;84.935484;;
82784;30/04/1974;0000;14;1.217778;5;76.4;;;168.7;7.766667;21;196.6;;965.422222;29.276667;23.946;20.35;84.591667;;
82784;31/05/1974;0000;14;1.611828;3.6;120.9;;;240.9;5.774194;9;20.2;;966.906452;29.329032;23.305161;19.096774;78.217742;;
82784;30/06/1974;0000;14;2.295556;5.6;160.4;;;223.5;5.255556;3;1.5;;966.602222;28.576667;22.629333;17.92;70.516667;;
82784;31/07/1974;0000;14;3.137634;7.1;211.5;;;231;4.860215;3;6.3;;968.743011;27.854839;22.629677;18.306452;65.217742;;
82784;31/08/1974;0000;14;2.67957;5.5;277.2;;;296.9;3.591398;0;0;;967.070968;31.316129;24.36;18.090323;52.854839;;
82784;30/09/1974;0000;14;2.4;5.6;300.3;;;270.3;5.3;1;1.4;;966.192222;32.386667;25.538667;19.563333;48.783333;;
82784;31/10/1974;0000;9;1.876344;6;243.7;;;274.3;4.043011;7;39;;964.452688;33.254839;25.352258;19.732258;54.935484;;
82784;30/11/1974;0000;5;1.873333;4.6;208.9;;;224.9;5.655556;7;27.4;;963.63;32.253333;25.232;20.436667;58.891667;;
82784;31/12/1974;0000;9;1.966667;5.6;207.8;;;266.2;6.623656;9;57.1;;963.683871;32.822581;25.556774;20.280645;59.427419;;
82784;31/01/1975;0000;9;1.694624;5;190.2;;;220.2;7.150538;17;291.7;;964.002151;31.903226;25.212258;20.112903;64.322581;;
82784;28/02/1975;0000;9;1.197619;3.5;74.8;;;145.8;7.488095;15;177.6;;964.684524;29.410714;23.758571;19.778571;80.392857;;
82784;31/03/1975;0000;5;1.233333;3.6;67.6;;;154.6;7.548387;24;316.9;;965.026882;29.2;21.24;;84.725806;;
82784;30/04/1975;0000;5;1.318889;3.3;81;;;210.4;6.233333;18;165.5;;964.427778;29.78;21.985333;;81.666667;;
82784;31/05/1975;0000;14;2.055914;4.6;117;;;186;6.397849;9;31.2;;965.731183;28.187097;23.276774;19.935484;77.846774;;
82784;30/06/1975;0000;14;2.257778;5;131.1;;;231.7;6.2;8;45.5;;967.538889;28.376667;23.218667;19.586667;73.875;;
82784;31/07/1975;0000;14;2.696774;5.3;165;;;220.4;6.236559;7;24.9;;967.791398;27.987097;22.588387;18.754839;70.451613;;
82784;31/08/1975;0000;14;2.732258;5;256.4;;;286.7;3.72043;1;0.1;;967.72043;30.051613;23.53871;18.645161;56.16129;;
82784;30/09/1975;0000;14;3.061111;5.8;292.6;;;286.8;3.822222;3;4;;966.828889;32.11;25.24;19.603333;50.183333;;
82784;31/10/1975;0000;5;1.667742;3.8;242.4;;;253.7;4.946237;5;15.3;;964.290323;33.922581;25.732258;20.587097;52.451613;;
82784;30/11/1975;0000;9;1.888889;4.6;267.2;;;295.9;4.744444;4;34.3;;963.633333;34.13;26.124;20.643333;48.566667;;
82784;31/12/1975;0000;9;1.917204;4.3;230.7;;;234.7;6.376344;10;65.5;;963.411828;32.435484;25.75871;20.980645;59.451613;;
82784;31/01/1976;0000;9;1.609677;5;213.7;;;248.1;6.602151;12;79.9;;963.41828;32.551613;25.520645;20.670968;60.266129;;
82784;29/02/1976;0000;5;1.524138;5.5;99.3;;;187.1;7.068966;20;422.5;;964.218391;29.582759;23.834483;20.27931;79.362069;;
82784;31/03/1976;0000;9;1.484946;4;100.3;;;223.6;6.483871;17;131.5;;963.813978;29.93871;23.949032;20.316667;79.379032;;
82784;30/04/1976;0000;9;1.773333;3.6;110.6;;;241.4;5.411111;11;98.1;;965.433333;29.706667;23.147333;19.189286;77.6;;
82784;31/05/1976;0000;14;1.47957;4;141.9;;;265.1;5;4;12.3;;966.08172;30.867742;23.043226;18.131034;71.451613;;
82784;30/06/1976;0000;14;2.365556;6;227.3;;;293.5;3.488889;2;0.9;;966.801111;30.906667;23.586667;17.239286;56.808333;;
82784;31/07/1976;0000;14;2.721505;6.1;312.4;;;273.8;3.247312;1;1.2;;968.844086;30.848387;24.09871;18.166667;49.169355;;
82784;31/08/1976;0000;9;2.363441;4.6;313.5;;;315.4;2.72043;1;4.9;;967.704301;32.148387;24.344516;17.755172;47.274194;;
82784;30/09/1976;0000;9;1.904444;4.5;261;;;248.5;5;4;39.8;;966.318889;32.896667;25.198667;18.87;52.441667;;
82784;31/10/1976;0000;9;1.687097;4.6;164.9;;;199.8;6.419355;11;63.9;;964.901075;30.963333;23.916667;19.693103;70.629032;;
82784;30/11/1976;0000;5;1.397778;5;145.3;;;234.6;5.766667;12;139.8;;964.018889;31.026667;24.045333;19.689655;70.458333;;
82784;31/12/1976;0000;5;1.37957;4.1;174;;;291.5;5.258065;9;65.8;;963.390323;32.6;25.08129;19.626667;64.266129;;
82784;31/01/1977;0000;9;1.603226;4.6;143.8;;;151.4;8.16129;15;152.3;;964.180645;29.729032;24.581935;20.6;75.008065;;
82784;28/02/1977;0000;9;1.572619;4.8;102;;;162.5;6.988095;20;135.5;;965.179762;29.660714;24.038571;20.25;81.026786;;
82784;31/03/1977;0000;5;1.253763;3.3;86.5;;;179.3;6.580645;20;287.2;;964.423656;29.587097;24.007097;20.332258;84.491935;;
82784;30/04/1977;0000;9;1.578889;4.1;81.8;;;176.3;6.688889;19;173;;964.601111;29.536667;24.022667;20.043333;;;
82784;31/05/1977;0000;14;1.944086;4.5;123.5;;;209.9;7.075269;15;42.1;;965.886022;29.23871;23.781935;19.583871;;;
82784;30/06/1977;0000;14;2.392222;5.5;144.8;;;186.7;6.122222;8;19.9;;967.228889;28.746667;23.335333;18.896667;75.543478;;
82784;31/07/1977;0000;14;2.876344;5.6;194.6;;;197.1;5.989247;7;40.2;;967.850538;28.809677;22.834194;17.832258;75.25;;
82784;31/08/1977;0000;14;2.574194;5.6;269.8;;;290.9;3.010753;1;0.3;;967.077419;31.516129;23.815484;16.880645;59.879032;;
82784;30/09/1977;0000;14;2.647778;6;295.7;;;251;5.033333;3;20.4;;966.566667;32.616667;25.841333;19.843333;55.933333;;
82784;31/10/1977;0000;14;1.805376;3.5;266.1;;;256;6.010753;7;39.6;;965.137634;33.712903;26.374839;20.490323;57.169355;;
82784;30/11/1977;0000;5;1.881111;4.6;268.1;;;265.9;4.744444;7;15;;963.862222;34.4;26.54;20.723333;54.616667;;
82784;31/12/1977;0000;5;1.615054;3.8;208.3;;;172.7;6.946237;6;36.3;;964.194624;32.370968;25.960645;21.03871;65.491935;;
82784;31/01/1978;0000;5;1.509677;3.8;153;;;219.5;6.225806;15;179.4;;965.212903;31.748387;25.116774;20.290323;72.846774;;
82784;28/02/1978;0000;5;1.386905;3.3;88.2;;;115.7;7.833333;16;322.1;;964.863095;29.360714;24.241429;20.371429;80.598214;;
82784;31/03/1978;0000;9;1.494624;3.8;105.6;;;156;7.935484;16;183.9;;965.446237;29.554839;24.032903;19.903226;81.475806;;
82784;30/04/1978;0000;9;1.594444;3.6;106.3;;;201.2;6.8;13;250.2;;964.522222;29.883333;24.004667;19.693333;83.583333;;
82784;31/05/1978;0000;14;1.47957;4.6;91.6;;;217.1;6.268817;14;168;;965.287097;29.074194;23.388387;19.016129;83.233871;;
82784;30/06/1978;0000;14;2.412222;8.3;157.2;;;223.5;5.322222;5;4.5;;967.956667;28.15;22.914667;18.056667;73.066667;;
82784;31/07/1978;0000;14;2.052688;5.1;156.8;;;236.8;5.645161;8;27.8;;966.655914;29.864286;23.295;18.633333;71.517857;;
82784;31/08/1978;0000;14;2.643011;5.8;288.3;;;293.3;3.763441;2;0.2;;968;31.019355;23.87871;17.970968;59.701613;;
82784;30/09/1978;0000;14;2.672222;5.1;290.1;;;273.7;4.244444;4;35.2;;966.687778;32.14;25.041333;18.783333;61.233333;;
82784;31/10/1978;0000;14;2.239785;5;283.9;;;277;5.301075;4;5.1;;964.808602;33.787097;26.239355;20.36129;56.596774;;
82784;30/11/1978;0000;9;1.891111;4;291.8;;;260.7;5.222222;7;37.3;;964.052222;33.966667;26.512;20.613333;53.258333;;
82784;31/12/1978;0000;5;1.663441;3.8;186.6;;;192.7;8.236559;11;42.2;;964.25914;32.229032;25.834194;21.122581;67.298387;;
82784;31/01/1979;0000;;;;;;;;;6;294.2;;;32.404762;;20.9;;;
82784;28/02/1979;0000;;;3.3;;;;133;;11;141.5;;957.281579;29.680769;;20.996154;;;
82784;31/03/1979;0000;;;3.3;;;;;;12;239.9;;957.011765;30.091304;;20.608696;;;
82784;30/04/1979;0000;;;;;;;183.7;;9;165.2;;;29.696154;;20.434615;;;
82784;31/05/1979;0000;;;3.6;111.7;;;175.1;;9;39.9;;958.894444;29.082143;22.867778;19.803571;78.277778;;
82784;30/06/1979;0000;;;5.6;188;;;219.5;;1;0.3;;960.744444;28.860714;;19.092857;;;
82784;31/07/1979;0000;;;;229.3;;;267.9;;2;1.6;;;30.196667;;18.336667;;;
82784;31/08/1979;0000;;;;262.9;;;265.1;;2;13.1;;;32.093103;;19.144828;;;
82784;30/09/1979;0000;;;;;;;216.7;;1;5.8;;;32.996154;;20.246154;;;
82784;31/10/1979;0000;;;;291.3;;;262.8;;3;5.9;;;34.393103;;20.586207;;;
82784;30/11/1979;0000;;;;215;;;216.4;;10;107.4;;;33.460714;;21.510714;;;
82784;31/12/1979;0000;;;;200.3;;;225;;9;41;;;33.49;;20.993333;;;
82784;31/01/1980;0000;14;1.509639;3.3;131.2;;;186;7.722892;17;212.5;;964.538554;31.175;25.027857;21.225;73.388889;;
82784;29/02/1980;0000;5;1.45977;3.6;94;;;127.9;8.942529;20;266.9;;963.887356;29.668966;24.456552;21.017241;78.544643;;
82784;31/03/1980;0000;14;1.927273;5;135.4;;;215;6.420455;8;163.8;;964.955682;30.113793;24.096552;20.141379;73.074074;;
82784;30/04/1980;0000;14;1.675;4.5;;;;;5.15;2;20.3;;964.388333;31.06;24.709;20.755;;;
82784;31/05/1980;0000;14;2.12;5;;;;;4.909091;2;0.5;;965.86;31.605263;25.1;20.821053;;;
82784;30/06/1980;0000;14;2.287179;5.3;;;;187;5.141026;5;5.4;;967.451282;30.596154;24.526923;19.934615;59.46875;;
82784;31/07/1980;0000;14;2.773973;5;;;;221;2.680556;;0;;967.663889;31.366667;24.954167;19.095833;46.644737;;
82784;31/08/1980;0000;14;2.763636;5.1;;;;258.9;2.597403;;0;;967.442857;32.323077;25.443846;19.6;40.59;;
82784;30/09/1980;0000;14;2.342667;5;;;;200.9;4.306667;3;5.3;;966.061333;33.456;26.5;20.776;42.934783;;
82784;31/10/1980;0000;14;2.158974;4.8;;;;221.6;5.205128;1;4.2;;965.675641;33.85;27.053077;21.303846;42.99;;
82784;30/11/1980;0000;5;1.177778;3.5;165.4;;;205.2;5.493827;11;106.8;;964.017284;32.303704;25.417037;21.188889;62.12963;;
82784;31/12/1980;0000;5;1.631183;5;166.3;;;221.2;5.537634;10;102.1;;963.629032;31.529032;24.72;20.464516;65.483871;;
82784;31/01/1981;0000;9;1.565217;3.8;142.1;;;210.3;6.956989;12;91.9;;964.546237;31.193548;25.133548;21.03871;66.620968;;
82784;28/02/1981;0000;9;1.886905;5.1;184;;;224.8;5.5;6;48.7;;964.086905;31.867857;25.407857;20.792857;68.294118;;
82784;31/03/1981;0000;9;1.360714;4.5;116.5;;;154.5;6.97619;16;298.7;;964.482143;30.614286;24.865714;20.889286;84.926471;;
82784;30/04/1981;0000;9;1.688889;4.1;134.6;;;246.3;4.677778;5;61.2;;964.757778;30.2;24.169333;19.996667;71.875;;
82784;31/05/1981;0000;14;2.221505;4.6;221.3;;;264.7;5.182796;1;1.9;;965.833333;30.535484;24.630968;19.996774;59.14;;
82784;30/06/1981;0000;14;2.403448;5.5;224.2;;;271;3.436782;2;5.8;;967.46092;30.372414;24.244138;18.965517;54.357143;;
82784;31/07/1981;0000;14;3.066667;5.1;298;;;299.5;3.032258;2;0.3;;968.273118;30.377419;24.196129;18.654839;46.169355;;
82784;31/08/1981;0000;14;3.077778;5.5;290.4;;;306.2;2.677778;1;2.1;;967.013333;31.97;25.146667;18.766667;42.53;;
82784;30/09/1981;0000;14;3.138372;7.1;290.1;;;288.4;2.767442;;0;;967.005814;32.97931;26.239286;19.755172;38.428571;;
82784;31/10/1981;0000;5;2.210345;4.6;266.5;;;283.5;4.287356;2;3.3;;964.414943;35.268966;27.61931;21.3;37.1125;;
82784;30/11/1981;0000;5;2.184524;4.8;250.6;;;268;4.940476;2;1.2;;962.872619;34.778571;28.142857;22.853571;40.680556;;
82784;31/12/1981;0000;14;2.353846;5;261.4;;;242.1;6.714286;6;39.7;;963.867033;33.9;27.864;22.803333;49.980769;;
82784;31/01/1982;0000;36;1.419101;3.3;132.2;;;196.8;6.382022;14;81.2;;963.72093;31.37;25.402;21.716667;68.941667;;
82784;28/02/1982;0000;14;1.574074;3.8;133.1;;;155.9;7.395062;13;45.3;;964.155556;31.611111;25.699259;21.974074;71.7125;;
82784;31/03/1982;0000;5;1.324359;3.3;;;;167.1;6.717949;15;116.8;;963.435897;30.853846;25.198462;21.811538;75.464286;;
82784;30/04/1982;0000;9;1.722727;4.5;;;;;6.848485;10;152.3;;964.898485;29.986364;24.853636;21.6;75.027778;;
82784;31/05/1982;0000;14;2.342529;6.1;147.6;;;196.6;5.528736;5;15.6;;966.091954;29.8;24.329655;20.403448;66.642857;;
82784;30/06/1982;0000;14;2.344;4.6;;;;214.9;4.32;3;8.2;;967.501333;31.74;25.0424;19.74;52.964286;;
82784;31/07/1982;0000;14;2.52963;4.8;198.6;;;214.2;4.888889;3;1.1;;967.476543;30.996296;24.602963;19.181481;57.333333;;
82784;31/08/1982;0000;14;2.830137;5.6;;;;209.4;3.684932;;0;;967.823288;32.066667;25.694167;19.891667;51.586957;;
82784;30/09/1982;0000;14;2.681395;6.1;258.7;;;250.9;5.104651;1;0.1;;966.096512;33.662069;27.066897;21.824138;51.544643;;
82784;31/10/1982;0000;9;2.335802;5;239.9;;;237.7;3.753086;1;9.7;;964.485185;34.588889;27.53037;21.511111;49.481481;;
82784;30/11/1982;0000;9;2.227778;4.8;;;;230.6;4.75;2;57;;963.845833;34.920833;27.801667;22.5;44.880435;;
82784;31/12/1982;0000;5;2.055682;4.5;215.8;;;233.5;6.170455;10;35.6;;963.836364;34.051724;27.570345;22.706897;48.037037;;
82784;31/01/1983;0000;5;1.496739;3.3;140.6;;;214.7;6.413043;13;98.6;;963.947826;32.293548;25.908387;21.36129;65.483871;;
82784;28/02/1983;0000;9;1.716667;6.9;97.6;;;189.5;6.333333;11;376.3;;965.088095;30.303571;24.924286;21.435714;75.5625;;
82784;31/03/1983;0000;9;1.578495;5;103.3;;;237.4;6.021505;17;127.6;;964.610753;31.377419;25.400645;21.577419;75.435484;;
82784;30/04/1983;0000;9;1.833333;5;127.2;;;266.6;4.344444;7;43.7;;964.572222;31.286667;24.772667;20.15;71.6;;
82784;31/05/1983;0000;14;1.64086;3.8;184.9;;;271.1;4.967742;6;13.1;;964.444086;33.16129;25.686452;20.490323;61.516129;;
82784;30/06/1983;0000;14;2.248315;5;216;;;266.8;3.303371;4;9.2;;966.744944;32.286667;24.988276;19.003333;53.87931;;
82784;31/07/1983;0000;14;2.283077;4.6;;;;;3.123077;2;5.5;;967.089231;31.734783;25.233333;19.026087;48.595238;;
82784;31/08/1983;0000;14;2.748387;5.1;279.3;;;277.7;3.483871;3;2.2;;968.070968;32.696774;25.920645;20.048387;47.177419;;
82784;30/09/1983;0000;9;2.23;4.3;303.1;;;274;3.711111;1;0.6;;966.144444;34.53;27.104;20.66;39.625;;
82784;31/10/1983;0000;9;2.527957;6.1;318.2;;;288.6;4.935484;2;0.9;;965.052688;34.641935;27.769032;22.109677;41.322581;;
