Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia
82583;31/12/1962;0000;9;2.836957;8;288.1;;;211.3;6.25;2;22.6;;978.848913;34.458065;27.459355;18.441935;53.185484;
82583;31/01/1963;0000;9;2.258065;6;212.4;;;197.7;6.666667;9;124.3;;978.087097;32.922581;25.947742;18.516129;68.629032;
82583;28/02/1963;0000;0;1.75;6;101.4;;;154.8;7.178571;11;217.5;;979.041667;30.996429;24.476429;17.435714;81.169643;
82583;31/03/1963;0000;0;2.086022;14;72.2;;;127.9;8.129032;24;461.5;;979.849462;29.564516;24.41871;20.387097;87.685484;
82583;30/04/1963;0000;0;1.7;6;81.1;;;178.6;6.633333;15;115.5;;980.152222;30.216667;25.205333;21.596667;83.783333;
82583;31/05/1963;0000;14;2.075269;6;154.2;;;242.8;3.88172;1;10.3;;981.85914;30.777419;25.038065;20.374194;70.282258;
82583;30/06/1963;0000;14;2.244444;8;223.3;;;238.6;3.844444;1;1.8;;982.883333;31.946667;25.769333;20.543333;56.591667;
82583;31/07/1963;0000;14;2.27957;8;254.6;;;277.6;3.139785;1;1.9;;982.576344;32.370968;26.118065;20.496774;49.572581;
82583;30/09/1963;0000;14;2.698795;10;287.8;;;261.3;2.807229;;0;;980.838554;34.496429;27.412857;19.482143;43;
82583;30/11/1963;0000;9;2.94382;8;314;;;227.3;5.404494;4;46.3;;979.17191;34.946667;27.768;19.25;50.741667;
82583;31/12/1963;0000;9;2.204301;6;210.7;;;;7.064516;12;114.7;;979.491398;32.496774;26.963871;21.193548;64.177419;
82583;29/02/1964;0000;14;1.988372;6;95.6;;;;7.744186;18;209.5;;979.294186;30.034483;25.042069;21.441379;79.857143;
82583;31/03/1964;0000;9;1.817204;4;79.8;;;159.8;7.602151;22;295.7;;980.419355;28.745161;24.940645;21.783871;83.395161;
82583;30/04/1964;0000;14;1.922222;7;67.8;;;151.4;7.377778;22;376.8;;980.301111;28.256667;24.693333;21.75;84.016667;
82583;31/05/1964;0000;14;1.946237;5;86.1;;;167;5.870968;18;91.6;;981.386022;28.522581;24.588387;21.56129;81.467742;
82583;30/06/1964;0000;9;2.177778;6;131.9;;;218.3;4.633333;4;8.2;;981.392222;29.016667;24.227333;20.086667;73.075;
82583;31/07/1964;0000;14;2.301075;8;185.8;;;235.9;4.784946;5;6.4;;982.013978;30.470968;24.763226;19.690323;62.790323;
82583;31/08/1964;0000;14;2.698925;12;254.8;;;275.8;3.462366;3;12.2;;981.806452;31.890323;25.689032;20.383871;54.854839;
82583;30/09/1964;0000;14;2.4;8;273.2;;;250.2;3.7;2;3.6;;981.31;33.106667;27.111333;21.98;50.041667;
82583;31/10/1964;0000;14;2.621505;8;318.8;;;272.5;3.462366;0;0;;979.775269;34.058065;27.66;21.977419;46.933333;
82583;30/11/1964;0000;9;3.346667;7.9;288.2;;;254.8;3.5;0;0;;979.145556;;;22.196667;47.45;
82583;31/12/1964;0000;9;3.262366;6.9;327.5;;;250.7;3.688172;3;1.3;;977.890323;34.248387;28.339355;22.741935;49.879032;
82583;31/01/1965;0000;9;3.11828;10.2;236;;;186.9;6.419355;7;13.5;;978.621505;;;22.78;57.37931;
82583;28/02/1965;0000;9;3.290476;7.4;208.5;;;240.3;5.511905;11;102.5;;978.345238;;;22.607692;61.678571;
82583;31/03/1965;0000;9;2.666667;6.9;175.2;;;187;7.462366;17;268.4;;979.637634;;;22.903448;76.75;
82583;30/04/1965;0000;9;1.59;5.2;62;;;152.4;7.488889;25;245.2;;979.937778;;;22.156667;85.125;
82583;31/05/1965;0000;9;2.41828;6.9;90.3;;;229;5.150538;6;101.3;;980.776344;;;21.277419;80.033333;
82583;30/06/1965;0000;14;2.403333;6.1;124;;;208.7;5.244444;10;45.6;;983.057778;28.876667;24.300667;20.526667;76.766667;
82583;31/07/1965;0000;14;2.878495;7.9;198.4;;;299.9;2.526882;1;4.2;;982.57957;30.754839;24.329032;18.954839;63.653226;
82583;31/08/1965;0000;14;2.565591;7.4;257.7;;;293.1;2.516129;0;0;;981.589247;32.825806;25.798065;19.964516;52.025;
82583;30/09/1965;0000;14;2.975556;8.6;292.4;;;275.6;2.955556;1;0.2;;980.777778;33.96;27.569333;21.923333;50.991379;
82583;31/10/1965;0000;9;2.9;6.9;262.5;;;;3.924731;3;30.6;;979.704301;33.9;27.738;22.445161;60.040323;
82583;30/11/1965;0000;9;3.49;9.3;317.2;;;;3.411111;1;0.1;;978.844444;34.943333;28.437333;22.773333;64.091667;
82583;31/12/1965;0000;9;3.17957;6.9;312.8;;;;4.354839;1;3.6;;978.805376;34.329032;28.324516;23.077419;49.596774;
82583;31/01/1966;0000;9;3.058065;8.6;290.9;;;189;5.655914;1;18.7;;978.625806;34.66129;29.049677;23.974194;52.66129;
82583;28/02/1966;0000;9;2.45119;6.1;148.7;;;165.9;6.702381;13;150.8;;979.666667;31.471429;26.550714;23.014815;69.678571;
82583;31/03/1966;0000;14;2.462366;6.1;137.4;;;190.9;6.344086;11;23;;979.166667;31.858065;26.558065;22.480645;70.943548;
82583;30/04/1966;0000;14;2.074444;5.2;99.9;;;189.4;6.188889;14;263.7;;979.758889;30.933333;26.000667;22.47;76.741667;
82583;31/05/1966;0000;14;2.236559;5.4;134.5;;;215.1;5.688172;8;20.4;;980.524731;31.241935;26.070323;21.983871;71.403226;
82583;30/06/1966;0000;14;2.634444;8.6;195.4;;;238.9;4.433333;7;8.9;;981.157778;31.75;25.974667;20.726667;62.816667;
82583;31/07/1966;0000;14;3.106452;7.9;261;;;234.6;4.88172;6;15.3;;981.733333;31.793548;26.542581;21.709677;57.427419;
82583;31/08/1966;0000;14;2.990323;8.6;283.7;;;300.4;2.473118;0;0;;981.489247;33.758065;27.272903;21.43871;53.403226;
82583;30/09/1966;0000;14;3.427778;8.6;294.8;;;264.4;3.355556;2;6.2;;980.918889;34.34;28.177333;22.69;53.29;
82583;31/10/1966;0000;9;2.689247;6.9;358.3;;;296.6;2.548387;0;0;;979.18172;35.5;28.967742;23.116129;44.854839;
82583;30/11/1966;0000;9;3.172222;6.9;347.3;;;224.3;4.577778;3;0.6;;977.646667;35.13;29.291333;23.983333;50.9;
82583;31/12/1966;0000;9;2.882796;6.9;330.6;;;216.6;4.892473;4;5.1;;977.145161;35.170968;29.113548;24.177419;53.419355;
82583;31/01/1967;0000;9;2.480645;7.4;220.7;;;215.1;5.989247;9;82.5;;978.197849;33.903226;27.867097;23.451613;61.580645;
82583;28/02/1967;0000;9;1.695238;5.9;95.6;;;166.2;7.297619;19;305.5;;979.225;30.821429;25.45;22.253571;79.767857;
82583;31/03/1967;0000;0;1.689247;6.5;78.4;;;137.6;7.763441;21;487.1;;979.303226;30.122581;24.983226;22.151613;84.879032;
82583;30/04/1967;0000;0;1.7;5.2;59.6;;;172.8;6.877778;17;312.9;;980.114444;29.97;25.044;22.193333;83.833333;
82583;31/05/1967;0000;14;2.15914;6.5;102.6;;;207.4;6.225806;16;131.2;;980.849462;29.654839;25.028387;21.735484;79.677419;
82583;30/06/1967;0000;14;2.918667;6.1;;;;205.1;5.133333;5;21.5;;980.990667;30.004;23.7504;18.672;70.77;
82583;31/07/1967;0000;14;3.225806;7.9;202.8;;;254.6;4;8;11;;981.452688;31.103226;23.842581;18.093548;64.806452;
82583;31/08/1967;0000;14;3.570968;7.4;297.4;;;298.1;3.086022;0;0;;981.573118;32.83871;25.330323;18.616129;50.693548;
82583;30/09/1967;0000;14;3.711111;8.6;342.7;;;295.1;2.922222;0;0;;980.321111;34.306667;27.180667;20.806667;46.2;
82583;31/10/1967;0000;14;4.327957;9.3;417.9;;;320.9;3.290323;0;0;;979.277419;35.070968;28.178065;22.058065;44.08871;
82583;30/11/1967;0000;5;3.532222;8.6;316.6;;;253.9;4.833333;1;0.3;;977.357778;34.306667;27.807333;21.526667;45.966667;
82583;31/12/1967;0000;9;2.772043;10.2;229.1;;;221.2;5.55914;7;193.8;;978.376344;33.36129;27.111613;21.390323;53.733871;
82583;31/01/1968;0000;9;2.536559;7.9;159.1;;;241.9;5.967742;5;68.7;;978.6;31.745161;25.732258;21.248387;66;
