Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia
82487;31/01/1961;0000;0;0.391304;2.4;45.3;;;190.8;6.630435;17;165.2;;917.602174;27.535484;21.676129;17.845161;90.064516;
82487;28/02/1961;0000;0;0.39881;4.4;14.5;;;73.5;9;25;543.4;;918.22619;24.221429;20.217857;17.235714;96.464286;
82487;31/03/1961;0000;0;0.313978;4.4;17.3;;;113.2;7.967742;28;315.4;;917.74086;25.090323;20.850323;17.841935;96.25;
82487;30/04/1961;0000;0;0.333333;2.4;14.7;;;123.4;8.011111;26;338.6;;917.627778;24.373333;20.67;17.56;96.266667;
82487;31/05/1961;0000;0;0.665591;4.4;16.4;;;145.5;7.268817;25;274.4;;917.690323;23.858065;20.32129;17.532258;95.806452;
82487;30/06/1961;0000;0;0.791111;4.4;22.1;;;163.6;5.888889;15;225.5;;918.75;22.983333;19.509333;16.52;94.425;
82487;31/07/1961;0000;0;0.933333;6.7;31.6;;;207.5;4.731183;14;132;;921.005376;23.56129;19.325806;15.680645;92.443548;
82487;31/08/1961;0000;18;1.494624;6.7;55.1;;;258.9;4.11828;8;10.6;;921.622581;25.832258;19.952258;15.4;89.516129;
82487;30/09/1961;0000;0;0.903333;4.4;59;;;248.4;3.977778;7;21;;920.924444;27.286667;20.601333;15.966667;87.716667;
82487;31/10/1961;0000;0;1.198925;4.4;66.2;;;260.2;4.430108;10;40.4;;920.239785;28.174194;21.239355;16.348387;86.564516;
82487;30/11/1961;0000;0;0.948889;4.4;64;;;252.2;4.6;14;16.9;;920.593333;28.716667;21.456667;16.813333;85.95;
82487;31/12/1961;0000;0;0.476344;4.4;51.1;;;220.6;5.784946;17;119.1;;918.184946;27.206452;21.089032;17.083871;89.959677;
82487;31/01/1962;0000;0;0.547312;4.4;43.8;;;214.3;5.763441;14;70.9;;918.068817;27.406452;21.592903;17.667742;90.516129;
82487;28/02/1962;0000;0;0.314286;2.4;26.4;;;134.6;7.428571;23;146.7;;918.115476;25.964286;21.355714;18.175;93.732143;
82487;31/03/1962;0000;0;0.466667;4.4;21.3;;;111.6;8.290323;25;558.2;;918.209677;24.858065;20.619355;17.480645;95.387097;
82487;30/04/1962;0000;14;0.834444;4.4;20.1;;;123.8;8.177778;27;343.1;;918.338889;24.26;20.583333;17.523333;95.041667;
82487;31/05/1962;0000;14;1.326882;4.4;27.1;;;153.5;6.978495;20;149.3;;918.884946;23.787097;20.344516;17.354839;94.524194;
82487;30/06/1962;0000;14;1.692222;4.4;39.8;;;168.7;6.733333;12;89;;919.67;23.7;19.956667;16.526667;92.3;
82487;31/07/1962;0000;14;1.608602;4.4;48.6;;;192.2;5.516129;12;100.7;;920.435484;24.251613;19.695484;16.112903;90.669355;
82487;31/08/1962;0000;14;1.993548;4.4;78.8;;;229.5;4.333333;10;34.2;;920.309677;25.748387;20.027097;15.625806;83.83871;
82487;30/09/1962;0000;14;1.685556;4.4;63.7;;;223.2;4.233333;12;67.6;;919.685556;27.163333;20.406;15.72;84.216667;
82487;31/10/1962;0000;0;1.448387;4.4;79.5;;;258.4;4.322581;8;22.7;;918.986022;28.633333;21.238667;16.548387;81.806452;
82487;30/11/1962;0000;0;0.501111;4.4;54.6;;;194.2;5.666667;19;110.1;;918.065556;27.72;21.073333;16.993333;87.633333;
82487;31/12/1962;0000;0;0.843011;4.4;51.2;;;211.6;6.010753;17;119.5;;918.262366;27.690323;21.349032;17.53871;88.387097;
82487;31/01/1963;0000;0;1.033333;4.4;31.5;;;159.6;6.935484;22;341.5;;917.905376;26.403226;20.787742;17.148387;92.983871;
82487;28/02/1963;0000;0;0.90119;4.4;24.6;;;131.6;7.869048;20;246.5;;918.14881;25.35;20.829286;17.514286;94.794643;
82487;31/03/1963;0000;0;0.623656;4.4;14.4;;;73.4;9.204301;30;481.2;;918.14086;24.045161;20.305806;17.296774;96.266129;
82487;30/04/1963;0000;0;0.711111;4.4;22.2;;;124;7.988889;22;286.4;;917.997778;25.026667;20.645333;17.36;95.091667;
82487;31/05/1963;0000;14;1.204301;4.4;31.1;;;193.5;6.268817;14;89.1;;919.052688;23.822581;20.096129;16.696774;91.516129;
82487;30/06/1963;0000;14;1.775556;6.7;44.5;;;178.7;5.344444;11;33.3;;920.418889;24.033333;19.878;16.413333;89.766667;
82487;31/07/1963;0000;14;1.22043;6.7;57;;;199;4.44086;5;63;;920.001075;24.664516;19.72;15.683871;85.443548;
82487;31/08/1963;0000;0;0.988172;6.7;72.5;;;249.6;2.88172;5;25;;919.576344;26.412903;20.351613;15.558065;85.266129;
82487;30/09/1963;0000;14;2.126667;12.3;79.1;;;232.4;3.966667;2;10.6;;919.061111;28.246667;21.166;15.85;82.483333;
82487;31/10/1963;0000;14;1.445161;6.7;84.5;;;240;3.677419;7;11.6;;919.135484;29.151613;21.776774;16.748387;81.766129;
82487;30/11/1963;0000;0;0.832895;4.4;;;;182;4.960526;9;71.2;;917.927632;28.944;21.8208;17.272;84.33;
82487;31/12/1963;0000;0;0.1975;4.4;;;;;7.9375;14;166.5;;918.07125;26.381481;21.634815;17.907407;92.361111;
82487;31/01/1964;0000;0;0.283871;2.4;24.2;;;;9.096774;23;286.5;;917.909677;25.612903;21.679355;18.13871;94.33871;
82487;29/02/1964;0000;0;0.343678;4.4;17.8;;;;9.367816;25;472.2;;917.377011;25.117241;21.285517;17.951724;95.284483;
82487;31/03/1964;0000;0;0.363441;4.4;17.9;;;;8.913978;27;486.7;;918.215054;25.329032;21.359355;18.019355;95.524194;
82487;30/04/1964;0000;0;0.423333;2.4;14.1;;;;8.733333;23;503.9;;917.993333;24.933333;21.049333;17.506667;94.666667;
82487;31/05/1964;0000;0;0.506452;2.4;22.7;;;;7.924731;28;449.2;;918.635484;24.690323;20.971613;17.43871;94.612903;
82487;30/06/1964;0000;14;0.885556;4.4;26;;;;7.722222;22;153.9;;918.741111;23.643333;20.279333;16.783333;94.025;
82487;31/07/1964;0000;0;0.747312;4.4;30.4;;;;6.623656;18;146.1;;919.324731;23.967742;20.129032;16.225806;91.959677;
82487;31/08/1964;0000;14;1.06129;4.4;49.2;;;;5.290323;8;97.8;;919.447312;25.341935;20.679355;15.816129;88.516129;
82487;30/09/1964;0000;0;0.605556;4.4;42;;;;5.911111;17;170.9;;919.29;26.21;20.623333;15.58;89.366667;
82487;31/10/1964;0000;0;0.547312;4.4;45.3;;;;5.139785;13;42.7;;918.617204;26.8;20.62129;16.054839;89.024194;
82487;30/11/1964;0000;5;0.872222;4.4;56.1;;;264.5;4.411111;10;7.7;;918.187778;27.723333;20.913333;16.73;78.691667;
82487;31/12/1964;0000;14;0.832258;2.4;61.9;;;253.1;5.032258;12;50.1;;917.298925;27.845161;20.817419;16.970968;82.435484;
82487;31/01/1965;0000;0;0.712903;2.4;42.8;;;186;6.892473;20;147.5;;917.3;26.445161;20.505161;17.225806;86.596774;
82487;28/02/1965;0000;0;0.85;2.4;43.9;;;208.2;6.02381;12;71.1;;917.45;27.060714;20.864286;17.525;84.794643;
82487;31/03/1965;0000;0;0.626882;4.4;30;;;144.5;7.462366;23;291;;918.033333;26.154839;20.783226;17.812903;86.677419;
82487;30/04/1965;0000;0;0.333333;2.4;27.7;;;92.9;8.666667;28;305.9;;917.587778;24.866667;20.538667;17.213333;94.3;
82487;31/05/1965;0000;5;0.848387;2.4;19;;;149.3;7.505376;30;284;;918.246237;24.180645;20.335484;17.425806;95.564516;
82487;30/06/1965;0000;0;0.663333;2.4;18.7;;;139.4;8.011111;24;357.9;;920.138889;23.406667;19.578667;16.666667;92.925;
82487;31/07/1965;0000;14;1.177419;5;33.1;;;221.6;5.096774;11;79;;919.803226;24.074194;19.367742;15.916129;86.709677;
82487;31/08/1965;0000;5;1.043011;5;37;;;255;4.548387;8;23.2;;919.564516;26.464516;19.861935;15.877419;83.491935;
82487;31/10/1965;0000;0;0.641304;3;59.1;;;223.9;5.01087;14;59.9;;918.574725;27.43871;20.593333;16.864516;82.825;
82487;30/11/1965;0000;0;0.977778;5;57.5;;;257.1;4.8;4;17.2;;917.93;28.14;21.088;17.106667;80.275;
82487;31/12/1965;0000;5;0.860215;3;50.1;;;199.2;5.774194;18;55;;917.847312;27.238462;20.856923;17.174194;82.290323;
82487;31/01/1966;0000;0;0.473118;3;40.9;;;202.1;5.569892;14;61.8;;917.794624;;;18.096774;82.016129;
82487;28/02/1966;0000;0;0.607143;3;34;;;148.1;7.464286;21;141;;917.905952;;;17.928571;85.848214;
82487;31/03/1966;0000;0;0.537634;5;34.7;;;155.8;6.473118;18;187;;917.539785;;;17.864516;85.830645;
82487;30/04/1966;0000;0;0.277778;3;31.3;;;155;6.622222;22;170.5;;917.824444;;;17.826667;89.175;
82487;31/05/1966;0000;0;0.516129;5;20.9;;;113.9;7.225806;27;424.6;;918.480645;;;17.809677;89.080645;
82487;30/06/1966;0000;0;0.977778;3;23.9;;;142.3;6.911111;18;215;;918.756667;;;16.756667;89.7;
82487;31/07/1966;0000;5;1.408602;5;30.4;;;117.1;7.172043;18;306.1;;919.346237;;;16.174194;87.782258;
82487;31/08/1966;0000;0;0.44086;3;48.9;;;213.4;3.344086;8;54.1;;919.453763;;;15.680645;78.056452;
82487;30/09/1966;0000;0;0.877778;5;56.5;;;212.6;4.511111;11;77.1;;919.334444;;;16.3;78.925;
82487;31/10/1966;0000;0;0.623656;3;59.9;;;246;4.333333;12;31.5;;918.26129;27.845161;21.35871;16.919355;77.782258;
82487;30/11/1966;0000;0;0.455556;3;49;;;206.9;5.177778;16;49.6;;916.908889;27.42;21.581333;17.306667;79.508333;
82487;31/12/1966;0000;0;0.311828;3;46.2;;;207.2;5.731183;12;71.5;;916.51828;27.590323;21.927097;17.877419;80.217742;
82487;31/01/1967;0000;0;0.483871;5;41.4;;;208.5;5.645161;13;104.1;;917.230108;27.574194;21.731613;18.019355;82.153226;
82487;28/02/1967;0000;0;0.202381;3;21.6;;;73.6;8.25;23;351.5;;917.278571;24.978571;20.886429;17.414286;91.482143;
