--------------------
BDMEP - INMET
--------------------
Estação           : JAGUARUANA - CE (OMM: 82493)
Latitude  (graus) : -4.78
Longitude (graus) : -37.76
Altitude  (metros): 11.71
Estação Operante
Inicio de operação: 01/01/1914
Periodo solicitado dos dados: 01/01/1920 a 01/10/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
82493;31/10/1969;0000;5;4.824176;12;188.6;;;;2.26087;1;3.7;;;33.563333;27.370345;22.633333;65.043103;;
82493;30/11/1969;0000;5;6.370787;12;193.9;;;294.2;3.7;0;0;;;33.296667;27.413333;22.743333;65.35;;
82493;31/12/1969;0000;5;6.195652;14;214.2;;;275.5;2.967742;0;0;;;33.551613;27.630968;23.106452;67.201613;;
82493;31/01/1970;0000;5;5.270968;12;167.6;;;253.1;4.043011;6;68.1;;;33.23871;27.488667;23.345161;70.616667;;
82493;28/02/1970;0000;;;;;;;;;1;12.2;;;;;;;;
82493;30/04/1970;0000;14;2.842697;7;;;;225.8;5.808989;8;56.6;;;32.56;27.024;22.86;79;;
82493;31/05/1970;0000;14;3.053763;9;153.2;;;268.3;3.83871;5;43.3;;;33.329032;26.870323;21.83871;72.298387;;
82493;30/06/1970;0000;14;4.155556;9;126.7;;;225.2;3.822222;3;1.7;;1012.17;32.963333;26.680667;21.273333;67.591667;;
82493;31/07/1970;0000;14;3.860215;12;211;;;266.1;2.774194;4;15.2;;;33.651613;26.583226;20.816129;64.637097;;
82493;31/08/1970;0000;14;5.043011;12;214.8;;;274;2.741935;0;0;;;33.596774;27.000645;21.496774;60.056452;;
82493;30/09/1970;0000;5;6.388889;12;201.6;;;300.6;1.8;0;0;;1010.9;34.006667;27.391034;21.59;61.146552;;
82493;31/10/1970;0000;5;6.152174;14;213.8;;;327;4.043011;2;5.9;;;33.774194;27.18129;21.951613;66.008065;;
82493;30/11/1970;0000;5;6.077778;12;208.4;;;279.2;5.155556;1;0.4;;;33.626667;27.642;23.293333;66.183333;;
82493;31/12/1970;0000;5;5.634409;12;200;;;;4.419355;1;1.6;;1008.44086;34.174194;28.036129;23.351613;64.782258;;
82493;28/02/1971;0000;5;3.903614;12;147.4;;;;5.518072;8;51.5;;;32.85;27.22;22.9;72.75;;
82493;30/04/1971;0000;0;1.561798;9;52.3;;;;7.764045;20;274.9;;;30.453333;26.1;23.146667;86.375;;
82493;30/06/1971;0000;14;1.52809;7;66.5;;;;4.146067;8;62.3;;;30.27;25.466667;21.8;80.708333;;
82493;31/07/1971;0000;14;2.365591;12;117.6;;;;5.032258;5;19.7;;;31.1;25.447742;21.183871;75.870968;;
82493;31/08/1971;0000;14;4.517391;12;189.7;;;;3.408602;4;9.8;;;32.912903;25.925161;20.316129;66.564516;;
82493;30/09/1971;0000;9;6.311111;12;233.7;;;310.9;2.577778;0;0;;1011.28;33.633333;26.91;21.183333;62.45;;
82493;31/10/1971;0000;9;5.989873;12;;;;271;3.708861;3;2.8;;1010.74875;33.561538;27.442308;22.674074;64.567308;;
82493;31/12/1971;0000;;;;;;;;;;0;;;;;;;;
82493;30/04/1973;0000;0;1.679775;4.6;56.7;;;113.4;5.089888;23;300.5;;;30.763333;26.208667;22.956667;87.275;;
82493;31/05/1973;0000;14;1.83871;4.1;55.5;;;235.7;5.526882;20;180.5;;;31.029032;26.245806;22.551613;84.846774;;
82493;30/06/1973;0000;14;2.053333;5.3;54.8;;;226;4.7;18;71.1;;;30.443333;25.812667;21.676667;84.458333;;
82493;31/07/1973;0000;14;2.233333;5.3;127.8;;;237.8;4.860215;11;115.1;;;30.287097;25.099355;20.912903;83.233871;;
82493;31/08/1973;0000;14;3.184946;6.6;164.9;;;303.6;3.258065;2;13;;;33.022581;25.866452;19.790323;70.927419;;
82493;30/09/1973;0000;5;4.475556;7.6;190.7;;;289.1;3.355556;4;4.3;;;33.82;26.97;20.876667;67.658333;;
82493;31/10/1973;0000;5;4.552688;8;220.5;;;309.8;2.860215;2;0.9;;;34.690323;26.415484;21.331818;64.887097;;
82493;30/11/1973;0000;5;4.907778;7.5;224;;;300.6;3.488889;0;0;;;34.56;25.035333;;64.916667;;
82493;31/12/1973;0000;5;4.601075;9;219.6;;;305.5;3.913978;2;1.2;;;34.212903;28.025806;23.203226;66.290323;;
82493;31/01/1974;0000;5;3.074194;6.5;137.4;;;224;6.268817;16;329.3;;;32.425806;26.748387;22.667742;77.354839;;
82493;28/02/1974;0000;5;2.283333;7;81.8;;;171.1;7.821429;14;116.9;;;30.953571;26.162857;22.832143;82.821429;;
82493;31/08/1974;0000;14;3.276087;7;205.8;;;299.2;3.673913;1;6.7;;;32.058065;25.291613;20.006452;69.903226;;
82493;30/09/1974;0000;9;4.221111;6.6;195.2;;;279.4;4.611111;4;38.3;;1011.09;32.843333;26.402;21.036667;67.566667;;
82493;31/10/1974;0000;5;4.326882;7.1;197.3;;;310.5;5.354839;4;11;;;32.8;26.646452;21.7;68.854839;;
82493;30/11/1974;0000;9;4.377778;7.5;185.3;;;294;5.722222;2;4.4;;;33.123333;26.874;21.843333;67.85;;
82493;31/12/1974;0000;9;4.003226;7.5;185.3;;;281;6.924731;4;15;;;33.487097;27.18129;22.383871;70.491935;;
82493;31/01/1975;0000;;;;194.6;;;267;6.591398;8;15;;;34.080645;27.750968;22.922581;69.040323;;
82493;28/02/1975;0000;5;3.250602;7;133.3;;;180.9;8.690476;15;92.8;;;32.992857;27.205714;22.917857;74.071429;;
82493;31/03/1975;0000;9;2.260215;6.8;75.3;;;186.6;8.387097;22;511.5;;;30.767742;26.113548;22.683871;;;
82493;30/04/1975;0000;5;2.058889;5.5;69;;;214.7;8.644444;18;151.9;;;30.81;26.276;22.826667;;;
82493;31/05/1975;0000;14;1.822581;6.6;60.1;;;182.7;8.956989;21;316.1;;;30.003226;25.606452;22.319355;;;
82493;30/06/1975;0000;14;2.295556;5;82.5;;;224.3;6.922222;14;78;;;29.966667;25.306667;21.54;;;
82493;31/07/1975;0000;18;2.23871;5;94.1;;;210.9;7.623656;12;142.1;;;29.329032;24.70129;21.670968;79.732759;;
82493;31/08/1975;0000;9;2.870968;5;150;;;268.2;4.569892;2;5.5;;;31.712903;25.406452;20.606452;72.112903;;
82493;30/09/1975;0000;9;3.914444;7;195.6;;;296.4;3.466667;1;0.3;;;33.913793;26.723571;20.796552;63.910714;;
82493;31/10/1975;0000;5;4.548387;7.5;192;;;303.4;4.666667;6;1.8;;;33.467742;27.14129;22.348387;67.298387;;
82493;30/11/1975;0000;5;4.71;8;191.8;;;300.6;5.322222;0;0;;;34.05;27.686;22.82;65.616667;;
82493;31/12/1975;0000;5;4.411828;7.5;183.2;;;270.2;6.741935;5;25.7;;;33.525806;27.570323;23.26129;68.201613;;
82493;31/01/1976;0000;5;4.565591;8.1;194.1;;;294.7;6.462366;7;32.4;;;33.893548;27.569032;22.932258;67.91129;;
82493;29/02/1976;0000;5;2.864368;6.3;99.9;;;197.8;8.022989;16;185.3;;1008.87931;31.375862;26.431034;23.010345;79.034483;;
82493;31/03/1976;0000;5;2.363441;8.1;70.5;;;185;8.709677;15;219.7;;;30.529032;25.866452;22.767742;84.774194;;
82493;30/04/1976;0000;9;2.318889;8.6;89;;;235.5;7.888889;15;125.9;;;31.37;26.256;22.72;82.141667;;
82493;31/05/1976;0000;14;2.67957;6;136.2;;;270.9;6.215054;4;5.8;;1010.56129;32.454839;26.367742;22.43;74.443548;;
82493;30/06/1976;0000;9;3.704444;7;230.7;;;255.7;5.066667;3;10.6;;;32.643333;25.56;21.366667;67.641667;;
82493;31/07/1976;0000;14;3.907527;6.8;229.1;;;277;4.075269;5;5;;;33.164516;;;62.903226;;
82493;31/08/1976;0000;9;4.61828;8.3;233.5;;;286.6;3.322581;1;1.9;;;33.5;;;61.516129;;
82493;31/10/1976;0000;5;4.996739;8.3;197.2;;;266.5;5.521739;4;18.3;;1009.8;32.9;;;66.629032;;
82493;30/11/1976;0000;5;5.146667;8.5;205.5;;;303.2;5.511111;4;2.7;;;33.573333;27.192667;23.135714;66.058333;;
82493;31/12/1976;0000;9;5.565591;9.3;;;;327.7;5.387097;0;0;;;34.635484;24.716129;;64.491935;;
82493;28/02/1977;0000;5;3.214458;6.3;;;;206;7.73494;11;175.6;;;32.064286;;;78.901786;;
82493;31/03/1977;0000;5;2.778495;7.3;;;;200;8.204301;15;97.2;;;31.583871;;;81.91129;;
82493;30/04/1977;0000;14;1.854444;5.5;;;;186.1;8.477778;21;141.8;;;30.893333;;;86.675;;
82493;31/05/1977;0000;14;2.039785;5;;;;257.4;7.193548;17;181.2;;;30.790323;;;84.959677;;
82493;30/06/1977;0000;9;2.282222;6.1;79.6;;;211.5;7.077778;20;136.6;;;30.56;25.174;21.710714;84.133333;;
82493;31/07/1977;0000;14;2.580645;6.1;120.3;;;245.3;6.075269;13;87.3;;;30.151613;24.935484;21.267742;79.653226;;
82493;31/08/1977;0000;9;3.235484;6;184.2;;;307.2;4.053763;2;0.6;;;32.757143;25.61;20.512903;69.564516;;
82493;30/09/1977;0000;9;4.135556;7.8;212.9;;;303.7;3.411111;0;0;;;;;21.84;63.116667;;
82493;31/10/1977;0000;9;5.265591;7.8;241.9;;;319.6;4.634409;1;0.1;;;;;22.775862;64.177419;;
82493;30/11/1977;0000;5;4.807778;7.6;216.3;;;310;4.811111;0;0;;;;;;65.983333;;
82493;31/12/1977;0000;5;4.452688;8.1;220.4;;;260;5.569892;6;7.2;;;;;;68.491935;;
82493;31/01/1978;0000;5;4.691398;8;225.6;;;287.3;5.913978;6;19.7;;;;;;66.5;;
82493;28/02/1978;0000;9;4.320238;8.3;166.9;;;223.8;6;6;52.8;;;;;;70.6875;;
82493;31/03/1978;0000;9;2.68172;6.3;116.6;;;200.4;8.483871;17;162.8;;;;;;77.629032;;
82493;30/04/1978;0000;9;2.268889;6.3;87.2;;;213.3;8.422222;17;168;;;;;;81.275;;
82493;31/05/1978;0000;9;2.317204;5.1;75.1;;;250.2;7.290323;18;181.9;;;;;;82.758065;;
82493;30/06/1978;0000;14;2.13;5.6;97.2;;;236.1;4.988889;8;45.3;;;30.946667;25.62;21.526667;78.35;;
82493;31/07/1978;0000;9;2.883871;6.5;144.1;;;224.4;5.129032;10;61.7;;;31.787097;25.795484;21.503226;76.887097;;
82493;31/08/1978;0000;9;3.552688;7.1;274;;;263.5;3.365591;3;2.7;;;32.851613;25.982581;20.451613;68.241935;;
82493;30/09/1978;0000;9;4.461111;9.3;381.3;;;258.6;4.111111;0;0;;;34.2;27.214;21.88;63.775;;
82493;31/10/1978;0000;9;4.903226;8.3;360.1;;;298.9;4.236559;0;0;;;34.332258;27.569677;22.374194;64.685484;;
82493;30/11/1978;0000;9;4.994444;8;269.4;;;282;5;0;0;;;34.313333;27.785333;22.826667;64.733333;;
82493;31/12/1978;0000;9;4.454839;7.8;231.4;;;249.1;6.150538;4;16.7;;1009.58172;33.9;25.023226;;68.16129;;
82493;31/01/1979;0000;9;4.202667;7.3;190.5;;;236.2;5.946667;8;42.8;;;34.210714;;;70.81;;
82493;28/02/1979;0000;;;6.6;;;;164.4;;8;206.4;;;33.970833;;;;;
82493;31/03/1979;0000;;;;123.5;;;243.9;;9;96.4;;;32.986207;;23.751724;;;
82493;30/04/1979;0000;;;;137.1;;;210.5;;9;46.6;;;33.914815;;23.455556;;;
82493;31/05/1979;0000;;;6.3;106.7;;;174.2;;12;124;;;32.507407;;23.188889;;;
82493;30/06/1979;0000;;;5.6;144;;;192.5;;5;11.1;;;32.025;;21.260714;;;
82493;31/07/1979;0000;18;3.159677;6.6;214.2;;;271.9;3.274194;3;0.6;;;34.125806;;;63.666667;;
82493;31/08/1979;0000;9;3.914925;8.1;201.6;;;228.5;4.015152;;0;;1011.08806;34.378571;;;62.579545;;
82493;30/09/1979;0000;;;;219.1;;;255.9;;5;17.1;;;34.575862;;;;;
82493;31/10/1979;0000;9;5.185714;8.3;260;;;272.4;3.753247;1;0.4;;;34.887097;;;60.711538;;
82493;30/11/1979;0000;;;;222;;;261.3;3.859649;3;2;;;34.193333;;;61.802632;;
82493;31/12/1979;0000;;;;200.4;;;251.4;;1;0.3;;;34.82069;;23.932143;;;
82493;31/01/1980;0000;;;;208.9;;;211.8;;3;6.3;;;34.46;;24.55;;;
82493;29/02/1980;0000;;;;;;;;;12;204.8;;;32.463636;;23.763636;;;
82493;31/03/1980;0000;;;;;;;163.1;;10;88;;;31.66;;23.468;;;
82493;30/04/1980;0000;;;;;;;230;;10;46.2;;;32.842308;;23.542308;;;
82493;31/05/1980;0000;;;;;;;;;3;19.9;;;33.633333;;22.852381;;;
82493;30/06/1980;0000;;;;148.9;;;209.5;;5;33.8;;;33.4;;22.506897;;;
82493;31/07/1980;0000;;;;178.4;;;222.5;;4;8.8;;;33.867857;;21.278571;;;
82493;31/08/1980;0000;;;;;;;233.2;;;0;;;34.8;;21.888;;;
82493;30/09/1980;0000;;;;;;;236.5;;;0;;;34.434615;;22.896154;;;
82493;31/10/1980;0000;;;;228.8;;;263.8;;;0;;;35.042857;;23.267857;;;
82493;30/11/1980;0000;;;;206.3;;;256.5;;2;1.7;;;33.567857;;23.103571;;;
82493;31/12/1980;0000;;;;204;;;269.8;;2;0.2;;;33.882759;;23.527586;;;
82493;31/01/1981;0000;9;4.456977;8.1;195.9;;;204.8;7.337209;4;2;;;34.303448;28.349655;24.541379;64.37931;;
82493;28/02/1981;0000;;;7;;;;;;4;17.7;;;34.544444;28.377778;24.477778;64.222222;;
82493;31/03/1981;0000;;;5;;;;;;12;176.9;;;;;;;;
82493;30/04/1981;0000;9;2.44321;5.5;103.9;;;223.3;5.271605;7;35.7;;;32.366667;27.12963;23.32963;75.079545;;
82493;31/05/1981;0000;9;2.378571;5.6;128.6;;;200.8;5.428571;5;35.4;;;32.95;27.263571;23.475;71.490741;;
82493;30/06/1981;0000;14;3.345977;6.8;168;;;255.1;3.482759;3;19.4;;;33.172414;26.637241;21.862069;66.62963;;
