--------------------
BDMEP - INMET
--------------------
Estação           : MORADA NOVA - CE (OMM: 82588)
Latitude  (graus) : -5.11
Longitude (graus) : -38.36
Altitude  (metros): 43.62
Estação Operante
Inicio de operação: 01/10/1962
Periodo solicitado dos dados: 01/01/1920 a 01/10/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
82588;31/10/1962;0000;14;3.608696;10;;;;324.1;2.75;;0;;;36.716129;28.215484;22.441935;56.927419;;
82588;30/11/1962;0000;9;2.688889;7;;;;247.1;4.3;0;0;;;35.573333;28.196667;23.57;59.183333;;
82588;31/12/1962;0000;9;3.763441;9;;;;261.7;5.258065;1;28.5;;;36.133333;28.334074;23.821429;60.629032;;
82588;31/01/1963;0000;0;2.182796;8;;;;242.7;5.505376;6;86.9;;;34.893548;27.726452;23.274194;67.733871;;
82588;28/02/1963;0000;0;1.321429;6;;;;192.1;6.380952;10;105.9;;;33.55;27.254286;23.171429;74.375;;
82588;31/03/1963;0000;0;0.870968;7;;;;210.6;6.387097;16;229.4;;;31.403226;26.370968;23.587097;82.282258;;
82588;30/04/1963;0000;0;1.177778;6;;;;190;5.722222;13;133.9;;;31.52;26.506;23.603333;82.875;;
82588;31/05/1963;0000;0;1.870968;9;;;;261;3.731183;7;55.4;;;32.222581;26.358065;22.877419;75.314516;;
82588;30/06/1963;0000;14;2.777778;8;;;;242.3;3.977778;2;3.9;;;33.746667;26.687333;21.576667;66.491667;;
82588;31/07/1963;0000;14;2.763441;7;;;;252.1;3.473118;1;1;;;34.448387;26.780645;20.874194;60.451613;;
82588;31/08/1963;0000;14;2.967742;10;;;;311.8;2.182796;;0;;;35.6;27.335484;22.070968;56.096774;;
82588;30/09/1963;0000;14;3.688889;14;;;;291.9;2.244444;0;0;;;36.733333;28.118;22.963333;55.55;;
82588;31/10/1963;0000;14;3.795699;8;;;;290.7;2.784946;0;0;;;37.558065;28.848387;23.964516;55.766129;;
82588;30/11/1963;0000;9;3.144444;9;;;;259.7;3.655556;1;1.5;;;37.346667;28.672667;22.703333;58.491667;;
82588;31/12/1963;0000;9;2.397849;8;;;;208.3;5.258065;5;72.7;;;36.077419;28.270323;22.932258;65.274194;;
82588;31/01/1964;0000;0;1.388172;6;;;;195.5;5.537634;12;174.7;;;33.6;27.075862;22.329032;78.308333;;
82588;29/02/1964;0000;0;1.567816;10;;;;162.1;6.850575;13;95.6;;;32.344828;26.5;22.424138;82.196429;;
82588;31/03/1964;0000;0;0.88172;5;;;;236.6;6.408602;17;263.9;;;32.419355;26.634839;22.696774;83.016129;;
82588;30/04/1964;0000;0;1.038462;7;;;;122.4;7.076923;13;161.2;;;31.669231;26.264615;22.6;85.240385;;
82588;31/05/1964;0000;0;1.408602;7;;;;196.2;6.129032;17;260.4;;;31.354839;26.05931;22.8;84.344828;;
82588;30/06/1964;0000;0;1.966667;8;;;;191.8;4.777778;3;23.4;;;30.8;25.250667;21.16;81.241667;;
82588;31/07/1964;0000;0;2.677419;6;;;;253.8;4.430108;4;25.1;;;31.864516;25.343871;20.277419;75.991935;;
82588;31/08/1964;0000;14;3.910753;14;;;;301.3;3.365591;1;12.6;;;34.222581;26.353548;20.006452;65.685484;;
82588;30/09/1964;0000;14;3.422222;14;;;;276.6;3.666667;2;8.4;;;35.266667;26.855333;21.096552;62.691667;;
82588;31/10/1964;0000;9;3.655914;8;;;;278.8;3.225806;0;0;;;36.187097;27.347742;21.035484;60.83871;;
82588;30/11/1964;0000;9;3.611111;8;;;;289.6;3.7;0;0;;;36.366667;27.782;21.943333;60.825;;
82588;31/12/1964;0000;9;3.88172;8;;;;303;3.623656;0;0;;;36.777419;28.227742;22.312903;61.258065;;
82588;31/01/1965;0000;9;3.55914;8;;;;211.3;5.311828;3;42.7;;;35.506452;27.895484;22.812903;71.443548;;
82588;28/02/1965;0000;9;3.619048;8;;;;267.1;4.27381;2;19.2;;;35.560714;27.792143;22.874074;67.633929;;
82588;31/03/1965;0000;0;2.322581;8;;;;;6.258065;10;222.4;;;34.667742;27.54;23.23871;76.895161;;
82588;30/04/1965;0000;0;0.811111;6;;;;;7.777778;25;313.5;;;31.634483;25.858621;22.846667;88.4;;
82588;31/05/1965;0000;0;1.698925;8;;;;254;5.430108;13;73.4;;;31.267742;25.966452;22.558065;82.314516;;
82588;30/06/1965;0000;0;1.988889;6;;;;191.1;5.8;10;189.3;;;30.296667;25.241333;21.696667;82.3;;
82588;31/07/1965;0000;14;2.709677;8;;;;303.9;3.634409;1;9.4;;;31.603226;25.077419;20.058065;72.258065;;
82588;31/08/1965;0000;14;3.107527;8;;;;314.2;2.806452;0;0;;;34.190323;25.969677;19.470968;66.290323;;
82588;30/09/1965;0000;14;3.977778;10;199.1;;;293.1;2.922222;0;0;;;35.416667;27.06;20.99;59.991667;;
82588;31/10/1965;0000;5;3.602151;10;199.3;;;279;3.44086;0;0;;;36.241935;27.783226;21.983871;59.604839;;
82588;30/11/1965;0000;5;4;9;220.1;;;285.7;3.011111;0;0;;;36.236667;28.132667;22.29;57.9;;
82588;31/12/1965;0000;5;4.174194;8;217.7;;;255.1;4.806452;1;3.2;;;35.851613;28.193548;22.767742;57.153226;;
82588;31/01/1966;0000;5;3.655914;10;206.3;;;234.8;4.752688;2;8.8;;;36.383871;28.847097;24.064516;59.322581;;
82588;28/02/1966;0000;14;3.071429;8;129.8;;;182.2;6.214286;5;94.9;;;33.825;27.594286;23.464286;69.910714;;
82588;31/03/1966;0000;14;3.086022;8;155.2;;;264.7;5.397849;6;92.6;;;34.635484;27.834194;23.177419;67.637097;;
82588;30/04/1966;0000;0;2.277778;7;124.7;;;235.4;5.255556;9;51.6;;;34.3;27.828;23.63;71.433333;;
82588;31/05/1966;0000;0;2.311828;9;128.1;;;233.8;5.731183;11;87.5;;;33.525806;27.613548;23.548387;70.290323;;
82588;30/06/1966;0000;14;2.8;8;105.8;;;240.2;4.9;9;81.4;;;31.453333;26.154667;22.01;74.375;;
82588;31/07/1966;0000;18;3.602151;9;149.8;;;236.5;5.741935;6;50.4;;;32.519355;26.487742;21.751613;66.532258;;
82588;31/08/1966;0000;14;3.849462;12;228.6;;;309.9;2.290323;0;0;;;34.858065;27.125806;21.054839;58.008065;;
82588;30/09/1966;0000;14;4.422222;10;228.7;;;287.1;2.866667;1;2;;;35.563333;27.618;21.986667;57.541667;;
82588;31/10/1966;0000;5;4.387097;10;245;;;316.2;2.752688;0;0;;;36.758065;28.292903;22.774194;57.032258;;
82588;30/11/1966;0000;5;4.211111;10;220.3;;;260.8;4.811111;0;0;;;36.256667;28.568;23.396667;57.725;;
82588;31/12/1966;0000;5;4.376344;8;217.5;;;251.8;5.505376;0;0;;;36.458065;28.9;23.935484;58.556452;;
82588;31/01/1967;0000;5;4.096774;8;200.4;;;;4.698925;4;11.2;;;36.748387;28.987097;24.432258;60.975806;;
82588;28/02/1967;0000;0;1.928571;8;90.8;;;;8.011905;13;179.2;;;33.128571;27.027143;23.425;77.580357;;
82588;31/03/1967;0000;0;1.010753;6;53.9;;;;8.150538;21;320.4;;;31.36129;25.932903;22.745161;86.419355;;
82588;30/04/1967;0000;0;0.5;4;46.1;;;;7.088889;18;232.7;;;31.01;25.900667;22.816667;86.941667;;
82588;31/05/1967;0000;0;1.310345;10;45.2;;;;5.724138;14;116.1;;;30.368966;25.682963;22.568966;87.064815;;
82588;30/06/1967;0000;0;2.244444;7;78.4;;;216.5;5.444444;8;41.4;;;30.803333;25.312;21.07;78.283333;;
82588;31/07/1967;0000;0;2.344086;8;127.9;;;;4.494624;7;17.2;;;32.835484;25.690323;20.454839;69.072581;;
82588;31/08/1967;0000;14;2.903226;8;174.5;;;;3.053763;1;7;;;34.806452;26.463871;20.070968;62.217742;;
82588;30/09/1967;0000;14;3.433333;12;195.4;;;301.4;2.644444;0;0;;;35.956667;27.193333;20.55;57.65;;
82588;31/10/1967;0000;14;4.473118;10;224.7;;;322.4;3.204301;0;0;;;36.7;27.867097;21.496774;56.677419;;
82588;30/11/1967;0000;5;3.411111;9;185.9;;;278.8;4.111111;1;10.3;;;35.8;27.526;21.76;59.983333;;
82588;31/12/1967;0000;5;2.903226;8;180.3;;;242.5;4.483871;2;9.4;;;35.590323;27.630968;22.216129;62.322581;;
82588;31/01/1968;0000;0;2.752688;8;167.9;;;263.7;5.655914;8;122.7;;;35.987097;28.057419;23.006452;65.169355;;
82588;29/02/1968;0000;0;1.505747;8;104.6;;;230.5;5.103448;7;98.1;;;34.524138;27.464828;22.651724;71.642857;;
82588;31/03/1968;0000;0;0.827957;8;48.8;;;209.2;7.419355;16;196.6;;;31.487097;25.917419;22.235484;85.645161;;
82588;30/04/1968;0000;0;1.022222;6;57.9;;;204.9;6.033333;12;138.5;;;32;26.269333;22.456667;82.125;;
82588;31/05/1968;0000;0;1.322581;6;53.4;;;195.7;6.537634;12;205.5;;;30.206452;25.516129;22.367742;84.08871;;
82588;30/06/1968;0000;0;2.311111;8;98.2;;;237.4;4.188889;3;18.1;;;31.32;25.334;20.763333;72.258333;;
82588;31/07/1968;0000;0;3.064516;10;164.3;;;248.9;4.978495;3;12.4;;;33.312903;26.133548;20.432258;63.653226;;
82588;31/08/1968;0000;14;3.376344;8;202.3;;;307.5;3.333333;1;4.3;;;34.977419;27.153548;20.729032;58.048387;;
82588;30/09/1968;0000;14;3.466667;14;206.3;;;299.8;2.666667;0;0;;;36.073333;27.803333;21.506667;54.675;;
82588;31/10/1968;0000;14;3.83871;10;215.2;;;319.6;2.612903;1;1.4;;;36.809677;28.269032;22.096774;56.008065;;
82588;30/11/1968;0000;5;3.866667;10;190.8;;;276.2;4.111111;0;0;;;36.86;28.828;23.476667;57.2;;
82588;31/12/1968;0000;5;3.731183;10;186.2;;;189;5.956989;1;23.4;;;35.967742;28.17871;23.551724;61.41129;;
82588;31/01/1969;0000;14;3.376344;10;176.4;;;231.1;5.290323;4;73.1;;;35.754839;28.668387;23.751613;63.75;;
82588;28/02/1969;0000;0;2.511905;8;140.3;;;218.6;5.404762;7;77.7;;;35.667857;28.81;24.314286;68.5;;
82588;31/03/1969;0000;0;1.462366;10;104.9;;;215.7;6.215054;15;175.5;;;33.835484;27.807742;23.996774;76.290323;;
82588;30/04/1969;0000;0;1.321111;6;73.9;;;231;5.633333;12;235.3;;;32.87;27.460667;23.966667;81.375;;
82588;31/05/1969;0000;0;1.795699;8;96.6;;;229.6;5.505376;13;109.2;;;32.767742;27.166452;23.441935;77.379032;;
82588;30/06/1969;0000;0;2.088889;6;105.9;;;231.7;4.966667;7;67;;;32.716667;26.74;22.4;73.783333;;
82588;31/07/1969;0000;0;2.193548;8;108.4;;;259.6;4.860215;7;94.7;;;31.964516;26.059355;21.951613;73.903226;;
82588;31/08/1969;0000;14;3.311828;10;165.9;;;274.2;3.053763;3;12.8;;;33.645161;26.50129;21.090323;64.064516;;
82588;30/09/1969;0000;14;3.788889;10;200.8;;;292.7;2.733333;0;0;;;35.836667;27.64;21.543333;57.433333;;
82588;31/10/1969;0000;5;4.27957;10;211.6;;;321.6;3;0;0;;;36.606452;28.276774;22.980645;58.75;;
82588;30/11/1969;0000;14;4.677778;10;215.6;;;297.9;3.877778;0;0;;;36.64;28.518667;23.373333;60.225;;
82588;31/12/1969;0000;14;4.645161;10;222.2;;;290.3;4.236559;0;0;;;36.593548;28.81871;23.696774;59.733871;;
82588;31/01/1970;0000;5;3.526882;10;185;;;242.7;4.978495;5;80.5;;;35.412903;28.421935;23.93871;63.830645;;
82588;28/02/1970;0000;14;3.428571;9;173.2;;;251.6;4.72619;;26.8;;;35.857143;28.760714;24.164286;62.669643;;
82588;31/03/1970;0000;0;2.236559;9;88.5;;;236.8;6.602151;15;122;;;32.7;26.867097;23.167742;78.766129;;
82588;30/04/1970;0000;0;2.211111;8;117.1;;;236.6;5.4;7;73.5;;;33.833333;27.798667;23.54;73.958333;;
82588;31/05/1970;0000;14;3.043011;10;165.2;;;286.1;3.408602;4;26.6;;;34.867742;27.884516;22.745161;66.725806;;
82588;30/06/1970;0000;14;3.388889;10;170.5;;;240;4.244444;3;11.2;;;34.623333;27.837333;22.626667;62.266667;;
82588;31/07/1970;0000;14;3.634409;8;215.6;;;279.6;3.978495;2;6.6;;;34.829032;27.770323;22.306452;56.887097;;
82588;31/08/1970;0000;14;3.967742;10;245.8;;;269.3;3.580645;0;0;;;35.283871;27.952258;22.548387;55.096774;;
82588;30/09/1970;0000;14;3.744444;10;233.6;;;302.3;2.255556;1;8.2;;;36.336667;28.145333;22.55;57.866667;;
82588;31/10/1970;0000;14;3.924731;10;223.5;;;306.9;2.860215;1;8;;;36.758065;28.371613;22.983871;59.620968;;
82588;30/11/1970;0000;9;3.966667;10;199.1;;;255.8;4.233333;2;6.4;;;36.203333;28.558667;23.65;60.091667;;
82588;31/12/1970;0000;14;3.978495;10;226.2;;;289.3;3.709677;0;0;;;36.683871;28.96129;23.941935;60.298387;;
82588;31/01/1973;0000;0;1.98913;9;101.3;;;237.6;6.108696;;272.2;;;33.980645;27.699355;23.880645;75.983871;;
82588;28/02/1973;0000;0;1.642857;9;96.5;;;183.5;5.666667;;76.2;;;34.05;27.784286;23.839286;74.383929;;
