--------------------
BDMEP - INMET
--------------------
Estação           : QUIXERAMOBIM - CE (OMM: 82586)
Latitude  (graus) : -5.16
Longitude (graus) : -39.28
Altitude  (metros): 79.50
Estação Operante
Inicio de operação: 01/01/1896
Periodo solicitado dos dados: 01/01/1920 a 01/10/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
82586;31/01/1961;0000;9;2.419565;6.7;165.6;;;241.3;5.467391;8;98.8;;987.454348;32.667742;28.659355;25.873333;57.395161;;
82586;28/02/1961;0000;0;0.734524;6.7;77.4;;;172.7;7.964286;17;164.5;;988.757143;29.675;26.675;24.45;73.339286;;
82586;31/03/1961;0000;0;0.63871;4.4;69.4;;;198.4;6.784946;20;186.5;;988.22043;31.306452;25.965806;22.580645;79.201613;;
82586;30/04/1961;0000;0;0.452222;4.4;47;;;198.8;6.844444;18;158.3;;988.347778;30.773333;25.591333;22.286667;83.775;;
82586;31/05/1961;0000;0;0.516129;2.4;47.9;;;229.7;5.591398;16;202.1;;989.67957;30.390323;25.067742;22.012903;82.725806;;
82586;30/06/1961;0000;0;0.894444;4.4;83.6;;;260.3;4.322222;6;3.9;;990.308889;31.953333;25.219333;21.12;73.15;;
82586;31/07/1961;0000;14;1.473118;6.7;113.8;;;268;4.236559;8;41.5;;990.832258;32.635484;25.251613;20.487097;62.056452;;
82586;31/08/1961;0000;14;3.17957;6.7;174.7;;;304.2;2.741935;0;0;;990.768817;34.912903;26.855484;21.325806;52.701613;;
82586;30/09/1961;0000;14;4.481111;6.7;207.9;;;288;3.044444;0;0;;989.135556;36.116667;28.089333;22.53;50.675;;
82586;31/10/1961;0000;14;5.072043;9.3;246;;;317.1;3.354839;0;0;;988.147312;36.51;28.55;23.048387;50.064516;;
