--------------------
BDMEP - INMET
--------------------
Estação           : SOBRAL - CE (OMM: 82392)
Latitude  (graus) : -3.73
Longitude (graus) : -40.33
Altitude  (metros): 109.62
Estação Operante
Inicio de operação: 01/07/1919
Periodo solicitado dos dados: 01/01/1920 a 01/10/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia;
82392;31/01/1961;0000;0;0.347826;2;149.1;;;199.3;5.228261;8;106;;;35.154839;28.252903;23.748387;69.645161;;
82392;28/02/1961;0000;0;1.036145;9;54.4;;;114.7;8.392857;23;308.6;;;31.078571;25.851429;22.689286;87.705357;;
82392;31/03/1961;0000;0;1.447312;8;65.9;;;162;6.096774;20;261.5;;;31.570968;26.413548;23.096774;85.685484;;
82392;30/04/1961;0000;0;1.211111;6;52.9;;;145.6;7.133333;19;236.9;;;31.506667;26.355333;23.213333;86.341667;;
82392;31/05/1961;0000;0;0.27957;12;73.9;;;179;5.086022;13;228.2;;;31.574194;26.485161;22.806452;84.177419;;
82392;30/06/1961;0000;0;1.022222;2;122;;;192.6;3.544444;1;11.1;;;32.546667;26.648;21.546667;73.641667;;
82392;31/07/1961;0000;0;1.354839;2;125.3;;;208.4;4.419355;3;18.8;;;33.780645;26.895484;21.493548;68.830645;;
82392;31/08/1961;0000;0;1.376344;2;180.3;;;284.1;2.55914;0;0;;;35.758065;27.455484;21.280645;64.153226;;
82392;30/09/1961;0000;5;1.966667;7;198.4;;;240.7;2.811111;0;0;;;36.366667;28.236667;22.67;60.35;;
82392;31/10/1961;0000;5;1.924731;10;229.8;;;253.2;2.806452;0;0;;;36.851613;29.056129;23.570968;56.354839;;
82392;30/11/1961;0000;0;1.388889;8;192.1;;;242.2;3.277778;0;0;;;37.033333;28.618;23.263333;60.333333;;
82392;31/12/1961;0000;5;1.548387;5;174.6;;;215.8;4.150538;4;17.2;;;35.883871;28.416774;23.2;62.516129;;
82392;31/01/1962;0000;0;1.354839;6;139.6;;;200.3;4.978495;8;104.5;;;34.664516;28.00129;23.406452;70.701613;;
82392;28/02/1962;0000;5;1.619048;8;80.3;;;170.5;6.714286;17;100.4;;;33.128571;27.348571;23.332143;78.258929;;
82392;31/03/1962;0000;0;1.065934;5;66.2;;;160.2;7.516129;22;276.9;;;32.012903;26.44;22.619355;84.322581;;
