Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;EvaporacaoPiche;EvapoBHPotencial;EvapoBHReal;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;VisibilidadeMedia
82683;31/01/1964;0000;9;3.043478;8;231.6;;;;6.358696;4;9.9;;;31.116667;25.747333;22.61;74.612903;
82683;29/02/1964;0000;18;2.804598;6;206.3;;;;5.011494;13;442.1;;;31.52069;26.351034;22.955172;71.544643;
82683;31/03/1964;0000;14;2.817204;5;225.2;;;;7.064516;11;374.1;;;30.206452;25.212903;21.806452;78.596774;
82683;30/04/1964;0000;14;3.166667;9;180.2;;;98.1;7.588889;22;445.6;;;;;;80.633333;
82683;31/05/1964;0000;14;3.11828;5;;;;163.4;6.301075;11;194.1;;;;;;79.379032;
82683;30/06/1964;0000;14;3.144444;6;;;;221.7;4.655556;1;27.5;;;29.726667;24.201333;19.31;73.291667;
82683;31/07/1964;0000;14;3.193548;8;227;;;208.1;3.989247;0;0;;;31.2;23.74;17.180645;67;
82683;31/08/1964;0000;9;3.096774;6;;;;254.8;3.043011;2;18.5;;;32.225806;24.392903;17.458065;61.395161;
82683;30/09/1964;0000;9;3.511111;8;;;;262.1;3.2;0;0;;;33.596296;24.011852;17.980952;59.691667;
82683;31/10/1964;0000;9;2.666667;7;;;;;3.408602;0;0;;;34.314815;25.638519;19.335714;64.866667;
82683;30/11/1964;0000;9;2.866667;6;;;;;3.388889;0;0;;;34.253571;25.889286;19.67037;59.43;
82683;31/12/1964;0000;9;3.032258;8;;;;210.8;4.182796;0;0;;;;;22.503571;56.787037;
82683;31/01/1965;0000;9;3.107527;8;;;;155.1;5.602151;2;11.3;;;;;22.638462;62.870968;
82683;28/02/1965;0000;9;2.916667;6;;;;210.8;4;1;3.4;;;34.661538;27.276154;23.296296;57.910714;
82683;31/03/1965;0000;9;2.924731;8;;;;107.9;6.16129;13;259.8;;;31.751613;25.26129;21.732258;62.612903;
82683;30/04/1965;0000;18;3.166667;5;;;;109.7;7.155556;16;209.4;;;29.789655;24.94069;21.09;62.491667;
82683;31/05/1965;0000;14;3.225806;6;99.1;;;177.9;5.817204;1;6.5;;;31.63;25.331333;22.34;65.298387;
82683;30/06/1965;0000;18;3.4;6;85.1;;;189;5.588889;8;101;;;30.086207;24.727586;21.396667;65.491667;
82683;31/07/1965;0000;14;2.591398;5;135.4;;;212.1;4.892473;2;13.1;;;30.525806;24.147742;18.048387;59.983871;
82683;31/08/1965;0000;14;2.333333;4;170.7;;;260.3;4.193548;2;14.4;;;32.645161;25.044516;18.541935;55.370968;
82683;30/09/1965;0000;0;2.466667;9;129.9;;;280.1;3.177778;2;10.6;;;33.436667;26.356667;21.553333;54.316667;
82683;31/10/1965;0000;9;2.301075;5;147.9;;;213.7;4.354839;3;41.5;;;33.422581;26.597419;22.26129;61.322581;
82683;30/11/1965;0000;9;2.177778;7;136.1;;;234.7;3.477778;0;0;;;34.323333;27.028667;22.24;54.3;
82683;31/12/1965;0000;9;2.387097;5;140.5;;;219.2;3.860215;0;0;;;34.170968;26.914194;22.3;57.846774;
82683;31/01/1966;0000;9;3.086022;8;117.1;;;151;4.967742;3;20.6;;;33.758065;27.118065;22.5;55.903226;
82683;28/02/1966;0000;14;2.22619;5;80.7;;;161.5;6.809524;9;222.5;;;29.810714;24.852143;21.728571;66.294643;
82683;31/03/1966;0000;9;2.666667;5;105.8;;;142.3;5.483871;4;56.9;;;32.096774;25.934839;22.93871;68.169355;
82683;30/04/1966;0000;9;2.877778;6;72.4;;;110.4;6.188889;11;87.2;;;30.286667;25.486667;22.936667;72.508333;
82683;31/05/1966;0000;14;2.817204;8;82.6;;;205.1;4.365591;4;76.3;;;31.23871;25.377419;21.793548;75.774194;
82683;30/06/1966;0000;14;2.868889;10;73.1;;;188.5;4.388889;5;21.6;;;31.206667;24.828667;19.913333;71.558333;
82683;31/07/1966;0000;18;3.129032;9;94.6;;;210.8;3.569892;2;4.5;;;31.706452;25.047742;19.441935;67.669355;
82683;31/08/1966;0000;18;3.27957;8;94.2;;;273.3;3.301075;0;0;;;32.403226;25.551613;20.074194;68.75;
82683;30/09/1966;0000;14;3.511111;10;111.3;;;;3.133333;1;4.5;;;33.963333;26.139333;20.086667;75.683333;
82683;31/10/1966;0000;14;2.935484;8;169.4;;;243.2;3.258065;2;5.8;;;35.083871;26.778065;20.477419;70.314516;
82683;30/11/1966;0000;14;2.911111;8;229.2;;;;2.655556;0;0;;;;;;63.283333;
82683;31/12/1966;0000;14;2.698925;8;224.9;;;;2.774194;1;1.4;;;;;;58.798387;
82683;31/01/1967;0000;14;2.88172;8;270;;;;3.709677;4;48.8;;;;;;57.733871;
82683;28/02/1967;0000;14;2.821429;8;88.7;;;;4.619048;11;155.2;;;29.985714;20.325714;;76.75;
82683;31/03/1967;0000;14;2.290323;9;29.5;;;112.6;4.365591;12;200.6;;;29.377419;23.729032;19.822581;82.983871;
82683;30/04/1967;0000;14;2.566667;8;32.9;;;137.1;4.188889;14;268.5;;;;;;85.425;
82683;31/05/1967;0000;14;2.741935;8;80.9;;;157.8;3.129032;7;51.6;;;29.325806;24.14;20.690323;82.104839;
82683;30/06/1967;0000;14;2.974359;7;;;;169.4;2.282051;1;6.6;;;30.457692;23.073846;17.211538;82.086538;
82683;31/07/1967;0000;14;3.537634;9;195.3;;;247.5;2.344086;0;0;;;31.377419;23.081935;16.241935;96.685484;
82683;31/08/1967;0000;14;3.917204;9;269.1;;;251.2;2.301075;0;0;;;32.429032;24.226452;17.567742;54.064516;
82683;30/09/1967;0000;14;4.177778;10;269.6;;;258.2;2.155556;1;6;;;33.783333;26.004;20.523333;60.666667;
82683;31/10/1967;0000;9;4.365591;10;336;;;243.1;1.752688;0;0;;;34.809677;27.294839;21.651613;57.016129;
82683;30/11/1967;0000;5;3.444444;8;339;;;;2.133333;0;0;;;32.983333;25.046;13.013333;59.066667;
82683;31/12/1967;0000;5;3.258065;8;300.9;;;195.8;2.344086;4;58.2;;;32.675862;25.609655;17.309677;62.895161;
82683;31/01/1968;0000;;;7;;;;;;3;10.2;;;31.745;25.479;20.54;70.3625;
82683;29/02/1968;0000;9;3.802326;8;206.6;;;141.5;2.44186;5;60.2;;;31.286207;26.027586;21.713793;75.892857;
82683;31/03/1968;0000;14;2.709677;7;96.5;;;140.9;3.408602;18;203.1;;;28.819355;24.050968;21.054839;84.951613;
82683;30/04/1968;0000;14;2.3;6;119.7;;;181.2;3.433333;9;80.4;;;28.753333;23.73;20.143333;83.625;
