Código,Espacialidades,Percentual da renda apropriada pelos 20% mais pobres 2010,Percentual da renda apropriada pelos 40% mais pobres 2010,Percentual da renda apropriada pelos 60% mais pobres 2010,Percentual da renda apropriada pelos 80% mais pobres 2010,Percentual da renda apropriada pelos 20% mais ricos 2010,Percentual da renda apropriada pelos 10% mais ricos 2010,Razão 20% mais ricos / 40% mais pobres 2010,Razão 10% mais ricos / 40% mais pobres 2010,Índice de Theil - L 2010,Índice de Gini 2010,Taxa de atividade - 10 anos ou mais 2010,Taxa de atividade - 10 a 14 anos 2010,Taxa de atividade - 15 a 17 anos 2010,Taxa de atividade - 18 anos ou mais 2010,Taxa de atividade - 18 a 24 anos 2010,Taxa de atividade - 25 a 29 anos 2010,Taxa de desocupação - 10 anos ou mais 2010,Taxa de desocupação - 10 a 14 anos 2010,Taxa de desocupação - 15 a 17 anos 2010,Taxa de desocupação - 18 anos ou mais 2010,Taxa de desocupação - 18 a 24 anos 2010,Taxa de desocupação - 25 a 29 anos 2010,% de empregados com carteira - 18 anos ou mais 2010,% de empregados sem carteira - 18 anos ou mais 2010,% de trabalhadores do setor público - 18 anos ou mais 2010,% de trabalhadores por conta própria - 18 anos ou mais 2010,% de empregadores - 18 anos ou mais 2010,Grau de formalização dos ocupados - 18 anos ou mais 2010,% dos ocupados com fundamental completo - 18 anos ou mais 2010,% dos ocupados com médio completo - 18 anos ou mais 2010,% dos ocupados com superior completo - 18 anos ou mais 2010,% dos ocupados no setor agropecuário - 18 anos ou mais 2010,% dos ocupados no setor extrativo mineral - 18 anos ou mais 2010,% dos ocupados na indústria de transformação - 18 anos ou mais 2010,% dos ocupados no SIUP - 18 anos ou mais 2010,% dos ocupados no setor de construção - 18 anos ou mais 2010,% dos ocupados no setor comércio - 18 anos ou mais 2010,% dos ocupados no setor serviços - 18 anos ou mais 2010,Rendimento médio dos ocupados - 18 anos ou mais 2010,% dos ocupados sem rendimento - 18 anos ou mais 2010,% dos ocupados com rendimento de até 1 s.m. - 18 anos ou mais 2010,% dos ocupados com rendimento de até 2 s.m. - 18 anos ou mais 2010,% dos ocupados com rendimento de até 3 s.m. - 18 anos ou mais 2010,% dos ocupados com rendimento de até 5 s.m. - 18 anos ou mais 2010,Índice de Theil-L dos rendimentos do trabalho - 18 anos ou mais 2010,% da população em domicílios com água encanada 2010,% da população em domicílios com banheiro e água encanada 2010,% da população em domicílios com coleta de lixo 2010,% da população em domicílios com energia elétrica 2010,% da população em domicílios com densidade > 2 2010,% de mulheres de 10 a 17 anos que tiveram filhos 2010,"% de mães chefes de família sem fundamental e com filho menor, no total de mães chefes de família 2010",% de crianças em domicílios em que ninguém tem fundamental completo 2010,% de crianças de 0 a 5 anos fora da escola 2010,% de crianças de 6 a 14 fora da escola 2010,% de pessoas em domicílios em que ninguém tem fundamental completo 2010,"% de pessoas de 15 a 24 anos que não estudam, não trabalham e são vulneráveis, na população dessa faixa 2010",% de pessoas de 18 anos ou mais sem fundamental completo e em ocupação informal 2010,Esperança de vida ao nascer 2010,% de pessoas em domicílios vulneráveis à pobreza e em que ninguém tem fundamental completo. 2010,% de vulneráveis e dependentes de idosos 2010,% de pessoas em domicílios sem energia elétrica 2010,% de pessoas em domicílios com paredes inadequadas 2010,% de pessoas em domicílios com abastecimento de água e esgotamento sanitário inadequados 2010,% de vulneráveis que gastam mais de uma hora até o trabalho na população ocupada 2010,População total 2010,População rural 2010,População urbana 2010,População de até 1 ano 2010,Mortalidade infantil 2010,População de 1 a 3 anos 2010,População de 4 anos 2010,População de 5 anos 2010,População de 6 anos 2010,População de 6 a 10 anos 2010,População de 11 a 14 anos 2010,População de 15 a 17 anos 2010,População de 18 a 24 anos 2010,População de 15 anos ou mais 2010,População de 18 anos ou mais 2010,Mortalidade até 5 anos de idade 2010,População de 25 anos ou mais 2010,População de 65 anos ou mais 2010,População total em domicílios particulares permanentes 2010,"População total em domicílios particulares permanentes, exceto com renda nula 2010",Mulheres de 10 a 14 anos 2010,Mulheres de 15 a 17 anos 2010,Mulheres de 15 anos ou mais 2010,Mulheres de 25 anos ou mais 2010,População de 10 anos ou mais de idade - Amostra 2010,População de 10 a 14 anos de idade - Amostra 2010,Probabilidade de sobrevivência até 40 anos 2010,População de 15 a 17 anos de idade - Amostra 2010,População de 18 anos ou mais de idade - Amostra 2010,PEA - 10 anos ou mais 2010,PEA - 10 a 14 anos 2010,PEA - 15 a 17 anos 2010,PEA - 18 anos ou mais 2010,IDHM 2010,IDHM Renda 2010,IDHM Longevidade 2010,IDHM Educação 2010,Probabilidade de sobrevivência até 60 anos 2010,Subíndice de frequência escolar - IDHM Educação 2010,Subíndice de escolaridade - IDHM Educação 2010,População masculina de 0 a 4 anos 2010,População masculina de 5 a 9 anos 2010,População masculina de 10 a 14 anos 2010,População masculina de 15 a 19 anos 2010,População masculina de 20 a 24 anos 2010,População masculina de 25 a 29 anos 2010,População masculina de 30 a 34 anos 2010,População masculina de 35 a 39 anos 2010,Taxa de fecundidade total 2010,População masculina de 40 a 44 anos 2010,População masculina de 45 a 49 anos 2010,População masculina de 50 a 54 anos 2010,População masculina de 55 a 59 anos 2010,População masculina de 60 a 64 anos 2010,População masculina de 65 a 69 anos 2010,População masculina de 70 a 74 anos 2010,População masculina de 75 a 79 anos 2010,População masculina com 80 anos e mais 2010,População feminina de 0 a 4 anos 2010,Razão de dependência 2010,População feminina de 5 a 9 anos 2010,População feminina de 10 a 14 anos 2010,População feminina de 15 a 19 anos 2010,População feminina de 20 a 24 anos 2010,População feminina de 25 a 29 anos 2010,População feminina de 30 a 34 anos 2010,População feminina de 35 a 39 anos 2010,População feminina de 40 a 44 anos 2010,População feminina de 45 a 49 anos 2010,População feminina de 50 a 54 anos 2010,Taxa de envelhecimento 2010,População feminina de 55 a 59 anos 2010,População feminina de 60 a 64 anos 2010,População feminina de 65 a 69 anos 2010,População feminina de 70 a 74 anos 2010,População feminina de 75 a 79 anos 2010,População feminina com 80 anos e mais 2010,População residente masculina 2010,População residente feminina 2010,Taxa de analfabetismo - 11 a 14 anos 2010,População de 11 a 13 anos 2010,População de 12 a 14 anos 2010,População de 15 a 24 anos 2010,População de 16 a 18 anos 2010,População de 18 a 20 anos 2010,População de 19 a 21 anos 2010,População de 6 a 17 anos 2010,% de 5 a 6 anos na escola 2010,% de 11 a 13 anos nos anos finais do fundamental REGULAR SERIADO ou com fundamental completo 2010,% de 18 a 20 anos com médio completo 2010,Taxa de analfabetismo - 15 a 17 anos 2010,"% de 15 a 24 anos que não estudam, não trabalham e são vulneráveis, na população vulnerável dessa faixa 2010","% de mães chefes de família sem fundamental e com filho menor, no total de mães chefes e com filho menor 2010","% de vulneráveis e dependentes de idosos, no total de vulneráveis que coabitam com idosos. 2010",% de vulneráveis que gastam mais de uma hora até o trabalho na população ocupada vulnerável. 2010,Mulheres chefes de família e com filhos menores de 15 anos 2010,População em domicílios vulneráveis e com idoso 2010,População vulnerável de 15 a 24 anos 2010,População ocupada vulnerável à pobreza que retorna diariamente do trabalho 2010,Taxa de analfabetismo - 18 a 24 anos 2010,Taxa de analfabetismo - 25 a 29 anos 2010,% de 0 a 5 anos na escola 2010,Taxa de analfabetismo - 25 anos ou mais 2010,Taxa de frequência bruta ao básico 2010,Taxa de frequência bruta ao fundamental 2010,Taxa de frequência bruta ao médio 2010,Taxa de frequência líquida ao básico 2010,Taxa de frequência líquida ao fundamental 2010,Taxa de frequência líquida ao médio 2010,% de 11 a 13 anos nos anos finais do fundamental ou com fundamental completo 2010,Taxa de analfabetismo - 15 anos ou mais 2010,Taxa de analfabetismo - 18 anos ou mais 2010,% de 15 a 17 anos com fundamental completo 2010,% de 18 a 24 anos com fundamental completo 2010,% de 18 anos ou mais com fundamental completo 2010,% de 25 anos ou mais com fundamental completo 2010,% de 18 a 24 anos com médio completo 2010,% de 18 anos ou mais com médio completo 2010,% de 25 anos ou mais com médio completo 2010,% de 25 anos ou mais com superior completo 2010,Expectativa de anos de estudo 2010,% de 6 a 14 anos na escola 2010,% de 15 a 17 anos na escola 2010,% de 6 a 17 anos na escola 2010,% de 18 a 24 anos na escola 2010,% de 25 a 29 anos na escola 2010,Taxa de frequência bruta à pré-escola 2010,Taxa de frequência bruta ao fundamental REGULAR SERIADO 2010,Taxa de frequência bruta ao médio REGULAR SERIADO 2010,Taxa de frequência bruta ao básico REGULAR SERIADO 2010,Taxa de frequência bruta ao superior 2010,Taxa de frequência líquida à pré-escola 2010,Taxa de frequência líquida ao fundamental REGULAR SERIADO 2010,Taxa de frequência líquida ao médio REGULAR SERIADO 2010,Taxa de frequência líquida ao básico REGULAR SERIADO 2010,Taxa de frequência líquida ao superior 2010,% de 12 a 14 anos nos anos finais do fundamental ou com fundamental completo 2010,% de 6 a 14 anos no fundamental com 2 anos ou mais de atraso 2010,% de 6 a 17 anos no básico com 2 anos ou mais de atraso 2010,% de 15 a 17 anos no fundamental REGULAR SERIADO 2010,% de 18 a 24 anos no fundamental REGULAR SERIADO 2010,% de 18 a 24 anos no médio REGULAR SERIADO 2010,Renda per capita 2010,"Renda per capita , exceto renda nula 2010",% da renda proveniente de rendimentos do trabalho 2010,Renda per capita média do 1º quinto mais pobre 2010,Renda per capita máxima do 1º quinto mais pobre 2010,Renda per capita média do 2º quinto mais pobre 2010,Renda per capita máxima do 2° quinto mais pobre 2010,Renda per capita média do 3º quinto mais pobre 2010,Renda per capita máxima do 3° quinto mais pobre 2010,Renda per capita média do 4º quinto mais pobre 2010,Renda per capita máxima do 4°quinto mais pobre 2010,Renda per capita média do quinto mais rico 2010,Renda per capita média do décimo mais rico 2010,Renda per capita mínima do décimo mais rico 2010,% de extremamente pobres 2010,% de pobres 2010,% de vulneráveis à pobreza 2010,% de crianças extremamente pobres 2010,% de crianças pobres 2010,% de crianças vulneráveis à pobreza 2010,Renda per capita dos extremamente pobres 2010,Renda per capita dos pobres 2010,Renda per capita dos vulneráveis à pobreza 2010
76,Brasil,2.41,8.59,19.23,36.6,63.4,48.93,14.83,22.78,0.68,0.6,57.93,7.53,29.78,66.54,68.05,78.23,7.98,17.3,24.19,7.29,15.07,8.77,46.47,19.33,5.61,21.73,2.05,59.32,62.29,44.91,13.19,13.55,0.48,11.92,0.93,7.4,15.38,44.29,1296.19,5.58,21.91,69.56,81.67,90.4,0.51,92.72,87.16,97.02,98.58,27.83,2.89,17.23,30.39,56.85,3.31,24.92,11.61,35.24,73.94,13.46,2.42,1.42,3.42,6.12,1.42,190755799,29830007,160925792,2707991,16.7,8196384,2864361,2925979,2888505,15511078,13633774,10336812,23814018,144823504,134134770,18.83,110320752,14049006,189467324,187818403,8573857,5217525,75785331,58466620,161981299,17167135,94.37,10353865,134460298,93841042,1293199,3082987,89464856,0.727,0.739,0.816,0.637,84.05,0.686,0.549,7016987,7624144,8725413,8558868,8630227,8460995,7717657,6766665,1.89,6320570,5692013,4834995,3902344,3041034,2224065,1667373,1090518,1133122,6779172,45.87,7345231,8441348,8432002,8614963,8643418,8026855,7121916,6688797,6141338,5305407,7.36,4373875,3468085,2616745,2074264,1472930,1802463,93406990,97348809,3.24,10147274,10287708,34150830,10129325,9998411,10050314,36116267,91.12,84.86,41.01,2.2,33.34,43.19,69.08,10.33,7388214,7217444,11814936,11755483,2.61,3.96,43.15,11.82,113.26,118.9,97.35,93.49,96.82,53.22,87.83,9.61,10.19,57.24,74.24,54.92,50.75,47.47,37.89,35.83,11.27,9.54,96.69,83.32,93.19,30.64,14.31,68.77,112.19,71.32,101.49,29.82,55.02,92.14,43.38,87.95,13.95,86.14,15.9,19.59,27.11,3.41,6.89,793.87,800.84,74.32,95.73,170,245.3,324.9,422.23,510,689.43,930,2529.52,3884.61,1533.5,6.62,15.2,32.56,11.47,26.01,49.41,31.66,75.19,142.72
2300101,Abaiara,3.3,11.59,25.7,47.98,52.02,34.36,8.95,11.86,0.45,0.48,43.94,10.21,28.01,51.24,57.42,65.16,10.28,14.03,12.86,10.01,15.93,14.65,19.39,51.1,1.05,23.7,0.13,22.18,50.11,36.01,5.17,32.99,,2.84,3.03,10.9,15.98,33.87,410.96,7.66,75.3,95.18,97.57,99.35,0.49,71.44,62.57,86.56,99.36,44.41,3.99,19.89,36.92,50,3.24,31.8,30.48,56.42,69.87,22.78,8.04,0.64,12.43,19.88,1.61,10496,5944,4552,190,26.9,498,182,179,155,925,880,649,1317,7513,6658,28.88,5341,950,10445,10381,534,292,3702,2757,8639,1137,93.79,708,6795,3796,116,198,3481,0.628,0.54,0.748,0.612,81.65,0.751,0.406,458,470,579,564,481,432,411,328,2.54,275,226,204,168,167,157,113,81,96,450,59.93,468,558,482,497,427,397,341,285,216,231,9.05,197,212,180,123,85,137,5210,5286,3.98,641,672,1966,598,541,522,2263,98.49,90.87,48.6,3.85,39.03,56.23,75.58,3.11,301,1166,1576,1755,5.16,12.12,50,38.48,103.46,114.24,73.95,91.24,96.76,54.69,91.72,29.4,31.89,62.49,75.99,40.56,32.05,51.1,28.03,22.49,2.78,9.7,96.76,72.12,90.17,15.14,7.79,42.75,110.8,62.99,98.01,12.41,24.09,92.89,45.55,87.63,6.06,90.16,12.13,13.62,18.75,1.6,4.57,229.74,231.16,55.61,37.92,66.8,95.23,126.8,162.06,200,255.96,323.33,595.5,789.37,510,20.96,44.64,71.86,32.15,62.26,86.67,39.16,73.1,120.18
2300150,Acarape,4.58,14.65,30.11,52.84,47.16,31.09,6.43,8.49,0.33,0.43,42.69,2.95,18.65,51.5,50.57,60.32,7.25,10.57,6.64,7.24,14.65,9.12,26.03,42.32,8.64,19.03,0.65,36.98,52.92,35.15,4.53,21.18,5.02,24.84,1.39,7.33,6.7,32.46,513.03,7.78,43.4,91.68,96.47,99.23,0.28,76.94,60.83,90.37,99.43,34.05,4.12,33.09,28.9,57,3.16,28.69,29.18,51.66,67.56,20.84,5.39,0.57,6.76,15.67,1.25,15338,7356,7982,274,34.4,777,283,234,228,1362,1365,1056,2127,11039,9977,36.94,7850,1123,15323,15179,820,522,5601,4074,12668,1657,92.14,950,10061,5407,49,177,5181,0.606,0.559,0.709,0.562,77.53,0.643,0.429,656,646,835,873,784,596,553,477,2.43,469,402,315,238,195,160,148,106,118,679,54.68,661,822,853,675,619,567,526,540,407,335,7.32,266,224,152,162,137,142,7571,7767,3.52,966,1072,3183,1051,982,902,3409,98.29,86.77,23.6,5.11,41.2,61.08,65.01,3.24,707,1483,2250,1927,5.97,8.48,43,28.29,102.5,114.55,68.03,92.15,97.58,42.25,87.55,21.77,23.53,48.68,66.55,42.87,36.11,32.44,25.49,23.5,3.22,9.14,96.84,71.96,90.4,17.86,3.49,91.23,111.82,49.04,95.56,6.83,70.35,93.98,28.04,87.6,3.89,90.83,16.3,22.17,34.91,2.71,6.19,259.03,261.49,64.2,59.3,100,130.46,162,200.2,242.5,294.39,348,609.7,805.25,510,12.31,32.88,66.26,18.06,44.77,78.19,42,81.99,141.63
2300200,Acaraú,1.81,7.75,18.6,36.89,63.11,47.6,16.21,24.58,0.69,0.6,47.87,12.09,24.75,56.9,55.36,63.06,8.2,11.23,11.82,7.9,16.21,10.99,10.05,43.31,3.16,23.87,1.05,16.16,35.44,21.4,4.18,49.13,,5.61,0.37,4.98,10.5,23.81,457.36,24.01,72.61,93.04,96.79,98.02,0.78,86.17,54.2,71.44,95.58,35.14,3.38,33.92,48.31,50,3.21,39.79,27.93,64.47,70.47,32.13,5.8,4.42,6.84,24.11,1.09,57551,29309,28242,880,25.1,2794,1135,1043,1086,5413,5372,4018,8094,40914,36896,26.99,28802,4021,57272,55998,3195,1973,20282,14416,47487,6544,94.19,4213,36730,22732,791,1043,20898,0.601,0.554,0.758,0.517,82.68,0.655,0.322,2387,2734,3349,3276,2970,2603,2235,1845,2.56,1595,1364,1011,958,850,658,510,353,404,2422,55.99,2550,3195,3072,2794,2503,2150,1840,1582,1384,1023,6.99,956,882,660,607,357,472,29102,28449,5.08,3969,4122,12112,3810,3483,3402,13522,99.2,87.85,24.92,3.78,34.64,69.01,66.21,2.79,2418,6031,9681,8075,8.38,16.31,50,38.08,105.51,116.97,76,92.01,97.2,46.41,90.18,28.83,31.56,50.1,58.83,32.15,24.84,28.15,17.64,14.76,3.29,10.03,96.79,76.9,91.23,18.81,5.03,78.46,112.23,63.97,98.73,5.96,64.6,92.4,41.49,88.95,2.69,87.32,11.46,17.32,31.46,3.75,7.66,250.79,256.5,63.85,22.72,40.67,74.41,103.67,136.08,169.5,229.44,316.8,787.34,1193.79,502.5,28.32,51.22,75.35,38.46,65.45,86,32.42,64.75,106.22
2300309,Acopiara,1.87,7.51,19.54,40.71,59.29,45.33,15.8,24.15,0.65,0.57,47.16,11.83,26.7,53.76,55.71,62.42,6.21,6.3,8.06,6.13,12.54,10.14,10.41,39.01,2.87,21.24,1.08,15.04,34.64,20.6,4.36,49.84,,3.72,1.17,5.08,11.75,26.58,398.32,30.71,74.54,93.47,96.56,98.77,0.73,61,59.44,89.18,98.4,33.1,2.12,19.99,50.82,49,2.75,43.64,24.61,67.71,68.41,31.78,7.28,1.6,6.73,9.26,1.05,51160,25932,25228,711,31.5,2204,757,810,712,4121,3905,2814,6099,38439,35111,33.84,29012,5425,51083,50274,2318,1369,19135,14727,43281,4948,92.77,2888,35445,20411,585,771,19055,0.595,0.563,0.724,0.517,79.08,0.677,0.302,1932,2076,2590,2342,2223,1962,1899,1658,2.33,1592,1388,1199,1062,1019,875,708,454,645,1808,54.96,1957,2358,2284,2191,2013,1924,1646,1569,1454,1264,10.6,1216,1030,879,822,479,642,25624,25536,5.97,2883,2946,8913,2681,2653,2586,9897,96.47,88.55,25.56,5.44,32.94,61.89,87.98,2.32,1643,5237,6731,8680,9.92,15.73,51,40.36,111.37,121.5,83.08,93.79,97.93,52.39,90.3,32.87,35.07,60.04,63.73,30.15,23.1,28.36,15.96,13.35,2.52,9.94,97.25,81.23,93.03,23.61,8.84,55.7,112.9,72.67,102.3,13.48,46.17,94.45,46.86,90.8,6.13,89.8,14.65,18.69,29.73,3.25,9.43,266.65,270.94,53.4,24.98,39,75.13,116.67,160.36,215,282.25,363.33,791.03,1208.7,512.5,29.5,45.21,68.34,41.92,62.77,84.85,34.57,59.05,106
2300408,Aiuaba,2.21,8.8,22.09,45.28,54.72,36.81,12.51,16.73,0.52,0.53,49.18,15.34,39.02,56.38,55.1,59.57,3.71,1.73,10.2,3.31,7.37,1.93,7.99,32.88,2.75,22.74,0.2,12.31,31.37,19.16,4.21,51.32,,2.35,1.11,4.92,8.22,28.4,249.88,36.37,81.59,96.43,98.28,99.5,0.47,55.79,42.17,97.11,94.64,35.93,2.78,30.56,55.43,48,2.46,46.22,25.18,70.19,69.96,37.25,7.93,5.36,5.47,17.84,1.66,16203,12252,3951,259,26.6,808,270,274,242,1563,1477,1082,2058,11535,10376,28.59,8318,1390,16160,15801,920,542,5762,4192,13369,1861,93.86,1147,10361,6575,285,448,5842,0.569,0.518,0.749,0.474,81.81,0.624,0.274,702,742,941,884,701,605,567,500,2.4,460,413,306,299,300,238,188,115,156,636,59.71,727,920,836,745,570,578,503,481,399,376,8.58,321,288,224,171,139,172,8117,8086,5.75,1095,1142,3140,994,953,933,3795,96.02,83.85,23.07,4.71,32.43,65.56,91.87,3.05,653,1526,2448,3432,9.09,19.39,52,44.17,104.55,123.62,54.06,92.17,97.56,37,84.11,34.14,37.21,46.7,57.9,27.35,19.95,27.98,16.13,13.26,3.01,8.79,97.54,76.96,91.9,16.93,6.15,43.82,120.35,49.86,101.03,11.66,35.9,96.37,33.35,90.63,4.04,89.53,19.48,25.7,39.65,4.12,6.72,200.6,205.16,45.15,22.19,35,66.08,99,133.26,170,232.6,290,552.24,738.48,478,30.97,52.55,75.02,41.59,68.99,87.72,32.36,62.17,102.14
2300507,Alcântaras,2.71,12.09,27.26,50.39,49.61,31.65,8.11,10.47,0.42,0.46,44.44,8.64,19.9,53.29,56.04,58.29,4.8,,13.83,4.57,9.43,7.95,34.35,22.82,5.84,14.71,,42.34,41.08,26.81,5.33,28.26,0.13,10.15,1.41,16.16,11.14,31.86,390.7,23.47,61.95,93.77,97.7,99.29,0.47,62.59,46.73,94.88,98.13,44.4,2.04,24.37,41.56,41,2.26,37.67,20.87,57.11,70.07,26.25,4.86,1.87,8.94,28.65,1.91,10771,7323,3448,149,26.3,480,194,178,180,964,994,751,1503,7812,7061,28.24,5558,1012,10756,10595,569,364,4053,2919,9028,1213,93.93,770,7045,4012,105,153,3754,0.6,0.549,0.751,0.524,82,0.652,0.339,401,510,644,617,503,418,372,314,2.15,300,266,199,180,134,120,112,95,129,422,58.4,413,569,589,545,434,385,301,350,287,220,9.4,210,176,157,143,113,143,5314,5457,2.21,726,766,2254,739,665,606,2466,98.59,87.45,29.25,3.99,30.07,66.1,71.75,5.04,380,935,1559,1441,6.32,10.92,59,38.66,105.99,123.39,63.15,95.9,97.74,44.49,87.45,29.11,31.78,45.46,65.22,33.93,25.59,34.82,20.52,16.71,3.49,9.43,97.74,89.96,95.49,18.06,6.17,99.06,120.36,53.5,101.05,13.22,72.99,96.14,35.42,92.77,5.12,89.77,21.05,29.33,45.13,3,7.13,243.73,247.43,54.13,33.02,70,114.32,155.43,184.86,226.67,281.91,351,597.5,771.52,510,20.12,37.34,67.24,27.73,51.49,80.98,33.02,67.84,125.13
2300606,Altaneira,2.17,8.37,20.46,42.2,57.8,39.62,13.8,18.93,0.57,0.55,35.79,2.82,20.6,42.87,44.53,54.67,6.81,,8.78,6.8,15.35,4.88,18.73,28.72,3.06,23.02,0.63,25.34,41.15,26.61,6.7,47.34,0.25,3.3,1.52,4.46,8.91,33.73,374.86,32.18,76.84,91.45,95.66,98.13,0.56,95.55,72.35,98.69,98.77,37.43,3.58,22.34,47.42,31,4.28,43.79,28.31,65.33,71.41,31.21,9.07,1.23,2.31,8.37,1.21,6856,1899,4957,95,22.5,290,114,131,111,626,645,433,769,4955,4522,24.16,3753,771,6853,6760,361,207,2630,2022,5754,782,94.78,423,4549,2059,22,87,1950,0.602,0.547,0.774,0.515,84.24,0.659,0.314,250,321,421,339,255,232,238,205,2.17,206,152,106,110,136,130,98,45,73,249,63.86,299,361,345,263,268,252,224,214,170,141,11.25,157,171,134,111,74,106,3317,3539,5.12,487,487,1202,397,334,320,1570,92.78,88.33,31.54,1.85,35.25,62.09,88.19,2.03,276,833,965,1147,5.85,13.8,69,40.61,108.28,117.4,80.6,94.19,95.96,46.43,89.5,31.83,34.7,50.77,65.42,31.41,24.38,34.36,18.09,14.73,3.54,10.36,95.72,88.07,93.83,24.18,9.78,81.76,108.32,65.69,97.76,11.82,64.52,92.35,38.44,87.66,6.41,87.76,11.17,15.78,29.42,3.41,9.16,240.97,244.25,42.23,26.18,39.63,74.67,113.25,145.65,187.5,261.99,353.33,695.9,954.67,525,28.68,49.56,72.18,42.11,68.73,87.2,34.68,64.93,106.92
2300705,Alto Santo,2.95,11.95,26.22,49.31,50.69,31.41,8.52,10.52,0.42,0.48,48.46,7.08,29.73,55.9,61.69,69.42,5.5,7.19,7.41,5.38,6.18,6.69,18.75,44.27,3.07,20.25,,25.29,36.72,20.29,3.4,43.19,,13.22,0.58,7.25,6.59,22.72,415.48,18.99,67.67,94.06,96.05,98.71,0.37,67.39,66.52,76.94,98.65,34.99,1.43,17.79,46.73,54,3.54,42.77,16.88,62.51,71.44,30.97,6.01,1.35,7.09,22.38,0.75,16359,8318,8041,232,22.4,701,258,287,281,1452,1249,1022,2131,12171,11120,24.06,8989,1298,16359,16044,709,523,6107,4516,13801,1544,94.8,1046,11211,6688,109,311,6267,0.601,0.563,0.774,0.499,84.3,0.631,0.312,611,724,830,769,799,718,556,510,2.3,489,515,412,351,312,198,147,109,167,581,50.46,728,714,830,765,709,560,497,524,524,397,7.93,338,296,191,190,120,178,8217,8142,7.53,931,954,3153,955,878,887,3389,98.04,84.2,26.7,4.79,25.92,53.58,74.55,1.98,461,1441,2060,2400,8.63,16.48,46,38.1,106.14,122.58,62.55,91.48,96.36,39.18,87.71,30.13,32.46,43.58,62.38,31.15,23.88,25.94,16.07,13.77,2.24,9.12,96.46,79.45,91.8,20.08,6.15,119.33,117.76,54.82,100.52,11.84,79.64,93.96,36.56,88.39,5.02,80.41,17.95,24.12,34.93,4.86,6.35,265.07,270.28,58.9,39.05,83.33,119.3,153,189.15,238.63,306.08,384,674.68,832.55,510,17.8,36.02,64.21,29.03,53.19,80.93,34.44,71.56,124.76
2300754,Amontada,1.85,7.51,19.84,42.21,57.79,39.91,15.48,21.26,0.58,0.56,47.04,14.52,32.82,55.45,54.56,64.62,7.77,9.12,18.23,6.89,14.09,5.3,8.63,30.5,5.72,23.87,0.25,18.66,44.23,25.79,5.98,53.13,0.07,4.7,0.54,4.68,8.13,26.18,304.85,34.11,78.2,94.12,97.29,99.28,0.55,77.08,39.6,72.97,95.14,37.55,4.53,29.06,33.11,51,2.97,29.95,27.31,57.53,70.63,23.93,9.14,4.86,16.62,38.37,3.19,39232,23285,15947,695,24.6,2264,803,782,712,4169,3780,3011,5383,26739,23728,26.47,18345,3036,39192,37569,2323,1449,12774,8803,31498,4768,94.3,3084,23646,14815,692,1012,13111,0.606,0.503,0.761,0.582,82.96,0.71,0.391,1954,1992,2445,2465,1958,1630,1343,1199,2.83,1067,918,675,615,569,463,408,295,360,1808,65.51,1971,2323,2223,1748,1467,1236,1035,986,797,596,7.74,625,551,463,375,288,384,20356,18876,6.46,2784,2884,8394,2909,2470,2292,9997,96.47,87.05,37.76,3.79,32.12,55.49,83.04,7.77,1561,5179,7128,5601,7.47,11.91,49,34.61,106.07,113.38,86.71,94.43,97.06,58.49,88.49,25.67,28.45,62.85,70.42,39.1,30.02,37.88,21.32,16.52,4.04,10.25,97.03,82.54,93.06,22.42,10.13,73.35,106.82,79.78,99.4,11.82,51.41,92.02,49.08,89.86,4.08,89.74,9.8,14.17,26.14,3.91,10.99,182.47,190.34,53.17,16.9,28,51.59,78.14,112.55,152.5,204.03,264.6,529.97,728.13,416,37.41,57.54,79.23,48.64,71.46,89.19,30.93,56.25,94.26
