Código,Espacialidades,IDHM 1991,IDHM 2000,IDHM 2010
76,Brasil,0.493,0.612,0.727
2300101,Abaiara,0.286,0.452,0.628
2300150,Acarape,0.349,0.49,0.606
2300200,Acaraú,0.277,0.415,0.601
2300309,Acopiara,0.254,0.412,0.595
2300408,Aiuaba,0.256,0.365,0.569
2300507,Alcântaras,0.285,0.422,0.6
2300606,Altaneira,0.288,0.417,0.602
2300705,Alto Santo,0.304,0.438,0.601
2300754,Amontada,0.241,0.423,0.606
2300804,Antonina do Norte,0.309,0.431,0.599
2300903,Apuiarés,0.274,0.431,0.618
2301000,Aquiraz,0.327,0.499,0.641
2301109,Aracati,0.371,0.523,0.655
2301208,Aracoiaba,0.319,0.451,0.615
2301257,Ararendá,0.201,0.437,0.59
2301307,Araripe,0.25,0.371,0.564
2301406,Aratuba,0.288,0.453,0.622
2301505,Arneiroz,0.275,0.419,0.618
2301604,Assaré,0.271,0.37,0.6
2301703,Aurora,0.294,0.435,0.605
2301802,Baixio,0.323,0.452,0.627
2301851,Banabuiú,0.286,0.456,0.606
2301901,Barbalha,0.381,0.517,0.683
2301950,Barreira,0.31,0.463,0.616
2302008,Barro,0.286,0.442,0.599
2302057,Barroquinha,0.192,0.356,0.571
2302107,Baturité,0.368,0.488,0.619
2302206,Beberibe,0.283,0.455,0.638
2302305,Bela Cruz,0.26,0.406,0.623
2302404,Boa Viagem,0.296,0.419,0.598
2302503,Brejo Santo,0.363,0.503,0.647
2302602,Camocim,0.305,0.462,0.62
2302701,Campos Sales,0.314,0.471,0.63
2302800,Canindé,0.302,0.448,0.612
2302909,Capistrano,0.277,0.457,0.611
2303006,Caridade,0.287,0.421,0.592
2303105,Cariré,0.269,0.416,0.596
2303204,Caririaçu,0.245,0.392,0.578
2303303,Cariús,0.26,0.438,0.597
2303402,Carnaubal,0.25,0.419,0.593
2303501,Cascavel,0.318,0.493,0.646
2303600,Catarina,0.266,0.412,0.618
2303659,Catunda,0.249,0.427,0.609
2303709,Caucaia,0.411,0.555,0.682
2303808,Cedro,0.373,0.473,0.627
2303907,Chaval,0.274,0.398,0.586
2303931,Choró,0.246,0.38,0.585
2303956,Chorozinho,0.253,0.437,0.604
2304004,Coreaú,0.302,0.406,0.61
2304103,Crateús,0.36,0.503,0.644
2304202,Crato,0.444,0.577,0.713
2304236,Croatá,0.214,0.372,0.59
2304251,Cruz,0.268,0.435,0.632
2304269,Deputado Irapuan Pinheiro,0.264,0.449,0.609
2304277,Ererê,0.291,0.433,0.61
2304285,Eusébio,0.377,0.507,0.701
2304301,Farias Brito,0.308,0.447,0.633
2304350,Forquilha,0.314,0.464,0.644
2304400,Fortaleza,0.546,0.652,0.754
2304459,Fortim,0.276,0.48,0.624
2304509,Frecheirinha,0.326,0.45,0.604
2304608,General Sampaio,0.261,0.392,0.568
2304657,Graça,0.149,0.381,0.57
2304707,Granja,0.25,0.371,0.559
2304806,Granjeiro,0.266,0.372,0.585
2304905,Groaíras,0.355,0.451,0.633
2304954,Guaiúba,0.333,0.454,0.617
2305001,Guaraciaba do Norte,0.301,0.43,0.609
2305100,Guaramiranga,0.326,0.5,0.637
2305209,Hidrolândia,0.25,0.424,0.597
2305233,Horizonte,0.311,0.493,0.658
2305266,Ibaretama,0.272,0.406,0.577
2305308,Ibiapina,0.284,0.451,0.608
2305332,Ibicuitinga,0.306,0.451,0.606
2305357,Icapuí,0.301,0.478,0.616
2305407,Icó,0.299,0.445,0.606
2305506,Iguatu,0.394,0.546,0.677
2305605,Independência,0.326,0.495,0.632
2305654,Ipaporanga,0.157,0.409,0.579
2305704,Ipaumirim,0.329,0.444,0.606
2305803,Ipu,0.318,0.473,0.618
2305902,Ipueiras,0.241,0.401,0.573
2306009,Iracema,0.323,0.499,0.652
2306108,Irauçuba,0.314,0.428,0.605
2306207,Itaiçaba,0.346,0.496,0.656
2306256,Itaitinga,0.32,0.475,0.626
2306306,Itapagé,0.354,0.459,0.623
2306405,Itapipoca,0.332,0.477,0.64
2306504,Itapiúna,0.318,0.479,0.604
2306553,Itarema,0.249,0.389,0.606
2306603,Itatira,0.208,0.362,0.562
2306702,Jaguaretama,0.305,0.445,0.612
2306801,Jaguaribara,0.361,0.468,0.618
2306900,Jaguaribe,0.37,0.518,0.621
2307007,Jaguaruana,0.355,0.498,0.624
2307106,Jardim,0.304,0.439,0.614
2307205,Jati,0.327,0.474,0.651
2307254,Jijoca de Jericoacoara,0.189,0.422,0.652
2307304,Juazeiro do Norte,0.419,0.544,0.694
2307403,Jucás,0.246,0.441,0.598
2307502,Lavras da Mangabeira,0.336,0.46,0.613
2307601,Limoeiro do Norte,0.433,0.561,0.682
2307635,Madalena,0.287,0.443,0.61
2307650,Maracanaú,0.42,0.575,0.686
2307700,Maranguape,0.369,0.524,0.659
2307809,Marco,0.306,0.446,0.612
2307908,Martinópole,0.275,0.407,0.599
2308005,Massapê,0.298,0.423,0.616
2308104,Mauriti,0.278,0.445,0.605
2308203,Meruoca,0.306,0.44,0.618
2308302,Milagres,0.327,0.45,0.628
2308351,Milhã,0.282,0.466,0.626
2308377,Miraíma,0.269,0.394,0.592
2308401,Missão Velha,0.302,0.444,0.622
2308500,Mombaça,0.269,0.399,0.582
2308609,Monsenhor Tabosa,0.306,0.437,0.61
2308708,Morada Nova,0.335,0.485,0.61
2308807,Moraújo,0.323,0.386,0.581
2308906,Morrinhos,0.296,0.415,0.588
2309003,Mucambo,0.291,0.458,0.607
2309102,Mulungu,0.342,0.48,0.607
2309201,Nova Olinda,0.313,0.451,0.625
2309300,Nova Russas,0.324,0.459,0.614
2309409,Novo Oriente,0.284,0.422,0.605
2309458,Ocara,0.278,0.434,0.594
2309508,Orós,0.366,0.465,0.636
2309607,Pacajus,0.355,0.508,0.659
2309706,Pacatuba,0.385,0.533,0.675
2309805,Pacoti,0.345,0.484,0.635
2309904,Pacujá,0.384,0.486,0.621
2310001,Palhano,0.31,0.492,0.638
2310100,Palmácia,0.352,0.497,0.622
2310209,Paracuru,0.34,0.457,0.637
2310258,Paraipaba,0.357,0.495,0.634
2310308,Parambu,0.304,0.387,0.57
2310407,Paramoti,0.231,0.405,0.583
2310506,Pedra Branca,0.247,0.42,0.603
2310605,Penaforte,0.401,0.53,0.646
2310704,Pentecoste,0.307,0.467,0.629
2310803,Pereiro,0.296,0.445,0.601
2310852,Pindoretama,0.318,0.493,0.636
2310902,Piquet Carneiro,0.292,0.427,0.6
2310951,Pires Ferreira,0.241,0.393,0.591
2311009,Poranga,0.199,0.401,0.581
2311108,Porteiras,0.296,0.477,0.622
2311207,Potengi,0.304,0.396,0.562
2311231,Potiretama,0.251,0.425,0.604
2311264,Quiterianópolis,0.24,0.405,0.594
2311306,Quixadá,0.383,0.524,0.659
2311355,Quixelô,0.258,0.367,0.591
2311405,Quixeramobim,0.356,0.482,0.642
2311504,Quixeré,0.33,0.475,0.622
2311603,Redenção,0.349,0.478,0.626
2311702,Reriutaba,0.298,0.454,0.601
2311801,Russas,0.398,0.527,0.674
2311900,Saboeiro,0.223,0.374,0.575
2311959,Salitre,0.189,0.326,0.54
2312007,Santana do Acaraú,0.314,0.431,0.587
2312106,Santana do Cariri,0.302,0.424,0.612
2312205,Santa Quitéria,0.281,0.431,0.616
2312304,São Benedito,0.289,0.433,0.611
2312403,São Gonçalo do Amarante,0.325,0.459,0.665
2312502,São João do Jaguaribe,0.399,0.523,0.654
2312601,São Luís do Curu,0.365,0.506,0.62
2312700,Senador Pompeu,0.371,0.487,0.619
2312809,Senador Sá,0.249,0.377,0.603
2312908,Sobral,0.406,0.537,0.714
2313005,Solonópole,0.309,0.454,0.625
2313104,Tabuleiro do Norte,0.362,0.522,0.645
2313203,Tamboril,0.241,0.385,0.58
2313252,Tarrafas,0.21,0.377,0.576
2313302,Tauá,0.338,0.477,0.633
2313351,Tejuçuoca,0.253,0.421,0.584
2313401,Tianguá,0.341,0.46,0.657
2313500,Trairi,0.291,0.42,0.606
2313559,Tururu,0.298,0.418,0.606
2313609,Ubajara,0.331,0.464,0.648
2313708,Umari,0.265,0.419,0.591
2313757,Umirim,0.275,0.395,0.587
2313807,Uruburetama,0.344,0.456,0.639
2313906,Uruoca,0.235,0.394,0.566
2313955,Varjota,0.351,0.459,0.611
2314003,Várzea Alegre,0.307,0.462,0.629
2314102,Viçosa do Ceará,0.235,0.369,0.571
