Código,Espacialidades,IDHM Renda 1991,IDHM Renda 2000,IDHM Renda 2010,IDHM Longevidade 1991,IDHM Longevidade 2000,IDHM Longevidade 2010,IDHM Educação 1991,IDHM Educação 2000,IDHM Educação 2010,Renda per capita 1991,Renda per capita 2000,Renda per capita 2010,% de extremamente pobres 1991,% de extremamente pobres 2000,% de extremamente pobres 2010,% de pobres 1991,% de pobres 2000,% de pobres 2010,% de vulneráveis à pobreza 1991,% de vulneráveis à pobreza 2000,% de vulneráveis à pobreza 2010,% de crianças extremamente pobres 1991,% de crianças extremamente pobres 2000,% de crianças extremamente pobres 2010,% de crianças pobres 1991,% de crianças pobres 2000,% de crianças pobres 2010,% de crianças vulneráveis à pobreza 1991,% de crianças vulneráveis à pobreza 2000,% de crianças vulneráveis à pobreza 2010,Renda per capita dos extremamente pobres 1991,Renda per capita dos extremamente pobres 2000,Renda per capita dos extremamente pobres 2010,Renda per capita dos pobres 1991,Renda per capita dos pobres 2000,Renda per capita dos pobres 2010,Renda per capita dos vulneráveis à pobreza 1991,Renda per capita dos vulneráveis à pobreza 2000,Renda per capita dos vulneráveis à pobreza 2010
76,Brasil,0.647,0.692,0.739,0.662,0.727,0.816,0.279,0.456,0.637,447.56,592.46,793.87,18.64,12.48,6.62,38.16,27.9,15.2,58.53,48.39,32.56,26.97,20.19,11.47,49.25,41.01,26.01,68.83,63.1,49.41,40.91,35.64,31.66,71.86,72.75,75.19,113.41,123.07,142.72
2300101,Abaiara,0.377,0.464,0.54,0.6,0.703,0.748,0.103,0.283,0.612,83.34,143.75,229.74,58.48,48.1,20.96,85.15,67.72,44.64,95.68,85.66,71.86,72.92,66.61,32.15,91.79,84.32,62.26,97.25,93.1,86.67,38.52,29.76,39.16,56.44,50.38,73.1,69.34,78.21,120.18
2300150,Acarape,0.443,0.485,0.559,0.537,0.632,0.709,0.179,0.383,0.562,125.8,163.3,259.03,40.99,31.47,12.31,75.43,59.8,32.88,91.35,83.87,66.26,52.49,42.57,18.06,85.01,71.68,44.77,94.69,89.76,78.19,47.92,35.59,42,71.06,65.38,81.99,91.43,98.59,141.63
2300200,Acaraú,0.449,0.483,0.554,0.534,0.671,0.758,0.089,0.22,0.517,131.06,161.22,250.79,43.25,43.9,28.32,75.83,69.76,51.22,90.44,88.03,75.35,53.22,57.32,38.46,83.01,82.85,65.45,93.9,94.71,86,42.43,29.3,32.42,66.77,55.85,64.75,85.27,81.64,106.22
2300309,Acopiara,0.413,0.498,0.563,0.514,0.637,0.724,0.077,0.22,0.517,104.25,177.7,266.65,60.23,46.89,29.5,82.46,68.07,45.21,93.46,85.72,68.34,71.09,60.5,41.92,88.55,81.02,62.77,95.62,92.24,84.85,34.58,22.1,34.57,51.26,46.29,59.05,67.15,74.41,106
2300408,Aiuaba,0.36,0.404,0.518,0.574,0.616,0.749,0.081,0.196,0.474,74.98,99.06,200.6,73.99,60.74,30.97,89.86,77.42,52.55,95.72,91.43,75.02,83.31,73.85,41.59,92.93,89.66,68.99,97.63,96.62,87.72,27.94,22.23,32.36,39.61,39.25,62.17,47.54,60.96,102.14
2300507,Alcântaras,0.386,0.456,0.549,0.49,0.63,0.751,0.122,0.262,0.524,88.52,136.44,243.73,63.5,44.6,20.12,86.95,67.62,37.34,95.92,88.31,67.24,76.46,63.18,27.73,92.93,81.64,51.49,98.03,96.38,80.98,42.9,33.35,33.02,56.53,57.16,67.84,68.42,87.79,125.13
2300606,Altaneira,0.381,0.49,0.547,0.512,0.647,0.774,0.122,0.228,0.515,85.88,169.23,240.97,67.82,52.05,28.68,85.93,70.94,49.56,94.82,83.8,72.18,77.25,65.07,42.11,93.07,84.55,68.73,97,91.87,87.2,28.38,26.1,34.68,41.67,44.87,64.93,54.59,66.05,106.92
2300705,Alto Santo,0.438,0.506,0.563,0.661,0.727,0.774,0.097,0.229,0.499,121.94,186.45,265.07,42.8,30.59,17.8,75.02,55.24,36.02,92.63,81.05,64.21,54.52,41.61,29.03,84.29,68.56,53.19,96.12,88.89,80.93,41.94,31.03,34.44,66.11,62.85,71.56,87.82,100.41,124.76
2300754,Amontada,0.366,0.441,0.503,0.619,0.665,0.761,0.062,0.259,0.582,77.94,124.16,182.47,68.78,57.71,37.41,88.25,75.28,57.54,96.73,89.46,79.23,78.14,70.65,48.64,94.97,85.02,71.46,98.65,92.94,89.19,37.02,19.57,30.93,50.32,38.09,56.25,62.23,60.55,94.26
2300804,Antonina do Norte,0.409,0.48,0.55,0.561,0.69,0.772,0.129,0.241,0.506,102.26,158.85,244.83,56.73,41.11,21.79,80.73,65.87,43.92,94.45,85.82,69.7,70.2,55.56,29.88,86.45,81.89,59.62,96.97,94.44,85.52,32.48,31.16,35.54,53.97,56.54,70.46,73.27,85.62,114.95
2300903,Apuiarés,0.378,0.437,0.536,0.522,0.662,0.741,0.104,0.276,0.593,84.24,121.31,224.63,63.78,47.69,29.96,88.26,73.09,49.77,95.62,87.92,70.96,74.46,64.92,42.78,92.43,87.35,67.92,95.69,95.28,85.39,34.7,27.75,34.33,52.1,53.09,61.56,62.28,75.78,102.33
2301000,Aquiraz,0.469,0.548,0.608,0.59,0.708,0.788,0.126,0.321,0.55,147.8,242.56,352.6,34.41,19.7,8.09,68.98,52.28,24.19,90.14,80.1,56.63,45.14,28.15,12.41,77.61,66.43,37.14,93.67,88.41,73.7,42.97,40.29,36.13,73.39,79.35,86.76,99.39,117.34,150.77
2301109,Aracati,0.481,0.53,0.607,0.578,0.697,0.742,0.184,0.388,0.624,159.15,216.08,349.26,40.97,26.73,14.18,72.91,51.95,31.68,87.54,77.33,59.26,52.22,38.05,21.2,81.21,64.83,45,91.14,84.95,73.11,41.81,35.75,36.4,66.03,67.45,76.13,85.43,105.03,132.27
