Código,Espacialidades,Percentual da renda apropriada pelos 20% mais pobres 1991,Percentual da renda apropriada pelos 20% mais pobres 2000,Percentual da renda apropriada pelos 20% mais pobres 2010,Percentual da renda apropriada pelos 40% mais pobres 1991,Percentual da renda apropriada pelos 40% mais pobres 2000,Percentual da renda apropriada pelos 40% mais pobres 2010,Percentual da renda apropriada pelos 60% mais pobres 1991,Percentual da renda apropriada pelos 60% mais pobres 2000,Percentual da renda apropriada pelos 60% mais pobres 2010,Percentual da renda apropriada pelos 80% mais pobres 1991,Percentual da renda apropriada pelos 80% mais pobres 2000,Percentual da renda apropriada pelos 80% mais pobres 2010,Percentual da renda apropriada pelos 20% mais ricos 1991,Percentual da renda apropriada pelos 20% mais ricos 2000,Percentual da renda apropriada pelos 20% mais ricos 2010,Percentual da renda apropriada pelos 10% mais ricos 1991,Percentual da renda apropriada pelos 10% mais ricos 2000,Percentual da renda apropriada pelos 10% mais ricos 2010,Razão 20% mais ricos / 40% mais pobres 1991,Razão 20% mais ricos / 40% mais pobres 2000,Razão 20% mais ricos / 40% mais pobres 2010,Razão 10% mais ricos / 40% mais pobres 1991,Razão 10% mais ricos / 40% mais pobres 2000,Razão 10% mais ricos / 40% mais pobres 2010,Índice de Theil - L 1991,Índice de Theil - L 2000,Índice de Theil - L 2010,Índice de Gini 1991,Índice de Gini 2000,Índice de Gini 2010,Rendimento médio dos ocupados - 18 anos ou mais 1991,Rendimento médio dos ocupados - 18 anos ou mais 2000,Rendimento médio dos ocupados - 18 anos ou mais 2010,% dos ocupados sem rendimento - 18 anos ou mais 1991,% dos ocupados sem rendimento - 18 anos ou mais 2000,% dos ocupados sem rendimento - 18 anos ou mais 2010,% dos ocupados com rendimento de até 1 s.m. - 18 anos ou mais 1991,% dos ocupados com rendimento de até 1 s.m. - 18 anos ou mais 2000,% dos ocupados com rendimento de até 1 s.m. - 18 anos ou mais 2010,% dos ocupados com rendimento de até 2 s.m. - 18 anos ou mais 1991,% dos ocupados com rendimento de até 2 s.m. - 18 anos ou mais 2000,% dos ocupados com rendimento de até 2 s.m. - 18 anos ou mais 2010,% dos ocupados com rendimento de até 3 s.m. - 18 anos ou mais 1991,% dos ocupados com rendimento de até 3 s.m. - 18 anos ou mais 2000,% dos ocupados com rendimento de até 3 s.m. - 18 anos ou mais 2010,% dos ocupados com rendimento de até 5 s.m. - 18 anos ou mais 1991,% dos ocupados com rendimento de até 5 s.m. - 18 anos ou mais 2000,% dos ocupados com rendimento de até 5 s.m. - 18 anos ou mais 2010,Renda per capita 1991,Renda per capita 2000,Renda per capita 2010,"Renda per capita , exceto renda nula 1991","Renda per capita , exceto renda nula 2000","Renda per capita , exceto renda nula 2010",% da renda proveniente de rendimentos do trabalho 1991,% da renda proveniente de rendimentos do trabalho 2000,% da renda proveniente de rendimentos do trabalho 2010,Renda per capita média do 1º quinto mais pobre 1991,Renda per capita média do 1º quinto mais pobre 2000,Renda per capita média do 1º quinto mais pobre 2010,Renda per capita máxima do 1º quinto mais pobre 1991,Renda per capita máxima do 1º quinto mais pobre 2000,Renda per capita máxima do 1º quinto mais pobre 2010,Renda per capita média do 2º quinto mais pobre 1991,Renda per capita média do 2º quinto mais pobre 2000,Renda per capita média do 2º quinto mais pobre 2010,Renda per capita máxima do 2° quinto mais pobre 1991,Renda per capita máxima do 2° quinto mais pobre 2000,Renda per capita máxima do 2° quinto mais pobre 2010,Renda per capita média do 3º quinto mais pobre 1991,Renda per capita média do 3º quinto mais pobre 2000,Renda per capita média do 3º quinto mais pobre 2010,Renda per capita máxima do 3° quinto mais pobre 1991,Renda per capita máxima do 3° quinto mais pobre 2000,Renda per capita máxima do 3° quinto mais pobre 2010,Renda per capita média do 4º quinto mais pobre 1991,Renda per capita média do 4º quinto mais pobre 2000,Renda per capita média do 4º quinto mais pobre 2010,Renda per capita máxima do 4°quinto mais pobre 1991,Renda per capita máxima do 4°quinto mais pobre 2000,Renda per capita máxima do 4°quinto mais pobre 2010,Renda per capita média do quinto mais rico 1991,Renda per capita média do quinto mais rico 2000,Renda per capita média do quinto mais rico 2010,Renda per capita média do décimo mais rico 1991,Renda per capita média do décimo mais rico 2000,Renda per capita média do décimo mais rico 2010,Renda per capita mínima do décimo mais rico 1991,Renda per capita mínima do décimo mais rico 2000,Renda per capita mínima do décimo mais rico 2010,% de extremamente pobres 1991,% de extremamente pobres 2000,% de extremamente pobres 2010,% de pobres 1991,% de pobres 2000,% de pobres 2010,% de vulneráveis à pobreza 1991,% de vulneráveis à pobreza 2000,% de vulneráveis à pobreza 2010,% de crianças extremamente pobres 1991,% de crianças extremamente pobres 2000,% de crianças extremamente pobres 2010,% de crianças pobres 1991,% de crianças pobres 2000,% de crianças pobres 2010,% de crianças vulneráveis à pobreza 1991,% de crianças vulneráveis à pobreza 2000,% de crianças vulneráveis à pobreza 2010,Renda per capita dos extremamente pobres 1991,Renda per capita dos extremamente pobres 2000,Renda per capita dos extremamente pobres 2010,Renda per capita dos pobres 1991,Renda per capita dos pobres 2000,Renda per capita dos pobres 2010,Renda per capita dos vulneráveis à pobreza 1991,Renda per capita dos vulneráveis à pobreza 2000,Renda per capita dos vulneráveis à pobreza 2010
76,Brasil,1.92,1.84,2.41,6.72,6.85,8.59,15.7,15.9,19.23,32.79,32.44,36.6,67.21,67.56,63.4,51.14,51.94,48.93,20.01,19.71,14.83,30.46,30.31,22.78,0.78,0.76,0.68,0.63,0.64,0.6,0,0,1296.19,0,6.15,5.58,0,43.92,21.91,0,72.48,69.56,0,80.68,81.67,0,90.33,90.4,447.56,592.46,793.87,450.88,605.61,800.84,84.26,76.55,74.32,43,54.4,95.73,72.87,98.26,170,107.29,148.65,245.3,146.91,196.19,324.9,201.04,267.9,422.23,268.63,344.3,510,382.53,490.14,689.43,548.84,699.5,930,1503.94,2001.24,2529.52,2288.95,3077.25,3884.61,943.09,1268.86,1533.5,18.64,12.48,6.62,38.16,27.9,15.2,58.53,48.39,32.56,26.97,20.19,11.47,49.25,41.01,26.01,68.83,63.1,49.41,40.91,35.64,31.66,71.86,72.75,75.19,113.41,123.07,142.72
2300101,Abaiara,4.99,1.29,3.3,14.3,6.49,11.59,28.32,17.26,25.7,50.1,38.02,47.98,49.9,61.98,52.02,33.75,44.83,34.36,6.98,19.11,8.95,9.44,27.65,11.86,0.34,0.58,0.45,0.44,0.6,0.48,,,410.96,,6.96,7.66,,87.69,75.3,,94.49,95.18,,97.02,97.57,,98.32,99.35,83.34,143.75,229.74,83.87,159.31,231.16,83.91,62.16,55.61,20.78,9.28,37.92,31.34,24.4,66.8,38.82,37.34,95.23,47.86,52.71,126.8,58.42,77.41,162.06,70.52,104.92,200,90.75,149.28,255.96,109.69,196.51,323.33,207.91,445.47,595.5,281.22,644.46,789.37,153.1,294.77,510,58.48,48.1,20.96,85.15,67.72,44.64,95.68,85.66,71.86,72.92,66.61,32.15,91.79,84.32,62.26,97.25,93.1,86.67,38.52,29.76,39.16,56.44,50.38,73.1,69.34,78.21,120.18
2300150,Acarape,5.67,2.76,4.58,15.07,10.81,14.65,28.23,24.12,30.11,48.02,45.15,52.84,51.98,54.85,47.16,36.14,38.28,31.09,6.9,10.15,6.43,9.59,14.17,8.49,0.34,0.47,0.33,0.45,0.51,0.43,,,513.03,,15.09,7.78,,77.77,43.4,,93.87,91.68,,97.04,96.47,,99.64,99.23,125.8,163.3,259.03,125.8,168.31,261.49,86.99,70.27,64.2,35.66,22.49,59.3,48.35,48.8,100,59.13,65.76,130.46,68.5,82.96,162,82.78,108.66,200.2,98.72,143.15,242.5,124.48,171.76,294.39,164.54,212.13,348,326.96,447.84,609.7,454.65,625.11,805.25,235.05,333.81,510,40.99,31.47,12.31,75.43,59.8,32.88,91.35,83.87,66.26,52.49,42.57,18.06,85.01,71.68,44.77,94.69,89.76,78.19,47.92,35.59,42,71.06,65.38,81.99,91.43,98.59,141.63
2300200,Acaraú,4.15,1.07,1.81,12.34,6.39,7.75,24.42,16.74,18.6,43.34,34.08,36.89,56.66,65.92,63.11,41.99,52.02,47.6,9.18,20.62,16.21,13.61,32.54,24.58,0.45,0.73,0.69,0.51,0.64,0.6,,,457.36,,18.21,24.01,,84.75,72.61,,95.52,93.04,,97.02,96.79,,98.71,98.02,131.06,161.22,250.79,133.06,176.22,256.5,83.48,70.19,63.85,27.2,8.6,22.72,42.31,26.13,40.67,53.66,42.93,74.41,64.94,60.91,103.67,79.13,83.37,136.08,98.72,105.8,169.5,124,139.77,229.44,158.49,182.2,316.8,371.29,531.42,787.34,550.3,838.59,1193.79,248.21,292.81,502.5,43.25,43.9,28.32,75.83,69.76,51.22,90.44,88.03,75.35,53.22,57.32,38.46,83.01,82.85,65.45,93.9,94.71,86,42.43,29.3,32.42,66.77,55.85,64.75,85.27,81.64,106.22
2300309,Acopiara,2.98,0.03,1.87,9.35,3.46,7.51,19.83,12.22,19.54,37.5,28.79,40.71,62.5,71.21,59.29,47.34,57.26,45.33,13.37,41.19,15.8,20.25,66.25,24.15,0.61,0.78,0.65,0.58,0.71,0.57,,,398.32,,45.85,30.71,,87.32,74.54,,94.44,93.47,,96.94,96.56,,98.35,98.77,104.25,177.7,266.65,104.44,219.57,270.94,82.45,64.69,53.4,15.53,0.28,24.98,23.51,7.81,39,33.21,30.44,75.13,42.31,52.06,116.67,54.6,77.9,160.36,68.95,102.48,215,92.11,147.22,282.25,123.89,196.51,363.33,325.81,632.67,791.03,493.54,1017.54,1208.7,206.84,294.77,512.5,60.23,46.89,29.5,82.46,68.07,45.21,93.46,85.72,68.34,71.09,60.5,41.92,88.55,81.02,62.77,95.62,92.24,84.85,34.58,22.1,34.57,51.26,46.29,59.05,67.15,74.41,106
2300408,Aiuaba,2.89,,2.21,8.38,3.4,8.8,17.41,13.13,22.09,33.84,34.5,45.28,66.16,65.5,54.72,52.24,47.18,36.81,15.78,38.5,12.51,24.93,55.47,16.73,0.72,0.6,0.52,0.62,0.65,0.53,,,249.88,,44.71,36.37,,93.29,81.59,,97.9,96.43,,99.06,98.28,,99.65,99.5,74.98,99.06,200.6,75.44,127.13,205.16,81.48,54.05,45.15,10.82,,22.19,18.8,,35,20.61,16.85,66.08,25.07,32.53,99,33.85,48.16,133.26,42.31,66.13,170,61.57,105.87,232.6,84.62,147.38,290,248.04,324.4,552.24,391.7,467.37,738.48,141.03,221.07,478,73.99,60.74,30.97,89.86,77.42,52.55,95.72,91.43,75.02,83.31,73.85,41.59,92.93,89.66,68.99,97.63,96.62,87.72,27.94,22.23,32.36,39.61,39.25,62.17,47.54,60.96,102.14
2300507,Alcântaras,5.51,2.14,2.71,15.2,8.65,12.09,28.09,21.23,27.26,46.19,43.21,50.39,53.81,56.79,49.61,38.98,39.67,31.65,7.08,13.13,8.11,10.26,18.34,10.47,0.37,0.56,0.42,0.47,0.54,0.46,,,390.7,,20.48,23.47,,86.71,61.95,,95.84,93.77,,98.19,97.7,,99.71,99.29,88.52,136.44,243.73,88.72,140.95,247.43,75.67,59.26,54.13,24.39,14.6,33.02,33.43,30.68,70,42.88,44.42,114.32,50.83,62.08,155.43,57.04,85.83,184.86,66.52,117.13,226.67,80.12,149.94,281.91,102.48,196.51,351,238.15,387.39,597.5,345.08,541.19,771.52,165.01,294.77,510,63.5,44.6,20.12,86.95,67.62,37.34,95.92,88.31,67.24,76.46,63.18,27.73,92.93,81.64,51.49,98.03,96.38,80.98,42.9,33.35,33.02,56.53,57.16,67.84,68.42,87.79,125.13
2300606,Altaneira,2.33,0.12,2.17,7.63,3.94,8.37,16.93,11.72,20.46,34.04,27.68,42.2,65.96,72.32,57.8,50.69,56.81,39.62,17.28,36.71,13.8,26.57,57.66,18.93,0.69,0.82,0.57,0.62,0.71,0.55,,,374.86,,63.62,32.18,,91.95,76.84,,97.62,91.45,,99,95.66,,99,98.13,85.88,169.23,240.97,88.23,204.01,244.25,83.15,35.77,42.23,10.01,0.97,26.18,15.8,9.76,39.63,22.77,32.37,74.67,29.01,49.13,113.25,39.9,65.84,145.65,54.53,84.92,187.5,73.47,134.99,261.99,100.44,207.57,353.33,283.24,611.95,695.9,435.35,961.32,954.67,168.3,294.77,525,67.82,52.05,28.68,85.93,70.94,49.56,94.82,83.8,72.18,77.25,65.07,42.11,93.07,84.55,68.73,97,91.87,87.2,28.38,26.1,34.68,41.67,44.87,64.93,54.59,66.05,106.92
2300705,Alto Santo,4.33,1.83,2.95,13.16,9.27,11.95,26.52,22.31,26.22,46.74,42.27,49.31,53.26,57.73,50.69,38.23,41.95,31.41,8.1,12.46,8.52,11.62,18.11,10.52,0.39,0.46,0.42,0.48,0.55,0.48,,,415.48,,20.2,18.99,,77.41,67.67,,92.69,94.06,,95.42,96.05,,98.57,98.71,121.94,186.45,265.07,124.3,204.66,270.28,81.56,68.17,58.9,26.39,17.06,39.05,40.29,47.93,83.33,53.82,69.32,119.3,67.52,97.6,153,81.48,121.64,189.15,94.02,147.38,238.63,123.28,186.05,306.08,159.83,245.48,384,324.72,538.16,674.68,466.17,782.13,832.55,216.25,353.82,510,42.8,30.59,17.8,75.02,55.24,36.02,92.63,81.05,64.21,54.52,41.61,29.03,84.29,68.56,53.19,96.12,88.89,80.93,41.94,31.03,34.44,66.11,62.85,71.56,87.82,100.41,124.76
2300754,Amontada,4.45,,1.85,12.92,2.21,7.51,25.47,10.44,19.84,44.8,28.7,42.21,55.2,71.3,57.79,39.61,55.16,39.91,8.55,64.58,15.48,12.27,99.93,21.26,0.41,0.67,0.58,0.5,0.71,0.56,,,304.85,,39.6,34.11,,85.07,78.2,,93.66,94.12,,96.09,97.29,,98.45,99.28,77.94,124.16,182.47,78.52,171.17,190.34,82.93,64.34,53.17,17.32,,16.9,25.07,,28,33.02,13.71,51.59,40.29,34.32,78.14,48.92,51.08,112.55,59.02,73.69,152.5,75.34,113.4,204.03,97.78,156.17,264.6,215.11,442.61,529.97,308.75,684.92,728.13,156.78,269.39,416,68.78,57.71,37.41,88.25,75.28,57.54,96.73,89.46,79.23,78.14,70.65,48.64,94.97,85.02,71.46,98.65,92.94,89.19,37.02,19.57,30.93,50.32,38.09,56.25,62.23,60.55,94.26
