Código,Espacialidades,Taxa de atividade - 10 anos ou mais 1991,Taxa de atividade - 10 anos ou mais 2000,Taxa de atividade - 10 anos ou mais 2010,Taxa de atividade - 10 a 14 anos 1991,Taxa de atividade - 10 a 14 anos 2000,Taxa de atividade - 10 a 14 anos 2010,Taxa de atividade - 15 a 17 anos 1991,Taxa de atividade - 15 a 17 anos 2000,Taxa de atividade - 15 a 17 anos 2010,Taxa de atividade - 18 anos ou mais 1991,Taxa de atividade - 18 anos ou mais 2000,Taxa de atividade - 18 anos ou mais 2010,Taxa de atividade - 18 a 24 anos 1991,Taxa de atividade - 18 a 24 anos 2000,Taxa de atividade - 18 a 24 anos 2010,Taxa de atividade - 25 a 29 anos 1991,Taxa de atividade - 25 a 29 anos 2000,Taxa de atividade - 25 a 29 anos 2010,Taxa de desocupação - 10 anos ou mais 1991,Taxa de desocupação - 10 anos ou mais 2000,Taxa de desocupação - 10 anos ou mais 2010,Taxa de desocupação - 10 a 14 anos 1991,Taxa de desocupação - 10 a 14 anos 2000,Taxa de desocupação - 10 a 14 anos 2010,Taxa de desocupação - 15 a 17 anos 1991,Taxa de desocupação - 15 a 17 anos 2000,Taxa de desocupação - 15 a 17 anos 2010,Taxa de desocupação - 18 anos ou mais 1991,Taxa de desocupação - 18 anos ou mais 2000,Taxa de desocupação - 18 anos ou mais 2010,Taxa de desocupação - 18 a 24 anos 1991,Taxa de desocupação - 18 a 24 anos 2000,Taxa de desocupação - 18 a 24 anos 2010,Taxa de desocupação - 25 a 29 anos 1991,Taxa de desocupação - 25 a 29 anos 2000,Taxa de desocupação - 25 a 29 anos 2010,% de empregados com carteira - 18 anos ou mais 1991,% de empregados com carteira - 18 anos ou mais 2000,% de empregados com carteira - 18 anos ou mais 2010,% de empregados sem carteira - 18 anos ou mais 1991,% de empregados sem carteira - 18 anos ou mais 2000,% de empregados sem carteira - 18 anos ou mais 2010,% de trabalhadores do setor público - 18 anos ou mais 1991,% de trabalhadores do setor público - 18 anos ou mais 2000,% de trabalhadores do setor público - 18 anos ou mais 2010,% de trabalhadores por conta própria - 18 anos ou mais 1991,% de trabalhadores por conta própria - 18 anos ou mais 2000,% de trabalhadores por conta própria - 18 anos ou mais 2010,% de empregadores - 18 anos ou mais 1991,% de empregadores - 18 anos ou mais 2000,% de empregadores - 18 anos ou mais 2010,Grau de formalização dos ocupados - 18 anos ou mais 1991,Grau de formalização dos ocupados - 18 anos ou mais 2000,Grau de formalização dos ocupados - 18 anos ou mais 2010,% dos ocupados com fundamental completo - 18 anos ou mais 1991,% dos ocupados com fundamental completo - 18 anos ou mais 2000,% dos ocupados com fundamental completo - 18 anos ou mais 2010,% dos ocupados com médio completo - 18 anos ou mais 1991,% dos ocupados com médio completo - 18 anos ou mais 2000,% dos ocupados com médio completo - 18 anos ou mais 2010,% dos ocupados com superior completo - 18 anos ou mais 1991,% dos ocupados com superior completo - 18 anos ou mais 2000,% dos ocupados com superior completo - 18 anos ou mais 2010,% dos ocupados no setor agropecuário - 18 anos ou mais 1991,% dos ocupados no setor agropecuário - 18 anos ou mais 2000,% dos ocupados no setor agropecuário - 18 anos ou mais 2010,% dos ocupados no setor extrativo mineral - 18 anos ou mais 1991,% dos ocupados no setor extrativo mineral - 18 anos ou mais 2000,% dos ocupados no setor extrativo mineral - 18 anos ou mais 2010,% dos ocupados na indústria de transformação - 18 anos ou mais 1991,% dos ocupados na indústria de transformação - 18 anos ou mais 2000,% dos ocupados na indústria de transformação - 18 anos ou mais 2010,% dos ocupados no SIUP - 18 anos ou mais 1991,% dos ocupados no SIUP - 18 anos ou mais 2000,% dos ocupados no SIUP - 18 anos ou mais 2010,% dos ocupados no setor de construção - 18 anos ou mais 1991,% dos ocupados no setor de construção - 18 anos ou mais 2000,% dos ocupados no setor de construção - 18 anos ou mais 2010,% dos ocupados no setor comércio - 18 anos ou mais 1991,% dos ocupados no setor comércio - 18 anos ou mais 2000,% dos ocupados no setor comércio - 18 anos ou mais 2010,% dos ocupados no setor serviços - 18 anos ou mais 1991,% dos ocupados no setor serviços - 18 anos ou mais 2000,% dos ocupados no setor serviços - 18 anos ou mais 2010,Rendimento médio dos ocupados - 18 anos ou mais 1991,Rendimento médio dos ocupados - 18 anos ou mais 2000,Rendimento médio dos ocupados - 18 anos ou mais 2010,% dos ocupados sem rendimento - 18 anos ou mais 1991,% dos ocupados sem rendimento - 18 anos ou mais 2000,% dos ocupados sem rendimento - 18 anos ou mais 2010,% dos ocupados com rendimento de até 1 s.m. - 18 anos ou mais 1991,% dos ocupados com rendimento de até 1 s.m. - 18 anos ou mais 2000,% dos ocupados com rendimento de até 1 s.m. - 18 anos ou mais 2010,% dos ocupados com rendimento de até 2 s.m. - 18 anos ou mais 1991,% dos ocupados com rendimento de até 2 s.m. - 18 anos ou mais 2000,% dos ocupados com rendimento de até 2 s.m. - 18 anos ou mais 2010,% dos ocupados com rendimento de até 3 s.m. - 18 anos ou mais 1991,% dos ocupados com rendimento de até 3 s.m. - 18 anos ou mais 2000,% dos ocupados com rendimento de até 3 s.m. - 18 anos ou mais 2010,% dos ocupados com rendimento de até 5 s.m. - 18 anos ou mais 1991,% dos ocupados com rendimento de até 5 s.m. - 18 anos ou mais 2000,% dos ocupados com rendimento de até 5 s.m. - 18 anos ou mais 2010,Índice de Theil-L dos rendimentos do trabalho - 18 anos ou mais 1991,Índice de Theil-L dos rendimentos do trabalho - 18 anos ou mais 2000,Índice de Theil-L dos rendimentos do trabalho - 18 anos ou mais 2010
76,Brasil,0,56.57,57.93,0,9.28,7.53,0,40.05,29.78,0,65.69,66.54,0,70.43,68.05,0,77.18,78.23,0,15.39,7.98,0,29.94,17.3,0,35.9,24.19,0,13.82,7.29,0,23.47,15.07,0,14.36,8.77,0,38.02,46.47,0,22.4,19.33,0,5.96,5.61,0,24.48,21.73,0,3.09,2.05,0,51.63,59.32,0,46.47,62.29,0,30.84,44.91,0,7.97,13.19,0,17.4,13.55,0,0.36,0.48,0,13.56,11.92,0,0.52,0.93,0,7.2,7.4,0,14.43,15.38,0,45.24,44.29,0,0,1296.19,0,6.15,5.58,0,43.92,21.91,0,72.48,69.56,0,80.68,81.67,0,90.33,90.4,0,0.62,0.51
2300101,Abaiara,,38.98,43.94,,4.53,10.21,,26.85,28.01,,48.1,51.24,,50.92,57.42,,59.17,65.16,,9.41,10.28,,9.81,14.03,,26.96,12.86,,8.12,10.01,,11.19,15.93,,15.47,14.65,,20.21,19.39,,48.39,51.1,,7.15,1.05,,17.23,23.7,,0.39,0.13,,28.83,22.18,,23.54,50.11,,15.75,36.01,,2.16,5.17,,42.99,32.99,,0.25,,,2.63,2.84,,,3.03,,4.15,10.9,,7.57,15.98,,40.95,33.87,,,410.96,,6.96,7.66,,87.69,75.3,,94.49,95.18,,97.02,97.57,,98.32,99.35,,0.56,0.49
2300150,Acarape,,48.63,42.69,,8.99,2.95,,32.64,18.65,,58.43,51.5,,57.43,50.57,,66.78,60.32,,14.31,7.25,,17.78,10.57,,38.49,6.64,,12.81,7.24,,25.94,14.65,,14.33,9.12,,22.77,26.03,,39.65,42.32,,7.9,8.64,,13.75,19.03,,1.18,0.65,,31.53,36.98,,28.76,52.92,,15.46,35.15,,1.53,4.53,,30.55,21.18,,1,5.02,,15.3,24.84,,1,1.39,,6.21,7.33,,9.96,6.7,,32.95,32.46,,,513.03,,15.09,7.78,,77.77,43.4,,93.87,91.68,,97.04,96.47,,99.64,99.23,,0.3,0.28
2300200,Acaraú,,45.32,47.87,,10.76,12.09,,35.86,24.75,,54.99,56.9,,55.59,55.36,,60.18,63.06,,9.12,8.2,,20.2,11.23,,21.56,11.82,,7.5,7.9,,13.9,16.21,,7.76,10.99,,7.67,10.05,,39.17,43.31,,4.18,3.16,,29.74,23.87,,1.47,1.05,,14.29,16.16,,12.59,35.44,,6.87,21.4,,1.65,4.18,,44.34,49.13,,0.08,,,12.11,5.61,,0.14,0.37,,5.05,4.98,,8.98,10.5,,26.89,23.81,,,457.36,,18.21,24.01,,84.75,72.61,,95.52,93.04,,97.02,96.79,,98.71,98.02,,0.7,0.78
2300309,Acopiara,,44.72,47.16,,15.67,11.83,,35.29,26.7,,51.73,53.76,,55.14,55.71,,60.65,62.42,,6.3,6.21,,10.45,6.3,,10.66,8.06,,5.7,6.13,,11.35,12.54,,7.74,10.14,,10.04,10.41,,20.57,39.01,,2.38,2.87,,20.67,21.24,,0.76,1.08,,13.85,15.04,,14.5,34.64,,7.63,20.6,,0.44,4.36,,57.05,49.84,,0.14,,,5.46,3.72,,0.08,1.17,,4.05,5.08,,9.53,11.75,,22.88,26.58,,,398.32,,45.85,30.71,,87.32,74.54,,94.44,93.47,,96.94,96.56,,98.35,98.77,,0.7,0.73
2300408,Aiuaba,,46.91,49.18,,15.14,15.34,,37.3,39.02,,55.49,56.38,,54.48,55.1,,58.2,59.57,,3.71,3.71,,1.49,1.73,,4.21,10.2,,3.81,3.31,,6.61,7.37,,4.99,1.93,,8.54,7.99,,12.86,32.88,,3.03,2.75,,30.66,22.74,,0.34,0.2,,12.1,12.31,,10.84,31.37,,4.62,19.16,,0.48,4.21,,60.85,51.32,,,,,4.99,2.35,,,1.11,,3.77,4.92,,5.16,8.22,,25,28.4,,,249.88,,44.71,36.37,,93.29,81.59,,97.9,96.43,,99.06,98.28,,99.65,99.5,,0.4,0.47
2300507,Alcântaras,,48.81,44.44,,18.01,8.64,,32.74,19.9,,57.68,53.29,,52.24,56.04,,60.21,58.29,,5.5,4.8,,6.99,,,7.27,13.83,,5.28,4.57,,13.93,9.43,,4.4,7.95,,15.45,34.35,,15.17,22.82,,2.91,5.84,,45.28,14.71,,0.71,,,20.82,42.34,,14.49,41.08,,8.32,26.81,,0.78,5.33,,51.2,28.26,,,0.13,,2.48,10.15,,0.2,1.41,,5.53,16.16,,11.5,11.14,,27.63,31.86,,,390.7,,20.48,23.47,,86.71,61.95,,95.84,93.77,,98.19,97.7,,99.71,99.29,,0.58,0.47
2300606,Altaneira,,49.12,35.79,,23.12,2.82,,32.36,20.6,,55.83,42.87,,57.56,44.53,,66.65,54.67,,1.99,6.81,,4.11,,,,8.78,,1.96,6.8,,1.34,15.35,,7.16,4.88,,6.82,18.73,,11.14,28.72,,8.79,3.06,,8.78,23.02,,1.06,0.63,,16.57,25.34,,11.31,41.15,,7.82,26.61,,0.68,6.7,,63.5,47.34,,0.28,0.25,,2.07,3.3,,0.58,1.52,,2.17,4.46,,8.97,8.91,,22.42,33.73,,,374.86,,63.62,32.18,,91.95,76.84,,97.62,91.45,,99,95.66,,99,98.13,,0.71,0.56
2300705,Alto Santo,,47.16,48.46,,17.57,7.08,,41.9,29.73,,53.93,55.9,,57.25,61.69,,60.98,69.42,,13.51,5.5,,17.68,7.19,,28.37,7.41,,11.78,5.38,,17.59,6.18,,16.07,6.69,,12.28,18.75,,33.37,44.27,,6,3.07,,27.27,20.25,,1.28,,,22.34,25.29,,15.07,36.72,,8.88,20.29,,1.23,3.4,,47.82,43.19,,,,,10.35,13.22,,0.2,0.58,,10.14,7.25,,8.72,6.59,,20.81,22.72,,,415.48,,20.2,18.99,,77.41,67.67,,92.69,94.06,,95.42,96.05,,98.57,98.71,,0.53,0.37
2300754,Amontada,,37.09,47.04,,6.68,14.52,,23.8,32.82,,47.18,55.45,,46.84,54.56,,53.85,64.62,,13.78,7.77,,24.74,9.12,,29.05,18.23,,12.31,6.89,,22.71,14.09,,12.63,5.3,,9.1,8.63,,22.78,30.5,,10.02,5.72,,16.41,23.87,,2.2,0.25,,20.27,18.66,,17.09,44.23,,8.22,25.79,,1.8,5.98,,54.73,53.13,,0.14,0.07,,4.74,4.7,,,0.54,,4.15,4.68,,6.81,8.13,,28,26.18,,,304.85,,39.6,34.11,,85.07,78.2,,93.66,94.12,,96.09,97.29,,98.45,99.28,,0.57,0.55
