Código,Espacialidades,% de mulheres de 10 a 17 anos que tiveram filhos 1991,% de mulheres de 10 a 17 anos que tiveram filhos 2000,% de mulheres de 10 a 17 anos que tiveram filhos 2010,"% de mães chefes de família sem fundamental e com filho menor, no total de mães chefes de família 1991","% de mães chefes de família sem fundamental e com filho menor, no total de mães chefes de família 2000","% de mães chefes de família sem fundamental e com filho menor, no total de mães chefes de família 2010",% de crianças em domicílios em que ninguém tem fundamental completo 1991,% de crianças em domicílios em que ninguém tem fundamental completo 2000,% de crianças em domicílios em que ninguém tem fundamental completo 2010,% de crianças de 0 a 5 anos fora da escola 1991,% de crianças de 0 a 5 anos fora da escola 2000,% de crianças de 0 a 5 anos fora da escola 2010,% de crianças de 6 a 14 fora da escola 1991,% de crianças de 6 a 14 fora da escola 2000,% de crianças de 6 a 14 fora da escola 2010,% de pessoas em domicílios em que ninguém tem fundamental completo 1991,% de pessoas em domicílios em que ninguém tem fundamental completo 2000,% de pessoas em domicílios em que ninguém tem fundamental completo 2010,"% de pessoas de 15 a 24 anos que não estudam, não trabalham e são vulneráveis, na população dessa faixa 1991","% de pessoas de 15 a 24 anos que não estudam, não trabalham e são vulneráveis, na população dessa faixa 2000","% de pessoas de 15 a 24 anos que não estudam, não trabalham e são vulneráveis, na população dessa faixa 2010",% de pessoas de 18 anos ou mais sem fundamental completo e em ocupação informal 1991,% de pessoas de 18 anos ou mais sem fundamental completo e em ocupação informal 2000,% de pessoas de 18 anos ou mais sem fundamental completo e em ocupação informal 2010,% de pessoas em domicílios vulneráveis à pobreza e em que ninguém tem fundamental completo. 1991,% de pessoas em domicílios vulneráveis à pobreza e em que ninguém tem fundamental completo. 2000,% de pessoas em domicílios vulneráveis à pobreza e em que ninguém tem fundamental completo. 2010,% de vulneráveis e dependentes de idosos 1991,% de vulneráveis e dependentes de idosos 2000,% de vulneráveis e dependentes de idosos 2010,% de pessoas em domicílios sem energia elétrica 1991,% de pessoas em domicílios sem energia elétrica 2000,% de pessoas em domicílios sem energia elétrica 2010,% de pessoas em domicílios com paredes inadequadas 1991,% de pessoas em domicílios com paredes inadequadas 2000,% de pessoas em domicílios com paredes inadequadas 2010,% de pessoas em domicílios com abastecimento de água e esgotamento sanitário inadequados 1991,% de pessoas em domicílios com abastecimento de água e esgotamento sanitário inadequados 2000,% de pessoas em domicílios com abastecimento de água e esgotamento sanitário inadequados 2010,% de vulneráveis que gastam mais de uma hora até o trabalho na população ocupada 1991,% de vulneráveis que gastam mais de uma hora até o trabalho na população ocupada 2000,% de vulneráveis que gastam mais de uma hora até o trabalho na população ocupada 2010,Mortalidade infantil 1991,Mortalidade infantil 2000,Mortalidade infantil 2010,Razão de dependência 1991,Razão de dependência 2000,Razão de dependência 2010,Taxa de envelhecimento 1991,Taxa de envelhecimento 2000,Taxa de envelhecimento 2010,"% de 15 a 24 anos que não estudam, não trabalham e são vulneráveis, na população vulnerável dessa faixa 1991","% de 15 a 24 anos que não estudam, não trabalham e são vulneráveis, na população vulnerável dessa faixa 2000","% de 15 a 24 anos que não estudam, não trabalham e são vulneráveis, na população vulnerável dessa faixa 2010","% de mães chefes de família sem fundamental e com filho menor, no total de mães chefes e com filho menor 1991","% de mães chefes de família sem fundamental e com filho menor, no total de mães chefes e com filho menor 2000","% de mães chefes de família sem fundamental e com filho menor, no total de mães chefes e com filho menor 2010","% de vulneráveis e dependentes de idosos, no total de vulneráveis que coabitam com idosos. 1991","% de vulneráveis e dependentes de idosos, no total de vulneráveis que coabitam com idosos. 2000","% de vulneráveis e dependentes de idosos, no total de vulneráveis que coabitam com idosos. 2010",% de vulneráveis que gastam mais de uma hora até o trabalho na população ocupada vulnerável. 1991,% de vulneráveis que gastam mais de uma hora até o trabalho na população ocupada vulnerável. 2000,% de vulneráveis que gastam mais de uma hora até o trabalho na população ocupada vulnerável. 2010,% de crianças extremamente pobres 1991,% de crianças extremamente pobres 2000,% de crianças extremamente pobres 2010
76,Brasil,2.24,3.51,2.89,12.8,14.66,17.23,0,49.86,30.39,,76.21,56.85,24.48,6.89,3.31,28.51,41.16,24.92,0,15.4,11.61,0,48.71,35.24,20.38,29.75,13.46,3.38,3.41,2.42,15.16,6.54,1.42,0,0,3.42,10.39,8.91,6.12,0,0,1.42,44.68,30.57,16.7,65.43,54.88,45.87,4.83,5.83,7.36,,31.3,33.34,,61.22,43.19,,58.26,69.08,,,10.33,26.97,20.19,11.47
2300101,Abaiara,1.88,2.38,3.99,10.52,9.39,19.89,,71.57,36.92,,55.9,50,55.12,5.36,3.24,42.08,67.2,31.8,,26.13,30.48,,76.85,56.42,41.3,60.98,22.78,7.63,7.84,8.04,56.16,11.29,0.64,,,12.43,45.66,17.12,19.88,,,1.61,64.98,42.98,26.9,93.88,74.25,59.93,6.67,7.24,9.05,,28.86,39.03,,91.87,56.23,,67.23,75.58,,,3.11,72.92,66.61,32.15
2300150,Acarape,1.82,3.26,4.12,14.62,18.6,33.09,,59.48,28.9,,56.13,57,25.06,7.33,3.16,30.34,51.76,28.69,,30.65,29.18,,64.96,51.66,29.11,47.8,20.84,4.92,7.73,5.39,21.96,4.26,0.57,,,6.76,58.31,32.77,15.67,,,1.25,84.1,60.34,34.4,82.21,73.09,54.68,4.9,6.09,7.32,,35.75,41.2,,83.87,61.08,,63.23,65.01,,,3.24,52.49,42.57,18.06
2300200,Acaraú,2.25,4.89,3.38,14.54,17.06,33.92,,87.16,48.31,,68.86,50,43.06,8.62,3.21,37.52,80.34,39.79,,25.31,27.93,,84.67,64.47,34.39,74.54,32.13,6.34,8.8,5.8,57.5,24.76,4.42,,,6.84,13,24.14,24.11,,,1.09,85.05,50.54,25.1,96.07,79.77,55.99,4.85,5.95,6.99,,28.08,34.64,,91.32,69.01,,70.16,66.21,,,2.79,53.22,57.32,38.46
2300309,Acopiara,1.78,2.36,2.12,10.07,9.06,19.99,,79.93,50.82,,73.01,49,45.25,8.77,2.75,44.52,75.42,43.64,,25.57,24.61,,84.73,67.71,42.02,68.27,31.78,10.61,12.35,7.28,62.28,23.73,1.6,,,6.73,65.83,8.94,9.26,,,1.05,91.68,59.08,31.5,87.21,67.67,54.96,6.9,8.46,10.6,,28.56,32.94,,87.81,61.89,,80.92,87.98,,,2.32,71.09,60.5,41.92
2300408,Aiuaba,1.69,2.6,2.78,12,12.33,30.56,,85.49,55.43,,69.5,48,51.8,5.37,2.46,39.91,81.69,46.22,,23.2,25.18,,87.07,70.19,38.93,76.64,37.25,10.78,10.13,7.93,75.46,55.19,5.36,,,5.47,81.66,14.38,17.84,,,1.66,72.39,64.71,26.6,95.61,79.59,59.71,6.07,6.59,8.58,,24.61,32.43,,80.98,65.56,,81.09,91.87,,,3.05,83.31,73.85,41.59
2300507,Alcântaras,1.56,4.12,2.04,18.91,18.53,24.37,,80.26,41.56,,41.18,41,28.51,3.64,2.26,36.43,71.2,37.67,,22.57,20.87,,79.39,57.11,34.13,66.23,26.25,8.37,11.95,4.86,72.6,19.59,1.87,,,8.94,77.74,33.32,28.65,,,1.91,100.11,60.81,26.3,94.05,84.54,58.4,6.58,8.38,9.4,,25.89,30.07,,91.39,66.1,,78.68,71.75,,,5.04,76.46,63.18,27.73
2300606,Altaneira,2.18,4.54,3.58,16.9,14.71,22.34,,80.15,47.42,,60.66,31,29.64,4.58,4.28,47.9,78.09,43.79,,25.7,28.31,,85.03,65.33,46.3,68.17,31.21,13.82,12.23,9.07,33.85,5.81,1.23,,,2.31,69.23,6.67,8.37,,,1.21,92.23,56.43,22.5,86.21,74.13,63.86,8.3,9.06,11.25,,28.5,35.25,,95.64,62.09,,82.33,88.19,,,2.03,77.25,65.07,42.11
2300705,Alto Santo,1.24,3.38,1.43,14.41,11.98,17.79,,78.04,46.73,,75.93,54,49.1,10.59,3.54,41.46,71.45,42.77,,25.66,16.88,,79.1,62.51,38.84,62.1,30.97,8.48,6.99,6.01,54.24,19.94,1.35,,,7.09,53.48,20.1,22.38,,,0.75,49.09,37.93,22.4,85.59,69.28,50.46,6.77,7.21,7.93,,30.83,25.92,,77.3,53.58,,63.34,74.55,,,1.98,54.52,41.61,29.03
2300754,Amontada,4.34,3.91,4.53,11.81,15.74,29.06,,77.33,33.11,,73.11,51,36.32,7.51,2.97,34.11,71.72,29.95,,28.37,27.31,,80.54,57.53,33.39,67.56,23.93,8.02,11.71,9.14,68.98,39.48,4.86,,,16.62,30.91,22.89,38.37,,,3.19,59.71,52.03,24.6,107.51,91.23,65.51,5.68,6.43,7.74,,31.07,32.12,,82.07,55.49,,77.05,83.04,,,7.77,78.14,70.65,48.64
