Código,Espacialidades,Mortalidade infantil 1991,Mortalidade infantil 2000,Mortalidade infantil 2010,Taxa de fecundidade total 1991,Taxa de fecundidade total 2000,Taxa de fecundidade total 2010,Taxa de envelhecimento 1991,Taxa de envelhecimento 2000,Taxa de envelhecimento 2010
76,Brasil,44.68,30.57,16.7,2.88,2.37,1.89,4.83,5.83,7.36
2300101,Abaiara,64.98,42.98,26.9,5.26,3.51,2.54,6.67,7.24,9.05
2300150,Acarape,84.1,60.34,34.4,5.28,3.8,2.43,4.9,6.09,7.32
2300200,Acaraú,85.05,50.54,25.1,5.66,4.57,2.56,4.85,5.95,6.99
2300309,Acopiara,91.68,59.08,31.5,5.83,3.02,2.33,6.9,8.46,10.6
2300408,Aiuaba,72.39,64.71,26.6,5.23,4.11,2.4,6.07,6.59,8.58
2300507,Alcântaras,100.11,60.81,26.3,5.1,3.35,2.15,6.58,8.38,9.4
2300606,Altaneira,92.23,56.43,22.5,4.04,3.7,2.17,8.3,9.06,11.25
2300705,Alto Santo,49.09,37.93,22.4,4.06,3.37,2.3,6.77,7.21,7.93
2300754,Amontada,59.71,52.03,24.6,7.84,4.23,2.83,5.68,6.43,7.74
2300804,Antonina do Norte,76.42,45.92,22.7,3.85,2.61,1.83,8.45,8.56,10.58
2300903,Apuiarés,88.96,52.53,28.2,4.39,3.44,2.38,6.96,7.96,9.44
2301000,Aquiraz,67.72,41.94,20.2,3.87,3.04,2.11,4.83,5.47,6.62
2301109,Aracati,71.33,44.32,27.9,3.88,2.58,1.88,5.43,6.27,7.43
2301208,Aracoiaba,84.1,60.34,24.8,5.38,3.5,2.25,6.86,8.04,9.45
2301257,Ararendá,70.87,40.38,24.3,2.91,2.74,2.4,6.76,8.9,10.09
2301307,Araripe,84.01,56.43,24.9,5.33,3.97,2.31,5.9,6.19,7.88
2301406,Aratuba,53.57,38.23,22.3,6.07,4.66,2.38,5.38,6.25,8.19
2301505,Arneiroz,72.39,59.91,28.3,5.21,3.08,2.14,6.05,6.87,9.23
2301604,Assaré,82.99,56.43,21,4.11,3.93,2.04,6.87,7.59,10.39
2301703,Aurora,78.08,50.76,24.1,5.6,3.19,1.99,6.86,7.8,9.88
2301802,Baixio,95.57,59.08,24.2,3.85,3.69,2.1,6.5,7.58,10.26
2301851,Banabuiú,68.7,43.61,21.7,5.04,4.16,2.68,6.11,6.53,8.04
2301901,Barbalha,48.67,40.66,16,3.32,3.13,2.01,5.53,6.46,7.67
2301950,Barreira,75.04,59.08,22.9,4.21,3.32,2.42,5.23,6.55,7.54
2302008,Barro,56.84,37.93,25,4.91,3.19,2.15,6.66,8.3,10.1
2302057,Barroquinha,98.91,70.03,32.2,5.68,4.87,2.74,5.16,6.22,7.13
