"Posição","Nome","Localidade","1991","2000","2010","Unidade","Multiplicador"
"1","IDH","Abaiara","0.286","0.452","0.628","",""
"1","IDH","Acarape","0.349","0.490","0.606","",""
"1","IDH","Acaraú","0.277","0.415","0.601","",""
"1","IDH","Acopiara","0.254","0.412","0.595","",""
"1","IDH","Aiuaba","0.256","0.365","0.569","",""
"1","IDH","Alcântaras","0.285","0.422","0.600","",""
"1","IDH","Altaneira","0.288","0.417","0.602","",""
"1","IDH","Alto Santo","0.304","0.438","0.601","",""
"1","IDH","Amontada","0.241","0.423","0.606","",""
"1","IDH","Antonina do Norte","0.309","0.431","0.599","",""
"1","IDH","Apuiarés","0.274","0.431","0.618","",""
"1","IDH","Aquiraz","0.327","0.499","0.641","",""
"1","IDH","Aracati","0.371","0.523","0.655","",""
"1","IDH","Aracoiaba","0.319","0.451","0.615","",""
"1","IDH","Ararendá","0.201","0.437","0.590","",""
"1","IDH","Araripe","0.250","0.371","0.564","",""
"1","IDH","Aratuba","0.288","0.453","0.622","",""
"1","IDH","Arneiroz","0.275","0.419","0.618","",""
"1","IDH","Assaré","0.271","0.370","0.600","",""
"1","IDH","Aurora","0.294","0.435","0.605","",""
"1","IDH","Baixio","0.323","0.452","0.627","",""
"1","IDH","Banabuiú","0.286","0.456","0.606","",""
"1","IDH","Barbalha","0.381","0.517","0.683","",""
"1","IDH","Barreira","0.310","0.463","0.616","",""
"1","IDH","Barro","0.286","0.442","0.599","",""
"1","IDH","Barroquinha","0.192","0.356","0.571","",""
"1","IDH","Baturité","0.368","0.488","0.619","",""
"1","IDH","Beberibe","0.283","0.455","0.638","",""
"1","IDH","Bela Cruz","0.260","0.406","0.623","",""
"1","IDH","Boa Viagem","0.296","0.419","0.598","",""
"1","IDH","Brejo Santo","0.363","0.503","0.647","",""
"1","IDH","Camocim","0.305","0.462","0.620","",""
"1","IDH","Campos Sales","0.314","0.471","0.630","",""
"1","IDH","Canindé","0.302","0.448","0.612","",""
"1","IDH","Capistrano","0.277","0.457","0.611","",""
"1","IDH","Caridade","0.287","0.421","0.592","",""
"1","IDH","Cariré","0.269","0.416","0.596","",""
"1","IDH","Caririaçu","0.245","0.392","0.578","",""
"1","IDH","Cariús","0.260","0.438","0.597","",""
"1","IDH","Carnaubal","0.250","0.419","0.593","",""
"1","IDH","Cascavel","0.318","0.493","0.646","",""
"1","IDH","Catarina","0.266","0.412","0.618","",""
"1","IDH","Catunda","0.249","0.427","0.609","",""
"1","IDH","Caucaia","0.411","0.555","0.682","",""
"1","IDH","Cedro","0.373","0.473","0.627","",""
"1","IDH","Chaval","0.274","0.398","0.586","",""
"1","IDH","Choró","0.246","0.380","0.585","",""
"1","IDH","Chorozinho","0.253","0.437","0.604","",""
"1","IDH","Coreaú","0.302","0.406","0.610","",""
"1","IDH","Crateús","0.360","0.503","0.644","",""
"1","IDH","Crato","0.444","0.577","0.713","",""
"1","IDH","Croatá","0.214","0.372","0.590","",""
"1","IDH","Cruz","0.268","0.435","0.632","",""
"1","IDH","Deputado Irapuan Pinheiro","0.264","0.449","0.609","",""
"1","IDH","Ererê","0.291","0.433","0.610","",""
"1","IDH","Eusébio","0.377","0.507","0.701","",""
"1","IDH","Farias Brito","0.308","0.447","0.633","",""
"1","IDH","Forquilha","0.314","0.464","0.644","",""
"1","IDH","Fortaleza","0.546","0.652","0.754","",""
"1","IDH","Fortim","0.276","0.480","0.624","",""
"1","IDH","Frecheirinha","0.326","0.450","0.604","",""
"1","IDH","General Sampaio","0.261","0.392","0.568","",""
"1","IDH","Graça","0.149","0.381","0.570","",""
"1","IDH","Granja","0.250","0.371","0.559","",""
"1","IDH","Granjeiro","0.266","0.372","0.585","",""
"1","IDH","Groaíras","0.355","0.451","0.633","",""
"1","IDH","Guaiúba","0.333","0.454","0.617","",""
"1","IDH","Guaraciaba do Norte","0.301","0.430","0.609","",""
"1","IDH","Guaramiranga","0.326","0.500","0.637","",""
"1","IDH","Hidrolândia","0.250","0.424","0.597","",""
"1","IDH","Horizonte","0.311","0.493","0.658","",""
"1","IDH","Ibaretama","0.272","0.406","0.577","",""
"1","IDH","Ibiapina","0.284","0.451","0.608","",""
"1","IDH","Ibicuitinga","0.306","0.451","0.606","",""
"1","IDH","Icapuí","0.301","0.478","0.616","",""
"1","IDH","Icó","0.299","0.445","0.606","",""
"1","IDH","Iguatu","0.394","0.546","0.677","",""
"1","IDH","Independência","0.326","0.495","0.632","",""
"1","IDH","Ipaporanga","0.157","0.409","0.579","",""
"1","IDH","Ipaumirim","0.329","0.444","0.606","",""
"1","IDH","Ipu","0.318","0.473","0.618","",""
"1","IDH","Ipueiras","0.241","0.401","0.573","",""
"1","IDH","Iracema","0.323","0.499","0.652","",""
"1","IDH","Irauçuba","0.314","0.428","0.605","",""
"1","IDH","Itaiçaba","0.346","0.496","0.656","",""
"1","IDH","Itaitinga","0.320","0.475","0.626","",""
"1","IDH","Itapajé","0.354","0.459","0.623","",""
"1","IDH","Itapipoca","0.332","0.477","0.640","",""
"1","IDH","Itapiúna","0.318","0.479","0.604","",""
"1","IDH","Itarema","0.249","0.389","0.606","",""
"1","IDH","Itatira","0.208","0.362","0.562","",""
"1","IDH","Jaguaretama","0.305","0.445","0.612","",""
"1","IDH","Jaguaribara","0.361","0.468","0.618","",""
"1","IDH","Jaguaribe","0.370","0.518","0.621","",""
"1","IDH","Jaguaruana","0.355","0.498","0.624","",""
"1","IDH","Jardim","0.304","0.439","0.614","",""
"1","IDH","Jati","0.327","0.474","0.651","",""
"1","IDH","Jijoca de Jericoacoara","0.189","0.422","0.652","",""
"1","IDH","Juazeiro do Norte","0.419","0.544","0.694","",""
"1","IDH","Jucás","0.246","0.441","0.598","",""
"1","IDH","Lavras da Mangabeira","0.336","0.460","0.613","",""
"1","IDH","Limoeiro do Norte","0.433","0.561","0.682","",""
"1","IDH","Madalena","0.287","0.443","0.610","",""
"1","IDH","Maracanaú","0.420","0.575","0.686","",""
"1","IDH","Maranguape","0.369","0.524","0.659","",""
"1","IDH","Marco","0.306","0.446","0.612","",""
"1","IDH","Martinópole","0.275","0.407","0.599","",""
"1","IDH","Massapê","0.298","0.423","0.616","",""
"1","IDH","Mauriti","0.278","0.445","0.605","",""
"1","IDH","Meruoca","0.306","0.440","0.618","",""
"1","IDH","Milagres","0.327","0.450","0.628","",""
"1","IDH","Milhã","0.282","0.466","0.626","",""
"1","IDH","Miraíma","0.269","0.394","0.592","",""
"1","IDH","Missão Velha","0.302","0.444","0.622","",""
"1","IDH","Mombaça","0.269","0.399","0.582","",""
"1","IDH","Monsenhor Tabosa","0.306","0.437","0.610","",""
"1","IDH","Morada Nova","0.335","0.485","0.610","",""
"1","IDH","Moraújo","0.323","0.386","0.581","",""
"1","IDH","Morrinhos","0.296","0.415","0.588","",""
"1","IDH","Mucambo","0.291","0.458","0.607","",""
"1","IDH","Mulungu","0.342","0.480","0.607","",""
"1","IDH","Nova Olinda","0.313","0.451","0.625","",""
"1","IDH","Nova Russas","0.324","0.459","0.614","",""
"1","IDH","Novo Oriente","0.284","0.422","0.605","",""
"1","IDH","Ocara","0.278","0.434","0.594","",""
"1","IDH","Orós","0.366","0.465","0.636","",""
"1","IDH","Pacajus","0.355","0.508","0.659","",""
"1","IDH","Pacatuba","0.385","0.533","0.675","",""
"1","IDH","Pacoti","0.345","0.484","0.635","",""
"1","IDH","Pacujá","0.384","0.486","0.621","",""
"1","IDH","Palhano","0.310","0.492","0.638","",""
"1","IDH","Palmácia","0.352","0.497","0.622","",""
"1","IDH","Paracuru","0.340","0.457","0.637","",""
"1","IDH","Paraipaba","0.357","0.495","0.634","",""
"1","IDH","Parambu","0.304","0.387","0.570","",""
"1","IDH","Paramoti","0.231","0.405","0.583","",""
"1","IDH","Pedra Branca","0.247","0.420","0.603","",""
"1","IDH","Penaforte","0.401","0.530","0.646","",""
"1","IDH","Pentecoste","0.307","0.467","0.629","",""
"1","IDH","Pereiro","0.296","0.445","0.601","",""
"1","IDH","Pindoretama","0.318","0.493","0.636","",""
"1","IDH","Piquet Carneiro","0.292","0.427","0.600","",""
"1","IDH","Pires Ferreira","0.241","0.393","0.591","",""
"1","IDH","Poranga","0.199","0.401","0.581","",""
"1","IDH","Porteiras","0.296","0.477","0.622","",""
"1","IDH","Potengi","0.304","0.396","0.562","",""
"1","IDH","Potiretama","0.251","0.425","0.604","",""
"1","IDH","Quiterianópolis","0.240","0.405","0.594","",""
"1","IDH","Quixadá","0.383","0.524","0.659","",""
"1","IDH","Quixelô","0.258","0.367","0.591","",""
"1","IDH","Quixeramobim","0.356","0.482","0.642","",""
"1","IDH","Quixeré","0.330","0.475","0.622","",""
"1","IDH","Redenção","0.349","0.478","0.626","",""
"1","IDH","Reriutaba","0.298","0.454","0.601","",""
"1","IDH","Russas","0.398","0.527","0.674","",""
"1","IDH","Saboeiro","0.223","0.374","0.575","",""
"1","IDH","Salitre","0.189","0.326","0.540","",""
"1","IDH","Santana do Acaraú","0.314","0.431","0.587","",""
"1","IDH","Santana do Cariri","0.302","0.424","0.612","",""
"1","IDH","Santa Quitéria","0.281","0.431","0.616","",""
"1","IDH","São Benedito","0.289","0.433","0.611","",""
"1","IDH","São Gonçalo do Amarante","0.325","0.459","0.665","",""
"1","IDH","São João do Jaguaribe","0.399","0.523","0.654","",""
"1","IDH","São Luís do Curu","0.365","0.506","0.620","",""
"1","IDH","Senador Pompeu","0.371","0.487","0.619","",""
"1","IDH","Senador Sá","0.249","0.377","0.603","",""
"1","IDH","Sobral","0.406","0.537","0.714","",""
"1","IDH","Solonópole","0.309","0.454","0.625","",""
"1","IDH","Tabuleiro do Norte","0.362","0.522","0.645","",""
"1","IDH","Tamboril","0.241","0.385","0.580","",""
"1","IDH","Tarrafas","0.210","0.377","0.576","",""
"1","IDH","Tauá","0.338","0.477","0.633","",""
"1","IDH","Tejuçuoca","0.253","0.421","0.584","",""
"1","IDH","Tianguá","0.341","0.460","0.657","",""
"1","IDH","Trairi","0.291","0.420","0.606","",""
"1","IDH","Tururu","0.298","0.418","0.606","",""
"1","IDH","Ubajara","0.331","0.464","0.648","",""
"1","IDH","Umari","0.265","0.419","0.591","",""
"1","IDH","Umirim","0.275","0.395","0.587","",""
"1","IDH","Uruburetama","0.344","0.456","0.639","",""
