"Posição","Nome","Localidade","2010","Unidade","Multiplicador"
"5","Amostra - Domicílios",,,"",""
"5.1","Domicílios particulares permamentes","Abaiara","2773","domicílios",1
"5.1","Domicílios particulares permamentes","Acarape","4186","domicílios",1
"5.1","Domicílios particulares permamentes","Acaraú","14629","domicílios",1
"5.1","Domicílios particulares permamentes","Acopiara","15041","domicílios",1
"5.1","Domicílios particulares permamentes","Aiuaba","4423","domicílios",1
"5.1","Domicílios particulares permamentes","Alcântaras","2859","domicílios",1
"5.1","Domicílios particulares permamentes","Altaneira","2090","domicílios",1
"5.1","Domicílios particulares permamentes","Alto Santo","4609","domicílios",1
"5.1","Domicílios particulares permamentes","Amontada","9807","domicílios",1
"5.1","Domicílios particulares permamentes","Antonina do Norte","2002","domicílios",1
"5.1","Domicílios particulares permamentes","Apuiarés","3890","domicílios",1
"5.1","Domicílios particulares permamentes","Aquiraz","19662","domicílios",1
"5.1","Domicílios particulares permamentes","Aracati","19764","domicílios",1
"5.1","Domicílios particulares permamentes","Aracoiaba","7022","domicílios",1
"5.1","Domicílios particulares permamentes","Ararendá","3067","domicílios",1
"5.1","Domicílios particulares permamentes","Araripe","5542","domicílios",1
"5.1","Domicílios particulares permamentes","Aratuba","2920","domicílios",1
"5.1","Domicílios particulares permamentes","Arneiroz","2099","domicílios",1
"5.1","Domicílios particulares permamentes","Assaré","6407","domicílios",1
"5.1","Domicílios particulares permamentes","Aurora","7107","domicílios",1
"5.1","Domicílios particulares permamentes","Baixio","1714","domicílios",1
"5.1","Domicílios particulares permamentes","Banabuiú","4573","domicílios",1
"5.1","Domicílios particulares permamentes","Barbalha","14707","domicílios",1
"5.1","Domicílios particulares permamentes","Barreira","5539","domicílios",1
"5.1","Domicílios particulares permamentes","Barro","6110","domicílios",1
"5.1","Domicílios particulares permamentes","Barroquinha","3707","domicílios",1
"5.1","Domicílios particulares permamentes","Baturité","9156","domicílios",1
"5.1","Domicílios particulares permamentes","Beberibe","14073","domicílios",1
"5.1","Domicílios particulares permamentes","Bela Cruz","8021","domicílios",1
"5.1","Domicílios particulares permamentes","Boa Viagem","15146","domicílios",1
"5.1","Domicílios particulares permamentes","Brejo Santo","12113","domicílios",1
"5.1","Domicílios particulares permamentes","Camocim","15683","domicílios",1
"5.1","Domicílios particulares permamentes","Campos Sales","7616","domicílios",1
"5.1","Domicílios particulares permamentes","Canindé","19963","domicílios",1
"5.1","Domicílios particulares permamentes","Capistrano","4588","domicílios",1
"5.1","Domicílios particulares permamentes","Caridade","5245","domicílios",1
"5.1","Domicílios particulares permamentes","Cariré","5108","domicílios",1
"5.1","Domicílios particulares permamentes","Caririaçu","7078","domicílios",1
"5.1","Domicílios particulares permamentes","Cariús","5525","domicílios",1
"5.1","Domicílios particulares permamentes","Carnaubal","4563","domicílios",1
"5.1","Domicílios particulares permamentes","Cascavel","18806","domicílios",1
"5.1","Domicílios particulares permamentes","Catarina","5022","domicílios",1
"5.1","Domicílios particulares permamentes","Catunda","2744","domicílios",1
"5.1","Domicílios particulares permamentes","Caucaia","89183","domicílios",1
"5.1","Domicílios particulares permamentes","Cedro","7207","domicílios",1
"5.1","Domicílios particulares permamentes","Chaval","3210","domicílios",1
"5.1","Domicílios particulares permamentes","Choró","3272","domicílios",1
"5.1","Domicílios particulares permamentes","Chorozinho","5463","domicílios",1
"5.1","Domicílios particulares permamentes","Coreaú","5942","domicílios",1
"5.1","Domicílios particulares permamentes","Crateús","21717","domicílios",1
"5.1","Domicílios particulares permamentes","Crato","33965","domicílios",1
"5.1","Domicílios particulares permamentes","Croatá","4833","domicílios",1
"5.1","Domicílios particulares permamentes","Cruz","6168","domicílios",1
"5.1","Domicílios particulares permamentes","Deputado Irapuan Pinheiro","2758","domicílios",1
"5.1","Domicílios particulares permamentes","Ererê","1886","domicílios",1
"5.1","Domicílios particulares permamentes","Eusébio","12702","domicílios",1
"5.1","Domicílios particulares permamentes","Farias Brito","5397","domicílios",1
"5.1","Domicílios particulares permamentes","Forquilha","6153","domicílios",1
"5.1","Domicílios particulares permamentes","Fortaleza","709952","domicílios",1
"5.1","Domicílios particulares permamentes","Fortim","4137","domicílios",1
"5.1","Domicílios particulares permamentes","Frecheirinha","3752","domicílios",1
"5.1","Domicílios particulares permamentes","General Sampaio","1554","domicílios",1
"5.1","Domicílios particulares permamentes","Graça","4271","domicílios",1
"5.1","Domicílios particulares permamentes","Granja","13213","domicílios",1
"5.1","Domicílios particulares permamentes","Granjeiro","1175","domicílios",1
"5.1","Domicílios particulares permamentes","Groaíras","3004","domicílios",1
"5.1","Domicílios particulares permamentes","Guaiúba","6397","domicílios",1
"5.1","Domicílios particulares permamentes","Guaraciaba do Norte","10217","domicílios",1
"5.1","Domicílios particulares permamentes","Guaramiranga","1060","domicílios",1
"5.1","Domicílios particulares permamentes","Hidrolândia","5612","domicílios",1
"5.1","Domicílios particulares permamentes","Horizonte","15681","domicílios",1
"5.1","Domicílios particulares permamentes","Ibaretama","3451","domicílios",1
"5.1","Domicílios particulares permamentes","Ibiapina","6458","domicílios",1
"5.1","Domicílios particulares permamentes","Ibicuitinga","3210","domicílios",1
"5.1","Domicílios particulares permamentes","Icapuí","5222","domicílios",1
"5.1","Domicílios particulares permamentes","Icó","18236","domicílios",1
"5.1","Domicílios particulares permamentes","Iguatu","28807","domicílios",1
"5.1","Domicílios particulares permamentes","Independência","7487","domicílios",1
"5.1","Domicílios particulares permamentes","Ipaporanga","3484","domicílios",1
"5.1","Domicílios particulares permamentes","Ipaumirim","3534","domicílios",1
"5.1","Domicílios particulares permamentes","Ipu","11292","domicílios",1
"5.1","Domicílios particulares permamentes","Ipueiras","10955","domicílios",1
"5.1","Domicílios particulares permamentes","Iracema","3992","domicílios",1
"5.1","Domicílios particulares permamentes","Irauçuba","5587","domicílios",1
"5.1","Domicílios particulares permamentes","Itaiçaba","2286","domicílios",1
"5.1","Domicílios particulares permamentes","Itaitinga","9269","domicílios",1
"5.1","Domicílios particulares permamentes","Itapajé","12916","domicílios",1
"5.1","Domicílios particulares permamentes","Itapipoca","29918","domicílios",1
"5.1","Domicílios particulares permamentes","Itapiúna","4936","domicílios",1
"5.1","Domicílios particulares permamentes","Itarema","8881","domicílios",1
"5.1","Domicílios particulares permamentes","Itatira","4788","domicílios",1
"5.1","Domicílios particulares permamentes","Jaguaretama","5162","domicílios",1
"5.1","Domicílios particulares permamentes","Jaguaribara","2797","domicílios",1
"5.1","Domicílios particulares permamentes","Jaguaribe","10150","domicílios",1
"5.1","Domicílios particulares permamentes","Jaguaruana","9582","domicílios",1
"5.1","Domicílios particulares permamentes","Jardim","6845","domicílios",1
"5.1","Domicílios particulares permamentes","Jati","2182","domicílios",1
"5.1","Domicílios particulares permamentes","Jijoca de Jericoacoara","4715","domicílios",1
"5.1","Domicílios particulares permamentes","Juazeiro do Norte","69144","domicílios",1
"5.1","Domicílios particulares permamentes","Jucás","6758","domicílios",1
"5.1","Domicílios particulares permamentes","Lavras da Mangabeira","8647","domicílios",1
"5.1","Domicílios particulares permamentes","Limoeiro do Norte","17141","domicílios",1
"5.1","Domicílios particulares permamentes","Madalena","4798","domicílios",1
"5.1","Domicílios particulares permamentes","Maracanaú","57895","domicílios",1
"5.1","Domicílios particulares permamentes","Maranguape","28995","domicílios",1
"5.1","Domicílios particulares permamentes","Marco","5937","domicílios",1
"5.1","Domicílios particulares permamentes","Martinópole","2711","domicílios",1
"5.1","Domicílios particulares permamentes","Massapê","9229","domicílios",1
"5.1","Domicílios particulares permamentes","Mauriti","11635","domicílios",1
"5.1","Domicílios particulares permamentes","Meruoca","3476","domicílios",1
"5.1","Domicílios particulares permamentes","Milagres","7841","domicílios",1
"5.1","Domicílios particulares permamentes","Milhã","3848","domicílios",1
"5.1","Domicílios particulares permamentes","Miraíma","3236","domicílios",1
"5.1","Domicílios particulares permamentes","Missão Velha","9069","domicílios",1
"5.1","Domicílios particulares permamentes","Mombaça","11965","domicílios",1
"5.1","Domicílios particulares permamentes","Monsenhor Tabosa","4761","domicílios",1
"5.1","Domicílios particulares permamentes","Morada Nova","18221","domicílios",1
"5.1","Domicílios particulares permamentes","Moraújo","2113","domicílios",1
"5.1","Domicílios particulares permamentes","Morrinhos","5346","domicílios",1
"5.1","Domicílios particulares permamentes","Mucambo","4225","domicílios",1
"5.1","Domicílios particulares permamentes","Mulungu","2928","domicílios",1
"5.1","Domicílios particulares permamentes","Nova Olinda","3988","domicílios",1
"5.1","Domicílios particulares permamentes","Nova Russas","9285","domicílios",1
"5.1","Domicílios particulares permamentes","Novo Oriente","7993","domicílios",1
"5.1","Domicílios particulares permamentes","Ocara","6761","domicílios",1
"5.1","Domicílios particulares permamentes","Orós","6547","domicílios",1
"5.1","Domicílios particulares permamentes","Pacajus","17615","domicílios",1
"5.1","Domicílios particulares permamentes","Pacatuba","18726","domicílios",1
"5.1","Domicílios particulares permamentes","Pacoti","3054","domicílios",1
"5.1","Domicílios particulares permamentes","Pacujá","1750","domicílios",1
"5.1","Domicílios particulares permamentes","Palhano","2611","domicílios",1
"5.1","Domicílios particulares permamentes","Palmácia","3086","domicílios",1
"5.1","Domicílios particulares permamentes","Paracuru","8720","domicílios",1
"5.1","Domicílios particulares permamentes","Paraipaba","8178","domicílios",1
"5.1","Domicílios particulares permamentes","Parambu","8977","domicílios",1
"5.1","Domicílios particulares permamentes","Paramoti","3010","domicílios",1
"5.1","Domicílios particulares permamentes","Pedra Branca","11913","domicílios",1
"5.1","Domicílios particulares permamentes","Penaforte","2296","domicílios",1
"5.1","Domicílios particulares permamentes","Pentecoste","9845","domicílios",1
"5.1","Domicílios particulares permamentes","Pereiro","4347","domicílios",1
"5.1","Domicílios particulares permamentes","Pindoretama","5353","domicílios",1
"5.1","Domicílios particulares permamentes","Piquet Carneiro","4447","domicílios",1
"5.1","Domicílios particulares permamentes","Pires Ferreira","2790","domicílios",1
"5.1","Domicílios particulares permamentes","Poranga","3396","domicílios",1
"5.1","Domicílios particulares permamentes","Porteiras","4150","domicílios",1
"5.1","Domicílios particulares permamentes","Potengi","2816","domicílios",1
"5.1","Domicílios particulares permamentes","Potiretama","1706","domicílios",1
"5.1","Domicílios particulares permamentes","Quiterianópolis","5724","domicílios",1
"5.1","Domicílios particulares permamentes","Quixadá","22112","domicílios",1
"5.1","Domicílios particulares permamentes","Quixelô","4651","domicílios",1
"5.1","Domicílios particulares permamentes","Quixeramobim","20451","domicílios",1
"5.1","Domicílios particulares permamentes","Quixeré","5881","domicílios",1
"5.1","Domicílios particulares permamentes","Redenção","7393","domicílios",1
"5.1","Domicílios particulares permamentes","Reriutaba","5578","domicílios",1
"5.1","Domicílios particulares permamentes","Russas","20394","domicílios",1
"5.1","Domicílios particulares permamentes","Saboeiro","4500","domicílios",1
"5.1","Domicílios particulares permamentes","Salitre","3930","domicílios",1
"5.1","Domicílios particulares permamentes","Santana do Acaraú","7517","domicílios",1
"5.1","Domicílios particulares permamentes","Santana do Cariri","4512","domicílios",1
"5.1","Domicílios particulares permamentes","Santa Quitéria","11844","domicílios",1
"5.1","Domicílios particulares permamentes","São Benedito","12109","domicílios",1
"5.1","Domicílios particulares permamentes","São Gonçalo do Amarante","12000","domicílios",1
"5.1","Domicílios particulares permamentes","São João do Jaguaribe","2578","domicílios",1
"5.1","Domicílios particulares permamentes","São Luís do Curu","3579","domicílios",1
"5.1","Domicílios particulares permamentes","Senador Pompeu","7968","domicílios",1
"5.1","Domicílios particulares permamentes","Senador Sá","1823","domicílios",1
"5.1","Domicílios particulares permamentes","Sobral","50445","domicílios",1
"5.1","Domicílios particulares permamentes","Solonópole","5310","domicílios",1
"5.1","Domicílios particulares permamentes","Tabuleiro do Norte","9126","domicílios",1
"5.1","Domicílios particulares permamentes","Tamboril","6911","domicílios",1
"5.1","Domicílios particulares permamentes","Tarrafas","2489","domicílios",1
"5.1","Domicílios particulares permamentes","Tauá","16245","domicílios",1
"5.1","Domicílios particulares permamentes","Tejuçuoca","4294","domicílios",1
"5.1","Domicílios particulares permamentes","Tianguá","18206","domicílios",1
"5.1","Domicílios particulares permamentes","Trairi","13338","domicílios",1
"5.1","Domicílios particulares permamentes","Tururu","3811","domicílios",1
"5.1","Domicílios particulares permamentes","Ubajara","8737","domicílios",1
"5.1","Domicílios particulares permamentes","Umari","2157","domicílios",1
"5.1","Domicílios particulares permamentes","Umirim","4752","domicílios",1
"5.1","Domicílios particulares permamentes","Uruburetama","5213","domicílios",1
"5.1","Domicílios particulares permamentes","Uruoca","3548","domicílios",1
"5.1","Domicílios particulares permamentes","Varjota","4881","domicílios",1
"5.1","Domicílios particulares permamentes","Várzea Alegre","11532","domicílios",1
"5.1","Domicílios particulares permamentes","Viçosa do Ceará","13563","domicílios",1
"5.1.1","Com existência de alguns bens duráveis",,,"",""
"5.1.1.1","Automóvel para uso particular","Abaiara","225","domicílios",1
"5.1.1.1","Automóvel para uso particular","Acarape","526","domicílios",1
"5.1.1.1","Automóvel para uso particular","Acaraú","1363","domicílios",1
"5.1.1.1","Automóvel para uso particular","Acopiara","1259","domicílios",1
"5.1.1.1","Automóvel para uso particular","Aiuaba","262","domicílios",1
"5.1.1.1","Automóvel para uso particular","Alcântaras","219","domicílios",1
"5.1.1.1","Automóvel para uso particular","Altaneira","192","domicílios",1
"5.1.1.1","Automóvel para uso particular","Alto Santo","554","domicílios",1
