"Posição","Nome","Localidade","2010","Unidade","Multiplicador"
"3","Amostra - Características da população",,,"",""
"3.1","Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência",,,"",""
"3.1.1","Cor ou raça",,,"",""
"3.1.1.1","Amarela",,,"",""
"3.1.1.1.1","Posição na ocupação",,,"",""
"3.1.1.1.1.1","Conta própria","Abaiara","27","pessoas",1
"3.1.1.1.1.1","Conta própria","Acarape","99999999999992","pessoas",1
"3.1.1.1.1.1","Conta própria","Acaraú","23","pessoas",1
"3.1.1.1.1.1","Conta própria","Acopiara","28","pessoas",1
"3.1.1.1.1.1","Conta própria","Aiuaba","17","pessoas",1
"3.1.1.1.1.1","Conta própria","Alcântaras","14","pessoas",1
"3.1.1.1.1.1","Conta própria","Altaneira","3","pessoas",1
"3.1.1.1.1.1","Conta própria","Alto Santo","19","pessoas",1
"3.1.1.1.1.1","Conta própria","Amontada","51","pessoas",1
"3.1.1.1.1.1","Conta própria","Antonina do Norte","10","pessoas",1
"3.1.1.1.1.1","Conta própria","Apuiarés","46","pessoas",1
"3.1.1.1.1.1","Conta própria","Aquiraz","100","pessoas",1
"3.1.1.1.1.1","Conta própria","Aracati","48","pessoas",1
"3.1.1.1.1.1","Conta própria","Aracoiaba","41","pessoas",1
"3.1.1.1.1.1","Conta própria","Ararendá","99999999999992","pessoas",1
"3.1.1.1.1.1","Conta própria","Araripe","38","pessoas",1
"3.1.1.1.1.1","Conta própria","Aratuba","20","pessoas",1
"3.1.1.1.1.1","Conta própria","Arneiroz","99999999999992","pessoas",1
"3.1.1.1.1.1","Conta própria","Assaré","16","pessoas",1
"3.1.1.1.1.1","Conta própria","Aurora","29","pessoas",1
"3.1.1.1.1.1","Conta própria","Baixio","6","pessoas",1
"3.1.1.1.1.1","Conta própria","Banabuiú","20","pessoas",1
"3.1.1.1.1.1","Conta própria","Barbalha","96","pessoas",1
"3.1.1.1.1.1","Conta própria","Barreira","99999999999992","pessoas",1
"3.1.1.1.1.1","Conta própria","Barro","28","pessoas",1
"3.1.1.1.1.1","Conta própria","Barroquinha","7","pessoas",1
"3.1.1.1.1.1","Conta própria","Baturité","7","pessoas",1
"3.1.1.1.1.1","Conta própria","Beberibe","58","pessoas",1
"3.1.1.1.1.1","Conta própria","Bela Cruz","24","pessoas",1
"3.1.1.1.1.1","Conta própria","Boa Viagem","36","pessoas",1
"3.1.1.1.1.1","Conta própria","Brejo Santo","33","pessoas",1
"3.1.1.1.1.1","Conta própria","Camocim","30","pessoas",1
"3.1.1.1.1.1","Conta própria","Campos Sales","85","pessoas",1
"3.1.1.1.1.1","Conta própria","Canindé","54","pessoas",1
"3.1.1.1.1.1","Conta própria","Capistrano","99999999999992","pessoas",1
"3.1.1.1.1.1","Conta própria","Caridade","18","pessoas",1
"3.1.1.1.1.1","Conta própria","Cariré","15","pessoas",1
"3.1.1.1.1.1","Conta própria","Caririaçu","71","pessoas",1
"3.1.1.1.1.1","Conta própria","Cariús","15","pessoas",1
"3.1.1.1.1.1","Conta própria","Carnaubal","10","pessoas",1
"3.1.1.1.1.1","Conta própria","Cascavel","30","pessoas",1
"3.1.1.1.1.1","Conta própria","Catarina","17","pessoas",1
"3.1.1.1.1.1","Conta própria","Catunda","13","pessoas",1
"3.1.1.1.1.1","Conta própria","Caucaia","487","pessoas",1
"3.1.1.1.1.1","Conta própria","Cedro","38","pessoas",1
"3.1.1.1.1.1","Conta própria","Chaval","9","pessoas",1
"3.1.1.1.1.1","Conta própria","Choró","8","pessoas",1
"3.1.1.1.1.1","Conta própria","Chorozinho","25","pessoas",1
"3.1.1.1.1.1","Conta própria","Coreaú","37","pessoas",1
"3.1.1.1.1.1","Conta própria","Crateús","124","pessoas",1
"3.1.1.1.1.1","Conta própria","Crato","160","pessoas",1
"3.1.1.1.1.1","Conta própria","Croatá","4","pessoas",1
"3.1.1.1.1.1","Conta própria","Cruz","7","pessoas",1
"3.1.1.1.1.1","Conta própria","Deputado Irapuan Pinheiro","8","pessoas",1
"3.1.1.1.1.1","Conta própria","Ererê","18","pessoas",1
"3.1.1.1.1.1","Conta própria","Eusébio","83","pessoas",1
"3.1.1.1.1.1","Conta própria","Farias Brito","70","pessoas",1
"3.1.1.1.1.1","Conta própria","Forquilha","99999999999992","pessoas",1
"3.1.1.1.1.1","Conta própria","Fortaleza","3926","pessoas",1
"3.1.1.1.1.1","Conta própria","Fortim","6","pessoas",1
"3.1.1.1.1.1","Conta própria","Frecheirinha","9","pessoas",1
"3.1.1.1.1.1","Conta própria","General Sampaio","18","pessoas",1
"3.1.1.1.1.1","Conta própria","Graça","13","pessoas",1
"3.1.1.1.1.1","Conta própria","Granja","109","pessoas",1
"3.1.1.1.1.1","Conta própria","Granjeiro","99999999999992","pessoas",1
"3.1.1.1.1.1","Conta própria","Groaíras","18","pessoas",1
"3.1.1.1.1.1","Conta própria","Guaiúba","31","pessoas",1
"3.1.1.1.1.1","Conta própria","Guaraciaba do Norte","107","pessoas",1
"3.1.1.1.1.1","Conta própria","Guaramiranga","99999999999992","pessoas",1
"3.1.1.1.1.1","Conta própria","Hidrolândia","21","pessoas",1
"3.1.1.1.1.1","Conta própria","Horizonte","10","pessoas",1
"3.1.1.1.1.1","Conta própria","Ibaretama","99999999999992","pessoas",1
"3.1.1.1.1.1","Conta própria","Ibiapina","72","pessoas",1
"3.1.1.1.1.1","Conta própria","Ibicuitinga","5","pessoas",1
"3.1.1.1.1.1","Conta própria","Icapuí","39","pessoas",1
"3.1.1.1.1.1","Conta própria","Icó","21","pessoas",1
"3.1.1.1.1.1","Conta própria","Iguatu","48","pessoas",1
"3.1.1.1.1.1","Conta própria","Independência","10","pessoas",1
"3.1.1.1.1.1","Conta própria","Ipaporanga","16","pessoas",1
"3.1.1.1.1.1","Conta própria","Ipaumirim","99999999999992","pessoas",1
"3.1.1.1.1.1","Conta própria","Ipu","37","pessoas",1
"3.1.1.1.1.1","Conta própria","Ipueiras","54","pessoas",1
