"Posição","Nome","Localidade","2010","Unidade","Multiplicador"
"7","Amostra - Famílias",,,"",""
"7.1","Famílias conviventes residentes em domicílios particulares","Abaiara","172","famílias",1
"7.1","Famílias conviventes residentes em domicílios particulares","Acarape","412","famílias",1
"7.1","Famílias conviventes residentes em domicílios particulares","Acaraú","1631","famílias",1
"7.1","Famílias conviventes residentes em domicílios particulares","Acopiara","945","famílias",1
"7.1","Famílias conviventes residentes em domicílios particulares","Aiuaba","192","famílias",1
"7.1","Famílias conviventes residentes em domicílios particulares","Alcântaras","200","famílias",1
"7.1","Famílias conviventes residentes em domicílios particulares","Altaneira","83","famílias",1
"7.1","Famílias conviventes residentes em domicílios particulares","Alto Santo","463","famílias",1
"7.1","Famílias conviventes residentes em domicílios particulares","Amontada","726","famílias",1
"7.1","Famílias conviventes residentes em domicílios particulares","Antonina do Norte","115","famílias",1
"7.1","Famílias conviventes residentes em domicílios particulares","Apuiarés","297","famílias",1
"7.1","Famílias conviventes residentes em domicílios particulares","Aquiraz","1846","famílias",1
"7.1","Famílias conviventes residentes em domicílios particulares","Aracati","1967","famílias",1
"7.1","Famílias conviventes residentes em domicílios particulares","Aracoiaba","604","famílias",1
"7.1","Famílias conviventes residentes em domicílios particulares","Ararendá","134","famílias",1
"7.1","Famílias conviventes residentes em domicílios particulares","Araripe","249","famílias",1
"7.1","Famílias conviventes residentes em domicílios particulares","Aratuba","243","famílias",1
"7.1","Famílias conviventes residentes em domicílios particulares","Arneiroz","137","famílias",1
"7.1","Famílias conviventes residentes em domicílios particulares","Assaré","285","famílias",1
"7.1","Famílias conviventes residentes em domicílios particulares","Aurora","435","famílias",1
"7.1","Famílias conviventes residentes em domicílios particulares","Baixio","107","famílias",1
"7.1","Famílias conviventes residentes em domicílios particulares","Banabuiú","309","famílias",1
"7.1","Famílias conviventes residentes em domicílios particulares","Barbalha","1567","famílias",1
"7.1","Famílias conviventes residentes em domicílios particulares","Barreira","387","famílias",1
"7.1","Famílias conviventes residentes em domicílios particulares","Barro","544","famílias",1
"7.1","Famílias conviventes residentes em domicílios particulares","Barroquinha","337","famílias",1
"7.1","Famílias conviventes residentes em domicílios particulares","Baturité","853","famílias",1
"7.1","Famílias conviventes residentes em domicílios particulares","Beberibe","976","famílias",1
"7.1","Famílias conviventes residentes em domicílios particulares","Bela Cruz","550","famílias",1
"7.1","Famílias conviventes residentes em domicílios particulares","Boa Viagem","858","famílias",1
"7.1","Famílias conviventes residentes em domicílios particulares","Brejo Santo","810","famílias",1
"7.1","Famílias conviventes residentes em domicílios particulares","Camocim","1643","famílias",1
"7.1","Famílias conviventes residentes em domicílios particulares","Campos Sales","467","famílias",1
"7.1","Famílias conviventes residentes em domicílios particulares","Canindé","1929","famílias",1
"7.1","Famílias conviventes residentes em domicílios particulares","Capistrano","366","famílias",1
"7.1","Famílias conviventes residentes em domicílios particulares","Caridade","533","famílias",1
"7.1","Famílias conviventes residentes em domicílios particulares","Cariré","388","famílias",1
"7.1","Famílias conviventes residentes em domicílios particulares","Caririaçu","388","famílias",1
"7.1","Famílias conviventes residentes em domicílios particulares","Cariús","316","famílias",1
"7.1","Famílias conviventes residentes em domicílios particulares","Carnaubal","336","famílias",1
"7.1","Famílias conviventes residentes em domicílios particulares","Cascavel","1769","famílias",1
"7.1","Famílias conviventes residentes em domicílios particulares","Catarina","296","famílias",1
"7.1","Famílias conviventes residentes em domicílios particulares","Catunda","312","famílias",1
"7.1","Famílias conviventes residentes em domicílios particulares","Caucaia","8677","famílias",1
"7.1","Famílias conviventes residentes em domicílios particulares","Cedro","432","famílias",1
"7.1","Famílias conviventes residentes em domicílios particulares","Chaval","352","famílias",1
"7.1","Famílias conviventes residentes em domicílios particulares","Choró","261","famílias",1
"7.1","Famílias conviventes residentes em domicílios particulares","Chorozinho","343","famílias",1
"7.1","Famílias conviventes residentes em domicílios particulares","Coreaú","214","famílias",1
"7.1","Famílias conviventes residentes em domicílios particulares","Crateús","1653","famílias",1
"7.1","Famílias conviventes residentes em domicílios particulares","Crato","3112","famílias",1
"7.1","Famílias conviventes residentes em domicílios particulares","Croatá","209","famílias",1
"7.1","Famílias conviventes residentes em domicílios particulares","Cruz","240","famílias",1
"7.1","Famílias conviventes residentes em domicílios particulares","Deputado Irapuan Pinheiro","97","famílias",1
"7.1","Famílias conviventes residentes em domicílios particulares","Ererê","157","famílias",1
"7.1","Famílias conviventes residentes em domicílios particulares","Eusébio","1363","famílias",1
"7.1","Famílias conviventes residentes em domicílios particulares","Farias Brito","295","famílias",1
"7.1","Famílias conviventes residentes em domicílios particulares","Forquilha","525","famílias",1
"7.1","Famílias conviventes residentes em domicílios particulares","Fortaleza","69475","famílias",1
"7.1","Famílias conviventes residentes em domicílios particulares","Fortim","442","famílias",1
"7.1","Famílias conviventes residentes em domicílios particulares","Frecheirinha","165","famílias",1
