"Posição","Nome","Localidade","2010","Unidade","Multiplicador"
"1","Sinopse",,,"",""
"1.1","Domicílios",,,"",""
"1.1.1","Coletivos","Abaiara","2","domicílios",1
"1.1.1","Coletivos","Acarape","2","domicílios",1
"1.1.1","Coletivos","Acaraú","32","domicílios",1
"1.1.1","Coletivos","Acopiara","8","domicílios",1
"1.1.1","Coletivos","Aiuaba","2","domicílios",1
"1.1.1","Coletivos","Alcântaras","4","domicílios",1
"1.1.1","Coletivos","Altaneira","3","domicílios",1
"1.1.1","Coletivos","Alto Santo","56","domicílios",1
"1.1.1","Coletivos","Amontada","22","domicílios",1
"1.1.1","Coletivos","Antonina do Norte","1","domicílios",1
"1.1.1","Coletivos","Apuiarés","4","domicílios",1
"1.1.1","Coletivos","Aquiraz","184","domicílios",1
"1.1.1","Coletivos","Aracati","115","domicílios",1
"1.1.1","Coletivos","Aracoiaba","14","domicílios",1
"1.1.1","Coletivos","Ararendá","7","domicílios",1
"1.1.1","Coletivos","Araripe","3","domicílios",1
"1.1.1","Coletivos","Aratuba","3","domicílios",1
"1.1.1","Coletivos","Arneiroz","3","domicílios",1
"1.1.1","Coletivos","Assaré","2","domicílios",1
"1.1.1","Coletivos","Aurora","8","domicílios",1
"1.1.1","Coletivos","Baixio","1","domicílios",1
"1.1.1","Coletivos","Banabuiú","4","domicílios",1
"1.1.1","Coletivos","Barbalha","20","domicílios",1
"1.1.1","Coletivos","Barreira","2","domicílios",1
"1.1.1","Coletivos","Barro","7","domicílios",1
"1.1.1","Coletivos","Barroquinha","6","domicílios",1
"1.1.1","Coletivos","Baturité","23","domicílios",1
"1.1.1","Coletivos","Beberibe","60","domicílios",1
"1.1.1","Coletivos","Bela Cruz","7","domicílios",1
"1.1.1","Coletivos","Boa Viagem","13","domicílios",1
"1.1.1","Coletivos","Brejo Santo","14","domicílios",1
"1.1.1","Coletivos","Camocim","36","domicílios",1
"1.1.1","Coletivos","Campos Sales","11","domicílios",1
"1.1.1","Coletivos","Canindé","44","domicílios",1
"1.1.1","Coletivos","Capistrano","2","domicílios",1
"1.1.1","Coletivos","Caridade","5","domicílios",1
"1.1.1","Coletivos","Cariré","13","domicílios",1
"1.1.1","Coletivos","Caririaçu","4","domicílios",1
"1.1.1","Coletivos","Cariús","5","domicílios",1
"1.1.1","Coletivos","Carnaubal","4","domicílios",1
"1.1.1","Coletivos","Cascavel","29","domicílios",1
"1.1.1","Coletivos","Catarina","2","domicílios",1
"1.1.1","Coletivos","Catunda","4","domicílios",1
"1.1.1","Coletivos","Caucaia","144","domicílios",1
"1.1.1","Coletivos","Cedro","5","domicílios",1
"1.1.1","Coletivos","Chaval","1","domicílios",1
"1.1.1","Coletivos","Choró","2","domicílios",1
"1.1.1","Coletivos","Chorozinho","13","domicílios",1
"1.1.1","Coletivos","Coreaú","3","domicílios",1
"1.1.1","Coletivos","Crateús","23","domicílios",1
"1.1.1","Coletivos","Crato","47","domicílios",1
"1.1.1","Coletivos","Croatá","4","domicílios",1
"1.1.1","Coletivos","Cruz","14","domicílios",1
"1.1.1","Coletivos","Deputado Irapuan Pinheiro","-","domicílios",1
"1.1.1","Coletivos","Ererê","4","domicílios",1
"1.1.1","Coletivos","Eusébio","24","domicílios",1
"1.1.1","Coletivos","Farias Brito","4","domicílios",1
"1.1.1","Coletivos","Forquilha","5","domicílios",1
"1.1.1","Coletivos","Fortaleza","630","domicílios",1
"1.1.1","Coletivos","Fortim","10","domicílios",1
"1.1.1","Coletivos","Frecheirinha","3","domicílios",1
"1.1.1","Coletivos","General Sampaio","1","domicílios",1
"1.1.1","Coletivos","Graça","7","domicílios",1
"1.1.1","Coletivos","Granja","12","domicílios",1
"1.1.1","Coletivos","Granjeiro","-","domicílios",1
"1.1.1","Coletivos","Groaíras","2","domicílios",1
"1.1.1","Coletivos","Guaiúba","3","domicílios",1
"1.1.1","Coletivos","Guaraciaba do Norte","5","domicílios",1
"1.1.1","Coletivos","Guaramiranga","11","domicílios",1
"1.1.1","Coletivos","Hidrolândia","4","domicílios",1
"1.1.1","Coletivos","Horizonte","7","domicílios",1
"1.1.1","Coletivos","Ibaretama","5","domicílios",1
"1.1.1","Coletivos","Ibiapina","3","domicílios",1
"1.1.1","Coletivos","Ibicuitinga","9","domicílios",1
"1.1.1","Coletivos","Icapuí","32","domicílios",1
"1.1.1","Coletivos","Icó","12","domicílios",1
"1.1.1","Coletivos","Iguatu","40","domicílios",1
"1.1.1","Coletivos","Independência","5","domicílios",1
"1.1.1","Coletivos","Ipaporanga","1","domicílios",1
"1.1.1","Coletivos","Ipaumirim","1","domicílios",1
"1.1.1","Coletivos","Ipu","17","domicílios",1
"1.1.1","Coletivos","Ipueiras","12","domicílios",1
"1.1.1","Coletivos","Iracema","3","domicílios",1
"1.1.1","Coletivos","Irauçuba","5","domicílios",1
"1.1.1","Coletivos","Itaiçaba","1","domicílios",1
"1.1.1","Coletivos","Itaitinga","10","domicílios",1
"1.1.1","Coletivos","Itapajé","7","domicílios",1
"1.1.1","Coletivos","Itapipoca","41","domicílios",1
"1.1.1","Coletivos","Itapiúna","7","domicílios",1
"1.1.1","Coletivos","Itarema","16","domicílios",1
"1.1.1","Coletivos","Itatira","6","domicílios",1
"1.1.1","Coletivos","Jaguaretama","3","domicílios",1
"1.1.1","Coletivos","Jaguaribara","5","domicílios",1
"1.1.1","Coletivos","Jaguaribe","8","domicílios",1
"1.1.1","Coletivos","Jaguaruana","8","domicílios",1
"1.1.1","Coletivos","Jardim","2","domicílios",1
"1.1.1","Coletivos","Jati","-","domicílios",1
"1.1.1","Coletivos","Jijoca de Jericoacoara","151","domicílios",1
"1.1.1","Coletivos","Juazeiro do Norte","206","domicílios",1
"1.1.1","Coletivos","Jucás","7","domicílios",1
"1.1.1","Coletivos","Lavras da Mangabeira","9","domicílios",1
"1.1.1","Coletivos","Limoeiro do Norte","16","domicílios",1
"1.1.1","Coletivos","Madalena","5","domicílios",1
"1.1.1","Coletivos","Maracanaú","38","domicílios",1
"1.1.1","Coletivos","Maranguape","39","domicílios",1
"1.1.1","Coletivos","Marco","11","domicílios",1
"1.1.1","Coletivos","Martinópole","1","domicílios",1
"1.1.1","Coletivos","Massapê","15","domicílios",1
"1.1.1","Coletivos","Mauriti","9","domicílios",1
"1.1.1","Coletivos","Meruoca","11","domicílios",1
"1.1.1","Coletivos","Milagres","12","domicílios",1
"1.1.1","Coletivos","Milhã","2","domicílios",1
"1.1.1","Coletivos","Miraíma","18","domicílios",1
"1.1.1","Coletivos","Missão Velha","4","domicílios",1
"1.1.1","Coletivos","Mombaça","17","domicílios",1
"1.1.1","Coletivos","Monsenhor Tabosa","5","domicílios",1
"1.1.1","Coletivos","Morada Nova","22","domicílios",1
"1.1.1","Coletivos","Moraújo","1","domicílios",1
"1.1.1","Coletivos","Morrinhos","2","domicílios",1
"1.1.1","Coletivos","Mucambo","5","domicílios",1
"1.1.1","Coletivos","Mulungu","8","domicílios",1
"1.1.1","Coletivos","Nova Olinda","2","domicílios",1
"1.1.1","Coletivos","Nova Russas","12","domicílios",1
"1.1.1","Coletivos","Novo Oriente","2","domicílios",1
"1.1.1","Coletivos","Ocara","4","domicílios",1
"1.1.1","Coletivos","Orós","8","domicílios",1
"1.1.1","Coletivos","Pacajus","21","domicílios",1
"1.1.1","Coletivos","Pacatuba","10","domicílios",1
"1.1.1","Coletivos","Pacoti","10","domicílios",1
"1.1.1","Coletivos","Pacujá","4","domicílios",1
"1.1.1","Coletivos","Palhano","3","domicílios",1
"1.1.1","Coletivos","Palmácia","3","domicílios",1
"1.1.1","Coletivos","Paracuru","26","domicílios",1
"1.1.1","Coletivos","Paraipaba","35","domicílios",1
"1.1.1","Coletivos","Parambu","14","domicílios",1
"1.1.1","Coletivos","Paramoti","13","domicílios",1
"1.1.1","Coletivos","Pedra Branca","10","domicílios",1
"1.1.1","Coletivos","Penaforte","10","domicílios",1
"1.1.1","Coletivos","Pentecoste","7","domicílios",1
"1.1.1","Coletivos","Pereiro","2","domicílios",1
