"Posição","Nome","Localidade","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","Unidade","Multiplicador"
"1","Extração vegetal",,,,,,,,,,,,,,,,"",""
"1.1","Alimentícios",,,,,,,,,,,,,,,,"",""
"1.1.1","Açaí",,,,,,,,,,,,,,,,"",""
"1.1.1.1","Fruto",,,,,,,,,,,,,,,,"",""
"1.1.1.1.1","Quantidade produzida","Abaiara","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","t",1
"1.1.1.1.1","Quantidade produzida","Acarape","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","t",1
"1.1.1.1.1","Quantidade produzida","Acaraú","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","t",1
"1.1.1.1.1","Quantidade produzida","Acopiara","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","t",1
"1.1.1.1.1","Quantidade produzida","Aiuaba","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","t",1
"1.1.1.1.1","Quantidade produzida","Alcântaras","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","t",1
"1.1.1.1.1","Quantidade produzida","Altaneira","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","t",1
"1.1.1.1.1","Quantidade produzida","Alto Santo","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","t",1
"1.1.1.1.1","Quantidade produzida","Amontada","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","t",1
"1.1.1.1.1","Quantidade produzida","Antonina do Norte","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","t",1
"1.1.1.1.1","Quantidade produzida","Apuiarés","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","t",1
"1.1.1.1.1","Quantidade produzida","Aquiraz","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","t",1
"1.1.1.1.1","Quantidade produzida","Aracati","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","t",1
"1.1.1.1.1","Quantidade produzida","Aracoiaba","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","t",1
"1.1.1.1.1","Quantidade produzida","Ararendá","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","t",1
"1.1.1.1.1","Quantidade produzida","Araripe","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","t",1
