"Posição","Nome","Localidade","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","Unidade","Multiplicador"
"1","Aquicultura",,,,,,,,,,,,,,,,"",""
"1.1","Alevinos",,,,,,,,,,,,,,,,"",""
"1.1.1","Quantidade produzida","Abaiara",,,,,,,,,,"-","-","-","...","...","milheiros",1
"1.1.1","Quantidade produzida","Acarape",,,,,,,,,,"-","-","-","10800","13824","milheiros",1
"1.1.1","Quantidade produzida","Acaraú",,,,,,,,,,"-","-","-","-","-","milheiros",1
"1.1.1","Quantidade produzida","Acopiara",,,,,,,,,,"-","-","-","...","...","milheiros",1
"1.1.1","Quantidade produzida","Aiuaba",,,,,,,,,,"-","-","-","...","...","milheiros",1
"1.1.1","Quantidade produzida","Alcântaras",,,,,,,,,,"-","-","-","...","...","milheiros",1
"1.1.1","Quantidade produzida","Altaneira",,,,,,,,,,"-","-","-","...","...","milheiros",1
"1.1.1","Quantidade produzida","Alto Santo",,,,,,,,,,"16900","5540","7490","3472","2430","milheiros",1
"1.1.1","Quantidade produzida","Amontada",,,,,,,,,,"-","-","12000","20000","24000","milheiros",1
"1.1.1","Quantidade produzida","Antonina do Norte",,,,,,,,,,"-","-","-","...","...","milheiros",1
"1.1.1","Quantidade produzida","Apuiarés",,,,,,,,,,"-","-","-","...","...","milheiros",1
"1.1.1","Quantidade produzida","Aquiraz",,,,,,,,,,"-","-","-","-","-","milheiros",1
"1.1.1","Quantidade produzida","Aracati",,,,,,,,,,"-","-","-","-","-","milheiros",1
"1.1.1","Quantidade produzida","Aracoiaba",,,,,,,,,,"-","-","-","-","-","milheiros",1
"1.1.1","Quantidade produzida","Ararendá",,,,,,,,,,"-","-","-","...","...","milheiros",1
"1.1.1","Quantidade produzida","Araripe",,,,,,,,,,"-","-","-","...","...","milheiros",1
"1.1.1","Quantidade produzida","Aratuba",,,,,,,,,,"-","-","-","...","...","milheiros",1
"1.1.1","Quantidade produzida","Arneiroz",,,,,,,,,,"-","-","-","...","...","milheiros",1
"1.1.1","Quantidade produzida","Assaré",,,,,,,,,,"-","-","-","...","...","milheiros",1
"1.1.1","Quantidade produzida","Aurora",,,,,,,,,,"-","-","-","...","...","milheiros",1
"1.1.1","Quantidade produzida","Baixio",,,,,,,,,,"-","-","-","...","...","milheiros",1
"1.1.1","Quantidade produzida","Banabuiú",,,,,,,,,,"-","-","-","-","-","milheiros",1
"1.1.1","Quantidade produzida","Barbalha",,,,,,,,,,"240","192","154","141","152","milheiros",1
"1.1.1","Quantidade produzida","Barreira",,,,,,,,,,"-","-","-","...","-","milheiros",1
"1.1.1","Quantidade produzida","Barro",,,,,,,,,,"-","-","-","...","...","milheiros",1
"1.1.1","Quantidade produzida","Barroquinha",,,,,,,,,,"-","-","-","-","-","milheiros",1
"1.1.1","Quantidade produzida","Baturité",,,,,,,,,,"-","-","-","-","-","milheiros",1
