"Posição","Nome","Localidade","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","Unidade","Multiplicador"
"1","Abacaxi",,,,,,,,,,,,,,,,"",""
"1.1","Quantidade produzida","Abaiara","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Acarape","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Acaraú","736","99999999999992","168","200","208","750","375","420","425","702","225","180","36","40","frutos",1000
"1.1","Quantidade produzida","Acopiara","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Aiuaba","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Alcântaras","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Altaneira","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Alto Santo","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Amontada","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Antonina do Norte","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Apuiarés","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Aquiraz","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Aracati","99999999999992","99999999999992","-","-","-","1800","3960","1803","1803","1820","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Aracoiaba","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Ararendá","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Araripe","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Aratuba","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Arneiroz","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Assaré","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Aurora","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Baixio","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Banabuiú","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Barbalha","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Barreira","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Barro","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Barroquinha","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Baturité","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Beberibe","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Bela Cruz","220","200","200","150","-","-","-","-","-","-","-","50","-","-","frutos",1000
"1.1","Quantidade produzida","Boa Viagem","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Brejo Santo","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Camocim","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Campos Sales","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Canindé","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Capistrano","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Caridade","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Cariré","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Caririaçu","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Cariús","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Carnaubal","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Cascavel","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Catarina","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Catunda","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Caucaia","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Cedro","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Chaval","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Choró","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Chorozinho","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Coreaú","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Crateús","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Crato","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Croatá","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Cruz","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Deputado Irapuan Pinheiro","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Ererê","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Eusébio","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Farias Brito","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Forquilha","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Fortaleza","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","...","...","frutos",1000
"1.1","Quantidade produzida","Fortim","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Frecheirinha","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","General Sampaio","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Graça","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Granja","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Granjeiro","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Groaíras","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Guaiúba","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Guaraciaba do Norte","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Guaramiranga","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Hidrolândia","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Horizonte","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Ibaretama","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Ibiapina","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Ibicuitinga","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Icapuí","99999999999992","180","804","2621","3600","4500","4500","5719","5747","6655","6600","-","-","-","frutos",1000
"1.1","Quantidade produzida","Icó","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Iguatu","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Independência","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Ipaporanga","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Ipaumirim","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Ipu","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
