"Posição","Nome","Localidade","2008","Unidade","Multiplicador"
"1","Área do setor de saneamento",,,"",""
"1.1","Abastecimento de água",,,"",""
"1.1.1","Número de economias abastecidas","Abaiara","2408","unidades",1
"1.1.1","Número de economias abastecidas","Acarape","3072","unidades",1
"1.1.1","Número de economias abastecidas","Acaraú","8269","unidades",1
"1.1.1","Número de economias abastecidas","Acopiara","9720","unidades",1
"1.1.1","Número de economias abastecidas","Aiuaba","2224","unidades",1
"1.1.1","Número de economias abastecidas","Alcântaras","8817","unidades",1
"1.1.1","Número de economias abastecidas","Altaneira","2328","unidades",1
"1.1.1","Número de economias abastecidas","Alto Santo","5032","unidades",1
"1.1.1","Número de economias abastecidas","Amontada","4530","unidades",1
"1.1.1","Número de economias abastecidas","Antonina do Norte","1977","unidades",1
"1.1.1","Número de economias abastecidas","Apuiarés","2274","unidades",1
"1.1.1","Número de economias abastecidas","Aquiraz","4365","unidades",1
"1.1.1","Número de economias abastecidas","Aracati","11776","unidades",1
"1.1.1","Número de economias abastecidas","Aracoiaba","6010","unidades",1
"1.1.1","Número de economias abastecidas","Ararendá","2195","unidades",1
"1.1.1","Número de economias abastecidas","Araripe","2872","unidades",1
"1.1.1","Número de economias abastecidas","Aratuba","2889","unidades",1
"1.1.1","Número de economias abastecidas","Arneiroz","1424","unidades",1
"1.1.1","Número de economias abastecidas","Assaré","4194","unidades",1
"1.1.1","Número de economias abastecidas","Aurora","4903","unidades",1
"1.1.1","Número de economias abastecidas","Baixio","1315","unidades",1
"1.1.1","Número de economias abastecidas","Banabuiú","3817","unidades",1
"1.1.1","Número de economias abastecidas","Barbalha","12243","unidades",1
"1.1.1","Número de economias abastecidas","Barreira","4037","unidades",1
"1.1.1","Número de economias abastecidas","Barro","4847","unidades",1
"1.1.1","Número de economias abastecidas","Barroquinha","2582","unidades",1
"1.1.1","Número de economias abastecidas","Baturité","7212","unidades",1
"1.1.1","Número de economias abastecidas","Beberibe","2036","unidades",1
"1.1.1","Número de economias abastecidas","Bela Cruz","4037","unidades",1
"1.1.1","Número de economias abastecidas","Boa Viagem","11553","unidades",1
"1.1.1","Número de economias abastecidas","Brejo Santo","9414","unidades",1
"1.1.1","Número de economias abastecidas","Camocim","13042","unidades",1
"1.1.1","Número de economias abastecidas","Campos Sales","6109","unidades",1
"1.1.1","Número de economias abastecidas","Canindé","15817","unidades",1
"1.1.1","Número de economias abastecidas","Capistrano","3611","unidades",1
"1.1.1","Número de economias abastecidas","Caridade","3036","unidades",1
"1.1.1","Número de economias abastecidas","Cariré","3805","unidades",1
"1.1.1","Número de economias abastecidas","Caririaçu","4961","unidades",1
"1.1.1","Número de economias abastecidas","Cariús","3298","unidades",1
"1.1.1","Número de economias abastecidas","Carnaubal","5665","unidades",1
"1.1.1","Número de economias abastecidas","Cascavel","9305","unidades",1
"1.1.1","Número de economias abastecidas","Catarina","2429","unidades",1
"1.1.1","Número de economias abastecidas","Catunda","1966","unidades",1
"1.1.1","Número de economias abastecidas","Caucaia","68192","unidades",1
"1.1.1","Número de economias abastecidas","Cedro","7585","unidades",1
"1.1.1","Número de economias abastecidas","Chaval","2909","unidades",1
"1.1.1","Número de economias abastecidas","Choró","1456","unidades",1
"1.1.1","Número de economias abastecidas","Chorozinho","3122","unidades",1
"1.1.1","Número de economias abastecidas","Coreaú","6091","unidades",1
"1.1.1","Número de economias abastecidas","Crateús","19637","unidades",1
"1.1.1","Número de economias abastecidas","Crato","31360","unidades",1
"1.1.1","Número de economias abastecidas","Croatá","5117","unidades",1
"1.1.1","Número de economias abastecidas","Cruz","4337","unidades",1
"1.1.1","Número de economias abastecidas","Deputado Irapuan Pinheiro","2401","unidades",1
"1.1.1","Número de economias abastecidas","Ererê","1422","unidades",1
"1.1.1","Número de economias abastecidas","Eusébio","5066","unidades",1
"1.1.1","Número de economias abastecidas","Farias Brito","2652","unidades",1
"1.1.1","Número de economias abastecidas","Forquilha","1725","unidades",1
"1.1.1","Número de economias abastecidas","Fortaleza","828662","unidades",1
"1.1.1","Número de economias abastecidas","Fortim","4249","unidades",1
"1.1.1","Número de economias abastecidas","Frecheirinha","2712","unidades",1
"1.1.1","Número de economias abastecidas","General Sampaio","1164","unidades",1
"1.1.1","Número de economias abastecidas","Graça","2220","unidades",1
"1.1.1","Número de economias abastecidas","Granja","5845","unidades",1
"1.1.1","Número de economias abastecidas","Granjeiro","1134","unidades",1
"1.1.1","Número de economias abastecidas","Groaíras","3423","unidades",1
"1.1.1","Número de economias abastecidas","Guaiúba","5599","unidades",1
"1.1.1","Número de economias abastecidas","Guaraciaba do Norte","9870","unidades",1
"1.1.1","Número de economias abastecidas","Guaramiranga","530","unidades",1
"1.1.1","Número de economias abastecidas","Hidrolândia","4311","unidades",1
"1.1.1","Número de economias abastecidas","Horizonte","11817","unidades",1
"1.1.1","Número de economias abastecidas","Ibaretama","914","unidades",1
"1.1.1","Número de economias abastecidas","Ibiapina","5206","unidades",1
"1.1.1","Número de economias abastecidas","Ibicuitinga","2775","unidades",1
"1.1.1","Número de economias abastecidas","Icapuí","6058","unidades",1
"1.1.1","Número de economias abastecidas","Icó","14320","unidades",1
"1.1.1","Número de economias abastecidas","Iguatu","29956","unidades",1
"1.1.1","Número de economias abastecidas","Independência","5246","unidades",1
"1.1.1","Número de economias abastecidas","Ipaporanga","3092","unidades",1
"1.1.1","Número de economias abastecidas","Ipaumirim","2527","unidades",1
"1.1.1","Número de economias abastecidas","Ipu","8120","unidades",1
"1.1.1","Número de economias abastecidas","Ipueiras","10122","unidades",1
"1.1.1","Número de economias abastecidas","Iracema","3734","unidades",1
"1.1.1","Número de economias abastecidas","Irauçuba","5448","unidades",1
"1.1.1","Número de economias abastecidas","Itaiçaba","1576","unidades",1
"1.1.1","Número de economias abastecidas","Itaitinga","5418","unidades",1
"1.1.1","Número de economias abastecidas","Itapajé","10333","unidades",1
"1.1.1","Número de economias abastecidas","Itapipoca","18802","unidades",1
"1.1.1","Número de economias abastecidas","Itapiúna","4184","unidades",1
"1.1.1","Número de economias abastecidas","Itarema","4828","unidades",1
"1.1.1","Número de economias abastecidas","Itatira","3416","unidades",1
"1.1.1","Número de economias abastecidas","Jaguaretama","2957","unidades",1
"1.1.1","Número de economias abastecidas","Jaguaribara","2783","unidades",1
"1.1.1","Número de economias abastecidas","Jaguaribe","9806","unidades",1
"1.1.1","Número de economias abastecidas","Jaguaruana","6189","unidades",1
"1.1.1","Número de economias abastecidas","Jardim","3264","unidades",1
"1.1.1","Número de economias abastecidas","Jati","1363","unidades",1
"1.1.1","Número de economias abastecidas","Jijoca de Jericoacoara","3209","unidades",1
"1.1.1","Número de economias abastecidas","Juazeiro do Norte","73895","unidades",1
"1.1.1","Número de economias abastecidas","Jucás","5758","unidades",1
"1.1.1","Número de economias abastecidas","Lavras da Mangabeira","6237","unidades",1
"1.1.1","Número de economias abastecidas","Limoeiro do Norte","17814","unidades",1
"1.1.1","Número de economias abastecidas","Madalena","2524","unidades",1
"1.1.1","Número de economias abastecidas","Maracanaú","9628","unidades",1
"1.1.1","Número de economias abastecidas","Maranguape","21699","unidades",1
"1.1.1","Número de economias abastecidas","Marco","4709","unidades",1
"1.1.1","Número de economias abastecidas","Martinópole","2334","unidades",1
"1.1.1","Número de economias abastecidas","Massapê","7327","unidades",1
"1.1.1","Número de economias abastecidas","Mauriti","7137","unidades",1
"1.1.1","Número de economias abastecidas","Meruoca","2010","unidades",1
"1.1.1","Número de economias abastecidas","Milagres","6065","unidades",1
"1.1.1","Número de economias abastecidas","Milhã","2503","unidades",1
"1.1.1","Número de economias abastecidas","Miraíma","2469","unidades",1
"1.1.1","Número de economias abastecidas","Missão Velha","8344","unidades",1
"1.1.1","Número de economias abastecidas","Mombaça","7456","unidades",1
"1.1.1","Número de economias abastecidas","Monsenhor Tabosa","4278","unidades",1
