Nome,chuva_total,idh
Abaiara,825.8,0.452
Acarape,996.9,0.49
Acaraú,885.9,0.415
Acopiara,603.05,0.412
Aiuaba,518.1,0.365
Alcântaras,631.0,0.422
Altaneira,625.2,0.417
Alto Santo,616.1,0.438
Amontada,664.3,0.423
Antonina do Norte,350.9,0.431
Apuiarés,718.5,0.431
Aquiraz,1461.0,0.499
Aracati,656.1,0.523
Aracoiaba,678.3,0.451
Ararendá,348.6,0.437
Araripe,490.4,0.371
Aratuba,848.5,0.453
Arneiroz,409.8,0.419
Assaré,436.9,0.37
Aurora,831.15,0.435
Baixio,740.0,0.452
Banabuiú,731.75,0.456
Barbalha,968.55,0.517
Barreira,615.0,0.463
Barro,779.1,0.442
Barroquinha,1144.8,0.356
Baturité,742.0,0.488
Beberibe,758.1,0.455
Bela Cruz,766.0,0.406
Boa Viagem,453.15,0.419
Brejo Santo,747.4,0.503
Camocim,1278.6,0.462
Campos Sales,380.6,0.471
Canindé,514.02,0.448
Capistrano,687.2,0.457
Caridade,724.9,0.421
Cariré,682.9,0.416
Caririaçu,700.1,0.392
Cariús,460.15,0.438
Carnaubal,485.8,0.419
Cascavel,1042.0,0.493
Catarina,424.6,0.412
Catunda,687.0,0.427
Caucaia,1050.85,0.555
Cedro,772.6,0.473
Chaval,1062.3,0.398
Choró,445.1,0.38
Chorozinho,650.9,0.437
Coreaú,930.0,0.406
Crateús,486.2,0.503
Crato,847.7,0.577
Croatá,434.6,0.372
Cruz,871.0,0.435
Ererê,809.0,0.433
Eusébio,1271.3,0.507
Farias Brito,704.8,0.447
Forquilha,633.0,0.464
Fortaleza,1265.88,0.652
Fortim,551.0,0.48
Frecheirinha,873.5,0.45
General Sampaio,664.7,0.392
Graça,613.5,0.381
Granja,905.2,0.371
Granjeiro,799.3,0.372
Groaíras,676.9,0.451
Guaiúba,696.5,0.454
Guaraciaba do Norte,1301.4,0.43
Guaramiranga,1404.9,0.5
Hidrolândia,751.2,0.424
Horizonte,1586.2,0.493
Ibaretama,907.7,0.406
Ibiapina,1217.0,0.451
Ibicuitinga,602.9,0.451
Icapuí,722.9,0.478
Icó,485.94,0.445
Iguatu,623.2,0.546
Independência,611.4,0.495
Ipaporanga,634.5,0.409
Ipaumirim,665.7,0.444
Ipu,748.5,0.473
Ipueiras,649.6,0.401
Iracema,743.2,0.499
Irauçuba,382.3,0.428
Itaiçaba,485.8,0.496
Itaitinga,934.8,0.475
Itapajé,810.9,0.459
Itapipoca,1270.15,0.477
Itapiúna,421.35,0.479
Itarema,1281.3,0.389
Itatira,381.5,0.362
Jaguaretama,603.6,0.445
Jaguaribara,737.9,0.468
Jaguaribe,491.11,0.518
Jaguaruana,375.1,0.498
Jardim,442.0,0.439
Jati,518.4,0.474
Juazeiro do Norte,965.5,0.544
Jucás,820.5,0.441
Lavras da Mangabeira,500.75,0.46
Limoeiro do Norte,502.25,0.561
Madalena,534.1,0.443
Maracanaú,801.0,0.575
Maranguape,632.42,0.524
Marco,803.9,0.446
Martinópole,891.8,0.407
Massapê,872.4,0.423
Mauriti,560.79,0.445
Meruoca,1283.0,0.44
Milagres,736.9,0.45
Milhã,494.0,0.466
Miraíma,685.5,0.394
Missão Velha,963.25,0.444
Mombaça,482.0,0.399
Monsenhor Tabosa,762.8,0.437
Morada Nova,543.4,0.485
Moraújo,1044.0,0.386
Morrinhos,572.3,0.415
Mucambo,877.6,0.458
Mulungu,1058.1,0.48
Nova Olinda,919.2,0.451
Nova Russas,699.0,0.459
Novo Oriente,760.6,0.422
Ocara,674.3,0.434
Orós,755.0,0.465
Pacajus,704.1,0.508
Pacatuba,1181.7,0.533
Pacoti,1264.5,0.484
Pacujá,962.7,0.486
Palhano,577.2,0.492
Palmácia,1320.25,0.497
Paracuru,1012.8,0.457
Paraipaba,1235.2,0.495
Parambu,583.8,0.387
Paramoti,450.4,0.405
Pedra Branca,682.85,0.42
Penaforte,496.5,0.53
Pentecoste,656.21,0.467
Pereiro,879.5,0.445
Pindoretama,1001.7,0.493
Piquet Carneiro,535.3,0.427
Pires Ferreira,407.5,0.393
Poranga,394.0,0.401
Porteiras,623.2,0.477
Potengi,606.3,0.396
Potiretama,597.1,0.425
Quiterianópolis,766.4,0.405
Quixadá,399.56,0.524
Quixelô,644.6,0.367
Quixeramobim,375.06,0.482
Quixeré,484.2,0.475
Redenção,1033.6,0.478
Reriutaba,872.1,0.454
Russas,417.75,0.527
Saboeiro,327.1,0.374
Salitre,424.2,0.326
Santana do Acaraú,789.7,0.431
Santana do Cariri,704.6,0.424
Santa Quitéria,681.5,0.431
São Benedito,887.3,0.433
São Luís do Curu,984.8,0.506
Senador Pompeu,497.1,0.487
Senador Sá,753.6,0.377
Sobral,394.28,0.537
Solonópole,589.0,0.454
Tabuleiro do Norte,533.0,0.522
Tamboril,631.4,0.385
Tarrafas,454.1,0.377
Tauá,372.75,0.477
Tejuçuoca,610.2,0.421
Tianguá,1051.2,0.46
Trairi,1381.5,0.42
Tururu,597.0,0.418
Ubajara,1310.7,0.464
Umari,787.5,0.419
Umirim,1082.4,0.395
Uruburetama,1039.5,0.456
Uruoca,741.8,0.394
Varjota,634.4,0.459
Várzea Alegre,863.7,0.462
Viçosa do Ceará,1062.1,0.369
