"Posição","Nome","Localidade","2010","Unidade","Multiplicador"
"8","Amostra - Fecundidade",,,"",""
"8.1","Filhos tidos pelas mulheres de 10 anos ou mais de idade","Abaiara","11112","pessoas",1
"8.1","Filhos tidos pelas mulheres de 10 anos ou mais de idade","Acarape","16845","pessoas",1
"8.1","Filhos tidos pelas mulheres de 10 anos ou mais de idade","Acaraú","63613","pessoas",1
"8.1","Filhos tidos pelas mulheres de 10 anos ou mais de idade","Acopiara","60204","pessoas",1
"8.1","Filhos tidos pelas mulheres de 10 anos ou mais de idade","Aiuaba","17985","pessoas",1
"8.1","Filhos tidos pelas mulheres de 10 anos ou mais de idade","Alcântaras","12639","pessoas",1
"8.1","Filhos tidos pelas mulheres de 10 anos ou mais de idade","Altaneira","8393","pessoas",1
"8.1","Filhos tidos pelas mulheres de 10 anos ou mais de idade","Alto Santo","18305","pessoas",1
"8.1","Filhos tidos pelas mulheres de 10 anos ou mais de idade","Amontada","45104","pessoas",1
"8.1","Filhos tidos pelas mulheres de 10 anos ou mais de idade","Antonina do Norte","8297","pessoas",1
"8.1","Filhos tidos pelas mulheres de 10 anos ou mais de idade","Apuiarés","15408","pessoas",1
"8.1","Filhos tidos pelas mulheres de 10 anos ou mais de idade","Aquiraz","66880","pessoas",1
"8.1","Filhos tidos pelas mulheres de 10 anos ou mais de idade","Aracati","71056","pessoas",1
"8.1","Filhos tidos pelas mulheres de 10 anos ou mais de idade","Aracoiaba","28300","pessoas",1
"8.1","Filhos tidos pelas mulheres de 10 anos ou mais de idade","Ararendá","12340","pessoas",1
"8.1","Filhos tidos pelas mulheres de 10 anos ou mais de idade","Araripe","23848","pessoas",1
"8.1","Filhos tidos pelas mulheres de 10 anos ou mais de idade","Aratuba","12745","pessoas",1
"8.1","Filhos tidos pelas mulheres de 10 anos ou mais de idade","Arneiroz","8274","pessoas",1
"8.1","Filhos tidos pelas mulheres de 10 anos ou mais de idade","Assaré","26489","pessoas",1
"8.1","Filhos tidos pelas mulheres de 10 anos ou mais de idade","Aurora","29852","pessoas",1
"8.1","Filhos tidos pelas mulheres de 10 anos ou mais de idade","Baixio","6889","pessoas",1
"8.1","Filhos tidos pelas mulheres de 10 anos ou mais de idade","Banabuiú","18277","pessoas",1
"8.1","Filhos tidos pelas mulheres de 10 anos ou mais de idade","Barbalha","54534","pessoas",1
"8.1","Filhos tidos pelas mulheres de 10 anos ou mais de idade","Barreira","21870","pessoas",1
"8.1","Filhos tidos pelas mulheres de 10 anos ou mais de idade","Barro","25779","pessoas",1
"8.1","Filhos tidos pelas mulheres de 10 anos ou mais de idade","Barroquinha","17083","pessoas",1
"8.1","Filhos tidos pelas mulheres de 10 anos ou mais de idade","Baturité","34598","pessoas",1
"8.1","Filhos tidos pelas mulheres de 10 anos ou mais de idade","Beberibe","52337","pessoas",1
"8.1","Filhos tidos pelas mulheres de 10 anos ou mais de idade","Bela Cruz","34788","pessoas",1
"8.1","Filhos tidos pelas mulheres de 10 anos ou mais de idade","Boa Viagem","60843","pessoas",1
"8.1","Filhos tidos pelas mulheres de 10 anos ou mais de idade","Brejo Santo","42297","pessoas",1
"8.1","Filhos tidos pelas mulheres de 10 anos ou mais de idade","Camocim","63459","pessoas",1
"8.1","Filhos tidos pelas mulheres de 10 anos ou mais de idade","Campos Sales","27659","pessoas",1
"8.1","Filhos tidos pelas mulheres de 10 anos ou mais de idade","Canindé","79198","pessoas",1
"8.1","Filhos tidos pelas mulheres de 10 anos ou mais de idade","Capistrano","19169","pessoas",1
"8.1","Filhos tidos pelas mulheres de 10 anos ou mais de idade","Caridade","22197","pessoas",1
"8.1","Filhos tidos pelas mulheres de 10 anos ou mais de idade","Cariré","21563","pessoas",1
"8.1","Filhos tidos pelas mulheres de 10 anos ou mais de idade","Caririaçu","32960","pessoas",1
